t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,24990,24990,24350,24350,407430,1,-0.1364,-0.1364
2024-02-16,24600,25090,24300,24600,488092,1,-0.0411,-0.1775
2024-02-19,24800,24800,24250,24400,417533,1,-0.126,-0.3035
2024-02-20,24600,24990,24400,24940,1052912,1,0.2019,-0.1016
2024-02-21,25090,26670,25040,26670,4016621,1,-0.9973,-1.0989
2024-02-22,27220,27860,27020,27270,1302970,1,0.135,-0.9639
2024-02-23,27410,27510,26280,26280,1632512,1,-0.5842,-1.5481
2024-02-26,26330,27270,26330,26920,1339882,1,0.1795,-1.3686
2024-02-27,27070,28110,26770,27960,1075458,1,0.0596,-1.309
2024-02-28,27960,28160,27070,27270,1068851,1,-0.437,-1.746
2024-02-29,27270,27660,26380,26820,1107780,1,-0.339,-2.085
2024-03-01,27020,27410,26820,26970,630727,1,-0.0732,-2.1582
2024-03-04,27070,28850,27070,28850,1958946,1,0.2108,-1.9474
2024-03-05,29140,29140,28200,28250,714157,1,-0.1608,-2.1082
2024-03-06,28200,28250,27120,27410,914349,1,-0.2209,-2.3291
2024-03-07,27410,27960,27270,27610,926879,1,-0.0665,-2.3956
2024-03-08,27810,28060,26920,27070,1129354,1,-0.4685,-2.8641
2024-03-11,27170,27610,26480,26480,710222,1,-0.1125,-2.9766
2024-03-12,26480,27860,26280,27460,981274,1,0.0384,-2.9382
2024-03-13,27860,28250,27610,27810,1015079,1,-0.0168,-2.955
2024-03-14,27860,28800,27170,27460,1360684,1,-0.3405,-3.2955
2024-03-15,27460,27810,26970,27760,910946,1,-0.1076,-3.4031
2024-03-18,27910,28110,25830,25830,2730973,1,-0.8635,-4.2666
2024-03-19,25930,26080,25440,25640,747958,1,-0.289,-4.5556
2024-03-20,25640,26080,25390,25980,509284,1,-0.0375,-4.5931
2024-03-21,26380,26380,25880,25880,1129127,1,-0.1024,-4.6955
2024-03-22,25980,26820,25980,26480,1253387,1,-0.1056,-4.8011
2024-03-25,26530,26570,25880,25930,681445,1,-0.328,-5.1291
2024-03-26,25930,26820,25880,26770,781343,1,0.1668,-4.9623
2024-03-27,26620,26770,26380,26430,486903,1,-0.214,-5.1763
2024-03-28,26670,26720,26280,26280,427426,1,-0.1911,-5.3674
2024-03-29,26280,26670,26030,26080,513771,1,-0.0363,-5.4037
2024-04-01,25980,26180,25590,25880,792687,1,-0.2984,-5.7021
2024-04-02,25830,26380,25640,26330,611348,1,0.0433,-5.6588
2024-04-03,26330,26570,25690,25830,527351,1,-0.2013,-5.8601
2024-04-04,25830,25830,25190,25240,928961,1,-0.305,-6.1651
2024-04-05,24990,25140,24650,24750,746377,1,-0.1981,-6.3632
2024-04-08,25040,25040,24010,24010,371066,1,-0.1792,-6.5424
2024-04-09,24010,24700,24010,24700,464612,1,0.0688,-6.4736
2024-04-10,24800,24800,24450,24500,216520,1,-0.1064,-6.58
2024-04-11,24400,24550,24010,24550,374281,1,-0.0863,-6.6663
