t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,8050,8240,8050,8180,1003464,1,0.3369,0.3369
2024-02-16,8200,8200,8000,8150,437899,1,-0.2229,0.114
2024-02-19,8160,8250,8090,8220,1220281,1,0.2518,0.3658
2024-02-20,8250,8250,8119,8189,517685,1,-0.0617,0.3041
2024-02-21,8189,8189,8029,8060,1651978,1,-0.2827,0.0214
2024-02-22,8060,8090,8029,8050,484072,1,-0.1287,-0.1073
2024-02-23,8060,8119,7930,7930,1091894,1,-0.3792,-0.4865
2024-02-26,7930,8000,7900,7950,477413,1,-0.0471,-0.5336
2024-02-27,7950,8250,7800,8140,1539369,1,0.3899,-0.1437
2024-02-28,8180,8200,8070,8140,622031,1,0.0789,-0.0648
2024-02-29,8160,8200,8029,8039,797948,1,-0.0161,-0.0809
2024-03-01,8100,8100,8010,8080,734024,1,0.0864,0.0055
2024-03-04,8080,8290,8080,8250,1643575,1,0.1956,0.2011
2024-03-05,8250,8300,8170,8300,1067783,1,0.1578,0.3589
2024-03-06,8340,8650,8340,8520,2605163,1,0.5947,0.9536
2024-03-07,8650,8650,8410,8500,1221752,1,-0.4342,0.5194
2024-03-08,8590,8590,8260,8260,1439803,1,-0.5288,-0.0094
2024-03-11,8220,8260,8039,8060,1154311,1,-0.5192,-0.5286
2024-03-12,8070,8280,8020,8250,1216509,1,-0.2566,-0.7852
2024-03-13,8230,8450,8180,8440,1710018,1,0.454,-0.3312
2024-03-14,8480,8510,8300,8320,1322568,1,-0.2899,-0.6211
2024-03-15,8250,8500,8250,8430,1890250,1,0.0068,-0.6143
2024-03-18,8520,8890,8210,8680,3423431,1,0.1066,-0.5077
2024-03-19,8690,9200,8610,8890,3178238,1,0.5014,-0.0063
2024-03-20,8700,8850,8630,8830,1733428,1,-0.0196,-0.0259
2024-03-21,9040,9040,8700,8790,1338981,1,-0.4956,-0.5215
2024-03-22,8800,8940,8600,8800,1936546,1,-0.3297,-0.8512
2024-03-25,8740,8900,8550,8620,1117236,1,-0.3188,-1.17
2024-03-26,8620,8820,8600,8800,1380972,1,0.0338,-1.1362
2024-03-27,8900,9090,8890,8900,2067610,1,-0.2074,-1.3436
2024-03-28,8900,9000,8700,8750,898946,1,-0.2852,-1.6288
