t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18790,19430,18790,19160,2606820,1,0.731534,0.731534
2024-02-16,18240,19250,18240,18970,1275523,1,-0.173781,0.557753
2024-02-19,19160,19250,18790,18970,1616053,1,0.139939,0.697692
2024-02-20,18880,19060,18700,18970,1811994,1,-0.047652,0.65004
2024-02-21,19060,19160,18790,19160,1954953,1,0.000989,0.651029
2024-02-22,17240,19790,17240,19160,2789052,1,-0.115174,0.535855
2024-02-23,17240,19430,17240,18790,2621800,1,-0.522094,0.013761
2024-02-26,18790,19610,18790,19520,2761708,1,0.746737,0.760498
2024-02-27,19520,20070,19430,19610,2879436,1,0.092782,0.85328
2024-02-28,19610,19980,19340,19520,1815392,1,-0.447822,0.405458
2024-02-29,19610,19890,19250,19430,2776133,1,-0.021163,0.384295
2024-03-01,19430,19700,19340,19520,1651016,1,-0.296748,0.087547
2024-03-04,19610,20620,19520,20430,4988132,1,0.900718,0.988265
2024-03-05,20520,20520,20070,20430,2020631,1,0.067377,1.055642
2024-03-06,20520,20520,19790,20070,2702442,1,-0.785252,0.27039
2024-03-07,20070,20890,19980,20710,3915990,1,0.854968,1.125358
2024-03-08,20800,20890,20250,20430,2549503,1,-0.444771,0.680587
2024-03-11,20430,20620,19790,19890,3037665,1,-0.460093,0.220494
2024-03-12,19890,20620,19700,20520,2784065,1,0.947511,1.168005
2024-03-13,20520,21250,20430,20890,3109916,1,0.275746,1.443751
2024-03-14,20980,21350,20620,20710,2080024,1,-0.465644,0.978107
2024-03-15,20710,20800,20160,20430,3451547,1,-1.338093,-0.359986
2024-03-18,20430,20520,19160,19790,4296802,1,-1.44562,-1.805606
2024-03-19,19790,20070,19610,19610,1026775,1,-0.367253,-2.172859
2024-03-20,19610,19890,19520,19890,1261350,1,0.076516,-2.096343
2024-03-21,19890,20250,19890,20070,1764818,1,-0.049136,-2.145479
2024-03-22,20160,20430,19980,20070,2031798,1,-0.097522,-2.243001
2024-03-25,19980,20160,19700,19790,1895764,1,-0.39123,-2.634231
2024-03-26,19610,19980,19610,19980,1635980,1,-0.37826,-3.012491
2024-03-27,19980,20890,19980,20800,4366960,1,0.401876,-2.610615
2024-03-28,20800,20890,20430,20520,1277111,1,-0.647387,-3.258002
2024-03-29,20340,20710,20250,20250,1766158,1,-0.120164,-3.378166
2024-04-01,20160,20430,20070,20340,1597137,1,-0.082437,-3.460603
2024-04-02,20430,21350,20070,21160,4274796,1,1.079266,-2.381337
2024-04-03,21160,21250,20620,20710,1723247,1,-0.241919,-2.623256
2024-04-04,20710,20800,20430,20520,2050197,1,0.088735,-2.534521
2024-04-05,20340,20620,19980,19980,2413436,1,0.160122,-2.374399
2024-04-08,20160,20160,19790,19790,1247841,1,0.291497,-2.082902
2024-04-09,19700,20250,19520,20250,1326592,1,-0.111384,-2.194286
2024-04-10,20250,20250,19890,20160,869958,1,0.062958,-2.131328
2024-04-11,19980,20070,19700,19980,950038,1,0.240566,-1.890762
2024-04-12,19980,20340,19980,20340,1290586,1,-0.007936,-1.898698
2024-04-15,20340,20340,18340,18340,3224136,1,0.883746,-1.014952
2024-04-16,18340,18790,17790,18430,2882325,1,-0.150859,-1.165811
2024-04-17,18430,18700,18060,18240,1138990,1,-0.018452,-1.184263
