t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,90000,90700,89100,89900,1047830,1,-0.3311,-0.3311
2024-02-16,89900,90200,89500,89600,735346,1,0.1261,-0.205
2024-02-19,89900,90500,89300,90200,1046679,1,0.0211,-0.1839
2024-02-20,90100,91400,89400,91300,1405753,1,0.3464,0.1625
2024-02-21,91700,91700,90500,91200,1369259,1,0.1629,0.3254
2024-02-22,90600,91000,89500,89500,1224789,1,-0.4483,-0.1229
2024-02-23,89500,91400,88900,88900,1802815,1,-0.0916,-0.2145
2024-02-26,88900,90000,88900,89500,722488,1,0.0981,-0.1164
2024-02-27,89600,91200,89100,91100,1608348,1,0.1431,0.0267
2024-02-28,91000,97400,90400,97400,4227766,1,1.2706,1.2973
2024-02-29,98500,100500,97300,97300,1902870,1,0.0262,1.3235
2024-03-01,98200,98200,94900,97300,2383117,1,-0.3995,0.924
2024-03-04,98000,98000,95600,96000,1643680,1,-0.2913,0.6327
2024-03-05,96600,96600,95200,95500,1366903,1,-0.0523,0.5804
2024-03-06,95500,96800,95100,95600,2072535,1,-0.1927,0.3877
2024-03-07,95900,97400,95500,95800,2364334,1,-0.4207,-0.033
2024-03-08,95900,96500,95100,95100,2231150,1,0.0238,-0.0092
2024-03-11,95100,96000,94100,94100,1842420,1,-0.211,-0.2202
2024-03-12,94100,94900,94000,94400,1108496,1,-0.0764,-0.2966
2024-03-13,94900,96500,94300,96000,3126592,1,0.1774,-0.1192
2024-03-14,96000,96100,94600,95000,2322431,1,-0.4101,-0.5293
2024-03-15,95000,95000,93900,94000,2304560,1,-0.3661,-0.8954
2024-03-18,94300,94500,92500,93000,1843874,1,-0.012,-0.9074
2024-03-19,92500,93500,92500,92500,870431,1,-0.1425,-1.0499
2024-03-20,92500,94100,92500,93200,899448,1,0.0215,-1.0284
2024-03-21,94000,95500,94000,95200,1454765,1,0.3239,-0.7045
2024-03-22,95200,96800,95200,96400,1846861,1,-0.0437,-0.7482
2024-03-25,95000,96900,94100,95700,1370504,1,-0.1528,-0.901
2024-03-26,96000,96600,95800,96300,736873,1,0.0965,-0.8045
2024-03-27,96200,96200,95600,95800,1047647,1,-0.162,-0.9665
2024-03-28,96200,96400,95600,95700,1233566,1,-0.0676,-1.0341
2024-03-29,95900,95900,94900,94900,801942,1,-0.2944,-1.3285
2024-04-01,94900,96000,94700,95200,1222710,1,-0.2678,-1.5963
2024-04-02,95100,95200,93900,94500,970357,1,-0.0497,-1.646
2024-04-03,94400,94800,93800,93800,1323149,1,-0.5172,-2.1632
2024-04-04,94900,96000,94400,96000,2024326,1,-0.0531,-2.2163
2024-04-05,94800,95600,94200,94900,780020,1,-0.0224,-2.2387
2024-04-08,94900,95300,94200,94900,865357,1,-0.012,-2.2507
2024-04-09,95000,95400,94200,94300,688518,1,-0.0873,-2.338
2024-04-10,94300,94600,94100,94500,738740,1,-0.2401,-2.5781
2024-04-11,94000,94600,93500,94000,778946,1,-0.0618,-2.6399
2024-04-12,94500,95500,93800,94600,846008,1,0.1006,-2.5393
2024-04-15,94600,96500,92000,92000,1902194,1,-0.2643,-2.8036
2024-04-16,93800,93800,90500,91000,1860102,1,0.0727,-2.7309
2024-04-17,91200,92100,89500,90500,1454446,1,-0.331,-3.0619
2024-04-19,90000,90900,89700,90500,1326423,1,0.0769,-2.985
2024-04-22,90500,91400,90200,90600,999830,1,0.0582,-2.9268
2024-04-23,90600,91200,89200,90100,1565162,1,-0.6442,-3.571
2024-04-25,90600,92900,90500,91000,1236861,1,0.0383,-3.5327
2024-04-26,91700,93300,91200,91200,1699786,1,-0.2581,-3.7908
2024-05-02,92100,92500,91100,91900,933709,1,0.0915,-3.6993
2024-05-03,92400,93400,91800,92500,1472206,1,-0.1299,-3.8292
2024-05-06,92900,93300,92700,93000,1148815,1,0.097,-3.7322
2024-05-07,93400,94100,92900,92900,1155689,1,0.0372,-3.695
2024-05-08,92700,93200,92100,93000,1247171,1,-0.5263,-4.2213
2024-05-09,92900,93400,92300,92500,607990,1,0.0614,-4.1599
2024-05-10,92700,92700,91700,92000,824888,1,-0.3717,-4.5316
2024-05-13,92100,92400,90500,91000,1234518,1,-0.4456,-4.9772
2024-05-14,91100,91600,90500,90600,819950,1,-0.2505,-5.2277
2024-05-15,91000,91300,90800,91000,884744,1,-0.0158,-5.2435
2024-05-16,92000,92700,91500,92600,1715536,1,0.4931,-4.7504
2024-05-17,92600,92600,91700,91800,1086438,1,-0.2854,-5.0358
2024-05-20,92300,93000,91800,91900,1045431,1,-0.4619,-5.4977
2024-05-21,91900,92000,90700,91100,1488654,1,-0.467,-5.9647
2024-05-22,91500,91700,90700,90700,1349994,1,-0.518,-6.4827
2024-05-23,90700,91500,90500,91000,1318403,1,0.001,-6.4817
2024-05-24,91000,91000,90000,90200,2243441,1,-0.9867,-7.4684
2024-05-27,90400,90600,89700,90200,1060054,1,-0.3952,-7.8636
2024-05-28,89800,90700,89800,90700,1351470,1,-0.2717,-8.1353
2024-05-29,90800,91000,89800,89800,1188182,1,-0.3972,-8.5325
2024-05-30,89500,89700,88500,88600,2358180,1,-0.3715,-8.904
2024-05-31,88700,89000,87200,87200,3927010,1,-0.0003,-8.9043
2024-06-03,88000,89300,88000,88200,2111127,1,0.8415,-8.0628
2024-06-04,88900,89200,88300,88700,1818442,1,0.4888,-7.574
2024-06-05,88700,89500,88600,88800,1886226,1,0.0501,-7.5239
2024-06-06,88900,89700,88800,89000,1702865,1,0.1373,-7.3866
2024-06-07,89100,89700,88500,88500,1131101,1,-0.3164,-7.703
2024-06-10,88900,89200,87900,88000,2643949,1,-0.7654,-8.4684
2024-06-11,88300,88400,87100,87200,2256534,1,-0.468,-8.9364
2024-06-12,87400,89200,87000,88700,2251490,1,0.4654,-8.471
2024-06-13,88900,89100,88400,88400,1603414,1,-0.0101,-8.4811
2024-06-14,88500,89100,87500,87500,2484887,1,-0.4714,-8.9525
2024-06-17,87600,87800,87100,87100,2295281,1,-0.85,-9.8025
2024-06-18,87500,88500,87100,87100,1372946,1,-0.1631,-9.9656
2024-06-19,87300,87500,86500,86600,2176749,1,-0.7163,-10.6819
2024-06-20,86600,86600,85600,86000,2654038,1,-0.1864,-10.8683
2024-06-21,86100,86700,85500,86000,1809985,1,-0.2523,-11.1206
2024-06-24,86000,87400,85500,85500,2153682,1,-0.5132,-11.6338
2024-06-25,85700,86700,85500,85500,1567779,1,-0.1181,-11.7519
2024-06-26,85900,86300,85200,85200,1709970,1,-0.3091,-12.061
2024-06-27,85200,86000,85200,85200,1425080,1,-0.1905,-12.2515
2024-06-28,86000,86000,85000,85200,1114085,1,-0.1234,-12.3749
2024-07-01,85800,86200,85200,86100,1180816,1,0.0783,-12.2966
2024-07-02,86700,88800,86200,88200,2428337,1,0.507,-11.7896
2024-07-03,88000,88700,87800,88500,2252635,1,-0.2482,-12.0378
2024-07-04,88600,89700,88000,88000,3062719,1,-1.316,-13.3538
2024-07-05,88100,89200,88000,88000,1849175,1,0.1928,-13.161
2024-07-08,88000,88700,87200,87200,1145562,1,-0.394,-13.555
2024-07-09,87500,88400,86700,88100,1551172,1,-0.0158,-13.5708
2024-07-10,88300,89200,88000,88600,1725458,1,-0.2576,-13.8284
2024-07-11,88600,88900,88100,88100,1446841,1,-0.3669,-14.1953
2024-07-12,88200,88600,87600,87600,1374637,1,-0.5995,-14.7948
2024-07-15,87600,88300,87500,87500,1174084,1,-0.092,-14.8868
2024-07-16,87600,88600,87600,87900,1535446,1,-0.0809,-14.9677
2024-07-17,88800,90000,87500,88000,3365241,1,0.0566,-14.9111
2024-07-18,88300,88800,87900,88000,1653687,1,-0.5251,-15.4362
2024-07-19,88000,88800,87500,87500,1325123,1,-0.4765,-15.9127
2024-07-22,87500,88300,87300,87700,1463116,1,0.0465,-15.8662
2024-07-23,87800,88300,87500,87500,1412799,1,-0.1563,-16.0225
2024-07-24,87400,88100,87400,87500,1477891,1,0.3307,-15.6918
2024-07-25,87600,87700,87200,87300,882334,1,-0.2153,-15.9071
2024-07-26,87300,87700,87200,87300,903300,1,-0.1433,-16.0504
2024-07-29,87600,87800,87300,87300,452800,1,-0.1068,-16.1572
2024-07-30,87300,88300,87300,87500,977800,1,0.1376,-16.0196
2024-07-31,87500,89200,87500,89200,1863400,1,0.4454,-15.5742
2024-08-01,89300,91400,89200,90700,4800600,1,0.1872,-15.387
2024-08-02,90400,90400,88700,88700,1511400,1,-0.4776,-15.8646
2024-08-05,88500,88500,86900,86900,3059700,1,-0.7676,-16.6322
2024-08-06,86900,87700,86700,87300,1653100,1,0.0329,-16.5993
2024-08-07,87400,87700,87000,87700,713000,1,-0.1911,-16.7904
2024-08-08,87700,87700,87200,87300,961200,1,-0.4274,-17.2178
2024-08-09,87400,88300,87400,87700,1136700,1,0.0053,-17.2125
2024-08-12,88400,88400,87300,87800,1060300,1,-0.1949,-17.4074
