t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,22720,22950,22680,22680,5972790,1,-1.7281,-1.7281
2024-02-16,22810,23040,22590,22680,7590617,1,-2.1623,-3.8904
2024-02-19,22720,22860,22500,22810,6255921,1,-0.2085,-4.0989
2024-02-20,22950,22990,22640,22640,8032602,1,-1.7947,-5.8936
2024-02-21,22640,22680,22320,22320,7628483,1,-2.0813,-7.9749
2024-02-22,22320,22640,22140,22140,9743866,1,-2.4966,-10.4715
2024-02-23,22140,22320,21470,21520,10560567,1,-4.479,-14.9505
2024-02-26,21560,21790,21340,21610,5868970,1,-1.1976,-16.1481
2024-02-27,21610,22010,21610,21970,4907522,1,-0.2102,-16.3583
2024-02-28,22140,22140,21740,21880,5299365,1,-1.2807,-17.639
2024-02-29,21880,22050,21700,21790,6225965,1,-0.9683,-18.6073
2024-03-01,21830,22500,21790,22410,10024144,1,2.7399,-15.8674
2024-03-04,22590,22680,22230,22320,7961369,1,-1.2455,-17.1129
2024-03-05,22230,22720,22230,22410,7823516,1,-1.2122,-18.3251
2024-03-06,22500,22720,21880,21970,8312714,1,-2.247,-20.5721
2024-03-07,22010,22140,21970,22100,5812164,1,-0.2599,-20.832
2024-03-08,22140,22190,21830,21830,9775088,1,-3.9774,-24.8094
2024-03-11,21740,21830,21340,21380,6652760,1,-3.2321,-28.0415
2024-03-12,21520,21610,21340,21380,4651615,1,-1.431,-29.4725
2024-03-13,21520,21830,21340,21790,5589693,1,-0.1827,-29.6552
2024-03-14,21880,22100,21740,21920,6352721,1,-1.0737,-30.7289
2024-03-15,21880,22280,21880,21920,6827307,1,-0.5883,-31.3172
2024-03-18,21970,22500,21340,22500,13852583,1,0.545,-30.7722
2024-03-19,22770,23220,22500,22500,11845071,1,-0.2358,-31.008
2024-03-20,22590,22640,22190,22460,5437463,1,-0.601,-31.609
2024-03-21,22680,23130,22410,22810,17211741,1,1.1916,-30.4174
2024-03-22,23130,23480,22810,22900,13117457,1,-0.5664,-30.9838
2024-03-25,23040,23480,22590,22640,10630099,1,-0.8307,-31.8145
2024-03-26,22590,22900,22410,22860,5469286,1,-0.3112,-32.1257
2024-03-27,23130,23350,22810,22810,7070652,1,-0.2679,-32.3936
2024-03-28,22990,23080,22680,22770,4507362,1,-1.3143,-33.7079
2024-03-29,22810,22900,22410,22770,6289291,1,-1.2368,-34.9447
2024-04-01,22810,23170,22680,22860,6898949,1,-0.1615,-35.1062
2024-04-02,22810,23040,22410,23040,5431756,1,-1.0445,-36.1507
2024-04-03,23040,23890,23040,23080,18032237,1,-0.1228,-36.2735
2024-04-04,23040,23170,22640,22680,5544373,1,-1.7536,-38.0271
2024-04-05,22550,22590,22140,22140,7686302,1,-1.8904,-39.9175
2024-04-08,22140,22280,21880,21970,3821940,1,-0.3936,-40.3111
2024-04-09,22100,22230,21880,22230,3198787,1,0.1192,-40.1919
2024-04-10,22320,22370,21830,21830,3622340,1,-0.9116,-41.1035
2024-04-11,21610,21880,21520,21790,3641627,1,-0.0011,-41.1046
2024-04-12,21830,22050,21790,21970,3504388,1,-0.357,-41.4616
2024-04-15,21880,21920,20450,20450,8740932,1,-4.0172,-45.4788
2024-04-16,20450,20450,19290,19600,9961313,1,-2.2445,-47.7233
2024-04-17,19820,19870,19290,19290,4422521,1,-1.8362,-49.5595
2024-04-19,18840,19380,18570,18750,6526934,1,-1.4681,-51.0276
2024-04-22,19150,19290,18620,18930,3178647,1,-0.0859,-51.1135
2024-04-23,18930,19150,18570,18620,3764459,1,-0.721,-51.8345
2024-04-25,19380,19690,19200,19380,2497401,1,-0.0623,-51.8968
2024-04-26,19020,19780,18970,19780,3457058,1,-0.5629,-52.4597
2024-05-02,20090,20720,20090,20540,5871483,1,0.3781,-52.0816
2024-05-03,20630,20630,20090,20310,2617708,1,-0.6655,-52.7471
2024-05-06,20490,20630,20270,20450,4078582,1,0.2614,-52.4857
2024-05-07,20540,20760,20310,20450,3905006,1,0.1092,-52.3765
2024-05-08,20450,20490,20050,20400,4367210,1,-0.652,-53.0285
2024-05-09,20450,20850,20180,20360,4562644,1,-0.9803,-54.0088
2024-05-10,20450,20450,20000,20000,4236520,1,-1.2696,-55.2784
2024-05-13,20000,20090,19820,19870,3232097,1,-0.8752,-56.1536
2024-05-14,20000,20220,19870,19870,2259605,1,-0.3879,-56.5415
2024-05-15,20090,20270,19870,20050,3959568,1,-0.0377,-56.5792
2024-05-16,20270,20490,20090,20090,5334314,1,-0.0371,-56.6163
2024-05-17,20220,20400,20180,20310,3573430,1,-0.6322,-57.2485
2024-05-20,20580,20890,20400,20760,8774612,1,0.2082,-57.0403
2024-05-21,20760,20800,20360,20630,4652729,1,-1.592,-58.6323
2024-05-22,20540,20800,20220,20310,5918775,1,-2.4097,-61.042
2024-05-23,20310,20720,20310,20670,5651992,1,1.1419,-59.9001
2024-05-24,20540,20630,19820,20180,7653472,1,-2.7618,-62.6619
2024-05-27,20270,20310,19870,20130,2730167,1,-0.8101,-63.472
2024-05-28,20130,20400,20130,20400,3399114,1,-0.3431,-63.8151
2024-05-29,20400,20940,20180,20580,8671902,1,0.214,-63.6011
2024-05-30,20400,21250,20310,20890,9077439,1,-0.192,-63.7931
2024-05-31,20980,21120,20540,20540,4058581,1,-0.8817,-64.6748
2024-06-03,20850,21070,20630,20760,6515781,1,0.8505,-63.8243
2024-06-04,20800,21120,20760,20850,5862568,1,-0.7508,-64.5751
2024-06-05,20850,20980,20580,20580,5467162,1,-1.2991,-65.8742
2024-06-06,20720,21070,20580,20670,6721429,1,0.4399,-65.4343
2024-06-07,20850,20940,20670,20670,3785636,1,-1.5417,-66.976
2024-06-10,20980,20980,20580,20630,5204127,1,-1.4683,-68.4443
2024-06-11,20720,20720,20220,20310,7215532,1,-2.1995,-70.6438
2024-06-12,20310,20630,20220,20540,4506763,1,0.5542,-70.0896
2024-06-13,20720,20800,20540,20580,7751204,1,-0.9759,-71.0655
2024-06-14,20950,21250,20600,20600,8165745,1,-1.8141,-72.8796
2024-06-17,20650,20700,20050,20100,4904860,1,-1.9375,-74.8171
2024-06-18,20350,20350,20000,20000,3817579,1,-1.0587,-75.8758
2024-06-19,20050,20150,19600,19600,4742716,1,-1.8254,-77.7012
2024-06-20,19800,19800,19300,19450,3503459,1,-0.6252,-78.3264
2024-06-21,19350,19450,19100,19150,3381055,1,-1.0307,-79.3571
2024-06-24,19100,19500,19000,19000,4163167,1,-1.2323,-80.5894
2024-06-25,19200,19250,19000,19050,2599968,1,-0.0945,-80.6839
2024-06-26,19100,19350,18900,19000,2224049,1,-0.689,-81.3729
2024-06-27,19000,19200,18700,18800,2575860,1,-1.0766,-82.4495
2024-06-28,18900,18950,18150,18250,3651546,1,-1.4494,-83.8989
2024-07-01,18400,18650,18250,18650,1702085,1,0.1991,-83.6998
2024-07-02,18650,18800,18600,18800,2123233,1,-0.5981,-84.2979
2024-07-03,18800,19050,18750,18850,1249844,1,-0.4602,-84.7581
2024-07-04,19000,19000,18700,18700,1705963,1,-0.478,-85.2361
2024-07-05,18800,18850,18600,18650,1925110,1,-0.5066,-85.7427
