t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,46880,47380,46640,46780,1936946,1,-0.1181,-0.1181
2024-07-09,46980,47730,46780,47580,4240501,1,0.5392,0.4211
2024-07-10,47580,47580,46780,46780,2353652,1,-1.0773,-0.6562
2024-07-11,47380,48020,47030,47580,4747348,1,1.0896,0.4334
2024-07-12,47780,47970,47180,47480,2451537,1,-0.46,-0.0266
2024-07-15,47580,47920,47480,47630,1791260,1,-0.3466,-0.3732
2024-07-16,47630,48070,47430,47480,3394903,1,-0.416,-0.7892
2024-07-17,47780,47970,45990,46490,4294409,1,-0.7273,-1.5165
2024-07-18,46540,47230,46090,47230,2236636,1,-0.6294,-2.1459
2024-07-19,46880,47580,46780,47080,3059023,1,-0.8145,-2.9604
2024-07-22,47480,47920,46740,46930,4367812,1,-0.314,-3.2744
2024-07-23,47080,47280,45600,45600,3377323,1,-1.105,-4.3794
2024-07-24,45400,45640,43510,44410,6228530,1,-1.4475,-5.8269
2024-07-25,44410,44500,43610,44210,2235668,1,-0.6595,-6.4864
2024-07-26,44260,44650,44210,44650,1506602,1,-0.093,-6.5794
2024-07-29,45100,45300,44800,44800,1268037,1,-0.3462,-6.9256
2024-07-30,44750,45050,44110,44110,1470814,1,-0.5518,-7.4774
2024-07-31,44260,45000,43910,44110,1530180,1,-0.1727,-7.6501
2024-08-01,44460,44460,41630,41730,5980112,1,-2.7482,-10.3983
2024-08-02,40990,43610,40840,43020,3361491,1,0.2673,-10.131
2024-08-05,41930,42670,40440,40440,5148984,1,-1.7403,-11.8713
2024-08-06,41530,43020,40640,42620,4594599,1,1.1736,-10.6977
2024-08-07,42820,43410,42130,43220,1511549,1,0.0511,-10.6466
2024-08-08,42620,43560,42370,42970,2314524,1,-0.1436,-10.7902
2024-08-09,43270,45000,42970,44900,5779083,1,2.0731,-8.7171
2024-08-12,44600,45500,44410,45500,2460370,1,-0.0496,-8.7667
