t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,16550,16550,16280,16370,680733,1,0.0141,0.0141
2024-02-16,16370,16680,16230,16320,797150,1,-0.0319,-0.0178
2024-02-19,16550,16550,16190,16460,1121160,1,0.1272,0.1094
2024-02-20,16820,17220,16730,17000,1946102,1,0.3268,0.4362
2024-02-21,17040,17040,16680,16910,765532,1,-0.165,0.2712
2024-02-22,16730,16950,16640,16640,867321,1,-0.3711,-0.0999
2024-02-23,16680,16950,16370,16370,1076317,1,-0.3754,-0.4753
2024-02-26,16370,17220,16230,17220,1576035,1,0.2903,-0.185
2024-02-27,17400,17580,17130,17360,1098431,1,0.1352,-0.0498
2024-02-28,17530,17760,17360,17580,1524148,1,-0.227,-0.2768
2024-02-29,17710,18250,17710,18120,1824896,1,0.0678,-0.209
2024-03-01,18340,18750,18210,18660,1647868,1,0.1197,-0.0893
2024-03-04,18920,19010,18340,18480,1145559,1,-0.3151,-0.4044
2024-03-05,18390,18830,18070,18830,1751622,1,0.0243,-0.3801
2024-03-06,18830,19100,18160,18300,1489024,1,-0.4485,-0.8286
2024-03-07,18250,19370,18210,19330,2633843,1,0.105,-0.7236
2024-03-08,19330,19370,18660,18660,1656077,1,-0.7575,-1.4811
2024-03-11,18660,18660,17850,18070,1440109,1,-0.348,-1.8291
2024-03-12,18070,18390,17760,18210,1272467,1,-0.103,-1.9321
2024-03-13,18390,19460,18340,19460,4146743,1,-0.6635,-2.5956
2024-03-14,19730,20230,19600,19730,2625328,1,-0.1697,-2.7653
2024-03-15,19910,20810,19550,20630,2355505,1,0.3638,-2.4015
2024-03-18,20630,20630,19190,19730,3626832,1,-1.3257,-3.7272
2024-03-19,20090,20090,19280,19550,1168459,1,-0.3796,-4.1068
2024-03-20,19550,20000,19150,19870,1402805,1,0.0545,-4.0523
2024-03-21,20450,20450,19780,20000,1687908,1,-0.5312,-4.5835
2024-03-22,20140,20540,19640,20000,2519358,1,-0.8865,-5.47
2024-03-25,19780,20180,19330,19370,1596686,1,-0.5216,-5.9916
2024-03-26,18880,19820,18830,19820,1329138,1,0.1019,-5.8897
2024-03-27,19910,19910,19370,19640,890940,1,-0.3573,-6.247
2024-03-28,19960,20360,19420,20310,2116176,1,0.2466,-6.0004
2024-03-29,20310,20450,20140,20310,1522532,1,-0.4985,-6.4989
2024-04-01,20270,20270,19640,20180,1379283,1,-0.4746,-6.9735
2024-04-02,19910,20990,19870,20810,3807550,1,0.1834,-6.7901
2024-04-03,20900,21210,19460,20360,2203171,1,-0.6412,-7.4313
2024-04-04,20180,20310,19910,20000,1434422,1,-0.462,-7.8933
2024-04-05,19550,19910,18750,18750,2394079,1,-0.5324,-8.4257
2024-04-08,18790,19010,18430,18430,2057384,1,-0.1226,-8.5483
2024-04-09,18790,19550,18520,19550,1510493,1,0.4509,-8.0974
2024-04-10,19370,19690,19100,19100,1219713,1,-0.319,-8.4164
2024-04-11,18790,19460,18790,19370,1292855,1,-0.1209,-8.5373
2024-04-12,19640,19780,19280,19690,1908351,1,-0.2438,-8.7811
2024-04-15,19550,19780,18340,18340,2054431,1,-0.5071,-9.2882
2024-04-16,18300,18300,17180,17670,2859194,1,-0.8366,-10.1248
2024-04-17,17760,18030,17310,17490,1932187,1,-0.4576,-10.5824
2024-04-19,16860,17040,16280,16280,3130502,1,-1.0052,-11.5876
2024-04-22,16680,17270,16500,17000,1345344,1,0.3821,-11.2055
2024-04-23,17040,17130,16460,16550,825516,1,-0.2882,-11.4937
2024-04-25,17090,17180,16590,16770,911983,1,-0.2078,-11.7015
2024-04-26,16410,16730,16370,16460,907120,1,-0.2315,-11.933
2024-05-02,16460,16550,15790,16280,1179160,1,-0.2977,-12.2307
2024-05-03,16590,16820,16320,16370,1443783,1,0.095,-12.1357
2024-05-06,16770,17400,16550,17400,1730940,1,0.5284,-11.6073
2024-05-07,17490,17580,17220,17360,821205,1,-0.0778,-11.6851
2024-05-08,17130,17800,17000,17670,1410898,1,0.0235,-11.6616
2024-05-09,17850,17850,17180,17440,927996,1,-0.1467,-11.8083
2024-05-10,17530,17580,17000,17530,979102,1,-0.018,-11.8263
2024-05-13,17580,18120,17580,17760,1594159,1,0.0409,-11.7854
2024-05-14,18070,18070,17530,17760,643993,1,-0.0663,-11.8517
