t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,53300,53300,52100,52100,1133482,1,-0.3915,-0.3915
2024-02-16,52100,53500,52100,53000,719176,1,-0.0148,-0.4063
2024-02-19,53000,53300,52300,52900,1070177,1,-0.2245,-0.6308
2024-02-20,53200,53200,52600,52900,619468,1,-0.1082,-0.739
2024-02-21,52900,56600,52500,56400,3698486,1,1.2254,0.4864
2024-02-22,56400,56400,55200,55400,1003580,1,-0.0838,0.4026
2024-02-23,55400,55700,52500,53000,2521956,1,-0.9863,-0.5837
2024-02-26,52800,54100,52800,53800,1227461,1,0.1831,-0.4006
2024-02-27,54000,55000,53500,55000,1785567,1,0.1888,-0.2118
2024-02-28,55100,55100,53700,53700,1341138,1,-0.2947,-0.5065
2024-02-29,53900,56200,53800,55400,2640272,1,0.4721,-0.0344
2024-03-01,55600,56000,54700,55500,1423181,1,-0.0878,-0.1222
2024-03-04,56000,57500,55800,56700,2208957,1,0.2002,0.078
2024-03-05,56800,56800,55300,56000,1272055,1,-0.448,-0.37
2024-03-06,55800,56000,54100,54300,1726404,1,-0.5263,-0.8963
2024-03-07,54900,55000,53500,55000,1965138,1,-0.1876,-1.0839
2024-03-08,55700,55800,53900,54200,1490562,1,-0.3506,-1.4345
2024-03-11,54500,55700,53800,54400,1099145,1,-0.2199,-1.6544
2024-03-12,54400,55700,54100,55200,1362029,1,0.1387,-1.5157
2024-03-13,56000,59000,55400,59000,4443423,1,1.4551,-0.0606
2024-03-14,59600,60000,58200,59200,1609980,1,-0.2723,-0.3329
2024-03-15,59000,60900,58000,59900,1937199,1,-0.1203,-0.4532
2024-03-18,60200,60200,55800,57800,3104728,1,-1.1271,-1.5803
2024-03-19,58000,58600,56900,57000,916983,1,-0.0345,-1.6148
2024-03-20,57100,58400,56800,58400,1130211,1,0.006,-1.6088
2024-03-21,58800,59200,58000,59000,1309487,1,0.1836,-1.4252
2024-03-22,59100,60700,58400,58400,2024876,1,-0.1694,-1.5946
2024-03-25,58400,58700,56800,57200,1509602,1,-0.5551,-2.1497
2024-03-26,57500,59500,57000,58900,1138285,1,0.2254,-1.9243
2024-03-27,59000,59600,58100,58800,753992,1,-0.1468,-2.0711
2024-03-28,59300,59900,58400,59400,1150783,1,0.194,-1.8771
2024-03-29,59600,60900,58400,58400,1403331,1,-0.092,-1.9691
2024-04-01,58400,59400,58200,58700,1114489,1,-0.0756,-2.0447
2024-04-02,58400,59800,57800,58700,1349313,1,-0.1877,-2.2324
2024-04-03,59000,59500,58000,58000,1056061,1,-0.2713,-2.5037
2024-04-04,58000,58100,56900,56900,1251747,1,-0.417,-2.9207
2024-04-05,56000,57400,56000,56000,1175231,1,-0.0774,-2.9981
