t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,107400,108700,106000,107900,656431,1,-0.0125,-0.0125
2024-07-10,107000,112900,107000,111000,1561600,1,0.2367,0.2242
2024-07-11,108000,112900,108000,110600,502677,1,-0.0006,0.2236
2024-07-12,108900,111900,107500,108600,823507,1,-0.1229,0.1007
2024-07-15,107000,110000,107000,107800,495194,1,-0.0778,0.0229
2024-07-16,106000,108000,100100,102300,1621027,1,-0.6244,-0.6015
2024-07-17,103000,104000,88800,94600,2204023,1,-0.7393,-1.3408
2024-07-18,88800,96000,88800,95900,1185004,1,0.0175,-1.3233
2024-07-19,92500,96500,92400,92500,568136,1,-0.0655,-1.3888
2024-07-22,93000,94500,80500,82800,1770561,1,-0.1359,-1.5247
2024-07-23,82800,84900,72400,72400,2585287,1,-1.7092,-3.2339
2024-07-24,62600,75500,62600,72500,4179108,1,-1.3442,-4.5781
2024-07-25,72500,74900,68000,73100,758795,1,-0.0236,-4.6017
2024-07-26,73800,74700,68100,72700,1903000,1,-0.0797,-4.6814
2024-07-29,73000,76000,71000,75400,1704700,1,0.1169,-4.5645
2024-07-30,76500,78800,75000,76700,1798600,1,-0.3266,-4.8911
2024-07-31,76700,79000,71500,72500,1600900,1,-0.5803,-5.4714
2024-08-01,73600,73600,62800,63000,4522000,1,-0.6227,-6.0941
2024-08-02,65300,67000,57100,64200,3395700,1,0.1246,-5.9695
2024-08-05,64200,64200,59500,60500,2259100,1,-0.3128,-6.2823
2024-08-06,61100,63700,60200,62800,1317800,1,0.0351,-6.2472
2024-08-07,63100,64900,61800,63000,1118500,1,-0.133,-6.3802
2024-08-08,63000,63300,60000,60900,1431000,1,-0.5023,-6.8825
2024-08-09,61800,63900,61300,63300,1449400,1,0.2015,-6.681
2024-08-12,63300,64400,62600,63400,930100,1,0.0973,-6.5837
