t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,21620,22380,21430,22000,1923787,1,0.004221,0.004221
2024-02-16,22100,22190,21810,21910,661548,1,-0.170644,-0.166423
2024-02-19,21910,22380,21620,22190,1974272,1,0.196152,0.029729
2024-02-20,22190,22290,21910,22190,838652,1,-0.08776,-0.058031
2024-02-21,22190,22290,21910,21910,890676,1,-0.100198,-0.158229
2024-02-22,21910,22000,21430,21520,1032213,1,-0.272581,-0.43081
2024-02-23,21520,21620,20950,20950,1364811,1,-0.505991,-0.936801
2024-02-26,20950,21430,20860,21330,780459,1,0.106699,-0.830102
2024-02-27,21330,23430,21330,22860,3091799,1,0.478513,-0.351589
2024-02-28,23050,23330,22570,23240,1395555,1,0.169097,-0.182492
2024-02-29,23240,24100,22950,23430,1403605,1,-0.088573,-0.271065
2024-03-01,23520,23810,23050,23710,870022,1,0.012308,-0.258757
2024-03-04,23810,24670,23810,24290,1524054,1,-0.223014,-0.481771
2024-03-05,24380,24570,23810,24380,1113131,1,0.276697,-0.205074
2024-03-06,24380,24380,23330,24100,1441995,1,-0.226691,-0.431765
2024-03-07,24100,24380,23810,24380,936902,1,0.226452,-0.205313
2024-03-08,24380,25050,24000,24100,1883024,1,-0.198298,-0.403611
2024-03-11,24380,24380,23140,23330,1176244,1,-0.283682,-0.687293
2024-03-12,23330,23810,23240,23240,1096695,1,-0.134133,-0.821426
2024-03-13,23430,25520,23240,25520,2272128,1,0.406602,-0.414824
2024-03-14,23050,26290,23050,25140,1372558,1,-0.13053,-0.545354
2024-03-15,25140,26100,25050,25710,1298509,1,-0.015291,-0.560645
2024-03-18,25710,25710,23330,24190,2329596,1,-0.476422,-1.037067
2024-03-19,24100,26190,24100,25140,1655164,1,0.251346,-0.785721
2024-03-20,24950,25240,24570,24950,567031,1,-0.012837,-0.798558
2024-03-21,25140,25810,24950,25240,818433,1,-0.209415,-1.007973
2024-03-22,25240,26190,25050,25910,1531282,1,0.062498,-0.945475
2024-03-25,26000,26480,25240,25520,719831,1,-0.224125,-1.1696
2024-03-26,25520,26100,25240,25910,754753,1,-0.125671,-1.295271
2024-03-27,26000,27050,26000,26190,1034422,1,0.163462,-1.131809
2024-03-28,26290,26480,25710,25910,665805,1,0.017779,-1.11403
2024-03-29,25910,26000,25330,25430,589975,1,-0.211391,-1.325421
2024-04-01,25430,25710,25140,25710,903453,1,-0.128863,-1.454284
2024-04-02,25520,26670,25330,26290,1034453,1,0.073081,-1.381203
2024-04-03,26290,26380,25240,25430,689519,1,-0.067683,-1.448886
