t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,17400,18200,17300,17500,5908595,1,0.5871,0.5871
2024-07-10,17500,17700,17200,17400,4430252,1,-0.3049,0.2822
2024-07-11,17400,17600,17100,17200,3854148,1,-0.2122,0.07
2024-07-12,17200,17600,17200,17600,3752689,1,0.1098,0.1798
2024-07-15,17600,18000,17500,17800,2972117,1,0.5137,0.6935
2024-07-16,17700,18300,17300,17600,4444832,1,-1.1441,-0.4506
2024-07-17,17600,17700,15700,16400,5945559,1,-1.5846,-2.0352
2024-07-18,16300,16800,15800,16700,3533160,1,-0.2411,-2.2763
2024-07-19,16300,16700,16100,16400,1829110,1,-0.0944,-2.3707
2024-07-22,14800,16500,14800,15300,4059851,1,-1.1597,-3.5304
2024-07-23,15200,15600,14100,14400,4260103,1,-0.8321,-4.3625
2024-07-24,14400,14600,13500,14500,3330772,1,-0.5597,-4.9222
2024-07-25,14500,14700,14200,14400,1443922,1,-0.0734,-4.9956
2024-07-26,14400,14700,14300,14700,1314700,1,-0.2343,-5.2299
2024-07-29,14700,15300,14700,15300,2328000,1,0.6214,-4.6085
2024-07-30,15300,15400,14800,15100,1636500,1,-0.2781,-4.8866
2024-07-31,15200,15500,14900,15100,1987400,1,-0.4958,-5.3824
2024-08-01,15100,15100,13800,14200,3397300,1,-1.3329,-6.7153
2024-08-02,14000,14400,13600,14300,2187100,1,0.4613,-6.254
2024-08-05,13900,14200,12900,13000,3260400,1,-0.9012,-7.1552
2024-08-06,12900,13700,12500,13600,2097700,1,0.0576,-7.0976
2024-08-07,13600,13900,13500,13800,1307900,1,0.038,-7.0596
2024-08-08,13800,14700,13800,14200,4823500,1,0.1386,-6.921
2024-08-09,14400,14700,14200,14600,1328600,1,0.0045,-6.9165
2024-08-12,14600,15100,14500,14900,2633500,1,-0.0721,-6.9886
