t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,64019,64019,63540,63830,684051,1,-0.3444,-0.3444
2024-02-16,63630,65379,63630,64700,703852,1,0.1017,-0.2427
2024-02-19,65200,65200,64400,65000,708690,1,-0.12,-0.3627
2024-02-20,65000,65000,64099,64099,1056405,1,-0.1828,-0.5455
2024-02-21,64000,64000,63100,63700,958418,1,-0.4239,-0.9694
2024-02-22,63600,64700,63500,64200,588361,1,0.1185,-0.8509
2024-02-23,64700,66800,64500,64599,2040456,1,-0.1172,-0.9681
2024-02-26,65300,69100,64900,69100,2855823,1,0.5543,-0.4138
2024-02-27,70300,71200,69500,70700,1432327,1,-0.0628,-0.4766
2024-02-28,70900,71700,69600,71400,1994992,1,-0.2119,-0.6885
2024-02-29,71200,73500,70600,73500,1503412,1,0.3001,-0.3884
2024-03-01,74000,74000,72500,73600,983532,1,-0.0617,-0.4501
2024-03-04,75000,75000,72500,73300,1339483,1,-0.6807,-1.1308
2024-03-05,72900,74200,72400,73300,969268,1,-0.222,-1.3528
2024-03-06,73300,74500,72600,74500,1001400,1,-0.0421,-1.3949
2024-03-07,74200,76500,73500,76500,1218564,1,0.2131,-1.1818
2024-03-08,76500,76700,74700,74900,1464729,1,0.0841,-1.0977
2024-03-11,74300,77800,74300,74800,1437792,1,-0.5071,-1.6048
2024-03-12,73500,76400,73200,74900,942970,1,0.1211,-1.4837
2024-03-13,76000,79900,75400,78100,1231301,1,0.3131,-1.1706
2024-03-14,78100,78200,76700,77000,1228834,1,-0.3807,-1.5513
2024-03-15,77000,78400,75500,77100,1163151,1,-0.2116,-1.7629
2024-03-18,77200,78200,71800,77000,1971095,1,-0.4532,-2.2161
2024-03-19,77800,77800,75000,77200,768768,1,-0.0605,-2.2766
2024-03-20,77700,77700,75700,76700,478387,1,-0.0538,-2.3304
2024-03-21,77500,79500,76200,76300,1269481,1,-0.2369,-2.5673
2024-03-22,76300,78400,75600,77300,998354,1,-0.0876,-2.6549
2024-03-25,77300,77300,75500,75500,963267,1,-0.3022,-2.9571
2024-03-26,75500,78000,74900,76600,510621,1,-0.0254,-2.9825
2024-03-27,77000,77600,76300,77000,554382,1,0.0031,-2.9794
2024-03-28,77600,80000,77100,79300,1428426,1,0.159,-2.8204
2024-03-29,79300,79300,78200,78400,432836,1,-0.1265,-2.9469
2024-04-01,78500,78500,76800,77000,667818,1,-0.3705,-3.3174
2024-04-02,76600,76600,74900,76200,1321975,1,-0.289,-3.6064
2024-04-03,76400,77600,75800,76700,799805,1,0.0054,-3.601
2024-04-04,76700,76900,75200,75200,622822,1,-0.1801,-3.7811
2024-04-05,75000,75000,73500,73900,764866,1,-0.2227,-4.0038
2024-04-08,73800,74800,72800,73700,497046,1,-0.0847,-4.0885
2024-04-09,73500,74200,73400,74200,299163,1,-0.0541,-4.1426
2024-04-10,74500,75300,74000,74000,403720,1,-0.0203,-4.1629
2024-04-11,73500,73800,72800,73500,487944,1,-0.1404,-4.3033
2024-04-12,74900,74900,73700,74600,345120,1,-0.0116,-4.3149
