t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,21370,21710,21270,21460,14546750,1,0.5494,0.5494
2024-02-16,21660,21660,21220,21460,5230031,1,-0.9161,-0.3667
2024-02-19,21560,21560,21120,21370,7477741,1,-1.4984,-1.8651
2024-02-20,21410,21900,21270,21560,6742874,1,1.5861,-0.279
2024-02-21,21850,21900,21560,21660,5642418,1,0.7564,0.4774
2024-02-22,21750,21850,21560,21850,4237895,1,0.3051,0.7825
2024-02-23,21850,22090,21270,21370,14812104,1,-3.509,-2.7265
2024-02-26,21270,21370,21030,21320,4289391,1,-0.3868,-3.1133
2024-02-27,21370,21370,21120,21320,4721252,1,-1.8339,-4.9472
2024-02-28,21410,21510,21220,21460,4678327,1,-0.5829,-5.5301
2024-02-29,21750,21750,21170,21270,6364458,1,-0.1894,-5.7195
2024-03-01,21220,21270,20930,21270,4831690,1,-1.4433,-7.1628
2024-03-04,21370,21510,20980,21370,7385465,1,-0.0182,-7.181
2024-03-05,21370,21460,21170,21460,3309168,1,0.2113,-6.9697
2024-03-06,21560,21710,21220,21270,5296529,1,-0.6025,-7.5722
2024-03-07,21320,21320,21120,21220,5708770,1,-1.8867,-9.4589
2024-03-08,21320,21370,20930,20930,7432906,1,-2.845,-12.3039
2024-03-11,20930,21030,20690,20690,3388780,1,-1.4271,-13.731
2024-03-12,20780,20780,20590,20690,3516583,1,-1.0052,-14.7362
2024-03-13,20880,21460,20640,21410,4028859,1,0.9092,-13.827
2024-03-14,21510,21510,20980,21080,3861291,1,-1.3333,-15.1603
2024-03-15,21220,21950,21080,21850,8529132,1,2.4043,-12.756
2024-03-18,22090,22090,21120,21610,6286039,1,-1.0928,-13.8488
2024-03-19,21610,21710,21270,21460,3976219,1,-1.8381,-15.6869
2024-03-20,21710,22920,21370,22920,27164537,1,9.985,-5.7019
2024-03-21,23210,23700,22970,23600,10269547,1,3.3843,-2.3176
2024-03-22,23600,23940,23110,23500,9231521,1,-2.1893,-4.5069
2024-03-25,23450,24040,22970,23260,7517819,1,-0.5671,-5.074
2024-03-26,23210,23700,23160,23650,5058696,1,0.8619,-4.2121
2024-03-27,23650,23650,23260,23500,5553488,1,-1.04,-5.2521
2024-03-28,23790,24040,23260,23550,8015399,1,-0.8937,-6.1458
2024-03-29,23550,24280,23310,23890,6182733,1,1.7919,-4.3539
