t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,42500,42800,42200,42550,1937352,1,-0.4656,-0.4656
2024-02-16,42550,44150,42500,43950,4997596,1,1.9472,1.4816
2024-02-19,44300,47000,44300,47000,16653816,1,3.1429,4.6245
2024-02-20,48000,49350,47900,48500,8987903,1,2.3124,6.9369
2024-02-21,48550,48550,47100,47250,6658534,1,-1.1561,5.7808
2024-02-22,47250,47700,47000,47600,4027415,1,0.2313,6.0121
2024-02-23,47950,47950,45200,45200,9887996,1,-3.2984,2.7137
2024-02-26,45350,45750,44300,44600,5096811,1,-0.6643,2.0494
2024-02-27,44800,45650,44350,45150,4374017,1,-0.2243,1.8251
2024-02-28,45900,46400,45250,45600,3374436,1,-0.0254,1.7997
2024-02-29,46000,46150,45000,45000,4021847,1,-0.9262,0.8735
2024-03-01,45000,45600,44850,45250,2986239,1,-0.1535,0.72
2024-03-04,45300,45750,45150,45250,3742869,1,-0.3977,0.3223
2024-03-05,45200,45500,45000,45300,3156457,1,-0.828,-0.5057
2024-03-06,45300,46850,45200,45300,4657669,1,-0.0029,-0.5086
2024-03-07,45600,45850,45350,45600,2469235,1,0.1434,-0.3652
2024-03-08,46000,46000,44800,44800,3902115,1,-1.236,-1.6012
2024-03-11,44900,45250,44350,44350,3457455,1,-0.5059,-2.1071
2024-03-12,44350,44600,44050,44150,2840004,1,-0.3047,-2.4118
2024-03-13,44250,45000,44100,45000,2241005,1,0.133,-2.2788
2024-03-14,45200,46850,45000,45950,6026937,1,0.2538,-2.025
2024-03-15,45900,46000,44400,44400,4816578,1,-0.0877,-2.1127
2024-03-18,44850,46200,43900,46100,7739070,1,1.9365,-0.1762
2024-03-19,46200,47300,45600,47000,7834465,1,0.7603,0.5841
2024-03-20,46800,47000,45800,46500,4699233,1,-0.8033,-0.2192
2024-03-21,46500,46850,45900,46500,3529613,1,0.2986,0.0794
2024-03-22,46500,46700,46050,46600,5202615,1,0.4391,0.5185
2024-03-25,46600,47400,46150,46850,4742980,1,1.0529,1.5714
2024-03-26,47000,47200,46600,47050,3482260,1,1.3482,2.9196
2024-03-27,47050,47300,46700,47050,4206598,1,0.2038,3.1234
2024-03-28,47050,47950,46900,47600,4643059,1,1.9115,5.0349
2024-03-29,47850,47900,47300,47650,3527781,1,1.4822,6.5171
2024-04-01,47650,48100,47350,47850,4455197,1,1.4242,7.9413
2024-04-02,47000,47900,46500,47800,4821769,1,1.8367,9.778
2024-04-03,47500,47850,47200,47750,4263220,1,0.7778,10.5558
2024-04-04,47250,47950,47250,47850,4125125,1,1.2264,11.7822
2024-04-05,47450,47950,47300,47800,3385682,1,0.8561,12.6383
2024-04-08,48000,48000,47350,47700,2951317,1,0.4304,13.0687
2024-04-09,47600,47700,47000,47700,3504936,1,0.3582,13.4269
2024-04-10,47700,48650,47650,48500,5167251,1,1.5632,14.9901
2024-04-11,48250,48550,47750,48300,3401529,1,0.6395,15.6296
2024-04-12,48350,48700,48150,48450,3011703,1,0.159,15.7886
2024-04-15,48000,48200,46000,47000,5603162,1,-0.4617,15.3269
2024-04-16,47000,47000,44650,46400,4798093,1,0.0613,15.3882
2024-04-17,46500,46500,44500,45000,3014738,1,0.0025,15.3907
2024-04-19,43600,44000,42600,42600,3678561,1,-0.8118,14.5789
2024-04-22,42650,43000,41700,42000,3224414,1,-0.2632,14.3157
2024-04-23,42450,42450,41000,41000,2701228,1,-0.8425,13.4732
2024-04-25,41700,42350,41300,42000,1519881,1,-0.051,13.4222
2024-04-26,41950,44450,41900,44450,2701183,1,0.2368,13.659
2024-05-02,44000,44400,43600,44400,1598981,1,-0.1196,13.5394
2024-05-03,44600,44900,44000,44450,1317425,1,-0.1254,13.414
2024-05-06,44450,44750,43850,44750,1527085,1,0.6299,14.0439
2024-05-07,45350,45350,44500,45000,1055748,1,0.3044,14.3483
2024-05-08,45100,45400,44300,45400,1715664,1,-0.1968,14.1515
2024-05-09,45400,46000,45050,45400,1417786,1,0.0165,14.168
2024-05-10,45400,45700,44500,45000,1170076,1,-0.3633,13.8047
2024-05-13,45300,45350,44350,45000,1714839,1,-0.3392,13.4655
2024-05-14,48100,48100,46050,46050,5270017,1,0.8912,14.3567
2024-05-15,46200,46750,46000,46350,1360467,1,-0.0108,14.3459
2024-05-16,46600,47150,46200,46750,2786528,1,1.235,15.5809
2024-05-17,46750,46900,46250,46850,2170875,1,-0.2293,15.3516
2024-05-20,47000,47550,46350,46700,3230491,1,-0.8306,14.521
2024-05-21,47000,47700,46450,46450,3339305,1,-0.1201,14.4009
2024-05-22,46350,46900,45500,45500,3154087,1,-0.7727,13.6282
2024-05-23,45250,45900,44750,45550,2653781,1,-0.1939,13.4343
2024-05-24,45150,45600,44150,44950,3719560,1,-1.1596,12.2747
2024-05-27,44950,45250,44450,45050,1715599,1,-0.235,12.0397
2024-05-28,45000,45300,44450,45050,2256983,1,-0.7614,11.2783
2024-05-29,45050,45200,44250,44400,2585924,1,-1.2179,10.0604
2024-05-30,44400,44500,43150,43150,2390475,1,-0.4603,9.6001
2024-05-31,43500,44600,43300,43550,1667310,1,-0.1809,9.4192
2024-06-03,43800,44600,43800,43950,1539213,1,0.2132,9.6324
2024-06-04,44300,44550,44000,44100,1466478,1,-0.2104,9.422
2024-06-05,44100,44750,44100,44200,1614098,1,-0.1144,9.3076
2024-06-06,44300,44350,43700,43700,1827520,1,-0.9621,8.3455
2024-06-07,43900,44000,43200,43500,1685408,1,-0.6907,7.6548
2024-06-10,43500,43900,43400,43450,1584674,1,-0.4834,7.1714
2024-06-11,43300,43450,42550,43200,4839697,1,-2.5799,4.5915
2024-06-12,42800,43500,42500,43300,2295361,1,0.1954,4.7869
2024-06-13,43300,43500,42900,43200,2146182,1,0.0623,4.8492
2024-06-14,43200,43250,42000,42000,2722732,1,-0.538,4.3112
2024-06-17,42600,42950,42000,42000,2064171,1,-0.0393,4.2719
2024-06-18,42300,42950,42100,42100,1834877,1,0.0865,4.3584
2024-06-19,42350,42450,41450,41500,3277993,1,-1.0592,3.2992
2024-06-20,41550,41800,41350,41450,2359994,1,-0.1238,3.1754
2024-06-21,41450,41650,41150,41650,2687452,1,-0.6542,2.5212
2024-06-24,41650,42300,41100,41100,2810231,1,-0.5126,2.0086
2024-06-25,41150,42000,41150,41200,1599910,1,-0.0046,2.004
2024-06-26,41300,41700,41150,41200,1921541,1,-0.2133,1.7907
2024-06-27,41100,41400,41000,41000,1313587,1,-0.3176,1.4731
2024-06-28,41100,41350,40900,41200,1788564,1,-0.1266,1.3465
2024-07-01,41400,41400,41050,41350,905835,1,0.0876,1.4341
2024-07-02,41400,41750,41300,41600,1495437,1,-0.1557,1.2784
2024-07-03,41600,41650,41250,41350,1139867,1,-0.277,1.0014
2024-07-04,41500,41700,41300,41400,1215987,1,0.0417,1.0431
2024-07-05,41400,41450,41100,41400,1446715,1,-0.3794,0.6637
2024-07-09,40500,40950,40150,40800,2290196,1,-0.0125,0.6512
2024-07-10,40950,40950,40600,40600,1238833,1,-0.2536,0.3976
2024-07-11,40900,41750,40700,41100,2749970,1,0.4562,0.8538
2024-07-12,41700,42800,41650,41750,3317424,1,-0.4428,0.411
