t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14560,14600,14240,14280,24616350,1,-7.6941,-7.6941
2024-02-16,14280,14520,14240,14360,21896804,1,1.9081,-5.786
2024-02-19,14360,14400,14000,14320,27342174,1,-8.5394,-14.3254
2024-02-20,14400,14960,14400,14640,49431837,1,12.6807,-1.6447
2024-02-21,14680,14800,14520,14680,24694970,1,1.1011,-0.5436
2024-02-22,14640,14720,14440,14440,15184124,1,-4.5676,-5.1112
2024-02-23,14560,14560,13960,14000,37260198,1,-9.6354,-14.7466
2024-02-26,13960,14520,13840,14360,24951633,1,2.7376,-12.009
2024-02-27,14480,14760,14320,14480,22085902,1,3.4237,-8.5853
2024-02-28,14560,14760,14400,14520,28146337,1,1.194,-7.3913
2024-02-29,14640,15040,14520,14640,36502953,1,-0.3165,-7.7078
2024-03-01,14680,15160,14680,15120,38401521,1,5.9959,-1.7119
2024-03-04,15440,15480,15040,15120,25311130,1,-1.9853,-3.6972
2024-03-05,15160,15320,14880,15280,29874125,1,-0.7963,-4.4935
2024-03-06,15320,15440,14840,14960,28521200,1,-8.2059,-12.6994
2024-03-07,14960,16000,14920,15840,63138648,1,22.0203,9.3209
2024-03-08,15960,16120,15520,15560,38539230,1,-4.3586,4.9623
2024-03-11,15560,15720,15040,15520,34047201,1,-4.3202,0.6421
2024-03-12,15320,15400,14960,15040,34320379,1,-3.6951,-3.053
2024-03-13,15080,16079,15080,16079,37296099,1,14.9618,11.9088
2024-03-14,16120,17160,16000,16640,46846498,1,6.9645,18.8733
2024-03-15,16640,16960,16200,16640,25401381,1,-1.6762,17.1971
2024-03-18,16800,16960,15480,15800,62737344,1,-19.6781,-2.481
2024-03-19,15960,15960,15440,15440,23916971,1,-7.5708,-10.0518
2024-03-20,15520,16000,15360,16000,28830583,1,2.3536,-7.6982
2024-03-21,16440,16480,15960,16120,32814400,1,-5.6029,-13.3011
2024-03-22,16320,16560,15920,16120,39375453,1,-4.2595,-17.5606
2024-03-25,16560,16560,16000,16160,40046640,1,-10.1124,-27.673
2024-03-26,16160,16760,15840,16760,35867644,1,4.3843,-23.2887
2024-03-27,17080,17080,16560,16800,26469831,1,-6.0813,-29.37
2024-03-28,17000,17000,16600,16800,29134782,1,-4.069,-33.439
2024-03-29,16800,16800,16400,16440,29223933,1,-10.3273,-43.7663
2024-04-01,16360,16640,16079,16440,31825507,1,-3.4022,-47.1685
2024-04-02,16400,16760,16120,16760,25872297,1,-0.1423,-47.3108
2024-04-03,16800,17120,16400,16400,42450856,1,-5.3373,-52.6481
2024-04-04,16440,16480,16000,16079,30671326,1,-7.7152,-60.3633
2024-04-05,15840,15880,15440,15440,51531113,1,-15.677,-76.0403
2024-04-08,15560,15560,15160,15160,33951206,1,-10.6066,-86.6469
2024-04-09,15280,15720,15160,15720,27611953,1,-1.761,-88.4079
2024-04-10,15720,15720,15360,15360,17473552,1,-5.7783,-94.1862
2024-04-11,15160,15480,15120,15320,26488990,1,-2.263,-96.4492
2024-04-12,15520,15760,15360,15600,22803414,1,1.6005,-94.8487
2024-04-15,15560,15800,14520,14520,43881940,1,-15.0421,-109.8908
2024-04-16,14480,14560,13560,14280,62517746,1,-19.3275,-129.2183
2024-04-17,14400,14440,13600,13600,32314273,1,-6.4284,-135.6467
2024-04-19,13280,13760,12800,13040,47427441,1,-6.1433,-141.79
2024-04-22,13480,13920,13320,13720,27935772,1,6.9558,-134.8342
2024-04-23,13720,13760,13160,13240,20906648,1,-6.1717,-141.0059
2024-04-25,13720,13760,13520,13680,15166220,1,-0.5527,-141.5586
2024-04-26,13360,13680,13360,13480,16462092,1,-1.2978,-142.8564
2024-05-02,13480,13560,13280,13400,11512836,1,-2.2034,-145.0598
2024-05-03,13600,13680,13360,13440,14418415,1,-1.2695,-146.3293
2024-05-06,13600,14120,13520,14080,28668954,1,8.3373,-137.992
2024-05-07,14080,14120,13880,14000,14667054,1,-2.299,-140.291
2024-05-08,13840,14200,13720,14000,22967088,1,0.4537,-139.8373
2024-05-09,14080,14160,13760,13800,17259007,1,-5.4097,-145.247
2024-05-10,13920,14080,13720,14040,18470912,1,0.7118,-144.5352
2024-05-13,14080,14240,13920,14040,17705986,1,-1.8515,-146.3867
2024-05-14,14080,14200,13960,14000,9988150,1,-1.1846,-147.5713
2024-05-15,14000,14520,14000,14280,27866630,1,9.3155,-138.2558
2024-05-16,14480,14680,14400,14520,27152597,1,3.1524,-135.1034
2024-05-17,14560,14760,14440,14600,20806759,1,0.7827,-134.3207
2024-05-20,14800,14880,14600,14600,22187740,1,-0.7892,-135.1099
2024-05-21,14600,14720,14360,14640,20787311,1,-5.4654,-140.5753
2024-05-22,14680,15000,14480,14560,28472154,1,-3.4155,-143.9908
2024-05-23,14520,14720,14120,14720,29139132,1,-1.7438,-145.7346
2024-05-24,14520,14600,13960,14160,34739802,1,-11.6902,-157.4248
2024-05-27,14160,14360,14000,14320,11677849,1,0.1552,-157.2696
2024-05-28,14400,14560,14320,14520,15174455,1,0.7419,-156.5277
2024-05-29,14520,14720,14320,14400,18821838,1,-0.8238,-157.3515
2024-05-30,14200,14440,14040,14320,21948883,1,1.7825,-155.569
2024-05-31,14320,14600,14320,14400,16874268,1,1.7529,-153.8161
2024-06-03,14560,14800,14560,14680,23345265,1,2.6308,-151.1853
2024-06-04,14720,14920,14600,14600,17649925,1,-0.7811,-151.9664
2024-06-05,14720,14800,14520,14520,13277305,1,-3.4695,-155.4359
2024-06-06,14560,14680,14400,14480,11668803,1,-3.8367,-159.2726
2024-06-07,14560,14600,14440,14440,12234877,1,-2.4996,-161.7722
2024-06-10,14520,14760,14480,14600,14506885,1,1.5101,-160.2621
2024-06-11,14680,14720,14480,14680,17094107,1,-1.2657,-161.5278
2024-06-12,14760,15400,14720,15240,50549806,1,19.0546,-142.4732
2024-06-13,15360,15400,15120,15120,15167951,1,-1.4453,-143.9185
2024-06-14,15240,15360,14560,14560,32268883,1,-6.7872,-150.7057
2024-06-17,14560,14720,14440,14560,17134073,1,-0.393,-151.0987
2024-06-18,14680,14760,14520,14560,13427962,1,-3.365,-154.4637
2024-06-19,14560,14640,14400,14440,15754073,1,-3.8851,-158.3488
2024-06-20,14520,14520,14080,14080,22943982,1,-5.133,-163.4818
2024-06-21,14120,14240,14000,14000,15263192,1,-2.8023,-166.2841
2024-06-24,14000,14080,13280,13360,33202065,1,-11.1855,-177.4696
2024-06-25,13440,13560,13320,13440,10808675,1,-0.6033,-178.0729
2024-06-26,13440,13640,13360,13440,7792678,1,-0.6115,-178.6844
2024-06-27,13440,13560,13320,13440,7152724,1,-1.5282,-180.2126
2024-06-28,13440,13520,12960,13120,15200895,1,-6.3172,-186.5298
2024-07-01,13200,13320,13000,13280,6411487,1,-0.7028,-187.2326
2024-07-02,13360,13480,13320,13480,5465127,1,0.2275,-187.0051
2024-07-03,13480,13720,13480,13640,7898644,1,0.0385,-186.9666
2024-07-04,13680,13840,13520,13560,6219958,1,-0.7426,-187.7092
2024-07-05,13600,13600,13360,13440,6756741,1,-1.1761,-188.8853
2024-07-08,13560,13640,13400,13440,6439917,1,-1.1671,-190.0524
2024-07-09,13440,13840,13440,13800,13008381,1,4.842,-185.2104
2024-07-10,13800,13840,13600,13600,6095907,1,-1.9872,-187.1976
2024-07-11,13720,13840,13640,13760,9640179,1,1.0105,-186.1871
2024-07-12,13800,13840,13480,13480,9461568,1,-4.1401,-190.3272
2024-07-15,13560,13600,13440,13480,5486930,1,-2.1669,-192.4941
2024-07-16,13560,13760,13480,13520,8492678,1,0.6611,-191.833
2024-07-17,13680,13760,13160,13280,14007875,1,-2.8599,-194.6929
2024-07-18,13360,13560,13120,13560,7971811,1,-1.3391,-196.032
2024-07-19,13480,13520,12640,12640,55236784,1,-15.3795,-211.4115
2024-07-22,12320,12440,11800,11800,27578235,1,-2.57,-213.9815
2024-07-23,11960,12000,11120,11160,31449929,1,-12.7843,-226.7658
2024-07-24,10840,11640,10840,11600,18628058,1,2.2718,-224.494
2024-07-25,11600,11600,11200,11240,9190122,1,-2.2709,-226.7649
2024-07-26,11360,11360,10920,11040,20244664,1,-2.551,-229.3159
2024-07-29,11120,11360,11080,11120,22032212,1,-2.1853,-231.5012
2024-07-30,11120,11120,10560,10560,39962338,1,-7.8806,-239.3818
2024-07-31,11250,11250,11100,11250,28668987,1,-5.8308,-245.2126
2024-08-01,11550,11550,10900,11150,32803473,1,-10.1723,-255.3849
2024-08-02,11100,11550,11000,11500,24823802,1,2.2541,-253.1308
2024-08-05,11150,11500,10750,10850,24616833,1,-10.3006,-263.4314
2024-08-06,11150,11250,10850,11150,15207984,1,1.2273,-262.2041
2024-08-07,11250,11250,10950,11150,11785056,1,-2.2725,-264.4766
2024-08-08,11000,11350,11000,11100,11733037,1,0.3616,-264.115
2024-08-09,11300,11450,11150,11350,21623246,1,3.9403,-260.1747
2024-08-12,11400,11500,11300,11500,13026656,1,1.8976,-258.2771
