t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,20470,20470,20120,20200,22748244,1,-4.5683,-4.5683
2024-02-16,20380,20640,20200,20380,32058584,1,2.272,-2.2963
2024-02-19,20470,20550,19850,20160,41603417,1,-7.5415,-9.8378
2024-02-20,20380,20600,20200,20200,22425823,1,-0.548,-10.3858
2024-02-21,20200,20250,19760,19850,38590773,1,-9.2561,-19.6419
2024-02-22,19850,19980,19760,19760,17102301,1,-2.2835,-21.9254
2024-02-23,19810,19980,19240,19370,34420413,1,-14.3998,-36.3252
2024-02-26,19370,20030,19320,19900,26649591,1,8.0035,-28.3217
2024-02-27,20030,20290,19900,20030,21782355,1,2.129,-26.1927
2024-02-28,20200,20200,19760,19850,21512124,1,-5.1193,-31.312
2024-02-29,19980,20380,19850,19900,31122159,1,0.6127,-30.6993
2024-03-01,20120,20600,20070,20380,42624810,1,4.5043,-26.195
2024-03-04,20730,20770,20420,20600,32217883,1,-0.5619,-26.7569
2024-03-05,20600,20690,20290,20640,28962138,1,2.7445,-24.0124
2024-03-06,20550,20730,20120,20200,31777414,1,-8.867,-32.8794
2024-03-07,20200,20730,20070,20640,39340180,1,8.6948,-24.1846
2024-03-08,20820,21350,20640,20640,65518116,1,-4.7836,-28.9682
2024-03-11,20640,20770,20030,20120,32306153,1,-8.6684,-37.6366
2024-03-12,20030,20160,19810,19850,32727403,1,-4.2144,-41.851
2024-03-13,19940,20730,19810,20690,35102732,1,7.5079,-34.3431
2024-03-14,20860,21210,20380,20470,40179674,1,1.221,-33.1221
2024-03-15,20470,20770,20290,20690,33220575,1,-0.9338,-34.0559
2024-03-18,20910,20990,19500,20380,50789749,1,-11.5856,-45.6415
2024-03-19,20510,20550,19940,20250,19131604,1,-4.99,-50.6315
2024-03-20,20200,20600,19980,20550,22112889,1,2.4415,-48.19
2024-03-21,21040,21520,20950,21300,62524615,1,12.8544,-35.3356
2024-03-22,21430,21650,21130,21350,37134031,1,1.8779,-33.4577
2024-03-25,21170,21830,20690,21040,86297351,1,-15.4529,-48.9106
2024-03-26,20250,20640,19980,20600,81901108,1,-3.2356,-52.1462
2024-03-27,20860,20910,20380,20470,37034217,1,-9.7821,-61.9283
2024-03-28,20550,20820,20120,20380,43892144,1,-11.8161,-73.7444
2024-03-29,20380,20420,20070,20160,33709962,1,-10.4554,-84.1998
2024-04-01,20160,20470,19940,20120,28716544,1,-2.0949,-86.2947
2024-04-02,20120,20290,19810,20290,28054357,1,-2.5329,-88.8276
2024-04-03,20330,20470,19940,20030,24371835,1,-6.032,-94.8596
2024-04-04,19980,20070,19720,19760,20655515,1,-7.6686,-102.5282
2024-04-05,19500,19590,19370,19370,24595873,1,-1.5382,-104.0664
2024-04-08,19370,19500,19020,19020,20286315,1,-7.2826,-111.349
2024-04-09,19020,19590,18970,19540,16386623,1,3.503,-107.846
2024-04-10,19630,19630,19320,19320,9369738,1,-2.4487,-110.2947
2024-04-11,19060,19280,18970,19150,10526903,1,-0.6446,-110.9393
2024-04-12,19320,19500,19150,19280,11087021,1,1.0592,-109.8801
2024-04-15,19280,19500,17960,17960,23741551,1,-8.3689,-118.249
2024-04-16,17830,18010,16910,17660,27514429,1,-4.3049,-122.5539
2024-04-17,17660,17790,17000,17000,12328547,1,-3.4319,-125.9858
2024-04-19,16690,17390,16070,16600,22145062,1,-0.1226,-126.1084
2024-04-22,17390,17740,17080,17740,21922367,1,2.0813,-124.0271
2024-04-23,17920,18010,17220,17300,13782144,1,-3.2192,-127.2463
2024-04-25,18270,18620,18180,18450,12914860,1,1.8093,-125.437
2024-04-26,18050,18360,18010,18140,10120111,1,-0.8475,-126.2845
2024-05-02,18140,18180,17700,17830,7810102,1,-1.1811,-127.4656
2024-05-03,18140,18140,17830,17830,6356592,1,-0.8261,-128.2917
2024-05-06,18010,18620,17960,18530,12776307,1,2.7665,-125.5252
2024-05-07,18580,18620,18270,18400,7427344,1,-0.4603,-125.9855
2024-05-08,18270,18490,17960,18360,9647855,1,-2.054,-128.0395
2024-05-09,18400,18530,18100,18100,7301330,1,-1.8817,-129.9212
2024-05-10,18180,18270,18010,18270,6262905,1,-0.8085,-130.7297
2024-05-13,18400,18450,18140,18270,5965782,1,-2.2162,-132.9459
2024-05-14,18270,18400,18180,18180,5257404,1,-2.3218,-135.2677
2024-05-15,18230,18620,18180,18450,11378900,1,2.1947,-133.073
2024-05-16,18670,18750,18450,18490,9449880,1,-1.4623,-134.5353
2024-05-17,18530,19320,18490,19240,21708562,1,6.9187,-127.6166
2024-05-20,19460,19630,19060,19060,14371657,1,-3.9522,-131.5688
2024-05-21,18970,19240,18670,18840,16846307,1,-6.8643,-138.4331
2024-05-22,18890,19240,18710,18710,18729756,1,-2.5752,-141.0083
2024-05-23,18620,18750,17570,18100,37910862,1,-7.9813,-148.9896
2024-05-24,18010,18050,17440,17610,29939835,1,-11.9351,-160.9247
2024-05-27,17660,17920,17610,17790,9667550,1,-1.6619,-162.5866
2024-05-28,17790,18010,17740,17920,24795151,1,-1.2575,-163.8441
2024-05-29,18550,18750,18100,18200,22978931,1,-4.8745,-168.7186
2024-05-30,18000,18200,17650,17850,18553241,1,-6.5674,-175.286
2024-05-31,18000,18000,17800,17800,6849663,1,-1.1938,-176.4798
2024-06-03,18250,18400,18100,18150,11855357,1,-2.0058,-178.4856
2024-06-04,18250,18400,18000,18000,12219765,1,-1.6911,-180.1767
2024-06-05,18000,18250,18000,18100,8699827,1,0.0753,-180.1014
2024-06-06,18100,18300,17950,17950,9708414,1,-2.3728,-182.4742
2024-06-07,18000,18100,17850,17900,6896578,1,-2.8459,-185.3201
2024-06-10,18000,18100,17850,17850,11065125,1,-0.8559,-186.176
2024-06-11,18000,18000,17650,17750,9673546,1,-1.0706,-187.2466
2024-06-12,17750,18150,17750,18050,10593396,1,2.6019,-184.6447
2024-06-13,18150,18250,18000,18150,13059644,1,-1.2329,-185.8776
2024-06-14,18200,18300,17850,17850,16541746,1,-1.6676,-187.5452
2024-06-17,17850,17900,17500,17500,13469397,1,-3.6111,-191.1563
