t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,66730,67130,66340,66730,3880447,1,-0.8918,-0.8918
2024-02-16,66930,69400,66640,69100,11120422,1,2.1946,1.3028
2024-02-19,69990,71670,69800,70980,6660129,1,0.617,1.9198
2024-02-20,70780,71470,70390,70580,4390643,1,-0.2699,1.6499
2024-02-21,70580,70980,70090,70390,3593123,1,-0.9753,0.6746
2024-02-22,70390,71770,70190,70680,4652126,1,-0.0656,0.609
2024-02-23,70880,71770,70090,70090,6146121,1,-0.6254,-0.0164
2024-02-26,70090,70780,69800,70090,3050150,1,-0.2725,-0.2889
2024-02-27,70290,71470,70190,71080,5285311,1,-0.2288,-0.5177
2024-02-28,71470,71670,70580,71280,3422219,1,-0.8201,-1.3378
2024-02-29,71670,72360,70680,71080,6543917,1,-0.7806,-2.1184
2024-03-01,71180,71180,70290,70580,4399953,1,-1.4034,-3.5218
2024-03-04,70880,71770,70680,71080,5018814,1,-0.6609,-4.1827
2024-03-05,71080,72070,70780,72070,5443242,1,0.2019,-3.9808
2024-03-06,72360,72560,70880,70880,4837251,1,-0.3887,-4.3695
2024-03-07,70780,71180,70390,71080,5070038,1,0.5399,-3.8296
2024-03-08,71180,71970,69100,69100,7364624,1,-2.6176,-6.4472
2024-03-11,69600,70390,69100,69400,4214115,1,-0.3289,-6.7761
2024-03-12,69500,69700,69100,69100,3847561,1,-0.6986,-7.4747
2024-03-13,69200,69990,69100,69890,5648587,1,-0.575,-8.0497
2024-03-14,70090,70390,69400,69600,5449322,1,-1.0426,-9.0923
2024-03-15,70100,70100,68700,68800,4857330,1,-1.1654,-10.2577
2024-03-18,68800,69100,67600,67900,6803665,1,-1.7031,-11.9608
2024-03-19,68500,68500,67800,67800,3166304,1,-0.6725,-12.6333
2024-03-20,67800,68600,67500,68000,3551272,1,-0.3777,-13.011
2024-03-21,68200,68500,67900,68400,4910550,1,-0.3641,-13.3751
2024-03-22,68600,68700,67800,67800,6070254,1,-2.6038,-15.9789
2024-03-25,67900,68200,67100,67300,5459681,1,-1.9205,-17.8994
2024-03-26,67400,67900,67300,67700,2507194,1,-0.3191,-18.2185
2024-03-27,68000,68000,67500,67700,2639932,1,-0.3576,-18.5761
2024-03-28,67700,68400,67600,67700,4474441,1,0.2431,-18.333
2024-03-29,68400,68400,67500,67600,3487674,1,-1.1001,-19.4331
