t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,12600,12600,12000,12050,1766895,1,-0.4061,-0.4061
2024-02-16,12050,12350,11950,12200,1309721,1,-0.0639,-0.47
2024-02-19,12200,12450,12050,12050,1789537,1,-0.3296,-0.7996
2024-02-20,12150,12150,11900,12100,1770903,1,-0.5687,-1.3683
2024-02-21,12100,12300,11950,12050,1028899,1,-0.1298,-1.4981
2024-02-22,12000,12300,11950,12150,2035876,1,0.4573,-1.0408
2024-02-23,12150,12350,11800,11850,2408359,1,-0.5892,-1.63
2024-02-26,11850,12300,11750,12200,2518473,1,0.8672,-0.7628
2024-02-27,12300,12300,12000,12050,1424769,1,-0.1527,-0.9155
2024-02-28,12100,12250,11950,12100,1821091,1,-0.4732,-1.3887
2024-02-29,12150,12200,11850,11900,1707926,1,-0.4159,-1.8046
2024-03-01,11900,12150,11850,12100,1333046,1,0.0816,-1.723
2024-03-04,12150,12600,12150,12500,3783371,1,0.4462,-1.2768
2024-03-05,12500,12600,12300,12500,1339992,1,-0.1136,-1.3904
2024-03-06,12650,12650,12100,12100,2023010,1,-0.9401,-2.3305
2024-03-07,12100,12150,11950,12100,2157923,1,-0.3989,-2.7294
2024-03-08,12200,12200,11800,11850,1945387,1,-0.409,-3.1384
2024-03-11,11850,12050,11650,11700,1692865,1,-0.4706,-3.609
2024-03-12,11650,12050,11600,11850,1933632,1,0.0731,-3.5359
2024-03-13,11950,12000,11800,11900,1325064,1,-0.2316,-3.7675
2024-03-14,11850,12450,11850,12200,4481376,1,0.3296,-3.4379
2024-03-15,12300,12300,12000,12000,1377544,1,-0.3728,-3.8107
2024-03-18,12050,12100,11450,11600,3110061,1,-1.2597,-5.0704
2024-03-19,11750,11750,11550,11600,1243697,1,0.182,-4.8884
2024-03-20,11700,11700,11550,11700,1108188,1,0.132,-4.7564
2024-03-21,11750,12000,11750,11900,1365300,1,-0.1121,-4.8685
2024-03-22,12000,12000,11800,11850,1505705,1,-0.283,-5.1515
2024-03-25,11800,12000,11700,11750,1414923,1,-0.5486,-5.7001
2024-03-26,11750,11950,11650,11900,913162,1,0.1114,-5.5887
2024-03-27,11900,12400,11850,12350,3634952,1,1.4602,-4.1285
2024-03-28,12400,12450,12100,12200,1565197,1,-0.517,-4.6455
2024-03-29,12100,12250,11900,11900,1376657,1,-0.5849,-5.2304
2024-04-01,11800,12050,11800,11850,1316226,1,-0.2365,-5.4669
2024-04-02,11850,12000,11750,12000,1060391,1,0.0653,-5.4016
2024-04-03,12000,12400,11950,12000,3574734,1,-0.4161,-5.8177
2024-04-04,12000,12050,11800,11900,1393890,1,-0.7803,-6.598
2024-04-05,11750,11900,11650,11650,1425838,1,-0.5745,-7.1725
2024-04-08,11650,11800,11450,11450,1793138,1,-0.974,-8.1465
2024-04-09,11600,11600,11300,11600,990823,1,-0.2639,-8.4104
2024-04-10,11550,11700,11400,11400,780696,1,-0.3688,-8.7792
2024-04-11,11300,11400,11150,11300,1471895,1,-0.6165,-9.3957
2024-04-12,11300,11550,11300,11550,701898,1,-0.0816,-9.4773
2024-04-15,11600,11600,10750,10750,1501653,1,-0.707,-10.1843
2024-04-16,10700,10800,10050,10400,1769791,1,-0.4841,-10.6684
2024-04-17,10500,10650,10200,10200,536012,1,-0.1759,-10.8443
