t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18610,19130,18610,18800,19367162,1,3.4189,3.4189
2024-02-16,18940,18940,18710,18850,7327585,1,-0.5017,2.9172
2024-02-19,18850,18940,18660,18800,11051556,1,-1.5963,1.3209
2024-02-20,18710,18750,18520,18610,16247086,1,-1.745,-0.4241
2024-02-21,18610,18990,18610,18750,17582404,1,1.106,0.6819
2024-02-22,18800,18900,18610,18710,10544976,1,0.2151,0.897
2024-02-23,18710,19230,18520,18520,42137667,1,2.3008,3.1978
2024-02-26,18560,18560,18230,18280,12772802,1,-2.176,1.0218
2024-02-27,18370,18520,18230,18370,17765091,1,0.2384,1.2602
2024-02-28,18420,18900,18420,18900,20963339,1,2.9988,4.259
2024-02-29,19080,19180,18660,18900,17120600,1,-0.222,4.037
2024-03-01,18900,18900,18660,18660,9762406,1,-1.1745,2.8625
2024-03-04,18800,18800,18610,18610,12992804,1,-2.0487,0.8138
2024-03-05,18610,18750,18560,18750,8097032,1,0.6586,1.4724
2024-03-06,18800,18850,18330,18420,11553242,1,-2.8,-1.3276
2024-03-07,18420,18610,18420,18470,8018774,1,-1.2744,-2.602
2024-03-08,18470,18520,17990,18040,29746622,1,-12.1987,-14.8007
2024-03-11,17990,18140,17610,17610,16582481,1,-5.4563,-20.257
2024-03-12,17610,17800,17570,17610,10961688,1,-2.513,-22.77
2024-03-13,17710,18140,17660,18090,10989707,1,2.9886,-19.7814
2024-03-14,18140,18140,17710,17850,9587076,1,-2.4276,-22.209
2024-03-15,17800,17850,17610,17710,13583993,1,-3.4238,-25.6328
2024-03-18,17710,17760,17040,17280,23325846,1,-6.8875,-32.5203
2024-03-19,17280,17570,17190,17230,12353558,1,-3.8904,-36.4107
2024-03-20,17280,17710,17280,17710,11507911,1,1.3855,-35.0252
2024-03-21,17800,17990,17610,17800,16886409,1,3.5882,-31.437
2024-03-22,17950,18040,17710,17850,14973190,1,-2.6141,-34.0511
2024-03-25,17850,18180,17710,17950,19755625,1,1.5581,-32.493
2024-03-26,17950,18610,17950,18610,37180162,1,12.1229,-20.3701
2024-03-27,18660,18750,18370,18610,16225131,1,0.0858,-20.2843
2024-03-28,18660,18800,18520,18660,14694999,1,2.3285,-17.9558
2024-03-29,18710,18800,18470,18750,20545477,1,5.6806,-12.2752
2024-04-01,18610,18750,18470,18660,11690407,1,-1.5596,-13.8348
2024-04-02,18560,18610,17950,18560,25843007,1,2.9934,-10.8414
2024-04-03,18370,18520,18280,18370,16272775,1,-2.0095,-12.8509
2024-04-04,18420,18610,18230,18330,12595229,1,0.8119,-12.039
2024-04-05,18140,18470,18040,18470,11108070,1,-1.7395,-13.7785
2024-04-08,18470,18470,18140,18420,8431168,1,-1.0042,-14.7827
2024-04-09,18370,18420,18180,18370,9350848,1,-1.25,-16.0327
2024-04-10,18420,18940,18330,18370,29217063,1,2.6461,-13.3866
2024-04-11,18370,18610,18330,18370,9556606,1,-1.8572,-15.2438
2024-04-12,18420,18710,18420,18710,17726316,1,0.1141,-15.1297
2024-04-15,18610,18800,17470,17660,28352760,1,-7.4019,-22.5316
2024-04-16,17760,18040,17570,17800,23555391,1,-1.5287,-24.0603
2024-04-17,17990,18090,17230,17230,13198801,1,-6.012,-30.0723
2024-04-19,17230,17570,17040,17190,15360956,1,-0.0578,-30.1301
2024-04-22,17470,17660,17330,17380,8684890,1,1.0016,-29.1285
2024-04-23,17420,17660,17090,17470,15638655,1,-5.3046,-34.4331
2024-04-25,17800,17800,17420,17660,10619955,1,-2.0688,-36.5019
2024-04-26,17470,17660,17380,17610,8254986,1,0.3754,-36.1265
2024-05-02,17610,17660,17380,17380,6334669,1,-1.8012,-37.9277
2024-05-03,17470,17570,17420,17470,10570491,1,-1.1338,-39.0615
2024-05-06,17570,17800,17470,17800,11302265,1,4.0529,-35.0086
2024-05-07,17800,17900,17610,17850,7409922,1,0.5257,-34.4829
2024-05-08,17710,17850,17570,17610,10947191,1,-1.8818,-36.3647
2024-05-09,17710,17900,17570,17800,9753071,1,-0.4071,-36.7718
2024-05-10,17760,17800,17470,17570,10358050,1,-2.5831,-39.3549
2024-05-13,17610,17950,17520,17850,16734961,1,-3.3849,-42.7398
2024-05-14,18040,18330,17950,18140,20936765,1,1.9124,-40.8274
2024-05-15,18280,18280,18090,18090,10506314,1,-1.3983,-42.2257
2024-05-16,18230,18470,18140,18420,20753315,1,10.7788,-31.4469
2024-05-17,18420,18470,18280,18420,12373943,1,-1.7249,-33.1718
2024-05-20,18560,18850,18520,18800,25257606,1,5.7417,-27.4301
2024-05-21,18800,18850,18610,18800,24055008,1,-2.1308,-29.5609
2024-05-22,18800,18800,18250,18300,22579825,1,-4.5106,-34.0715
2024-05-23,18300,18500,18150,18500,9370104,1,0.3616,-33.7099
2024-05-24,18400,18500,18000,18000,19568119,1,-6.44,-40.1499
2024-05-27,18150,18150,17950,18000,7404200,1,-2.0706,-42.2205
2024-05-28,18100,18200,18000,18050,8409099,1,-3.0685,-45.289
2024-05-29,18100,18100,17950,18050,8294344,1,-2.8129,-48.1019
2024-05-30,18000,18000,17700,17950,10463296,1,-2.9857,-51.0876
2024-05-31,17950,18050,17900,18000,5711042,1,-0.7562,-51.8438
2024-06-03,18100,18450,18050,18300,14016447,1,6.4966,-45.3472
2024-06-04,18400,18400,18150,18200,9141976,1,-1.9131,-47.2603
2024-06-05,18200,18300,18100,18100,11806868,1,-1.7883,-49.0486
2024-06-06,18150,18250,17950,18100,16615623,1,-1.851,-50.8996
2024-06-07,18250,18250,17950,18000,9959779,1,1.0499,-49.8497
2024-06-10,18050,18200,18000,18050,10498933,1,-2.2442,-52.0939
2024-06-11,18200,18350,18050,18300,31084271,1,11.0382,-41.0557
2024-06-12,18300,19400,18150,19400,69944435,1,44.2808,3.2251
2024-06-13,19500,19800,19250,19450,44268791,1,14.7953,18.0204
2024-06-14,19450,19500,18700,18700,35964913,1,-2.9238,15.0966
2024-06-17,18700,19050,18450,18750,26723292,1,3.5811,18.6777
2024-06-18,18800,19100,18600,18600,35295361,1,5.8818,24.5595
2024-06-19,18650,19200,18400,19000,51398314,1,18.5251,43.0846
2024-06-20,19150,19800,19000,19700,66054206,1,31.6085,74.6931
2024-06-21,19700,19850,19350,19600,48980786,1,15.166,89.8591
2024-06-24,19450,19600,18850,18850,45279444,1,-4.3125,85.5466
2024-06-25,18850,19200,18850,19000,19536820,1,-1.2963,84.2503
2024-06-26,19000,19100,18550,19000,27226795,1,2.5068,86.7571
2024-06-27,19000,19050,18700,19000,25084219,1,5.1953,91.9524
2024-06-28,18950,19300,18600,18650,41525596,1,4.3462,96.2986
2024-07-01,18650,19050,18500,19000,16522387,1,0.1974,96.496
2024-07-02,19000,19200,18800,18950,16427090,1,1.0825,97.5785
2024-07-03,19000,19200,18750,19000,20131924,1,4.4716,102.0501
2024-07-04,19150,19450,19050,19050,26252856,1,7.8135,109.8636
2024-07-05,19050,19300,19000,19150,18433129,1,-1.3344,108.5292
2024-07-08,19200,19300,19000,19050,16159777,1,-5.969,102.5602
2024-07-09,19200,19450,19000,19400,32015495,1,9.9427,112.5029
2024-07-10,19500,19550,19200,19200,15167598,1,-1.1945,111.3084
2024-07-11,19200,19550,19050,19050,25230896,1,6.6883,117.9967
2024-07-12,19100,19200,18950,19000,16055981,1,-0.8,117.1967
2024-07-15,19050,19100,18700,18800,16137491,1,-7.0043,110.1924
2024-07-16,18900,19100,18800,19000,17485321,1,0.9098,111.1022
2024-07-17,19000,19400,18800,19000,34914605,1,4.3335,115.4357
2024-07-18,19000,19100,18650,19050,15901075,1,-4.7459,110.6898
2024-07-19,19000,19200,18800,18800,16983251,1,-4.1882,106.5016
2024-07-22,18800,19050,18650,18800,15851459,1,3.2457,109.7473
2024-07-23,18850,18900,18200,18400,17896447,1,-5.5437,104.2036
2024-07-24,18350,18600,18200,18500,13371089,1,1.9473,106.1509
2024-07-25,18400,18500,18300,18350,10461655,1,1.0322,107.1831
2024-07-26,18400,18500,18300,18400,7748600,1,-0.0808,107.1023
2024-07-29,18500,18600,18400,18400,6226600,1,-0.8886,106.2137
2024-07-30,18400,18700,18300,18550,12800200,1,-1.0045,105.2092
2024-07-31,18600,19150,18600,19000,35033400,1,11.2765,116.4857
2024-08-01,19150,19150,18450,18550,15647200,1,-5.0325,111.4532
