t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,22300,22400,21700,21900,5391826,1,-2.0649,-2.0649
2024-02-16,21800,22700,21800,22450,4664995,1,0.7936,-1.2713
2024-02-19,22500,22750,22050,22150,3134761,1,-1.0258,-2.2971
2024-02-20,22350,22900,21900,22900,6087950,1,-0.2619,-2.559
2024-02-21,22900,23200,22450,22650,3982678,1,-0.1544,-2.7134
2024-02-22,22700,22850,22500,22550,2769937,1,-0.3704,-3.0838
2024-02-23,22700,23000,22000,22100,6420618,1,-0.9836,-4.0674
2024-02-26,22100,22700,21950,22600,3658323,1,0.713,-3.3544
2024-02-27,22700,22800,22450,22600,3230050,1,-0.7674,-4.1218
2024-02-28,22750,23300,22500,22850,6088567,1,1.174,-2.9478
2024-02-29,23050,23050,22050,22500,6974712,1,-3.1728,-6.1206
2024-03-01,22500,22900,22350,22800,3567468,1,-0.5574,-6.678
2024-03-04,22900,23200,22550,22600,5197307,1,-1.4827,-8.1607
2024-03-05,22700,22700,22300,22500,4309954,1,-2.0895,-10.2502
2024-03-06,22700,22700,22000,22100,6073831,1,-3.2129,-13.4631
2024-03-07,22100,22300,21700,21950,6681073,1,-2.7605,-16.2236
2024-03-08,22100,22100,21500,21550,4695995,1,-2.0193,-18.2429
2024-03-11,21500,21750,21000,21200,3400288,1,-0.6355,-18.8784
2024-03-12,21200,21850,21100,21650,4277433,1,-0.12,-18.9984
2024-03-13,21750,22100,21550,22050,4129874,1,0.7872,-18.2112
2024-03-14,22100,22900,21950,22700,8170960,1,1.0005,-17.2107
2024-03-15,22800,22850,22100,22200,4734736,1,-0.5985,-17.8092
2024-03-18,22200,22400,21000,21350,7213865,1,-2.2418,-20.051
2024-03-19,21500,22150,21450,21800,3076328,1,-0.1256,-20.1766
2024-03-20,22100,22150,21800,21900,2004698,1,-0.2056,-20.3822
2024-03-21,22200,22450,21950,22200,4059274,1,-0.2291,-20.6113
2024-03-22,22400,22500,22100,22100,4854093,1,-0.7634,-21.3747
2024-03-25,22200,22450,21600,21850,4905030,1,-2.383,-23.7577
2024-03-26,21950,22150,21700,22050,2788299,1,0.0,-23.7577
2024-03-27,22150,23550,22050,23550,13378950,1,4.4883,-19.2694
2024-03-28,23800,23800,23300,23400,7352653,1,-0.081,-19.3504
2024-03-29,23400,23750,23050,23150,6012069,1,-1.3227,-20.6731
2024-04-01,23200,23350,22650,23000,5221970,1,-1.6411,-22.3142
2024-04-02,22850,23250,22600,23150,4940887,1,-0.0462,-22.3604
2024-04-03,23250,23750,22800,22900,6600124,1,-0.8838,-23.2442
2024-04-04,23000,23000,22400,22900,5008861,1,-1.0403,-24.2845
2024-04-05,22600,23250,22400,22700,4860984,1,-0.3467,-24.6312
2024-04-08,22500,22700,22050,22050,3291480,1,-0.5314,-25.1626
2024-04-09,22100,22350,21700,22050,3687986,1,-1.2264,-26.389
2024-04-10,22150,22300,21550,21550,3561484,1,-1.8896,-28.2786
2024-04-11,21250,21650,21200,21550,2663566,1,-0.0015,-28.2801
2024-04-12,21600,22100,21600,22100,2306200,1,0.6545,-27.6256
2024-04-15,22100,22100,20600,20600,5156667,1,-2.4902,-30.1158
2024-04-16,20600,20700,19650,20200,4374254,1,-1.1587,-31.2745
2024-04-17,20450,20500,20000,20000,1996142,1,-0.4661,-31.7406
2024-04-19,19900,20150,19300,19400,3463255,1,-0.8314,-32.572
2024-04-22,19700,19950,19650,19900,1323202,1,-0.1827,-32.7547
2024-04-23,19900,19950,19600,19750,1351640,1,-0.3624,-33.1171
2024-04-25,20300,20350,20000,20100,1259330,1,-0.4087,-33.5258
2024-04-26,19950,20850,19850,20450,2674175,1,0.3841,-33.1417
2024-05-02,20500,20500,20050,20150,1528159,1,-0.3967,-33.5384
2024-05-03,20300,20400,20000,20000,1727977,1,-0.5141,-34.0525
2024-05-06,20200,20750,20050,20700,2284301,1,0.4367,-33.6158
2024-05-07,20800,21350,20550,21200,3062396,1,0.5277,-33.0881
2024-05-08,20900,21700,20800,21300,3346965,1,0.4204,-32.6677
2024-05-09,21300,21450,20900,21000,2697236,1,-0.3767,-33.0444
2024-05-10,21200,21300,20600,20850,2391932,1,-0.3858,-33.4302
2024-05-13,20950,21250,20750,20850,1852222,1,-0.4407,-33.8709
2024-05-14,21000,21100,20850,20950,1137599,1,-0.1729,-34.0438
2024-05-15,21000,21650,20900,21150,2992759,1,0.2725,-33.7713
2024-05-16,21400,21400,21050,21150,2336368,1,-0.7754,-34.5467
2024-05-17,21200,21700,21100,21450,4160260,1,0.3265,-34.2202
2024-05-20,21600,22900,21550,22400,6736107,1,1.8027,-32.4175
2024-05-21,22300,22550,21900,22150,4498010,1,-0.7478,-33.1653
2024-05-22,22350,22650,21700,21800,5980803,1,-1.3699,-34.5352
2024-05-23,21800,22350,21650,21700,10664195,1,-2.658,-37.1932
2024-05-24,21700,21900,20750,21300,7653903,1,-2.102,-39.2952
2024-05-27,21300,21450,20850,20900,3702611,1,-0.8168,-40.112
2024-05-28,21050,21300,20900,21200,3475842,1,0.1009,-40.0111
2024-05-29,21350,21500,20950,21000,3883158,1,-1.0828,-41.0939
2024-05-30,20500,21450,20500,21250,21511932,1,6.6387,-34.4552
2024-05-31,21600,22350,21450,22050,14592121,1,-1.2326,-35.6878
2024-06-03,22300,22350,21750,21800,11999220,1,-4.0539,-39.7417
2024-06-04,21950,22550,21750,22150,12248653,1,1.8892,-37.8525
2024-06-05,22200,22450,21850,21850,7276150,1,-1.8013,-39.6538
2024-06-06,21950,22500,21650,22200,9919965,1,-0.5165,-40.1703
2024-06-07,22350,23200,22100,22700,15327427,1,4.08,-36.0903
2024-06-10,23400,24250,23100,23700,22639298,1,5.1822,-30.9081
2024-06-11,23950,23950,23100,23350,10818743,1,-1.9967,-32.9048
