t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,9910,10060,9730,9820,328396,1,-0.1258,-0.1258
2024-02-16,9870,9910,9770,9820,134205,1,-0.0139,-0.1397
2024-02-19,9910,9910,9680,9770,344783,1,-0.1752,-0.3149
2024-02-20,9730,9870,9630,9680,373318,1,-0.0167,-0.3316
2024-02-21,9730,9770,9590,9590,260467,1,-0.0333,-0.3649
2024-02-22,9730,9770,9590,9770,127334,1,0.0157,-0.3492
2024-02-23,9770,9870,9440,9440,360042,1,-0.1504,-0.4996
2024-02-26,9590,9630,9440,9590,206578,1,0.0704,-0.4292
2024-02-27,9770,9770,9590,9730,87684,1,-0.0375,-0.4667
2024-02-28,9730,9960,9680,9730,187504,1,0.0108,-0.4559
2024-02-29,9770,9770,9630,9680,158179,1,-0.0212,-0.4771
2024-03-01,9730,9820,9680,9730,216266,1,-0.0597,-0.5368
2024-03-04,9770,10010,9770,9910,724398,1,0.0301,-0.5067
2024-03-05,9910,10010,9820,9910,212314,1,-0.063,-0.5697
2024-03-06,10010,10010,9870,9910,318556,1,-0.1422,-0.7119
2024-03-07,9910,9960,9770,9910,269307,1,-0.0493,-0.7612
2024-03-08,9910,9910,9770,9820,207014,1,-0.0353,-0.7965
2024-03-11,9820,9960,9680,9680,234948,1,-0.1054,-0.9019
2024-03-12,9680,10010,9680,9910,260399,1,0.0227,-0.8792
2024-03-13,9770,9960,9770,9960,197613,1,0.0219,-0.8573
2024-03-14,10010,10620,9960,10340,1599248,1,0.6141,-0.2432
2024-03-15,10340,10530,10150,10430,238805,1,-0.0165,-0.2597
2024-03-18,10430,10620,9960,10240,496275,1,-0.2506,-0.5103
2024-03-19,10240,10430,10150,10240,204726,1,-0.0323,-0.5426
2024-03-20,10430,10430,10150,10240,189990,1,-0.1234,-0.666
2024-03-21,10240,10530,10200,10340,620661,1,0.0544,-0.6116
2024-03-22,10480,10530,10240,10290,323684,1,-0.1969,-0.8085
2024-03-25,10480,10480,10150,10200,133128,1,-0.0417,-0.8502
2024-03-26,10200,10200,10060,10200,237275,1,-0.0634,-0.9136
2024-03-27,10200,10380,10200,10340,136835,1,0.0568,-0.8568
2024-03-28,10340,10430,10240,10240,126916,1,-0.0858,-0.9426
2024-03-29,10340,10340,10150,10150,135866,1,-0.0772,-1.0198
2024-04-01,10240,10430,10240,10340,320339,1,-0.0972,-1.117
