t,p,q,d,b,a
2024-02-15,8200.0,263082.0,-122592.0,192837.0,70245.0
2024-02-15,8300.0,830696.0,490166.0,170265.0,660431.0
2024-02-15,8400.0,1551704.0,22604.0,764550.0,787154.0
2024-02-15,8500.0,1024848.0,883176.0,70836.0,954012.0
2024-02-15,8600.0,1100.0,1100.0,0.0,1100.0
2024-02-16,8300.0,10200.0,-10200.0,10200.0,0.0
2024-02-16,8400.0,789653.0,-300655.0,545154.0,244499.0
2024-02-16,8500.0,545743.0,494043.0,25850.0,519893.0
2024-02-19,8300.0,105937.0,-105937.0,105937.0,0.0
2024-02-19,8400.0,1135292.0,-148934.0,642113.0,493179.0
2024-02-19,8500.0,142156.0,142156.0,0.0,142156.0
2024-02-20,8300.0,358606.0,-358606.0,358606.0,0.0
2024-02-20,8400.0,503967.0,259809.0,122079.0,381888.0
2024-02-21,8300.0,294755.0,-294755.0,294755.0,0.0
2024-02-21,8400.0,1154206.0,474778.0,339714.0,814492.0
2024-02-21,8500.0,9900.0,9900.0,0.0,9900.0
2024-02-22,8300.0,985581.0,-948981.0,967281.0,18300.0
2024-02-22,8400.0,843243.0,-469339.0,656291.0,186952.0
2024-02-22,8500.0,45652.0,45652.0,0.0,45652.0
2024-02-23,8300.0,288447.0,-288447.0,288447.0,0.0
2024-02-23,8400.0,2195130.0,376092.0,909519.0,1285611.0
2024-02-23,8500.0,1990142.0,-18132.0,1004137.0,986005.0
2024-02-23,8600.0,314370.0,314370.0,0.0,314370.0
2024-02-26,8300.0,139945.0,-139945.0,139945.0,0.0
2024-02-26,8400.0,498651.0,195107.0,151772.0,346879.0
2024-02-26,8500.0,300.0,300.0,0.0,300.0
2024-02-27,8200.0,5000.0,-5000.0,5000.0,0.0
2024-02-27,8300.0,1395543.0,-1164743.0,1280143.0,115400.0
2024-02-27,8400.0,220904.0,220904.0,0.0,220904.0
2024-02-28,8300.0,958177.0,-744377.0,851277.0,106900.0
2024-02-28,8400.0,90644.0,90644.0,0.0,90644.0
2024-02-29,8300.0,395376.0,-395376.0,395376.0,0.0
2024-02-29,8400.0,181945.0,181945.0,0.0,181945.0
2024-03-01,8300.0,242741.0,-242741.0,242741.0,0.0
2024-03-01,8400.0,2049288.0,-466224.0,1257756.0,791532.0
2024-03-01,8500.0,1088252.0,393702.0,347275.0,740977.0
2024-03-01,8600.0,600.0,600.0,0.0,600.0
2024-03-04,8300.0,72830.0,-72830.0,72830.0,0.0
2024-03-04,8400.0,721417.0,245391.0,238013.0,483404.0
2024-03-04,8500.0,32331.0,32331.0,0.0,32331.0
2024-03-05,8200.0,3300.0,-3300.0,3300.0,0.0
2024-03-05,8300.0,2356204.0,-764082.0,1560143.0,796061.0
2024-03-05,8400.0,39679.0,39679.0,0.0,39679.0
2024-03-06,8200.0,1691403.0,-1452603.0,1572003.0,119400.0
2024-03-06,8300.0,915835.0,851737.0,32049.0,883786.0
2024-03-06,8400.0,3062.0,3062.0,0.0,3062.0
2024-03-07,8100.0,288519.0,-288519.0,288519.0,0.0
2024-03-07,8200.0,1299970.0,-566704.0,933337.0,366633.0
2024-03-07,8300.0,41942.0,41942.0,0.0,41942.0
