t,p,q,d,b,a
2024-02-15,27550.0,18100.0,-18100.0,18100.0,0.0
2024-02-15,27600.0,225600.0,-225600.0,225600.0,0.0
2024-02-15,27650.0,538700.0,-338100.0,438400.0,100300.0
2024-02-15,27700.0,220700.0,-98700.0,159700.0,61000.0
2024-02-15,27750.0,273800.0,-156200.0,215000.0,58800.0
2024-02-15,27800.0,469700.0,-256700.0,363200.0,106500.0
2024-02-15,27850.0,463900.0,-336900.0,400400.0,63500.0
2024-02-15,27900.0,324800.0,13000.0,155900.0,168900.0
2024-02-15,27950.0,122300.0,-96300.0,109300.0,13000.0
2024-02-15,28000.0,1524500.0,-1064500.0,1294500.0,230000.0
2024-02-15,28050.0,2587700.0,-1795700.0,2191700.0,396000.0
2024-02-15,28100.0,1996300.0,28900.0,983700.0,1012600.0
2024-02-15,28150.0,1505100.0,269900.0,617600.0,887500.0
2024-02-15,28200.0,1347800.0,578600.0,384600.0,963200.0
2024-02-15,28250.0,738500.0,207300.0,265600.0,472900.0
2024-02-15,28300.0,222300.0,186100.0,18100.0,204200.0
2024-02-15,28350.0,273400.0,172800.0,50300.0,223100.0
2024-02-15,28400.0,500.0,500.0,0.0,500.0
2024-02-16,27300.0,404800.0,-404800.0,404800.0,0.0
2024-02-16,27350.0,537500.0,-137700.0,337600.0,199900.0
2024-02-16,27400.0,780500.0,-381700.0,581100.0,199400.0
2024-02-16,27450.0,2576100.0,-1083700.0,1829900.0,746200.0
2024-02-16,27500.0,3134000.0,-38000.0,1586000.0,1548000.0
2024-02-16,27550.0,1209300.0,168300.0,520500.0,688800.0
2024-02-16,27600.0,129500.0,129500.0,0.0,129500.0
2024-02-19,27200.0,205200.0,-205200.0,205200.0,0.0
2024-02-19,27250.0,743600.0,-716200.0,729900.0,13700.0
2024-02-19,27300.0,1768600.0,-19600.0,894100.0,874500.0
2024-02-19,27350.0,1851300.0,118300.0,866500.0,984800.0
2024-02-19,27400.0,1450200.0,-286800.0,868500.0,581700.0
2024-02-19,27450.0,1843000.0,-302200.0,1072600.0,770400.0
2024-02-19,27500.0,2191100.0,244300.0,973400.0,1217700.0
2024-02-19,27550.0,597800.0,139600.0,229100.0,368700.0
2024-02-19,27600.0,197000.0,103400.0,46800.0,150200.0
2024-02-19,27650.0,28800.0,23000.0,2900.0,25900.0
2024-02-19,27700.0,81900.0,81900.0,0.0,81900.0
2024-02-20,27350.0,38600.0,-38600.0,38600.0,0.0
2024-02-20,27400.0,617200.0,-315400.0,466300.0,150900.0
2024-02-20,27450.0,1301400.0,-624200.0,962800.0,338600.0
2024-02-20,27500.0,1727400.0,-77200.0,902300.0,825100.0
2024-02-20,27550.0,949300.0,-241100.0,595200.0,354100.0
2024-02-20,27600.0,892500.0,-129300.0,510900.0,381600.0
2024-02-20,27650.0,1050700.0,-132700.0,591700.0,459000.0
2024-02-20,27700.0,431500.0,326700.0,52400.0,379100.0
2024-02-20,27750.0,200.0,200.0,0.0,200.0
2024-02-21,27400.0,594800.0,-594800.0,594800.0,0.0
2024-02-21,27450.0,541200.0,-412200.0,476700.0,64500.0
2024-02-21,27500.0,1392000.0,-858800.0,1125400.0,266600.0
2024-02-21,27550.0,1768300.0,-82300.0,925300.0,843000.0
2024-02-21,27600.0,1427800.0,-303800.0,865800.0,562000.0
2024-02-21,27650.0,1126300.0,334700.0,395800.0,730500.0
2024-02-21,27700.0,1042900.0,477500.0,282700.0,760200.0
2024-02-21,27750.0,834800.0,362800.0,236000.0,598800.0
2024-02-21,27800.0,516500.0,74700.0,220900.0,295600.0
2024-02-21,27850.0,611800.0,138800.0,236500.0,375300.0
2024-02-21,27900.0,23800.0,23800.0,0.0,23800.0
2024-02-22,27500.0,498300.0,-498300.0,498300.0,0.0
2024-02-22,27550.0,632500.0,-381300.0,506900.0,125600.0
2024-02-22,27600.0,1332300.0,-631100.0,981700.0,350600.0
2024-02-22,27650.0,2714800.0,76400.0,1319200.0,1395600.0
2024-02-22,27700.0,1479300.0,687900.0,395700.0,1083600.0
2024-02-22,27750.0,245900.0,245900.0,0.0,245900.0
2024-02-23,27400.0,211700.0,-211700.0,211700.0,0.0
2024-02-23,27450.0,877500.0,-344700.0,611100.0,266400.0
2024-02-23,27500.0,1114700.0,-137500.0,626100.0,488600.0
2024-02-23,27550.0,532900.0,-347700.0,440300.0,92600.0
2024-02-23,27600.0,553100.0,-166500.0,359800.0,193300.0
2024-02-23,27650.0,754300.0,135500.0,309400.0,444900.0
