t,p,q,d,b,a
2024-02-15,17150.0,97300.0,-67500.0,82400.0,14900.0
2024-02-15,17200.0,425900.0,-218500.0,322200.0,103700.0
2024-02-15,17250.0,290200.0,-54600.0,172400.0,117800.0
2024-02-15,17300.0,203100.0,-29300.0,116200.0,86900.0
2024-02-15,17350.0,70100.0,2700.0,33700.0,36400.0
2024-02-15,17400.0,56600.0,8200.0,24200.0,32400.0
2024-02-15,17450.0,7200.0,7200.0,0.0,7200.0
2024-02-16,17150.0,57800.0,-57800.0,57800.0,0.0
2024-02-16,17200.0,364400.0,-207400.0,285900.0,78500.0
2024-02-16,17250.0,273900.0,-50700.0,162300.0,111600.0
2024-02-16,17300.0,225400.0,4400.0,110500.0,114900.0
2024-02-16,17350.0,111800.0,-41600.0,76700.0,35100.0
2024-02-16,17400.0,91900.0,-2900.0,47400.0,44500.0
2024-02-16,17450.0,63000.0,-42600.0,52800.0,10200.0
2024-02-16,17500.0,66600.0,40800.0,12900.0,53700.0
2024-02-16,17550.0,9700.0,9700.0,0.0,9700.0
2024-02-19,16900.0,18800.0,-18800.0,18800.0,0.0
2024-02-19,16950.0,203100.0,-114700.0,158900.0,44200.0
2024-02-19,17000.0,350800.0,-183200.0,267000.0,83800.0
2024-02-19,17050.0,307500.0,-154100.0,230800.0,76700.0
2024-02-19,17100.0,241600.0,-42200.0,141900.0,99700.0
2024-02-19,17150.0,266000.0,-87000.0,176500.0,89500.0
2024-02-19,17200.0,139200.0,21000.0,59100.0,80100.0
2024-02-19,17250.0,24500.0,-15700.0,20100.0,4400.0
2024-02-19,17300.0,7700.0,-7700.0,7700.0,0.0
2024-02-19,17350.0,12500.0,-12500.0,12500.0,0.0
2024-02-20,17300.0,120300.0,-14900.0,67600.0,52700.0
2024-02-20,17350.0,309300.0,94300.0,107500.0,201800.0
2024-02-20,17400.0,161100.0,4100.0,78500.0,82600.0
2024-02-20,17450.0,329200.0,-47600.0,188400.0,140800.0
2024-02-20,17500.0,294700.0,121300.0,86700.0,208000.0
2024-02-20,17550.0,168800.0,4600.0,82100.0,86700.0
2024-02-20,17600.0,281000.0,-22400.0,151700.0,129300.0
2024-02-20,17650.0,360500.0,-186100.0,273300.0,87200.0
2024-02-20,17700.0,510400.0,190600.0,159900.0,350500.0
2024-02-20,17750.0,83300.0,83300.0,0.0,83300.0
2024-02-21,17200.0,35000.0,-35000.0,35000.0,0.0
2024-02-21,17250.0,186200.0,-60400.0,123300.0,62900.0
2024-02-21,17300.0,264000.0,-19800.0,141900.0,122100.0
2024-02-21,17350.0,172700.0,-61700.0,117200.0,55500.0
2024-02-21,17400.0,155700.0,-53300.0,104500.0,51200.0
2024-02-21,17450.0,39000.0,-4800.0,21900.0,17100.0
2024-02-21,17500.0,6200.0,6200.0,0.0,6200.0
2024-02-22,17100.0,57500.0,-57500.0,57500.0,0.0
2024-02-22,17150.0,327200.0,-97000.0,212100.0,115100.0
2024-02-22,17200.0,334200.0,-219000.0,276600.0,57600.0
2024-02-22,17250.0,212500.0,-54500.0,133500.0,79000.0
2024-02-22,17300.0,108000.0,-3400.0,55700.0,52300.0
2024-02-22,17350.0,3100.0,-2300.0,2700.0,400.0
2024-02-22,17400.0,6800.0,1600.0,2600.0,4200.0
2024-02-22,17450.0,800.0,800.0,0.0,800.0
2024-02-22,17500.0,2200.0,2200.0,0.0,2200.0
2024-02-23,16150.0,600.0,-600.0,600.0,0.0
2024-02-23,16200.0,3100.0,-3100.0,3100.0,0.0
2024-02-23,16250.0,1400.0,-1000.0,1200.0,200.0
2024-02-23,16300.0,1300.0,-1300.0,1300.0,0.0
2024-02-23,16400.0,5900.0,-5900.0,5900.0,0.0
2024-02-23,16500.0,65300.0,-58100.0,61700.0,3600.0
2024-02-23,16550.0,66200.0,-57200.0,61700.0,4500.0
2024-02-23,16600.0,34000.0,-10000.0,22000.0,12000.0
2024-02-23,16650.0,12700.0,-4700.0,8700.0,4000.0
2024-02-23,16700.0,74200.0,-47400.0,60800.0,13400.0
2024-02-23,16750.0,25400.0,-9000.0,17200.0,8200.0
2024-02-23,16800.0,180300.0,-56700.0,118500.0,61800.0
2024-02-23,16850.0,84500.0,-66700.0,75600.0,8900.0
2024-02-23,16900.0,142100.0,-31100.0,86600.0,55500.0
2024-02-23,16950.0,79900.0,-31100.0,55500.0,24400.0
2024-02-23,17000.0,126600.0,-126600.0,126600.0,0.0
2024-02-23,17050.0,197800.0,-197800.0,197800.0,0.0
2024-02-23,17100.0,401200.0,-292600.0,346900.0,54300.0
2024-02-23,17150.0,531500.0,-167900.0,349700.0,181800.0
2024-02-23,17200.0,264400.0,145600.0,59400.0,205000.0
2024-02-23,17250.0,84800.0,67000.0,8900.0,75900.0
2024-02-23,17300.0,100.0,100.0,0.0,100.0
2024-02-26,16500.0,11100.0,-11100.0,11100.0,0.0
2024-02-26,16550.0,314000.0,-35400.0,174700.0,139300.0
2024-02-26,16600.0,461300.0,177300.0,142000.0,319300.0
2024-02-26,16650.0,42100.0,39100.0,1500.0,40600.0
2024-02-26,16700.0,105100.0,105100.0,0.0,105100.0
2024-02-26,16750.0,25000.0,25000.0,0.0,25000.0
2024-02-26,16800.0,22200.0,19800.0,1200.0,21000.0
2024-02-26,16850.0,24200.0,7400.0,8400.0,15800.0
2024-02-26,16900.0,87600.0,16000.0,35800.0,51800.0
2024-02-26,16950.0,117800.0,87600.0,15100.0,102700.0
2024-02-26,17000.0,130000.0,126000.0,2000.0,128000.0
2024-02-26,17050.0,46100.0,16100.0,15000.0,31100.0
2024-02-26,17100.0,86300.0,36700.0,24800.0,61500.0
2024-02-26,17150.0,131200.0,47200.0,42000.0,89200.0
2024-02-26,17200.0,340600.0,241600.0,49500.0,291100.0
2024-02-26,17250.0,7100.0,7100.0,0.0,7100.0
2024-02-27,17150.0,4700.0,-4700.0,4700.0,0.0
2024-02-27,17200.0,109800.0,-87800.0,98800.0,11000.0
2024-02-27,17250.0,147700.0,2100.0,72800.0,74900.0
2024-02-27,17300.0,332600.0,16200.0,158200.0,174400.0
2024-02-27,17350.0,295400.0,-15400.0,155400.0,140000.0
2024-02-27,17400.0,173000.0,101200.0,35900.0,137100.0
2024-02-27,17450.0,62300.0,-4900.0,33600.0,28700.0
2024-02-27,17500.0,166800.0,29000.0,68900.0,97900.0
2024-02-27,17550.0,65700.0,53900.0,5900.0,59800.0
2024-02-27,17600.0,141100.0,23900.0,58600.0,82500.0
2024-02-27,17650.0,51800.0,50600.0,600.0,51200.0
2024-02-28,17100.0,12400.0,-12400.0,12400.0,0.0
2024-02-28,17150.0,55400.0,-3600.0,29500.0,25900.0
2024-02-28,17200.0,178300.0,-114900.0,146600.0,31700.0
2024-02-28,17250.0,187600.0,73200.0,57200.0,130400.0
2024-02-28,17300.0,134200.0,-86400.0,110300.0,23900.0
2024-02-28,17350.0,95500.0,41100.0,27200.0,68300.0
2024-02-28,17400.0,215900.0,-30100.0,123000.0,92900.0
2024-02-28,17450.0,160400.0,24400.0,68000.0,92400.0
2024-02-28,17500.0,25100.0,25100.0,0.0,25100.0
2024-02-29,17300.0,26400.0,-26400.0,26400.0,0.0
2024-02-29,17350.0,440800.0,-290800.0,365800.0,75000.0
2024-02-29,17400.0,452000.0,42800.0,204600.0,247400.0
2024-02-29,17450.0,344600.0,90000.0,127300.0,217300.0
2024-02-29,17500.0,425500.0,-80700.0,253100.0,172400.0
2024-02-29,17550.0,236900.0,56300.0,90300.0,146600.0
2024-02-29,17600.0,348300.0,213500.0,67400.0,280900.0
2024-02-29,17650.0,77600.0,31000.0,23300.0,54300.0
2024-02-29,17700.0,148300.0,116900.0,15700.0,132600.0
2024-02-29,17750.0,96700.0,-35900.0,66300.0,30400.0
2024-02-29,17800.0,99300.0,99300.0,0.0,99300.0
2024-03-01,17500.0,50200.0,23800.0,13200.0,37000.0
2024-03-01,17600.0,2000.0,2000.0,0.0,2000.0
2024-03-01,17650.0,82000.0,36200.0,22900.0,59100.0
2024-03-01,17700.0,161000.0,-30600.0,95800.0,65200.0
2024-03-01,17750.0,261600.0,185600.0,38000.0,223600.0
2024-03-01,17800.0,201900.0,200700.0,600.0,201300.0
2024-03-01,17850.0,94800.0,94600.0,100.0,94700.0
2024-03-01,17900.0,86600.0,86200.0,200.0,86400.0
2024-03-01,17950.0,66400.0,63800.0,1300.0,65100.0
2024-03-01,18000.0,421600.0,195800.0,112900.0,308700.0
2024-03-01,18050.0,551300.0,-329300.0,440300.0,111000.0
2024-03-01,18100.0,535900.0,47100.0,244400.0,291500.0
2024-03-01,18150.0,421500.0,193700.0,113900.0,307600.0
2024-03-01,18200.0,174300.0,49500.0,62400.0,111900.0
2024-03-01,18250.0,50700.0,22500.0,14100.0,36600.0
2024-03-01,18300.0,49800.0,-21200.0,35500.0,14300.0
2024-03-01,18350.0,48900.0,-4100.0,26500.0,22400.0
2024-03-01,18400.0,88800.0,20600.0,34100.0,54700.0
2024-03-01,18450.0,69800.0,10400.0,29700.0,40100.0
2024-03-01,18500.0,12200.0,12200.0,0.0,12200.0
2024-03-04,17800.0,27700.0,-27700.0,27700.0,0.0
2024-03-04,17850.0,146200.0,-32800.0,89500.0,56700.0
2024-03-04,17900.0,81400.0,30400.0,25500.0,55900.0
2024-03-04,17950.0,47000.0,1200.0,22900.0,24100.0
2024-03-04,18000.0,166000.0,-137800.0,151900.0,14100.0
2024-03-04,18050.0,184900.0,-68700.0,126800.0,58100.0
2024-03-04,18100.0,547300.0,-294300.0,420800.0,126500.0
2024-03-04,18150.0,322600.0,-39400.0,181000.0,141600.0
2024-03-04,18200.0,74000.0,52800.0,10600.0,63400.0
2024-03-04,18250.0,55600.0,-55600.0,55600.0,0.0
2024-03-04,18300.0,41800.0,-3600.0,22700.0,19100.0
2024-03-04,18350.0,24700.0,-5700.0,15200.0,9500.0
2024-03-04,18400.0,25300.0,9500.0,7900.0,17400.0
2024-03-04,18450.0,28300.0,28300.0,0.0,28300.0
2024-03-05,17700.0,37400.0,-37400.0,37400.0,0.0
2024-03-05,17750.0,187700.0,-161300.0,174500.0,13200.0
2024-03-05,17800.0,505100.0,-235500.0,370300.0,134800.0
2024-03-05,17850.0,243600.0,-81800.0,162700.0,80900.0
2024-03-05,17900.0,134900.0,32700.0,51100.0,83800.0
2024-03-05,17950.0,125300.0,-1700.0,63500.0,61800.0
2024-03-05,18000.0,195900.0,15700.0,90100.0,105800.0
2024-03-05,18050.0,105000.0,-24400.0,64700.0,40300.0
2024-03-05,18100.0,110200.0,43800.0,33200.0,77000.0
2024-03-05,18150.0,71000.0,46200.0,12400.0,58600.0
2024-03-05,18200.0,111600.0,41600.0,35000.0,76600.0
2024-03-05,18250.0,13700.0,13700.0,0.0,13700.0
2024-03-05,18300.0,82200.0,82200.0,0.0,82200.0
2024-03-05,18350.0,1500.0,1500.0,0.0,1500.0
2024-03-05,18400.0,49500.0,19700.0,14900.0,34600.0
2024-03-05,18450.0,50400.0,-6400.0,28400.0,22000.0
2024-03-05,18500.0,66000.0,49600.0,8200.0,57800.0
2024-03-05,18550.0,106700.0,102300.0,2200.0,104500.0
2024-03-05,18600.0,157400.0,125400.0,16000.0,141400.0
2024-03-05,18650.0,136600.0,-35000.0,85800.0,50800.0
2024-03-05,18700.0,167000.0,97800.0,34600.0,132400.0
2024-03-05,18750.0,37500.0,37500.0,0.0,37500.0
2024-03-06,18600.0,24300.0,-24300.0,24300.0,0.0
2024-03-06,18650.0,75900.0,-23900.0,49900.0,26000.0
2024-03-06,18700.0,88400.0,8800.0,39800.0,48600.0
2024-03-06,18750.0,68500.0,-53900.0,61200.0,7300.0
2024-03-06,18800.0,323300.0,-120700.0,222000.0,101300.0
2024-03-06,18850.0,233800.0,-65800.0,149800.0,84000.0
2024-03-06,18900.0,320100.0,-1700.0,160900.0,159200.0
2024-03-06,18950.0,309100.0,-19700.0,164400.0,144700.0
2024-03-06,19000.0,697400.0,237600.0,229900.0,467500.0
2024-03-06,19050.0,293900.0,-4300.0,149100.0,144800.0
2024-03-06,19100.0,259300.0,-19300.0,139300.0,120000.0
2024-03-06,19150.0,361000.0,-230600.0,295800.0,65200.0
2024-03-06,19200.0,183900.0,59100.0,62400.0,121500.0
2024-03-06,19250.0,204900.0,-96900.0,150900.0,54000.0
2024-03-06,19300.0,112400.0,23400.0,44500.0,67900.0
2024-03-06,19350.0,122700.0,84900.0,18900.0,103800.0
2024-03-06,19400.0,500.0,500.0,0.0,500.0
2024-03-07,19400.0,128700.0,-128700.0,128700.0,0.0
2024-03-07,19450.0,47600.0,28800.0,9400.0,38200.0
2024-03-07,19500.0,202700.0,23500.0,89600.0,113100.0
2024-03-07,19550.0,38500.0,18500.0,10000.0,28500.0
2024-03-07,19600.0,45600.0,19200.0,13200.0,32400.0
2024-03-07,19650.0,73700.0,73700.0,0.0,73700.0
2024-03-07,19700.0,27300.0,27100.0,100.0,27200.0
2024-03-07,19750.0,37600.0,37600.0,0.0,37600.0
2024-03-07,19800.0,85500.0,71500.0,7000.0,78500.0
2024-03-07,19850.0,86800.0,86800.0,0.0,86800.0
2024-03-07,19900.0,50700.0,50700.0,0.0,50700.0
2024-03-07,19950.0,9100.0,4700.0,2200.0,6900.0
2024-03-07,20000.0,262800.0,222200.0,20300.0,242500.0
2024-03-07,20050.0,12000.0,11600.0,200.0,11800.0
2024-03-07,20100.0,100000.0,100000.0,0.0,100000.0
2024-03-07,20150.0,8100.0,8100.0,0.0,8100.0
2024-03-07,20200.0,68400.0,68400.0,0.0,68400.0
2024-03-07,20250.0,44800.0,44800.0,0.0,44800.0
2024-03-07,20300.0,93600.0,93600.0,0.0,93600.0
2024-03-07,20350.0,105500.0,-43500.0,74500.0,31000.0
2024-03-07,20400.0,2775200.0,-1022600.0,1898900.0,876300.0
2024-03-08,20500.0,40000.0,-40000.0,40000.0,0.0
2024-03-08,20550.0,45600.0,-36600.0,41100.0,4500.0
2024-03-08,20600.0,161400.0,-4400.0,82900.0,78500.0
2024-03-08,20650.0,692500.0,-359700.0,526100.0,166400.0
2024-03-08,20700.0,620600.0,-213800.0,417200.0,203400.0
2024-03-08,20750.0,432000.0,-117000.0,274500.0,157500.0
2024-03-08,20800.0,709500.0,241300.0,234100.0,475400.0
2024-03-08,20850.0,250000.0,56800.0,96600.0,153400.0
2024-03-08,20900.0,487100.0,22100.0,232500.0,254600.0
2024-03-08,20950.0,422200.0,241000.0,90600.0,331600.0
2024-03-08,21000.0,838100.0,407700.0,215200.0,622900.0
2024-03-08,21050.0,161600.0,-43600.0,102600.0,59000.0
2024-03-08,21100.0,205400.0,88800.0,58300.0,147100.0
2024-03-08,21150.0,31800.0,24000.0,3900.0,27900.0
2024-03-08,21200.0,87800.0,59200.0,14300.0,73500.0
2024-03-08,21250.0,28500.0,28500.0,0.0,28500.0
2024-03-08,21300.0,53800.0,19600.0,17100.0,36700.0
2024-03-08,21350.0,13200.0,13200.0,0.0,13200.0
2024-03-11,20500.0,8200.0,-8200.0,8200.0,0.0
2024-03-11,20550.0,138900.0,20700.0,59100.0,79800.0
2024-03-11,20600.0,154300.0,-21900.0,88100.0,66200.0
2024-03-11,20650.0,109900.0,-47300.0,78600.0,31300.0
2024-03-11,20700.0,247300.0,-102700.0,175000.0,72300.0
2024-03-11,20750.0,321800.0,-2400.0,162100.0,159700.0
2024-03-11,20800.0,211600.0,-7200.0,109400.0,102200.0
2024-03-11,20850.0,97400.0,46000.0,25700.0,71700.0
2024-03-11,20900.0,122800.0,39800.0,41500.0,81300.0
2024-03-11,20950.0,69100.0,-7700.0,38400.0,30700.0
2024-03-11,21000.0,233000.0,56600.0,88200.0,144800.0
2024-03-11,21050.0,50500.0,-7700.0,29100.0,21400.0
2024-03-11,21100.0,123500.0,-15100.0,69300.0,54200.0
2024-03-11,21150.0,68200.0,24400.0,21900.0,46300.0
2024-03-11,21200.0,177000.0,-58200.0,117600.0,59400.0
2024-03-11,21250.0,71200.0,-13000.0,42100.0,29100.0
2024-03-11,21300.0,213800.0,-15200.0,114500.0,99300.0
2024-03-11,21350.0,189400.0,33800.0,77800.0,111600.0
2024-03-11,21400.0,114500.0,40300.0,37100.0,77400.0
2024-03-11,21450.0,76200.0,9200.0,33500.0,42700.0
2024-03-11,21500.0,101000.0,77800.0,11600.0,89400.0
2024-03-11,21550.0,27900.0,-10100.0,19000.0,8900.0
2024-03-11,21600.0,47700.0,47700.0,0.0,47700.0
2024-03-12,20500.0,34100.0,-34100.0,34100.0,0.0
2024-03-12,20550.0,55900.0,-30300.0,43100.0,12800.0
2024-03-12,20600.0,154800.0,-122200.0,138500.0,16300.0
2024-03-12,20650.0,178600.0,-84400.0,131500.0,47100.0
2024-03-12,20700.0,343300.0,-93900.0,218600.0,124700.0
2024-03-12,20750.0,405100.0,-150300.0,277700.0,127400.0
2024-03-12,20800.0,474000.0,-137600.0,305800.0,168200.0
2024-03-12,20850.0,266000.0,25400.0,120300.0,145700.0
2024-03-12,20900.0,167400.0,-64600.0,116000.0,51400.0
2024-03-12,20950.0,143600.0,-1200.0,72400.0,71200.0
2024-03-12,21000.0,226900.0,90900.0,68000.0,158900.0
2024-03-12,21050.0,62500.0,-27900.0,45200.0,17300.0
2024-03-12,21100.0,63900.0,13300.0,25300.0,38600.0
2024-03-12,21150.0,1300.0,-700.0,1000.0,300.0
2024-03-12,21200.0,75900.0,-10900.0,43400.0,32500.0
2024-03-12,21250.0,2400.0,2400.0,0.0,2400.0
2024-03-13,20700.0,42800.0,-32200.0,37500.0,5300.0
2024-03-13,20750.0,64000.0,-9000.0,36500.0,27500.0
2024-03-13,20800.0,55600.0,16600.0,19500.0,36100.0
2024-03-13,20850.0,36400.0,-7200.0,21800.0,14600.0
2024-03-13,20900.0,119100.0,900.0,59100.0,60000.0
2024-03-13,20950.0,64100.0,32700.0,15700.0,48400.0
2024-03-13,21000.0,185600.0,142000.0,21800.0,163800.0
2024-03-13,21050.0,108400.0,35800.0,36300.0,72100.0
2024-03-13,21100.0,79500.0,63900.0,7800.0,71700.0
2024-03-13,21150.0,34200.0,-17000.0,25600.0,8600.0
2024-03-13,21200.0,118000.0,75000.0,21500.0,96500.0
2024-03-13,21250.0,76900.0,-56500.0,66700.0,10200.0
2024-03-13,21300.0,204900.0,134900.0,35000.0,169900.0
2024-03-13,21350.0,120000.0,-40800.0,80400.0,39600.0
2024-03-13,21400.0,225500.0,51300.0,87100.0,138400.0
2024-03-13,21450.0,318800.0,30800.0,144000.0,174800.0
2024-03-13,21500.0,309800.0,19400.0,145200.0,164600.0
2024-03-13,21550.0,253400.0,36800.0,108300.0,145100.0
2024-03-13,21600.0,142400.0,55600.0,43400.0,99000.0
2024-03-13,21650.0,260800.0,13800.0,123500.0,137300.0
2024-03-13,21700.0,465800.0,57600.0,204100.0,261700.0
2024-03-13,21750.0,242000.0,51600.0,95200.0,146800.0
2024-03-13,21800.0,245300.0,101100.0,72100.0,173200.0
2024-03-13,21850.0,50500.0,13500.0,18500.0,32000.0
2024-03-13,21900.0,2200.0,2200.0,0.0,2200.0
2024-03-14,21100.0,28800.0,-28800.0,28800.0,0.0
2024-03-14,21150.0,58400.0,-6800.0,32600.0,25800.0
2024-03-14,21200.0,143900.0,-90700.0,117300.0,26600.0
2024-03-14,21250.0,101100.0,-44900.0,73000.0,28100.0
2024-03-14,21300.0,184100.0,-101900.0,143000.0,41100.0
2024-03-14,21350.0,245000.0,-141000.0,193000.0,52000.0
2024-03-14,21400.0,339900.0,-209700.0,274800.0,65100.0
2024-03-14,21450.0,215500.0,-57300.0,136400.0,79100.0
2024-03-14,21500.0,564400.0,-416400.0,490400.0,74000.0
2024-03-14,21550.0,444400.0,-249800.0,347100.0,97300.0
2024-03-14,21600.0,429100.0,64100.0,182500.0,246600.0
2024-03-14,21650.0,94900.0,-47500.0,71200.0,23700.0
2024-03-14,21700.0,172600.0,-47000.0,109800.0,62800.0
2024-03-14,21750.0,86000.0,-38600.0,62300.0,23700.0
2024-03-14,21800.0,321300.0,29500.0,145900.0,175400.0
2024-03-14,21850.0,126500.0,-44300.0,85400.0,41100.0
2024-03-14,21900.0,92800.0,12400.0,40200.0,52600.0
2024-03-14,21950.0,21800.0,19200.0,1300.0,20500.0
2024-03-14,22000.0,44900.0,44900.0,0.0,44900.0
2024-03-15,20700.0,127800.0,-127800.0,127800.0,0.0
2024-03-15,20750.0,343000.0,-177800.0,260400.0,82600.0
2024-03-15,20800.0,378300.0,31100.0,173600.0,204700.0
2024-03-15,20850.0,290000.0,-27000.0,158500.0,131500.0
2024-03-15,20900.0,84000.0,-9800.0,46900.0,37100.0
2024-03-15,20950.0,63500.0,-28700.0,46100.0,17400.0
2024-03-15,21000.0,199700.0,-82700.0,141200.0,58500.0
2024-03-15,21050.0,199100.0,-128700.0,163900.0,35200.0
2024-03-15,21100.0,363800.0,-178200.0,271000.0,92800.0
2024-03-15,21150.0,217100.0,-85500.0,151300.0,65800.0
2024-03-15,21200.0,156600.0,31800.0,62400.0,94200.0
2024-03-15,21250.0,136200.0,37600.0,49300.0,86900.0
2024-03-15,21300.0,39400.0,8800.0,15300.0,24100.0
2024-03-15,21350.0,176400.0,-98800.0,137600.0,38800.0
2024-03-15,21400.0,51800.0,17200.0,17300.0,34500.0
2024-03-15,21450.0,37900.0,27500.0,5200.0,32700.0
2024-03-15,21500.0,6100.0,6100.0,0.0,6100.0
2024-03-18,20000.0,2883200.0,314800.0,1284200.0,1599000.0
2024-03-18,20050.0,505900.0,-64900.0,285400.0,220500.0
2024-03-18,20100.0,375500.0,8500.0,183500.0,192000.0
2024-03-18,20150.0,187600.0,26000.0,80800.0,106800.0
2024-03-18,20200.0,235400.0,51400.0,92000.0,143400.0
2024-03-18,20250.0,219800.0,-21800.0,120800.0,99000.0
2024-03-18,20300.0,313600.0,30200.0,141700.0,171900.0
2024-03-18,20350.0,160300.0,79100.0,40600.0,119700.0
2024-03-18,20400.0,113700.0,17700.0,48000.0,65700.0
2024-03-18,20450.0,57200.0,9800.0,23700.0,33500.0
