t,p,q,d,b,a
2024-02-15,30750.0,8100.0,8100.0,0.0,8100.0
2024-02-15,30800.0,49600.0,-22200.0,35900.0,13700.0
2024-02-15,30850.0,116100.0,-2100.0,59100.0,57000.0
2024-02-15,30900.0,184300.0,27500.0,78400.0,105900.0
2024-02-15,30950.0,133700.0,-500.0,67100.0,66600.0
2024-02-15,31000.0,335100.0,32300.0,151400.0,183700.0
2024-02-15,31050.0,81200.0,8600.0,36300.0,44900.0
2024-02-15,31100.0,444600.0,87000.0,178800.0,265800.0
2024-02-15,31150.0,88800.0,42800.0,23000.0,65800.0
2024-02-15,31200.0,144100.0,24700.0,59700.0,84400.0
2024-02-15,31250.0,120600.0,-6200.0,63400.0,57200.0
2024-02-15,31300.0,51300.0,33500.0,8900.0,42400.0
2024-02-15,31350.0,14300.0,14300.0,0.0,14300.0
2024-02-16,30900.0,21200.0,-21200.0,21200.0,0.0
2024-02-16,30950.0,110600.0,-63000.0,86800.0,23800.0
2024-02-16,31000.0,333400.0,-140400.0,236900.0,96500.0
2024-02-16,31050.0,217700.0,-135900.0,176800.0,40900.0
2024-02-16,31100.0,160900.0,27500.0,66700.0,94200.0
2024-02-16,31150.0,197200.0,72400.0,62400.0,134800.0
2024-02-16,31200.0,23000.0,-2000.0,12500.0,10500.0
2024-02-16,31250.0,13600.0,-2200.0,7900.0,5700.0
2024-02-16,31300.0,28800.0,-5400.0,17100.0,11700.0
2024-02-16,31350.0,2100.0,2100.0,0.0,2100.0
2024-02-16,31400.0,7100.0,7100.0,0.0,7100.0
2024-02-19,31100.0,8400.0,-8400.0,8400.0,0.0
2024-02-19,31150.0,34700.0,-8700.0,21700.0,13000.0
2024-02-19,31200.0,109200.0,-107800.0,108500.0,700.0
2024-02-19,31250.0,64900.0,-14700.0,39800.0,25100.0
2024-02-19,31300.0,231800.0,-169400.0,200600.0,31200.0
2024-02-19,31350.0,207200.0,-41800.0,124500.0,82700.0
2024-02-19,31400.0,239800.0,77000.0,81400.0,158400.0
2024-02-19,31450.0,147600.0,-40800.0,94200.0,53400.0
2024-02-19,31500.0,171100.0,109900.0,30600.0,140500.0
2024-02-19,31550.0,34600.0,22800.0,5900.0,28700.0
2024-02-19,31600.0,29400.0,-3600.0,16500.0,12900.0
2024-02-19,31650.0,41600.0,9600.0,16000.0,25600.0
2024-02-19,31700.0,53700.0,-8900.0,31300.0,22400.0
2024-02-19,31750.0,42100.0,40500.0,800.0,41300.0
2024-02-19,31800.0,56600.0,-5400.0,31000.0,25600.0
2024-02-19,31850.0,52600.0,30800.0,10900.0,41700.0
2024-02-19,31900.0,100.0,100.0,0.0,100.0
2024-02-20,30800.0,7100.0,-7100.0,7100.0,0.0
2024-02-20,30850.0,35000.0,32000.0,1500.0,33500.0
2024-02-20,30900.0,9100.0,-1100.0,5100.0,4000.0
2024-02-20,30950.0,57000.0,-57000.0,57000.0,0.0
2024-02-20,31000.0,364400.0,-224800.0,294600.0,69800.0
2024-02-20,31050.0,179200.0,-19200.0,99200.0,80000.0
2024-02-20,31100.0,129800.0,-16800.0,73300.0,56500.0
2024-02-20,31150.0,58100.0,-7100.0,32600.0,25500.0
2024-02-20,31200.0,51200.0,22400.0,14400.0,36800.0
2024-02-20,31250.0,19400.0,-4600.0,12000.0,7400.0
2024-02-20,31300.0,23400.0,-13000.0,18200.0,5200.0
2024-02-20,31350.0,13900.0,-13900.0,13900.0,0.0
2024-02-20,31400.0,3200.0,-2600.0,2900.0,300.0
2024-02-20,31450.0,1000.0,1000.0,0.0,1000.0
2024-02-20,31500.0,6100.0,6100.0,0.0,6100.0
2024-02-21,30700.0,84200.0,-84200.0,84200.0,0.0
2024-02-21,30750.0,278900.0,-159500.0,219200.0,59700.0
2024-02-21,30800.0,358500.0,-71700.0,215100.0,143400.0
2024-02-21,30850.0,194500.0,-24100.0,109300.0,85200.0
2024-02-21,30900.0,255800.0,-203200.0,229500.0,26300.0
