t,p,q,d,b,a
2024-02-15,14200.0,6000.0,6000.0,0.0,6000.0
2024-02-15,14300.0,3300.0,3100.0,100.0,3200.0
2024-02-15,14350.0,200.0,-200.0,200.0,0.0
2024-02-15,14400.0,200.0,-200.0,200.0,0.0
2024-02-15,14450.0,3800.0,-3800.0,3800.0,0.0
2024-02-15,14500.0,33700.0,-15100.0,24400.0,9300.0
2024-02-15,14550.0,32600.0,5600.0,13500.0,19100.0
2024-02-15,14600.0,57200.0,9400.0,23900.0,33300.0
2024-02-15,14650.0,41500.0,21500.0,10000.0,31500.0
2024-02-15,14700.0,39400.0,28800.0,5300.0,34100.0
2024-02-15,14750.0,27400.0,13000.0,7200.0,20200.0
2024-02-15,14800.0,17900.0,17900.0,0.0,17900.0
2024-02-16,14600.0,19300.0,-19300.0,19300.0,0.0
2024-02-16,14650.0,72500.0,-54700.0,63600.0,8900.0
2024-02-16,14700.0,187200.0,36400.0,75400.0,111800.0
2024-02-16,14750.0,28500.0,16900.0,5800.0,22700.0
2024-02-16,14800.0,2600.0,2600.0,0.0,2600.0
2024-02-19,13800.0,23400.0,-23400.0,23400.0,0.0
2024-02-19,13850.0,27300.0,-19900.0,23600.0,3700.0
2024-02-19,13900.0,26100.0,-4700.0,15400.0,10700.0
2024-02-19,13950.0,100.0,100.0,0.0,100.0
2024-02-19,14000.0,40200.0,400.0,19900.0,20300.0
2024-02-19,14050.0,23000.0,-13200.0,18100.0,4900.0
2024-02-19,14100.0,6000.0,1000.0,2500.0,3500.0
2024-02-19,14150.0,12300.0,-2300.0,7300.0,5000.0
2024-02-19,14200.0,8300.0,100.0,4100.0,4200.0
2024-02-19,14250.0,1400.0,-200.0,800.0,600.0
2024-02-19,14300.0,21500.0,11300.0,5100.0,16400.0
2024-02-19,14350.0,1100.0,100.0,500.0,600.0
2024-02-19,14400.0,76800.0,-31400.0,54100.0,22700.0
2024-02-19,14450.0,61900.0,-17500.0,39700.0,22200.0
2024-02-19,14500.0,42100.0,-27700.0,34900.0,7200.0
2024-02-19,14550.0,59800.0,-31200.0,45500.0,14300.0
2024-02-19,14600.0,169800.0,6200.0,81800.0,88000.0
2024-02-19,14650.0,64000.0,32000.0,16000.0,48000.0
2024-02-19,14700.0,2200.0,200.0,1000.0,1200.0
2024-02-19,14800.0,3800.0,3800.0,0.0,3800.0
2024-02-20,14400.0,4200.0,-4200.0,4200.0,0.0
2024-02-20,14450.0,67400.0,-57000.0,62200.0,5200.0
2024-02-20,14500.0,139600.0,-32200.0,85900.0,53700.0
2024-02-20,14550.0,33700.0,16700.0,8500.0,25200.0
2024-02-20,14600.0,12200.0,9800.0,1200.0,11000.0
2024-02-20,14700.0,300.0,-300.0,300.0,0.0
2024-02-20,14750.0,2200.0,2200.0,0.0,2200.0
2024-02-21,13800.0,79300.0,-79300.0,79300.0,0.0
2024-02-21,13900.0,1700.0,1700.0,0.0,1700.0
2024-02-21,13950.0,1600.0,1600.0,0.0,1600.0
2024-02-21,14000.0,8400.0,-7000.0,7700.0,700.0
2024-02-21,14050.0,50000.0,-22000.0,36000.0,14000.0
2024-02-21,14100.0,139600.0,-80000.0,109800.0,29800.0
2024-02-21,14150.0,53000.0,17800.0,17600.0,35400.0
2024-02-21,14200.0,81600.0,-32000.0,56800.0,24800.0
2024-02-21,14250.0,7300.0,-1100.0,4200.0,3100.0
2024-02-22,14050.0,1000.0,-600.0,800.0,200.0
2024-02-22,14100.0,14800.0,-14800.0,14800.0,0.0
2024-02-22,14150.0,27100.0,-23100.0,25100.0,2000.0
2024-02-22,14200.0,72100.0,-25100.0,48600.0,23500.0
2024-02-22,14250.0,34000.0,17200.0,8400.0,25600.0
2024-02-22,14300.0,8100.0,4100.0,2000.0,6100.0
2024-02-23,13750.0,26300.0,-15300.0,20800.0,5500.0
2024-02-23,13800.0,239500.0,-222300.0,230900.0,8600.0
2024-02-23,13850.0,30300.0,-15500.0,22900.0,7400.0
2024-02-23,13900.0,17200.0,-16600.0,16900.0,300.0
2024-02-23,13950.0,110600.0,-87800.0,99200.0,11400.0
2024-02-23,14000.0,118900.0,-111700.0,115300.0,3600.0
2024-02-23,14050.0,54300.0,-48300.0,51300.0,3000.0
2024-02-23,14100.0,27900.0,-23700.0,25800.0,2100.0
2024-02-23,14150.0,16300.0,-15300.0,15800.0,500.0
2024-02-23,14200.0,20800.0,-6800.0,13800.0,7000.0
2024-02-23,14250.0,6400.0,-1800.0,4100.0,2300.0
2024-02-26,13800.0,50700.0,-50700.0,50700.0,0.0
2024-02-26,13850.0,30700.0,-100.0,15400.0,15300.0
2024-02-26,13900.0,27600.0,-600.0,14100.0,13500.0
2024-02-26,13950.0,21900.0,6300.0,7800.0,14100.0
2024-02-26,14000.0,28300.0,22300.0,3000.0,25300.0
2024-02-26,14050.0,2300.0,2300.0,0.0,2300.0
2024-02-26,14100.0,2400.0,1400.0,500.0,1900.0
2024-02-26,14150.0,5700.0,3300.0,1200.0,4500.0
2024-02-26,14200.0,35900.0,23100.0,6400.0,29500.0
2024-02-26,14250.0,29800.0,-5800.0,17800.0,12000.0
2024-02-26,14300.0,26900.0,3100.0,11900.0,15000.0
2024-02-26,14350.0,2800.0,2800.0,0.0,2800.0
2024-02-27,14100.0,2200.0,-2200.0,2200.0,0.0
2024-02-27,14150.0,11900.0,-11900.0,11900.0,0.0
2024-02-27,14200.0,22000.0,-6800.0,14400.0,7600.0
2024-02-27,14250.0,28700.0,-2500.0,15600.0,13100.0
2024-02-27,14300.0,78500.0,23300.0,27600.0,50900.0
2024-02-27,14350.0,34300.0,18300.0,8000.0,26300.0
2024-02-27,14400.0,49500.0,45900.0,1800.0,47700.0
2024-02-27,14450.0,2500.0,2500.0,0.0,2500.0
2024-02-28,14250.0,3200.0,-3200.0,3200.0,0.0
2024-02-28,14300.0,85900.0,-44700.0,65300.0,20600.0
2024-02-28,14350.0,106400.0,40000.0,33200.0,73200.0
