t,p,q,d,b,a
2024-02-15,10300.0,22000.0,22000.0,0.0,22000.0
2024-02-15,10350.0,18600.0,9800.0,4400.0,14200.0
2024-02-15,10400.0,376000.0,-196000.0,286000.0,90000.0
2024-02-15,10450.0,904000.0,-227000.0,565500.0,338500.0
2024-02-15,10500.0,118300.0,118300.0,0.0,118300.0
2024-02-16,10450.0,16800.0,-16800.0,16800.0,0.0
2024-02-16,10500.0,95200.0,-77800.0,86500.0,8700.0
2024-02-16,10550.0,234000.0,21600.0,106200.0,127800.0
2024-02-16,10600.0,196600.0,173400.0,11600.0,185000.0
2024-02-16,10650.0,200500.0,10100.0,95200.0,105300.0
2024-02-16,10700.0,967700.0,33500.0,467100.0,500600.0
2024-02-16,10750.0,1838300.0,197700.0,820300.0,1018000.0
2024-02-16,10800.0,228100.0,228100.0,0.0,228100.0
2024-02-19,10750.0,61400.0,-61400.0,61400.0,0.0
2024-02-19,10800.0,1262100.0,-561900.0,912000.0,350100.0
2024-02-19,10850.0,896500.0,-2100.0,449300.0,447200.0
2024-02-19,10900.0,121200.0,121200.0,0.0,121200.0
2024-02-20,10800.0,165500.0,-165500.0,165500.0,0.0
2024-02-20,10850.0,1155900.0,-443300.0,799600.0,356300.0
2024-02-20,10900.0,556600.0,187000.0,184800.0,371800.0
2024-02-20,10950.0,32900.0,32900.0,0.0,32900.0
2024-02-21,10700.0,80400.0,-80400.0,80400.0,0.0
2024-02-21,10750.0,490700.0,-77300.0,284000.0,206700.0
2024-02-21,10800.0,460500.0,-202500.0,331500.0,129000.0
2024-02-21,10850.0,86200.0,15400.0,35400.0,50800.0
2024-02-21,10900.0,38600.0,38600.0,0.0,38600.0
2024-02-22,10750.0,156500.0,-138300.0,147400.0,9100.0
2024-02-22,10800.0,287900.0,66900.0,110500.0,177400.0
2024-02-22,10850.0,326600.0,129400.0,98600.0,228000.0
2024-02-22,10900.0,502900.0,494900.0,4000.0,498900.0
2024-02-22,10950.0,354400.0,-61000.0,207700.0,146700.0
2024-02-22,11000.0,1550500.0,60300.0,745100.0,805400.0
2024-02-22,11050.0,260000.0,190400.0,34800.0,225200.0
2024-02-22,11100.0,2500.0,2500.0,0.0,2500.0
2024-02-23,10600.0,50900.0,-50900.0,50900.0,0.0
2024-02-23,10650.0,219200.0,-144600.0,181900.0,37300.0
2024-02-23,10700.0,273200.0,-83000.0,178100.0,95100.0
2024-02-23,10750.0,194400.0,-133000.0,163700.0,30700.0
2024-02-23,10800.0,197500.0,-195900.0,196700.0,800.0
2024-02-23,10850.0,247600.0,75400.0,86100.0,161500.0
2024-02-23,10900.0,235000.0,-96200.0,165600.0,69400.0
2024-02-23,10950.0,121700.0,-121700.0,121700.0,0.0
2024-02-23,11000.0,320500.0,-232300.0,276400.0,44100.0
2024-02-23,11050.0,238200.0,-4200.0,121200.0,117000.0
2024-02-23,11100.0,324700.0,78100.0,123300.0,201400.0
2024-02-23,11150.0,149700.0,28300.0,60700.0,89000.0
2024-02-23,11200.0,6400.0,6400.0,0.0,6400.0
2024-02-26,10650.0,31100.0,-31100.0,31100.0,0.0
2024-02-26,10700.0,108300.0,-12700.0,60500.0,47800.0
2024-02-26,10750.0,43200.0,38200.0,2500.0,40700.0
2024-02-26,10800.0,95200.0,-23200.0,59200.0,36000.0
2024-02-26,10850.0,305300.0,-40100.0,172700.0,132600.0
2024-02-26,10900.0,391000.0,125200.0,132900.0,258100.0
2024-02-26,10950.0,222500.0,222500.0,0.0,222500.0
2024-02-26,11000.0,182200.0,182200.0,0.0,182200.0
2024-02-26,11050.0,74500.0,74500.0,0.0,74500.0
2024-02-26,11100.0,167400.0,167400.0,0.0,167400.0
2024-02-26,11150.0,38700.0,34300.0,2200.0,36500.0
2024-02-26,11200.0,120400.0,114000.0,3200.0,117200.0
2024-02-26,11250.0,53000.0,32000.0,10500.0,42500.0
2024-02-26,11300.0,1181500.0,-545900.0,863700.0,317800.0
2024-02-26,11350.0,4418800.0,-24400.0,2221600.0,2197200.0
2024-02-27,11200.0,600.0,-600.0,600.0,0.0
2024-02-27,11250.0,97900.0,8300.0,44800.0,53100.0
2024-02-27,11300.0,230100.0,-81500.0,155800.0,74300.0
2024-02-27,11350.0,735500.0,-188100.0,461800.0,273700.0
2024-02-27,11400.0,559000.0,82800.0,238100.0,320900.0
2024-02-27,11450.0,315100.0,-195300.0,255200.0,59900.0
2024-02-27,11500.0,775500.0,-14100.0,394800.0,380700.0
2024-02-27,11550.0,344900.0,-1100.0,173000.0,171900.0
2024-02-27,11600.0,180000.0,-150800.0,165400.0,14600.0
2024-02-27,11650.0,608300.0,264100.0,172100.0,436200.0
2024-02-27,11700.0,294200.0,86200.0,104000.0,190200.0
2024-02-27,11750.0,26000.0,26000.0,0.0,26000.0
2024-02-28,11100.0,39200.0,-39200.0,39200.0,0.0
2024-02-28,11150.0,317400.0,-276800.0,297100.0,20300.0
2024-02-28,11200.0,517800.0,-155800.0,336800.0,181000.0
2024-02-28,11250.0,351300.0,-84500.0,217900.0,133400.0
2024-02-28,11300.0,409400.0,-124400.0,266900.0,142500.0
2024-02-28,11350.0,329700.0,-133100.0,231400.0,98300.0
2024-02-28,11400.0,440500.0,4300.0,218100.0,222400.0
2024-02-28,11450.0,25700.0,14900.0,5400.0,20300.0
2024-02-28,11500.0,2300.0,2300.0,0.0,2300.0
2024-02-28,11550.0,24500.0,24500.0,0.0,24500.0
2024-02-29,11150.0,2900.0,-2900.0,2900.0,0.0
2024-02-29,11200.0,135500.0,-73700.0,104600.0,30900.0
2024-02-29,11250.0,269600.0,-65200.0,167400.0,102200.0
2024-02-29,11300.0,260900.0,-13300.0,137100.0,123800.0
2024-02-29,11350.0,170000.0,72200.0,48900.0,121100.0
2024-02-29,11400.0,145600.0,65400.0,40100.0,105500.0
2024-02-29,11450.0,276400.0,45800.0,115300.0,161100.0
2024-02-29,11500.0,705600.0,-152200.0,428900.0,276700.0
2024-02-29,11550.0,838200.0,59400.0,389400.0,448800.0
2024-02-29,11600.0,507800.0,-90200.0,299000.0,208800.0
2024-02-29,11650.0,314200.0,70600.0,121800.0,192400.0
2024-02-29,11700.0,291200.0,47400.0,121900.0,169300.0
2024-02-29,11750.0,305600.0,41000.0,132300.0,173300.0
2024-02-29,11800.0,202400.0,149200.0,26600.0,175800.0
2024-02-29,11850.0,60400.0,60400.0,0.0,60400.0
2024-03-01,11450.0,125300.0,-125300.0,125300.0,0.0
2024-03-01,11500.0,800600.0,-220000.0,510300.0,290300.0
2024-03-01,11550.0,389500.0,156100.0,116700.0,272800.0
2024-03-01,11600.0,451000.0,-112600.0,281800.0,169200.0
2024-03-01,11650.0,196900.0,182700.0,7100.0,189800.0
2024-03-01,11700.0,58500.0,58500.0,0.0,58500.0
2024-03-04,11400.0,400.0,-400.0,400.0,0.0
2024-03-04,11450.0,12600.0,-12600.0,12600.0,0.0
2024-03-04,11500.0,132700.0,-132500.0,132600.0,100.0
2024-03-04,11550.0,153500.0,-122700.0,138100.0,15400.0
2024-03-04,11600.0,726500.0,-516300.0,621400.0,105100.0
2024-03-04,11650.0,683500.0,105100.0,289200.0,394300.0
2024-03-04,11700.0,190700.0,-77500.0,134100.0,56600.0
2024-03-04,11750.0,302800.0,-196800.0,249800.0,53000.0
2024-03-04,11800.0,323800.0,-26000.0,174900.0,148900.0
2024-03-04,11850.0,85300.0,68500.0,8400.0,76900.0
2024-03-04,11900.0,87700.0,87700.0,0.0,87700.0
2024-03-05,11450.0,134900.0,-87700.0,111300.0,23600.0
2024-03-05,11500.0,218500.0,-44500.0,131500.0,87000.0
2024-03-05,11550.0,912700.0,-385300.0,649000.0,263700.0
2024-03-05,11600.0,544700.0,45100.0,249800.0,294900.0
2024-03-05,11650.0,134500.0,-12100.0,73300.0,61200.0
2024-03-05,11700.0,272700.0,66100.0,103300.0,169400.0
2024-03-05,11750.0,305000.0,13000.0,146000.0,159000.0
2024-03-05,11800.0,16000.0,16000.0,0.0,16000.0
2024-03-06,11250.0,268200.0,-175600.0,221900.0,46300.0
2024-03-06,11300.0,795600.0,-156200.0,475900.0,319700.0
2024-03-06,11350.0,376300.0,-165900.0,271100.0,105200.0
2024-03-06,11400.0,570600.0,-327200.0,448900.0,121700.0
2024-03-06,11450.0,449500.0,-283700.0,366600.0,82900.0
2024-03-06,11500.0,543700.0,-171900.0,357800.0,185900.0
2024-03-06,11550.0,71500.0,31300.0,20100.0,51400.0
2024-03-06,11600.0,15500.0,12700.0,1400.0,14100.0
2024-03-07,11250.0,201700.0,-165100.0,183400.0,18300.0
2024-03-07,11300.0,740500.0,-550500.0,645500.0,95000.0
2024-03-07,11350.0,601200.0,170800.0,215200.0,386000.0
2024-03-07,11400.0,237700.0,193500.0,22100.0,215600.0
2024-03-07,11450.0,3000.0,3000.0,0.0,3000.0
2024-03-08,11050.0,157600.0,-157600.0,157600.0,0.0
2024-03-08,11100.0,342400.0,-191000.0,266700.0,75700.0
2024-03-08,11150.0,449100.0,-356700.0,402900.0,46200.0
2024-03-08,11200.0,672100.0,-291100.0,481600.0,190500.0
2024-03-08,11250.0,487800.0,-174000.0,330900.0,156900.0
2024-03-08,11300.0,240800.0,124200.0,58300.0,182500.0
2024-03-08,11350.0,70800.0,-55800.0,63300.0,7500.0
2024-03-08,11400.0,52100.0,7500.0,22300.0,29800.0
2024-03-08,11450.0,1000.0,1000.0,0.0,1000.0
2024-03-11,11150.0,14100.0,-14100.0,14100.0,0.0
2024-03-11,11200.0,72200.0,-32800.0,52500.0,19700.0
2024-03-11,11250.0,200400.0,-54600.0,127500.0,72900.0
2024-03-11,11300.0,220900.0,-102300.0,161600.0,59300.0
2024-03-11,11350.0,363100.0,-86500.0,224800.0,138300.0
2024-03-11,11400.0,377200.0,192400.0,92400.0,284800.0
2024-03-11,11450.0,437800.0,-24800.0,231300.0,206500.0
2024-03-11,11500.0,877200.0,-8800.0,443000.0,434200.0
2024-03-11,11550.0,952600.0,536600.0,208000.0,744600.0
2024-03-11,11600.0,499500.0,125900.0,186800.0,312700.0
2024-03-11,11650.0,41700.0,41700.0,0.0,41700.0
2024-03-12,11200.0,171000.0,-98600.0,134800.0,36200.0
2024-03-12,11250.0,470700.0,-191700.0,331200.0,139500.0
2024-03-12,11300.0,699300.0,-120900.0,410100.0,289200.0
2024-03-12,11350.0,97800.0,83400.0,7200.0,90600.0
2024-03-13,11300.0,77000.0,-72600.0,74800.0,2200.0
2024-03-13,11350.0,205500.0,46100.0,79700.0,125800.0
2024-03-13,11400.0,696300.0,-452700.0,574500.0,121800.0
2024-03-13,11450.0,866300.0,321900.0,272200.0,594100.0
2024-03-13,11500.0,488300.0,137500.0,175400.0,312900.0
2024-03-13,11550.0,202500.0,96300.0,53100.0,149400.0
2024-03-13,11600.0,300100.0,206300.0,46900.0,253200.0
2024-03-13,11650.0,500.0,500.0,0.0,500.0
2024-03-14,11550.0,48900.0,-48900.0,48900.0,0.0
2024-03-14,11600.0,717800.0,-349000.0,533400.0,184400.0
2024-03-14,11650.0,1749000.0,-631200.0,1190100.0,558900.0
2024-03-14,11700.0,1961200.0,-234200.0,1097700.0,863500.0
2024-03-14,11750.0,1455200.0,522400.0,466400.0,988800.0
2024-03-14,11800.0,28200.0,28200.0,0.0,28200.0
2024-03-15,11400.0,21900.0,-21900.0,21900.0,0.0
2024-03-15,11450.0,744000.0,-419200.0,581600.0,162400.0
2024-03-15,11500.0,820000.0,-3200.0,411600.0,408400.0
2024-03-15,11550.0,235200.0,-88400.0,161800.0,73400.0
2024-03-15,11600.0,279400.0,-44200.0,161800.0,117600.0
2024-03-15,11650.0,284100.0,-51300.0,167700.0,116400.0
2024-03-15,11700.0,291100.0,-201900.0,246500.0,44600.0
2024-03-15,11750.0,271500.0,-10100.0,140800.0,130700.0
