t,p,q,d,b,a
2024-02-15,9600.0,125229.0,-114629.0,119929.0,5300.0
2024-02-15,9700.0,149558.0,-12158.0,80858.0,68700.0
2024-02-15,9800.0,21994.0,21994.0,0.0,21994.0
2024-02-16,9500.0,29411.0,-29411.0,29411.0,0.0
2024-02-16,9600.0,288819.0,-246381.0,267600.0,21219.0
2024-02-16,9700.0,22626.0,20626.0,1000.0,21626.0
2024-02-16,9800.0,3200.0,3200.0,0.0,3200.0
2024-02-19,9600.0,39200.0,-39200.0,39200.0,0.0
2024-02-19,9700.0,266247.0,114753.0,75747.0,190500.0
2024-02-19,9800.0,211728.0,146928.0,32400.0,179328.0
2024-02-19,9900.0,124500.0,-124500.0,124500.0,0.0
2024-02-20,9900.0,21500.0,18700.0,1400.0,20100.0
2024-02-20,10000.0,251876.0,-179754.0,215815.0,36061.0
2024-02-20,10100.0,298525.0,118621.0,89952.0,208573.0
2024-02-20,10200.0,27253.0,27253.0,0.0,27253.0
2024-02-21,9800.0,38294.0,-38294.0,38294.0,0.0
2024-02-21,9900.0,121251.0,44149.0,38551.0,82700.0
2024-02-21,10000.0,94606.0,80206.0,7200.0,87406.0
2024-02-21,10100.0,100.0,100.0,0.0,100.0
2024-02-22,9900.0,8000.0,-8000.0,8000.0,0.0
2024-02-22,10000.0,273991.0,-55975.0,164983.0,109008.0
2024-02-22,10100.0,9900.0,9900.0,0.0,9900.0
2024-02-23,9700.0,31700.0,9700.0,11000.0,20700.0
2024-02-23,9800.0,43344.0,1856.0,20744.0,22600.0
2024-02-23,9900.0,348000.0,-328600.0,338300.0,9700.0
2024-02-23,10000.0,136739.0,39661.0,48539.0,88200.0
2024-02-23,10100.0,58979.0,58979.0,0.0,58979.0
2024-02-26,9700.0,11576.0,-11576.0,11576.0,0.0
2024-02-26,9800.0,142281.0,59821.0,41230.0,101051.0
2024-02-26,9900.0,1100.0,1100.0,0.0,1100.0
2024-02-27,9700.0,5250.0,-5250.0,5250.0,0.0
2024-02-27,9800.0,336531.0,-4921.0,170726.0,165805.0
2024-02-27,9900.0,16003.0,16003.0,0.0,16003.0
2024-02-28,9800.0,33051.0,-33051.0,33051.0,0.0
2024-02-28,9900.0,194220.0,-15600.0,104910.0,89310.0
2024-02-28,10000.0,15562.0,15562.0,0.0,15562.0
2024-02-29,9700.0,2100.0,-2100.0,2100.0,0.0
2024-02-29,9800.0,138336.0,-8254.0,73295.0,65041.0
2024-02-29,9900.0,81589.0,-50601.0,66095.0,15494.0
2024-02-29,10000.0,63468.0,63468.0,0.0,63468.0
2024-03-01,9700.0,16700.0,-16700.0,16700.0,0.0
2024-03-01,9800.0,144317.0,-67117.0,105717.0,38600.0
2024-03-01,9900.0,127034.0,44632.0,41201.0,85833.0
2024-03-01,10000.0,8403.0,8403.0,0.0,8403.0
2024-03-04,9800.0,63072.0,-62672.0,62872.0,200.0
2024-03-04,9900.0,155842.0,99740.0,28051.0,127791.0
2024-03-04,10000.0,13901.0,13901.0,0.0,13901.0
2024-03-05,9700.0,3510.0,-3510.0,3510.0,0.0
2024-03-05,9800.0,133335.0,-54407.0,93871.0,39464.0
2024-03-05,9900.0,12600.0,12600.0,0.0,12600.0
2024-03-06,9700.0,166322.0,-164922.0,165622.0,700.0
2024-03-06,9800.0,169717.0,63321.0,53198.0,116519.0
2024-03-06,9900.0,9100.0,4900.0,2100.0,7000.0
2024-03-07,9600.0,12200.0,-12200.0,12200.0,0.0
2024-03-07,9700.0,178856.0,-59052.0,118954.0,59902.0
2024-03-07,9800.0,26800.0,16800.0,5000.0,21800.0
2024-03-08,9600.0,32300.0,-32300.0,32300.0,0.0
2024-03-08,9700.0,141702.0,-99902.0,120802.0,20900.0
2024-03-08,9800.0,100247.0,-72447.0,86347.0,13900.0
2024-03-08,9900.0,2200.0,2200.0,0.0,2200.0
2024-03-11,9500.0,123701.0,-103701.0,113701.0,10000.0
2024-03-11,9600.0,31135.0,13735.0,8700.0,22435.0
2024-03-12,9400.0,73306.0,-17708.0,45507.0,27799.0
2024-03-12,9500.0,84606.0,10806.0,36900.0,47706.0
2024-03-12,9600.0,500.0,500.0,0.0,500.0
2024-03-13,9400.0,17105.0,-17105.0,17105.0,0.0
2024-03-13,9500.0,175940.0,116740.0,29600.0,146340.0
2024-03-13,9600.0,44900.0,24700.0,10100.0,34800.0
2024-03-14,9600.0,34509.0,-34509.0,34509.0,0.0
2024-03-14,9700.0,72625.0,61625.0,5500.0,67125.0
2024-03-14,9800.0,252756.0,-146556.0,199656.0,53100.0
2024-03-14,9900.0,125674.0,79794.0,22940.0,102734.0
2024-03-14,10000.0,43010.0,43010.0,0.0,43010.0
2024-03-15,9600.0,523.0,-523.0,523.0,0.0
2024-03-15,9700.0,63800.0,17600.0,23100.0,40700.0
2024-03-15,9800.0,68282.0,-10370.0,39326.0,28956.0
2024-03-15,9900.0,10240.0,10240.0,0.0,10240.0
2024-03-18,9300.0,12815.0,-12815.0,12815.0,0.0
2024-03-18,9400.0,132189.0,41269.0,45460.0,86729.0
2024-03-18,9500.0,117266.0,-1756.0,59511.0,57755.0
2024-03-18,9600.0,82460.0,17860.0,32300.0,50160.0
2024-03-18,9700.0,51345.0,-42533.0,46939.0,4406.0
2024-03-18,9800.0,25219.0,12593.0,6313.0,18906.0
2024-03-18,9900.0,1210.0,1210.0,0.0,1210.0
2024-03-19,9500.0,96300.0,23100.0,36600.0,59700.0
2024-03-19,9600.0,31700.0,3900.0,13900.0,17800.0
2024-03-20,9300.0,4050.0,-4050.0,4050.0,0.0
2024-03-20,9400.0,22400.0,-4400.0,13400.0,9000.0
2024-03-20,9500.0,60148.0,-37738.0,48943.0,11205.0
2024-03-20,9600.0,6800.0,6200.0,300.0,6500.0
2024-03-21,9300.0,100.0,-100.0,100.0,0.0
2024-03-21,9400.0,104115.0,-30115.0,67115.0,37000.0
2024-03-21,9500.0,220901.0,51699.0,84601.0,136300.0
2024-03-21,9600.0,28406.0,28406.0,0.0,28406.0
2024-03-22,9400.0,1000.0,-1000.0,1000.0,0.0
2024-03-22,9500.0,170320.0,34480.0,67920.0,102400.0
2024-03-22,9600.0,49295.0,9095.0,20100.0,29195.0
2024-03-22,9700.0,5901.0,5901.0,0.0,5901.0
2024-03-25,9000.0,4000.0,-4000.0,4000.0,0.0
2024-03-25,9400.0,104600.0,-104600.0,104600.0,0.0
2024-03-25,9500.0,73610.0,-20410.0,47010.0,26600.0
2024-03-25,9600.0,119257.0,-41835.0,80546.0,38711.0
2024-03-25,9700.0,2600.0,2600.0,0.0,2600.0
2024-03-26,9400.0,500.0,-500.0,500.0,0.0
2024-03-26,9500.0,149184.0,35616.0,56784.0,92400.0
2024-03-26,9600.0,1800.0,1800.0,0.0,1800.0
2024-03-27,9400.0,45501.0,-45501.0,45501.0,0.0
2024-03-27,9500.0,115478.0,-40080.0,77779.0,37699.0
2024-03-27,9600.0,39105.0,39105.0,0.0,39105.0
2024-03-28,9400.0,65001.0,-65001.0,65001.0,0.0
2024-03-28,9500.0,177940.0,-112740.0,145340.0,32600.0
2024-03-28,9600.0,3200.0,3200.0,0.0,3200.0
2024-03-29,9400.0,116378.0,-116378.0,116378.0,0.0
