t,p,q,d,b,a
2024-02-15,48450.0,32100.0,-32100.0,32100.0,0.0
2024-02-15,48500.0,161500.0,-102700.0,132100.0,29400.0
2024-02-15,48550.0,201500.0,-166700.0,184100.0,17400.0
2024-02-15,48600.0,195900.0,-2700.0,99300.0,96600.0
2024-02-15,48650.0,125100.0,-17700.0,71400.0,53700.0
2024-02-15,48700.0,58300.0,14100.0,22100.0,36200.0
2024-02-15,48750.0,47600.0,14600.0,16500.0,31100.0
2024-02-15,48800.0,45200.0,-13600.0,29400.0,15800.0
2024-02-15,48850.0,29000.0,28400.0,300.0,28700.0
2024-02-15,48900.0,39600.0,-36400.0,38000.0,1600.0
2024-02-15,48950.0,188800.0,-70800.0,129800.0,59000.0
2024-02-15,49000.0,223600.0,71600.0,76000.0,147600.0
2024-02-15,49050.0,59400.0,42200.0,8600.0,50800.0
2024-02-15,49100.0,59500.0,46900.0,6300.0,53200.0
2024-02-15,49150.0,9700.0,6300.0,1700.0,8000.0
2024-02-15,49200.0,29200.0,22200.0,3500.0,25700.0
2024-02-15,49250.0,9400.0,9400.0,0.0,9400.0
2024-02-16,48300.0,49200.0,-49200.0,49200.0,0.0
2024-02-16,48350.0,185400.0,-159800.0,172600.0,12800.0
2024-02-16,48400.0,334300.0,-4900.0,169600.0,164700.0
2024-02-16,48450.0,221200.0,104400.0,58400.0,162800.0
2024-02-16,48500.0,258800.0,27800.0,115500.0,143300.0
2024-02-16,48550.0,108500.0,13700.0,47400.0,61100.0
2024-02-16,48600.0,67300.0,-8700.0,38000.0,29300.0
2024-02-16,48650.0,8600.0,5000.0,1800.0,6800.0
2024-02-16,48700.0,31500.0,10500.0,10500.0,21000.0
2024-02-16,48750.0,7200.0,6800.0,200.0,7000.0
2024-02-16,48800.0,4200.0,-4200.0,4200.0,0.0
2024-02-16,48900.0,700.0,-300.0,500.0,200.0
2024-02-16,48950.0,7000.0,-4600.0,5800.0,1200.0
2024-02-16,49000.0,7600.0,7600.0,0.0,7600.0
2024-02-19,48250.0,3300.0,-3300.0,3300.0,0.0
2024-02-19,48300.0,180800.0,-158800.0,169800.0,11000.0
2024-02-19,48350.0,145500.0,7100.0,69200.0,76300.0
2024-02-19,48400.0,239900.0,-80900.0,160400.0,79500.0
2024-02-19,48450.0,212000.0,-55800.0,133900.0,78100.0
2024-02-19,48500.0,354200.0,-9400.0,181800.0,172400.0
2024-02-19,48550.0,127700.0,-7700.0,67700.0,60000.0
2024-02-19,48600.0,107800.0,-11200.0,59500.0,48300.0
2024-02-19,48650.0,68400.0,3200.0,32600.0,35800.0
2024-02-19,48700.0,90100.0,4300.0,42900.0,47200.0
2024-02-19,48750.0,43000.0,42400.0,300.0,42700.0
2024-02-19,48800.0,22400.0,22400.0,0.0,22400.0
2024-02-19,48850.0,11500.0,9100.0,1200.0,10300.0
2024-02-19,48900.0,12800.0,2600.0,5100.0,7700.0
2024-02-19,48950.0,20000.0,19800.0,100.0,19900.0
2024-02-19,49000.0,62500.0,1900.0,30300.0,32200.0
