t,p,q,d,b,a
2024-02-15,22050.0,3300.0,-3300.0,3300.0,0.0
2024-02-15,22100.0,12000.0,-12000.0,12000.0,0.0
2024-02-15,22150.0,56600.0,-15000.0,35800.0,20800.0
2024-02-15,22200.0,79000.0,-23600.0,51300.0,27700.0
2024-02-15,22250.0,14500.0,-300.0,7400.0,7100.0
2024-02-15,22300.0,64200.0,31000.0,16600.0,47600.0
2024-02-15,22350.0,14900.0,3900.0,5500.0,9400.0
2024-02-15,22400.0,16100.0,5300.0,5400.0,10700.0
2024-02-15,22450.0,600.0,600.0,0.0,600.0
2024-02-16,22150.0,200.0,-200.0,200.0,0.0
2024-02-16,22200.0,75000.0,-75000.0,75000.0,0.0
2024-02-16,22250.0,63800.0,-38000.0,50900.0,12900.0
2024-02-16,22300.0,64100.0,-21700.0,42900.0,21200.0
2024-02-16,22350.0,68200.0,10000.0,29100.0,39100.0
2024-02-16,22400.0,62000.0,47200.0,7400.0,54600.0
2024-02-16,22450.0,18900.0,18900.0,0.0,18900.0
2024-02-16,22500.0,52000.0,11800.0,20100.0,31900.0
2024-02-16,22550.0,44500.0,-16100.0,30300.0,14200.0
2024-02-16,22600.0,70300.0,-28500.0,49400.0,20900.0
2024-02-16,22650.0,66800.0,-42400.0,54600.0,12200.0
2024-02-16,22700.0,87900.0,-21300.0,54600.0,33300.0
2024-02-16,22750.0,30800.0,14600.0,8100.0,22700.0
2024-02-16,22800.0,33200.0,7800.0,12700.0,20500.0
2024-02-16,22850.0,1000.0,1000.0,0.0,1000.0
2024-02-19,22800.0,13000.0,-13000.0,13000.0,0.0
2024-02-19,22850.0,19100.0,-4900.0,12000.0,7100.0
2024-02-19,22900.0,50000.0,21600.0,14200.0,35800.0
2024-02-19,22950.0,75700.0,63500.0,6100.0,69600.0
2024-02-19,23000.0,57000.0,29800.0,13600.0,43400.0
2024-02-19,23050.0,120000.0,-70000.0,95000.0,25000.0
2024-02-19,23100.0,141200.0,-16000.0,78600.0,62600.0
2024-02-19,23150.0,193500.0,135100.0,29200.0,164300.0
2024-02-19,23200.0,112300.0,-24700.0,68500.0,43800.0
2024-02-19,23250.0,26700.0,10700.0,8000.0,18700.0
2024-02-19,23300.0,7100.0,4900.0,1100.0,6000.0
2024-02-19,23350.0,31500.0,-4100.0,17800.0,13700.0
2024-02-19,23400.0,33400.0,22600.0,5400.0,28000.0
2024-02-19,23450.0,1100.0,1100.0,0.0,1100.0
2024-02-20,22700.0,45000.0,-45000.0,45000.0,0.0
2024-02-20,22750.0,121800.0,-59000.0,90400.0,31400.0
2024-02-20,22800.0,27200.0,-2600.0,14900.0,12300.0
2024-02-20,22850.0,33900.0,-21500.0,27700.0,6200.0
2024-02-20,22900.0,36200.0,-34400.0,35300.0,900.0
2024-02-20,22950.0,14600.0,-10600.0,12600.0,2000.0
2024-02-20,23000.0,63800.0,-28600.0,46200.0,17600.0
2024-02-20,23050.0,2000.0,-2000.0,2000.0,0.0
2024-02-20,23100.0,21600.0,-21600.0,21600.0,0.0
2024-02-20,23150.0,900.0,-700.0,800.0,100.0
2024-02-20,23200.0,15700.0,-11700.0,13700.0,2000.0
2024-02-21,22500.0,9300.0,-9300.0,9300.0,0.0
2024-02-21,22550.0,31900.0,-20300.0,26100.0,5800.0
2024-02-21,22600.0,41000.0,-16400.0,28700.0,12300.0
2024-02-21,22650.0,55000.0,-32400.0,43700.0,11300.0
2024-02-21,22700.0,89400.0,-27600.0,58500.0,30900.0
2024-02-21,22750.0,15900.0,2700.0,6600.0,9300.0
2024-02-21,22800.0,12100.0,5700.0,3200.0,8900.0
2024-02-21,22850.0,10300.0,9500.0,400.0,9900.0
2024-02-21,22900.0,10600.0,-5400.0,8000.0,2600.0
2024-02-21,22950.0,7600.0,7600.0,0.0,7600.0
2024-02-21,23000.0,71300.0,-18900.0,45100.0,26200.0
2024-02-21,23050.0,8200.0,-6000.0,7100.0,1100.0
2024-02-21,23100.0,24500.0,3500.0,10500.0,14000.0
2024-02-22,22800.0,10900.0,-10900.0,10900.0,0.0
2024-02-22,22850.0,5000.0,-5000.0,5000.0,0.0
2024-02-22,22900.0,15200.0,-11400.0,13300.0,1900.0
2024-02-22,22950.0,13800.0,-10600.0,12200.0,1600.0
2024-02-22,23000.0,34600.0,-24600.0,29600.0,5000.0
2024-02-22,23050.0,25000.0,0.0,12500.0,12500.0
2024-02-22,23100.0,41100.0,-25100.0,33100.0,8000.0
2024-02-22,23150.0,26600.0,2400.0,12100.0,14500.0
2024-02-22,23200.0,34200.0,8400.0,12900.0,21300.0
2024-02-22,23250.0,19800.0,9200.0,5300.0,14500.0
2024-02-22,23300.0,33200.0,-5800.0,19500.0,13700.0
2024-02-22,23350.0,14900.0,12500.0,1200.0,13700.0
2024-02-23,22600.0,39900.0,-13100.0,26500.0,13400.0
2024-02-23,22650.0,47000.0,-44800.0,45900.0,1100.0
2024-02-23,22700.0,112300.0,-60100.0,86200.0,26100.0
2024-02-23,22750.0,15900.0,-13900.0,14900.0,1000.0
2024-02-23,22800.0,89800.0,-57000.0,73400.0,16400.0
2024-02-23,22850.0,24700.0,-5300.0,15000.0,9700.0
2024-02-23,22900.0,40200.0,5800.0,17200.0,23000.0
2024-02-23,22950.0,12100.0,9300.0,1400.0,10700.0
2024-02-26,22500.0,4400.0,-4400.0,4400.0,0.0
2024-02-26,22550.0,29900.0,-21700.0,25800.0,4100.0
2024-02-26,22600.0,28400.0,-15400.0,21900.0,6500.0
2024-02-26,22650.0,16500.0,-3700.0,10100.0,6400.0
2024-02-26,22700.0,33800.0,9600.0,12100.0,21700.0
2024-02-26,22750.0,6000.0,6000.0,0.0,6000.0
2024-02-26,22800.0,1000.0,1000.0,0.0,1000.0
2024-02-27,22600.0,4400.0,-4400.0,4400.0,0.0
2024-02-27,22700.0,300.0,-300.0,300.0,0.0
2024-02-27,22750.0,3200.0,-800.0,2000.0,1200.0
2024-02-27,22800.0,37300.0,-1700.0,19500.0,17800.0
2024-02-27,22850.0,30300.0,-23100.0,26700.0,3600.0
2024-02-27,22900.0,46900.0,-7500.0,27200.0,19700.0
2024-02-27,22950.0,24800.0,11000.0,6900.0,17900.0
2024-02-27,23000.0,15500.0,12500.0,1500.0,14000.0
2024-02-28,22900.0,19400.0,-19400.0,19400.0,0.0
2024-02-28,22950.0,9800.0,-8600.0,9200.0,600.0
2024-02-28,23000.0,137400.0,-10400.0,73900.0,63500.0
2024-02-28,23050.0,26600.0,8000.0,9300.0,17300.0
2024-02-28,23100.0,48500.0,-13700.0,31100.0,17400.0
2024-02-28,23150.0,21900.0,21900.0,0.0,21900.0
2024-02-28,23200.0,100.0,100.0,0.0,100.0
2024-02-29,22800.0,3000.0,-3000.0,3000.0,0.0
2024-02-29,22850.0,17500.0,-8100.0,12800.0,4700.0
2024-02-29,22900.0,26900.0,-9700.0,18300.0,8600.0
2024-02-29,22950.0,3700.0,-3700.0,3700.0,0.0
2024-02-29,23000.0,52500.0,8500.0,22000.0,30500.0
2024-02-29,23050.0,2200.0,-2200.0,2200.0,0.0
2024-02-29,23100.0,23200.0,16600.0,3300.0,19900.0
2024-02-29,23150.0,5200.0,-3800.0,4500.0,700.0
2024-02-29,23200.0,7200.0,-2800.0,5000.0,2200.0
2024-02-29,23250.0,900.0,-500.0,700.0,200.0
2024-02-29,23300.0,1000.0,1000.0,0.0,1000.0
2024-03-01,22800.0,6800.0,-6000.0,6400.0,400.0
2024-03-01,22850.0,4900.0,-4900.0,4900.0,0.0
2024-03-01,22900.0,2900.0,-2900.0,2900.0,0.0
2024-03-01,22950.0,18700.0,-2500.0,10600.0,8100.0
2024-03-01,23000.0,39500.0,4100.0,17700.0,21800.0
2024-03-01,23050.0,20900.0,9700.0,5600.0,15300.0
2024-03-01,23100.0,15900.0,13900.0,1000.0,14900.0
2024-03-01,23150.0,9600.0,9600.0,0.0,9600.0
2024-03-04,23050.0,8400.0,-8400.0,8400.0,0.0
2024-03-04,23100.0,20700.0,-13900.0,17300.0,3400.0
2024-03-04,23150.0,9200.0,-5200.0,7200.0,2000.0
2024-03-04,23200.0,32100.0,11700.0,10200.0,21900.0
2024-03-04,23250.0,8800.0,3400.0,2700.0,6100.0
2024-03-04,23300.0,24900.0,-13100.0,19000.0,5900.0
2024-03-04,23350.0,19000.0,6600.0,6200.0,12800.0
2024-03-04,23400.0,17000.0,-400.0,8700.0,8300.0
2024-03-04,23450.0,10700.0,7900.0,1400.0,9300.0
2024-03-04,23500.0,20400.0,4200.0,8100.0,12300.0
2024-03-04,23550.0,9300.0,7300.0,1000.0,8300.0
2024-03-04,23600.0,13300.0,1100.0,6100.0,7200.0
2024-03-04,23650.0,1100.0,1100.0,0.0,1100.0
2024-03-05,23200.0,12300.0,-12300.0,12300.0,0.0
2024-03-05,23250.0,12000.0,-12000.0,12000.0,0.0
2024-03-05,23300.0,17800.0,-5000.0,11400.0,6400.0
2024-03-05,23350.0,57800.0,-3400.0,30600.0,27200.0
2024-03-05,23400.0,69900.0,1700.0,34100.0,35800.0
2024-03-05,23450.0,17100.0,14300.0,1400.0,15700.0
2024-03-05,23500.0,600.0,600.0,0.0,600.0
2024-03-05,23550.0,100.0,100.0,0.0,100.0
2024-03-06,23050.0,3200.0,-3200.0,3200.0,0.0
2024-03-06,23100.0,21200.0,-13400.0,17300.0,3900.0
2024-03-06,23150.0,3100.0,-1100.0,2100.0,1000.0
2024-03-06,23200.0,18500.0,-12700.0,15600.0,2900.0
2024-03-06,23250.0,6300.0,-4100.0,5200.0,1100.0
2024-03-06,23300.0,5600.0,-3200.0,4400.0,1200.0
2024-03-06,23350.0,1400.0,400.0,500.0,900.0
2024-03-06,23400.0,2100.0,-1100.0,1600.0,500.0
2024-03-06,23450.0,27900.0,-25700.0,26800.0,1100.0
2024-03-06,23500.0,24000.0,-17400.0,20700.0,3300.0
2024-03-06,23550.0,19000.0,-10000.0,14500.0,4500.0
2024-03-06,23600.0,18300.0,5900.0,6200.0,12100.0
2024-03-07,23050.0,21300.0,-21300.0,21300.0,0.0
2024-03-07,23100.0,19800.0,-15000.0,17400.0,2400.0
2024-03-07,23150.0,3000.0,-600.0,1800.0,1200.0
2024-03-07,23250.0,1200.0,-200.0,700.0,500.0
2024-03-07,23300.0,30000.0,9800.0,10100.0,19900.0
2024-03-07,23350.0,25500.0,-12900.0,19200.0,6300.0
2024-03-07,23400.0,158700.0,104100.0,27300.0,131400.0
2024-03-07,23450.0,19600.0,4800.0,7400.0,12200.0
2024-03-07,23500.0,17700.0,17700.0,0.0,17700.0
2024-03-08,23150.0,7600.0,-7600.0,7600.0,0.0
2024-03-08,23200.0,4900.0,-4900.0,4900.0,0.0
2024-03-08,23250.0,2000.0,-2000.0,2000.0,0.0
