t,p,q,d,b,a
2024-02-15,52100.0,500.0,-500.0,500.0,0.0
2024-02-15,52200.0,30600.0,-21400.0,26000.0,4600.0
2024-02-15,52300.0,104700.0,-68900.0,86800.0,17900.0
2024-02-15,52400.0,169700.0,-54300.0,112000.0,57700.0
2024-02-15,52500.0,72500.0,-6500.0,39500.0,33000.0
2024-02-15,52600.0,52700.0,-5700.0,29200.0,23500.0
2024-02-15,52700.0,6100.0,2900.0,1600.0,4500.0
2024-02-15,52800.0,33500.0,-7100.0,20300.0,13200.0
2024-02-15,52900.0,11600.0,600.0,5500.0,6100.0
2024-02-16,52100.0,20000.0,-20000.0,20000.0,0.0
2024-02-16,52200.0,31100.0,-13700.0,22400.0,8700.0
2024-02-16,52300.0,22100.0,11900.0,5100.0,17000.0
2024-02-16,52400.0,21600.0,-13400.0,17500.0,4100.0
2024-02-16,52500.0,52100.0,14900.0,18600.0,33500.0
2024-02-16,52600.0,48400.0,-13800.0,31100.0,17300.0
2024-02-16,52700.0,42600.0,8800.0,16900.0,25700.0
2024-02-16,52800.0,55700.0,-19900.0,37800.0,17900.0
2024-02-16,52900.0,106400.0,37600.0,34400.0,72000.0
2024-02-16,53000.0,97600.0,61600.0,18000.0,79600.0
2024-02-16,53100.0,800.0,800.0,0.0,800.0
2024-02-16,53200.0,9500.0,1300.0,4100.0,5400.0
2024-02-16,53300.0,5300.0,100.0,2600.0,2700.0
2024-02-16,53400.0,18600.0,7000.0,5800.0,12800.0
2024-02-16,53500.0,21100.0,16100.0,2500.0,18600.0
2024-02-16,53600.0,5000.0,5000.0,0.0,5000.0
2024-02-19,52500.0,1900.0,-1900.0,1900.0,0.0
2024-02-19,52700.0,12200.0,-12200.0,12200.0,0.0
2024-02-19,52800.0,119700.0,-73300.0,96500.0,23200.0
2024-02-19,52900.0,154200.0,-28600.0,91400.0,62800.0
2024-02-19,53000.0,213300.0,88100.0,62600.0,150700.0
2024-02-19,53100.0,49200.0,14600.0,17300.0,31900.0
2024-02-19,53200.0,35300.0,-8900.0,22100.0,13200.0
2024-02-19,53300.0,83800.0,-21400.0,52600.0,31200.0
2024-02-19,53400.0,114100.0,47500.0,33300.0,80800.0
2024-02-19,53500.0,118100.0,68900.0,24600.0,93500.0
2024-02-19,53600.0,108400.0,38200.0,35100.0,73300.0
2024-02-19,53700.0,38700.0,20500.0,9100.0,29600.0
2024-02-19,53800.0,13600.0,13600.0,0.0,13600.0
2024-02-20,54200.0,44700.0,-44700.0,44700.0,0.0
2024-02-20,54300.0,78900.0,16100.0,31400.0,47500.0
2024-02-20,54400.0,62300.0,-26300.0,44300.0,18000.0
2024-02-20,54500.0,81200.0,28000.0,26600.0,54600.0
2024-02-20,54600.0,92400.0,7200.0,42600.0,49800.0
2024-02-20,54700.0,56400.0,24400.0,16000.0,40400.0
2024-02-20,54800.0,40000.0,17800.0,11100.0,28900.0
2024-02-20,54900.0,38900.0,36500.0,1200.0,37700.0
2024-02-20,55000.0,43700.0,16900.0,13400.0,30300.0
2024-02-20,55100.0,8600.0,-4800.0,6700.0,1900.0
2024-02-20,55200.0,33800.0,-15000.0,24400.0,9400.0
2024-02-20,55300.0,38600.0,11400.0,13600.0,25000.0
2024-02-20,55400.0,27000.0,-1000.0,14000.0,13000.0
2024-02-20,55500.0,35200.0,26400.0,4400.0,30800.0
2024-02-20,55600.0,2600.0,-400.0,1500.0,1100.0
2024-02-20,55700.0,10200.0,5200.0,2500.0,7700.0
2024-02-20,55800.0,12700.0,2300.0,5200.0,7500.0
2024-02-20,55900.0,15100.0,1900.0,6600.0,8500.0
2024-02-20,56000.0,31600.0,-9000.0,20300.0,11300.0
2024-02-20,56100.0,10400.0,9600.0,400.0,10000.0
2024-02-20,56200.0,4500.0,-4500.0,4500.0,0.0
2024-02-20,56300.0,11400.0,11400.0,0.0,11400.0
2024-02-21,53000.0,36000.0,-36000.0,36000.0,0.0
2024-02-21,53100.0,141200.0,-23600.0,82400.0,58800.0
2024-02-21,53200.0,174100.0,-48900.0,111500.0,62600.0
2024-02-21,53300.0,94800.0,-30400.0,62600.0,32200.0
2024-02-21,53400.0,148200.0,-51600.0,99900.0,48300.0
2024-02-21,53500.0,118700.0,38900.0,39900.0,78800.0
2024-02-21,53600.0,51000.0,-19000.0,35000.0,16000.0
2024-02-21,53700.0,21600.0,14600.0,3500.0,18100.0
2024-02-21,53800.0,11900.0,3300.0,4300.0,7600.0
2024-02-21,53900.0,200.0,0.0,100.0,100.0
2024-02-21,54000.0,400.0,-400.0,400.0,0.0
2024-02-21,54100.0,1800.0,-1600.0,1700.0,100.0
2024-02-21,54200.0,2300.0,-1900.0,2100.0,200.0
2024-02-22,52800.0,186900.0,-186900.0,186900.0,0.0
2024-02-22,52900.0,299100.0,-114700.0,206900.0,92200.0
2024-02-22,53000.0,238700.0,-114300.0,176500.0,62200.0
2024-02-22,53100.0,104000.0,-60000.0,82000.0,22000.0
2024-02-22,53200.0,71900.0,-53700.0,62800.0,9100.0
2024-02-22,53300.0,31000.0,20400.0,5300.0,25700.0
2024-02-22,53400.0,2000.0,2000.0,0.0,2000.0
2024-02-22,53500.0,7700.0,-7500.0,7600.0,100.0
2024-02-23,51900.0,1600.0,-1600.0,1600.0,0.0
2024-02-23,52000.0,84600.0,-84600.0,84600.0,0.0
2024-02-23,52100.0,36900.0,-18100.0,27500.0,9400.0
2024-02-23,52200.0,81700.0,-47500.0,64600.0,17100.0
2024-02-23,52300.0,16700.0,-4500.0,10600.0,6100.0
2024-02-23,52400.0,25500.0,-19900.0,22700.0,2800.0
2024-02-23,52500.0,92100.0,-84100.0,88100.0,4000.0
2024-02-23,52600.0,70100.0,-58700.0,64400.0,5700.0
2024-02-23,52700.0,81500.0,-58100.0,69800.0,11700.0
2024-02-23,52800.0,193700.0,-114900.0,154300.0,39400.0
