t,p,q,d,b,a
2024-02-15,26100.0,34200.0,34200.0,0.0,34200.0
2024-02-15,26200.0,142400.0,114800.0,13800.0,128600.0
2024-02-15,26300.0,232401.0,18801.0,106800.0,125601.0
2024-02-15,26400.0,66516.0,-22684.0,44600.0,21916.0
2024-02-15,26500.0,8900.0,-5300.0,7100.0,1800.0
2024-02-15,26600.0,9796.0,4196.0,2800.0,6996.0
2024-02-15,26700.0,17179.0,6067.0,5556.0,11623.0
2024-02-15,26800.0,19403.0,15403.0,2000.0,17403.0
2024-02-15,26900.0,4000.0,4000.0,0.0,4000.0
2024-02-16,26200.0,43600.0,-5000.0,24300.0,19300.0
2024-02-16,26300.0,84000.0,-36000.0,60000.0,24000.0
2024-02-16,26400.0,55101.0,14299.0,20401.0,34700.0
2024-02-16,26500.0,25900.0,23100.0,1400.0,24500.0
2024-02-19,26000.0,5500.0,-5500.0,5500.0,0.0
2024-02-19,26100.0,153282.0,-6240.0,79761.0,73521.0
2024-02-19,26200.0,65200.0,-2000.0,33600.0,31600.0
2024-02-19,26300.0,86300.0,-3100.0,44700.0,41600.0
2024-02-19,26400.0,38610.0,33210.0,2700.0,35910.0
2024-02-20,26400.0,7900.0,-7900.0,7900.0,0.0
2024-02-20,26500.0,93800.0,-44200.0,69000.0,24800.0
2024-02-20,26600.0,65674.0,526.0,32574.0,33100.0
2024-02-20,26700.0,99600.0,12400.0,43600.0,56000.0
2024-02-20,26800.0,100180.0,21580.0,39300.0,60880.0
2024-02-20,26900.0,82473.0,58473.0,12000.0,70473.0
2024-02-20,27000.0,51227.0,51227.0,0.0,51227.0
2024-02-21,26300.0,6000.0,-6000.0,6000.0,0.0
2024-02-21,26400.0,36400.0,-27800.0,32100.0,4300.0
2024-02-21,26500.0,74030.0,29590.0,22220.0,51810.0
2024-02-21,26600.0,42100.0,-33900.0,38000.0,4100.0
2024-02-21,26700.0,62300.0,-19900.0,41100.0,21200.0
2024-02-21,26800.0,26000.0,5400.0,10300.0,15700.0
2024-02-21,26900.0,7500.0,7500.0,0.0,7500.0
2024-02-22,26400.0,93700.0,-60500.0,77100.0,16600.0
2024-02-22,26500.0,50550.0,-1450.0,26000.0,24550.0
2024-02-22,26600.0,30300.0,-3300.0,16800.0,13500.0
2024-02-22,26700.0,44000.0,7000.0,18500.0,25500.0
2024-02-23,25500.0,22100.0,-22100.0,22100.0,0.0
2024-02-23,25700.0,34700.0,-5900.0,20300.0,14400.0
2024-02-23,25800.0,10600.0,-10600.0,10600.0,0.0
2024-02-23,25900.0,18710.0,2890.0,7910.0,10800.0
2024-02-23,26000.0,37600.0,-10400.0,24000.0,13600.0
2024-02-23,26100.0,44000.0,-22800.0,33400.0,10600.0
2024-02-23,26200.0,37900.0,-37900.0,37900.0,0.0
2024-02-23,26300.0,58800.0,-39400.0,49100.0,9700.0
2024-02-23,26400.0,127947.0,-74041.0,100994.0,26953.0
2024-02-23,26500.0,35703.0,10503.0,12600.0,23103.0
2024-02-23,26600.0,7100.0,-6500.0,6800.0,300.0
2024-02-23,26700.0,20501.0,-13299.0,16900.0,3601.0
2024-02-26,25600.0,10300.0,-300.0,5300.0,5000.0
2024-02-26,25700.0,76431.0,3629.0,36401.0,40030.0
