t,p,q,d,b,a
2024-02-15,21100.0,31100.0,-15700.0,23400.0,7700.0
2024-02-15,21200.0,2414762.0,1211520.0,601621.0,1813141.0
2024-02-15,21300.0,3402242.0,359872.0,1521185.0,1881057.0
2024-02-15,21400.0,1533454.0,813592.0,359931.0,1173523.0
2024-02-15,21500.0,63607.0,63607.0,0.0,63607.0
2024-02-16,20100.0,1400.0,-1400.0,1400.0,0.0
2024-02-16,21300.0,25200.0,-25200.0,25200.0,0.0
2024-02-16,21400.0,12200.0,-400.0,6300.0,5900.0
2024-02-16,21500.0,227877.0,213477.0,7200.0,220677.0
2024-02-16,21600.0,265417.0,177425.0,43996.0,221421.0
2024-02-16,21700.0,2461487.0,-1249949.0,1855718.0,605769.0
2024-02-16,21800.0,1577005.0,259647.0,658679.0,918326.0
2024-02-16,21900.0,2868554.0,-284762.0,1576658.0,1291896.0
2024-02-16,22000.0,2743045.0,1877045.0,433000.0,2310045.0
2024-02-16,22100.0,390832.0,-71968.0,231400.0,159432.0
2024-02-16,22200.0,262510.0,195310.0,33600.0,228910.0
2024-02-19,21400.0,610510.0,-143310.0,376910.0,233600.0
2024-02-19,21500.0,2696061.0,-1392973.0,2044517.0,651544.0
2024-02-19,21600.0,1968080.0,-608946.0,1288513.0,679567.0
2024-02-19,21700.0,1434979.0,283641.0,575669.0,859310.0
2024-02-19,21800.0,367957.0,131597.0,118180.0,249777.0
2024-02-20,21500.0,300.0,-300.0,300.0,0.0
2024-02-20,21600.0,391955.0,-391955.0,391955.0,0.0
2024-02-20,21700.0,834956.0,31762.0,401597.0,433359.0
2024-02-20,21800.0,1507882.0,716904.0,395489.0,1112393.0
2024-02-20,21900.0,3998633.0,-810589.0,2404611.0,1594022.0
2024-02-20,22000.0,5241564.0,-242938.0,2742251.0,2499313.0
2024-02-20,22100.0,4017508.0,1986182.0,1015663.0,3001845.0
2024-02-20,22200.0,44165.0,44165.0,0.0,44165.0
2024-02-21,21700.0,170421.0,-170421.0,170421.0,0.0
2024-02-21,21800.0,2486921.0,-516905.0,1501913.0,985008.0
2024-02-21,21900.0,2061284.0,103214.0,979035.0,1082249.0
2024-02-21,22000.0,1120846.0,760464.0,180191.0,940655.0
2024-02-21,22100.0,382106.0,322306.0,29900.0,352206.0
2024-02-22,21500.0,356900.0,-343900.0,350400.0,6500.0
2024-02-22,21600.0,2334353.0,-817637.0,1575995.0,758358.0
2024-02-22,21700.0,2399393.0,-1669163.0,2034278.0,365115.0
2024-02-22,21800.0,926927.0,548519.0,189204.0,737723.0
2024-02-22,21900.0,60880.0,60880.0,0.0,60880.0
2024-02-23,21000.0,741225.0,-741225.0,741225.0,0.0
2024-02-23,21100.0,1689983.0,-234863.0,962423.0,727560.0
2024-02-23,21200.0,2290694.0,582526.0,854084.0,1436610.0
2024-02-23,21300.0,1562747.0,-541549.0,1052148.0,510599.0
2024-02-23,21400.0,1424790.0,-1319242.0,1372016.0,52774.0
2024-02-23,21500.0,2351233.0,-240675.0,1295954.0,1055279.0
2024-02-23,21600.0,655737.0,131577.0,262080.0,393657.0
2024-02-23,21700.0,114100.0,114100.0,0.0,114100.0
2024-02-26,21000.0,261359.0,-261359.0,261359.0,0.0
2024-02-26,21100.0,1689441.0,-746881.0,1218161.0,471280.0
2024-02-26,21200.0,1487237.0,102763.0,692237.0,795000.0
2024-02-26,21300.0,1424853.0,-12943.0,718898.0,705955.0
2024-02-26,21400.0,459535.0,458135.0,700.0,458835.0
2024-02-27,21300.0,246993.0,-246793.0,246893.0,100.0
2024-02-27,21400.0,2257646.0,-797372.0,1527509.0,730137.0
2024-02-27,21500.0,1733476.0,183416.0,775030.0,958446.0
2024-02-27,21600.0,670176.0,628176.0,21000.0,649176.0
2024-02-27,21700.0,1581426.0,-291524.0,936475.0,644951.0
2024-02-27,21800.0,2583327.0,1850617.0,366355.0,2216972.0
2024-02-27,21900.0,1038459.0,1016059.0,11200.0,1027259.0
2024-02-27,22000.0,1656973.0,1262975.0,196999.0,1459974.0
2024-02-27,22100.0,1441794.0,89198.0,676298.0,765496.0
