t,p,q,d,b,a
2024-02-15,18450.0,50300.0,-50300.0,50300.0,0.0
2024-02-15,18500.0,408700.0,-154100.0,281400.0,127300.0
2024-02-15,18550.0,356500.0,129900.0,113300.0,243200.0
2024-02-15,18600.0,365300.0,199100.0,83100.0,282200.0
2024-02-15,18650.0,238700.0,4500.0,117100.0,121600.0
2024-02-15,18700.0,266700.0,266700.0,0.0,266700.0
2024-02-15,18750.0,170900.0,108300.0,31300.0,139600.0
2024-02-15,18800.0,2655500.0,-487100.0,1571300.0,1084200.0
2024-02-15,18850.0,2792400.0,803800.0,994300.0,1798100.0
2024-02-15,18900.0,1735800.0,1242200.0,246800.0,1489000.0
2024-02-15,18950.0,956500.0,784900.0,85800.0,870700.0
2024-02-15,19000.0,1388900.0,1378900.0,5000.0,1383900.0
2024-02-15,19050.0,122900.0,121100.0,900.0,122000.0
2024-02-15,19100.0,1196600.0,-185400.0,691000.0,505600.0
2024-02-15,19150.0,2080900.0,-224300.0,1152600.0,928300.0
2024-02-15,19200.0,3501900.0,-182500.0,1842200.0,1659700.0
2024-02-15,19250.0,2096900.0,1192900.0,452000.0,1644900.0
2024-02-15,19300.0,1925900.0,-2900.0,964400.0,961500.0
2024-02-15,19350.0,924900.0,169300.0,377800.0,547100.0
2024-02-15,19400.0,426900.0,117300.0,154800.0,272100.0
2024-02-15,19450.0,250100.0,250100.0,0.0,250100.0
2024-02-16,19050.0,216600.0,-216600.0,216600.0,0.0
2024-02-16,19100.0,2979200.0,-1296800.0,2138000.0,841200.0
2024-02-16,19150.0,2117000.0,378800.0,869100.0,1247900.0
2024-02-16,19200.0,1524500.0,-65900.0,795200.0,729300.0
2024-02-16,19250.0,1000500.0,-81700.0,541100.0,459400.0
2024-02-16,19300.0,615600.0,135600.0,240000.0,375600.0
2024-02-16,19350.0,254500.0,237100.0,8700.0,245800.0
2024-02-16,19400.0,229400.0,229400.0,0.0,229400.0
2024-02-19,19100.0,1000.0,-1000.0,1000.0,0.0
2024-02-19,19150.0,501600.0,-406000.0,453800.0,47800.0
2024-02-19,19200.0,3628900.0,-2239700.0,2934300.0,694600.0
