t,p,q,d,b,a
2024-02-15,40000.0,3100.0,1100.0,1000.0,2100.0
2024-02-15,40100.0,10500.0,-8100.0,9300.0,1200.0
2024-02-15,40150.0,8300.0,-7300.0,7800.0,500.0
2024-02-15,40200.0,26700.0,-11900.0,19300.0,7400.0
2024-02-15,40250.0,4600.0,-4600.0,4600.0,0.0
2024-02-15,40300.0,12600.0,2600.0,5000.0,7600.0
2024-02-15,40350.0,700.0,300.0,200.0,500.0
2024-02-15,40400.0,2100.0,-1500.0,1800.0,300.0
2024-02-15,40500.0,11200.0,-7600.0,9400.0,1800.0
2024-02-15,40550.0,1700.0,1700.0,0.0,1700.0
2024-02-15,40600.0,4000.0,4000.0,0.0,4000.0
2024-02-15,40650.0,300.0,300.0,0.0,300.0
2024-02-15,40700.0,4000.0,4000.0,0.0,4000.0
2024-02-16,40050.0,16500.0,-16500.0,16500.0,0.0
2024-02-16,40100.0,9400.0,-9400.0,9400.0,0.0
2024-02-16,40150.0,2000.0,-2000.0,2000.0,0.0
2024-02-16,40200.0,19500.0,-19500.0,19500.0,0.0
2024-02-16,40250.0,10000.0,-6000.0,8000.0,2000.0
2024-02-16,40300.0,13600.0,-2200.0,7900.0,5700.0
2024-02-16,40350.0,4100.0,2100.0,1000.0,3100.0
2024-02-16,40400.0,7700.0,4100.0,1800.0,5900.0
2024-02-16,40500.0,11100.0,-8900.0,10000.0,1100.0
2024-02-16,40550.0,100.0,100.0,0.0,100.0
2024-02-16,40600.0,3400.0,3400.0,0.0,3400.0
2024-02-19,39050.0,13000.0,-13000.0,13000.0,0.0
2024-02-19,39100.0,1600.0,-1600.0,1600.0,0.0
2024-02-19,39150.0,200.0,-200.0,200.0,0.0
2024-02-19,39200.0,6700.0,-6700.0,6700.0,0.0
2024-02-19,39350.0,200.0,-200.0,200.0,0.0
2024-02-19,39500.0,4600.0,-4600.0,4600.0,0.0
2024-02-19,39550.0,100.0,-100.0,100.0,0.0
2024-02-19,39600.0,500.0,-500.0,500.0,0.0
2024-02-19,39650.0,100.0,-100.0,100.0,0.0
2024-02-19,39750.0,100.0,-100.0,100.0,0.0
2024-02-19,39950.0,13000.0,-13000.0,13000.0,0.0
2024-02-19,40000.0,11500.0,-11500.0,11500.0,0.0
2024-02-19,40050.0,5000.0,-5000.0,5000.0,0.0
2024-02-19,40100.0,3100.0,-3100.0,3100.0,0.0
2024-02-19,40150.0,200.0,-200.0,200.0,0.0
2024-02-19,40200.0,5200.0,-5200.0,5200.0,0.0
2024-02-19,40250.0,2200.0,-2200.0,2200.0,0.0
2024-02-19,40300.0,19400.0,-14000.0,16700.0,2700.0
2024-02-19,40350.0,3400.0,-2200.0,2800.0,600.0
2024-02-19,40400.0,30400.0,-14400.0,22400.0,8000.0
2024-02-19,40450.0,13200.0,6200.0,3500.0,9700.0
2024-02-19,40500.0,24300.0,14900.0,4700.0,19600.0
2024-02-19,40550.0,8700.0,1900.0,3400.0,5300.0
2024-02-19,40600.0,900.0,900.0,0.0,900.0
2024-02-20,40100.0,7000.0,-7000.0,7000.0,0.0
2024-02-20,40200.0,21500.0,-20700.0,21100.0,400.0
2024-02-20,40250.0,4900.0,-4700.0,4800.0,100.0
2024-02-20,40300.0,143900.0,-103100.0,123500.0,20400.0
2024-02-20,40350.0,4500.0,4100.0,200.0,4300.0
2024-02-20,40400.0,7000.0,7000.0,0.0,7000.0
2024-02-20,40450.0,200.0,200.0,0.0,200.0
2024-02-21,40000.0,3800.0,-3800.0,3800.0,0.0
2024-02-21,40100.0,12400.0,-10200.0,11300.0,1100.0
2024-02-21,40150.0,6500.0,-5300.0,5900.0,600.0
2024-02-21,40200.0,21500.0,-21500.0,21500.0,0.0
2024-02-21,40250.0,1500.0,-1100.0,1300.0,200.0
2024-02-21,40300.0,1500.0,1500.0,0.0,1500.0
2024-02-21,40350.0,1800.0,1800.0,0.0,1800.0
2024-02-21,40400.0,20600.0,-2800.0,11700.0,8900.0
2024-02-21,40450.0,100.0,-100.0,100.0,0.0
2024-02-21,40500.0,4000.0,4000.0,0.0,4000.0
2024-02-22,39750.0,900.0,-900.0,900.0,0.0
2024-02-22,39800.0,10100.0,-9700.0,9900.0,200.0
2024-02-22,39850.0,8800.0,-7200.0,8000.0,800.0
2024-02-22,39900.0,13700.0,-7900.0,10800.0,2900.0
2024-02-22,39950.0,1700.0,-1700.0,1700.0,0.0
2024-02-22,40000.0,16400.0,-11400.0,13900.0,2500.0
2024-02-22,40050.0,1500.0,1300.0,100.0,1400.0
2024-02-22,40100.0,2500.0,500.0,1000.0,1500.0
2024-02-22,40150.0,5800.0,5800.0,0.0,5800.0
2024-02-22,40200.0,3100.0,3100.0,0.0,3100.0
2024-02-23,39750.0,3200.0,-3200.0,3200.0,0.0
2024-02-23,39800.0,2600.0,-2400.0,2500.0,100.0
2024-02-23,39850.0,5400.0,-2400.0,3900.0,1500.0
2024-02-23,39900.0,12200.0,-9000.0,10600.0,1600.0
2024-02-23,39950.0,9700.0,-9700.0,9700.0,0.0
2024-02-23,40000.0,7600.0,-5400.0,6500.0,1100.0
2024-02-23,40050.0,9900.0,9900.0,0.0,9900.0
2024-02-23,40100.0,9500.0,4100.0,2700.0,6800.0
2024-02-23,40150.0,4200.0,-4000.0,4100.0,100.0
2024-02-23,40200.0,800.0,800.0,0.0,800.0
2024-02-26,39500.0,13000.0,-13000.0,13000.0,0.0
2024-02-26,39550.0,16500.0,1300.0,7600.0,8900.0
2024-02-26,39600.0,11300.0,-2500.0,6900.0,4400.0
2024-02-26,39650.0,13200.0,5000.0,4100.0,9100.0
2024-02-26,39700.0,17000.0,-6000.0,11500.0,5500.0
2024-02-26,39750.0,7800.0,-7000.0,7400.0,400.0
2024-02-26,39900.0,8400.0,6400.0,1000.0,7400.0
2024-02-26,39950.0,1000.0,-1000.0,1000.0,0.0
2024-02-26,40100.0,4300.0,2300.0,1000.0,3300.0
2024-02-26,40200.0,2000.0,2000.0,0.0,2000.0
2024-02-27,39400.0,12000.0,-12000.0,12000.0,0.0
2024-02-27,39450.0,1600.0,-1600.0,1600.0,0.0
2024-02-27,39500.0,16500.0,-16500.0,16500.0,0.0
2024-02-27,39550.0,300.0,-300.0,300.0,0.0
2024-02-27,39600.0,5300.0,-5300.0,5300.0,0.0
2024-02-27,39650.0,2400.0,-2400.0,2400.0,0.0
2024-02-27,39700.0,9700.0,-6500.0,8100.0,1600.0
2024-02-27,39750.0,7400.0,-4400.0,5900.0,1500.0
2024-02-27,39800.0,6900.0,-5900.0,6400.0,500.0
2024-02-27,39850.0,2500.0,-500.0,1500.0,1000.0
2024-02-27,39900.0,11700.0,1700.0,5000.0,6700.0
2024-02-27,39950.0,5800.0,3000.0,1400.0,4400.0
2024-02-27,40000.0,6900.0,3900.0,1500.0,5400.0
2024-02-27,40050.0,1700.0,1700.0,0.0,1700.0
2024-02-27,40100.0,9500.0,9500.0,0.0,9500.0
2024-02-28,39600.0,1100.0,-1100.0,1100.0,0.0
2024-02-28,39650.0,45200.0,-45200.0,45200.0,0.0
2024-02-28,39700.0,7800.0,-7800.0,7800.0,0.0
2024-02-28,39750.0,10400.0,-8800.0,9600.0,800.0
2024-02-28,39800.0,25900.0,-21300.0,23600.0,2300.0
2024-02-28,39850.0,4400.0,4200.0,100.0,4300.0
2024-02-28,39900.0,12100.0,5500.0,3300.0,8800.0
2024-02-28,39950.0,4200.0,0.0,2100.0,2100.0
2024-02-28,40000.0,23800.0,2800.0,10500.0,13300.0
2024-02-28,40050.0,300.0,300.0,0.0,300.0
2024-02-28,40100.0,10000.0,1600.0,4200.0,5800.0
2024-02-28,40150.0,300.0,300.0,0.0,300.0
2024-02-28,40200.0,10600.0,10600.0,0.0,10600.0
2024-02-29,37600.0,29400.0,-29400.0,29400.0,0.0
2024-02-29,37650.0,100.0,-100.0,100.0,0.0
2024-02-29,37700.0,6300.0,-6300.0,6300.0,0.0
2024-02-29,37750.0,500.0,-500.0,500.0,0.0
2024-02-29,37800.0,21200.0,-21200.0,21200.0,0.0
2024-02-29,37900.0,6500.0,-6500.0,6500.0,0.0
2024-02-29,37950.0,300.0,-300.0,300.0,0.0
2024-02-29,38000.0,21100.0,-21100.0,21100.0,0.0
2024-02-29,38050.0,1500.0,-1500.0,1500.0,0.0
2024-02-29,38100.0,3200.0,-3200.0,3200.0,0.0
2024-02-29,38150.0,300.0,-300.0,300.0,0.0
2024-02-29,38200.0,4200.0,-4200.0,4200.0,0.0
2024-02-29,38300.0,2100.0,-2100.0,2100.0,0.0
2024-02-29,38350.0,300.0,-300.0,300.0,0.0
2024-02-29,38400.0,1100.0,-1100.0,1100.0,0.0
2024-02-29,38500.0,1200.0,-1200.0,1200.0,0.0
