t,p,q,d,b,a
2024-05-24,18500.0,1323.0,1123.0,100.0,1223.0
2024-05-24,18600.0,500.0,500.0,0.0,500.0
2024-05-24,18700.0,500.0,500.0,0.0,500.0
2024-05-24,19000.0,1100.0,1100.0,0.0,1100.0
2024-06-17,18800.0,800.0,-800.0,800.0,0.0
2024-06-17,18900.0,1220.0,-420.0,820.0,400.0
2024-06-17,19000.0,1900.0,-1900.0,1900.0,0.0
2024-06-17,19100.0,300.0,-100.0,200.0,100.0
2024-06-17,19300.0,700.0,-300.0,500.0,200.0
2024-06-17,19500.0,207.0,7.0,100.0,107.0
2024-06-17,19700.0,100.0,100.0,0.0,100.0
2024-06-17,20000.0,119.0,119.0,0.0,119.0
2024-07-09,19800.0,3400.0,-3400.0,3400.0,0.0
2024-07-09,19900.0,23500.0,-1100.0,12300.0,11200.0
2024-07-09,20000.0,17200.0,-5600.0,11400.0,5800.0
2024-07-09,20100.0,6500.0,-3500.0,5000.0,1500.0
2024-07-09,20200.0,9400.0,-3000.0,6200.0,3200.0
2024-07-09,20300.0,5400.0,3400.0,1000.0,4400.0
2024-07-09,20400.0,2600.0,2600.0,0.0,2600.0
2024-07-09,20500.0,16400.0,-11400.0,13900.0,2500.0
2024-07-09,20600.0,800.0,800.0,0.0,800.0
2024-07-10,20100.0,17200.0,-17200.0,17200.0,0.0
2024-07-10,20200.0,4000.0,0.0,2000.0,2000.0
2024-07-10,20400.0,7500.0,5100.0,1200.0,6300.0
2024-07-10,20500.0,1000.0,-200.0,600.0,400.0
2024-07-10,20600.0,1500.0,-500.0,1000.0,500.0
2024-07-10,20700.0,2100.0,-1900.0,2000.0,100.0
2024-07-11,19800.0,6000.0,2000.0,2000.0,4000.0
2024-07-11,20000.0,1600.0,-1200.0,1400.0,200.0
2024-07-11,20100.0,11300.0,-5900.0,8600.0,2700.0
2024-07-11,20200.0,8100.0,8100.0,0.0,8100.0
2024-07-11,20300.0,6700.0,100.0,3300.0,3400.0
2024-07-12,19500.0,5100.0,-5100.0,5100.0,0.0
2024-07-12,19800.0,3000.0,-600.0,1800.0,1200.0
2024-07-12,19900.0,3300.0,3300.0,0.0,3300.0
2024-07-12,20000.0,8100.0,7700.0,200.0,7900.0
2024-07-12,20100.0,1700.0,-300.0,1000.0,700.0
2024-07-15,19600.0,500.0,100.0,200.0,300.0
2024-07-15,19800.0,800.0,800.0,0.0,800.0
2024-07-15,19900.0,400.0,400.0,0.0,400.0
2024-07-15,20000.0,300.0,-100.0,200.0,100.0
2024-07-15,20100.0,800.0,800.0,0.0,800.0
2024-07-15,20200.0,2000.0,-1000.0,1500.0,500.0
2024-07-15,20400.0,200.0,200.0,0.0,200.0
2024-07-16,19100.0,200.0,-200.0,200.0,0.0
2024-07-16,19300.0,600.0,400.0,100.0,500.0
2024-07-16,19400.0,1700.0,-1700.0,1700.0,0.0
2024-07-16,19500.0,1100.0,-500.0,800.0,300.0
2024-07-16,19900.0,500.0,-500.0,500.0,0.0
2024-07-16,20000.0,4600.0,4200.0,200.0,4400.0
2024-07-16,20100.0,1800.0,1800.0,0.0,1800.0
2024-07-17,18500.0,6300.0,-1700.0,4000.0,2300.0
2024-07-17,18600.0,0.0,0.0,0.0,0.0
2024-07-17,18700.0,4500.0,-1100.0,2800.0,1700.0
2024-07-17,18800.0,1600.0,-1600.0,1600.0,0.0
2024-07-17,19000.0,12300.0,500.0,5900.0,6400.0
2024-07-17,19400.0,1700.0,1700.0,0.0,1700.0
2024-07-17,19500.0,1500.0,1500.0,0.0,1500.0
2024-07-17,19700.0,100.0,100.0,0.0,100.0
2024-07-18,16900.0,7000.0,-3200.0,5100.0,1900.0
2024-07-18,17000.0,27400.0,-27200.0,27300.0,100.0
2024-07-18,17100.0,6700.0,-3500.0,5100.0,1600.0
2024-07-18,17200.0,2500.0,-2100.0,2300.0,200.0
2024-07-18,17300.0,14300.0,-5900.0,10100.0,4200.0
2024-07-18,17400.0,0.0,0.0,0.0,0.0
2024-07-18,17500.0,4600.0,-3600.0,4100.0,500.0
2024-07-18,17600.0,4000.0,-4000.0,4000.0,0.0
2024-07-18,17700.0,1000.0,-800.0,900.0,100.0
2024-07-18,17800.0,3700.0,-100.0,1900.0,1800.0
2024-07-18,17900.0,3100.0,-1100.0,2100.0,1000.0
2024-07-18,18000.0,4900.0,3100.0,900.0,4000.0
2024-07-18,18200.0,0.0,0.0,0.0,0.0
2024-07-19,16100.0,1000.0,-1000.0,1000.0,0.0
2024-07-19,17100.0,0.0,0.0,0.0,0.0
2024-07-19,17200.0,6100.0,-6100.0,6100.0,0.0
2024-07-19,17400.0,0.0,0.0,0.0,0.0
2024-07-19,17500.0,400.0,400.0,0.0,400.0
2024-07-19,17600.0,100.0,100.0,0.0,100.0
2024-07-19,17900.0,100.0,100.0,0.0,100.0
2024-07-19,18000.0,800.0,800.0,0.0,800.0
2024-07-19,18300.0,100.0,100.0,0.0,100.0
2024-07-19,18400.0,1100.0,1100.0,0.0,1100.0
2024-07-22,15500.0,100.0,-100.0,100.0,0.0
2024-07-22,15600.0,6600.0,-6600.0,6600.0,0.0
2024-07-22,15700.0,0.0,0.0,0.0,0.0
2024-07-22,15800.0,2400.0,2400.0,0.0,2400.0
2024-07-22,16000.0,11700.0,-3500.0,7600.0,4100.0
2024-07-22,16100.0,3800.0,-2600.0,3200.0,600.0
2024-07-22,16200.0,2500.0,-2500.0,2500.0,0.0
2024-07-22,17400.0,200.0,200.0,0.0,200.0
2024-07-22,17500.0,500.0,300.0,100.0,400.0
2024-07-23,15900.0,1300.0,1300.0,0.0,1300.0
2024-07-23,16000.0,1600.0,400.0,600.0,1000.0
2024-07-23,16300.0,100.0,100.0,0.0,100.0
2024-07-23,16400.0,100.0,-100.0,100.0,0.0
2024-07-23,16800.0,4200.0,4200.0,0.0,4200.0
2024-07-24,15400.0,500.0,-500.0,500.0,0.0
2024-07-24,15500.0,400.0,-400.0,400.0,0.0
2024-07-24,15600.0,800.0,600.0,100.0,700.0
2024-07-24,15700.0,800.0,-400.0,600.0,200.0
2024-07-24,15800.0,7700.0,5700.0,1000.0,6700.0
2024-07-24,15900.0,300.0,300.0,0.0,300.0
2024-07-24,16000.0,4000.0,1000.0,1500.0,2500.0
2024-07-24,16300.0,14000.0,12000.0,1000.0,13000.0
2024-07-25,15200.0,300.0,-300.0,300.0,0.0
2024-07-25,15400.0,400.0,-200.0,300.0,100.0
2024-07-25,15500.0,500.0,300.0,100.0,400.0
2024-07-25,15600.0,900.0,700.0,100.0,800.0
2024-07-25,15700.0,0.0,0.0,0.0,0.0
2024-07-25,15800.0,1100.0,1100.0,0.0,1100.0
2024-07-25,15900.0,200.0,200.0,0.0,200.0
2024-07-25,16000.0,0.0,0.0,0.0,0.0
2024-07-26,14100.0,2200.0,-2000.0,2100.0,100.0
2024-07-26,14600.0,200.0,-200.0,200.0,0.0
2024-07-26,15000.0,5600.0,-5600.0,5600.0,0.0
2024-07-26,15100.0,1500.0,-1500.0,1500.0,0.0
2024-07-26,15200.0,6100.0,-6100.0,6100.0,0.0
2024-07-26,15300.0,600.0,400.0,100.0,500.0
2024-07-26,15400.0,800.0,800.0,0.0,800.0
2024-07-26,15500.0,12200.0,12200.0,0.0,12200.0
2024-07-26,15600.0,2400.0,-600.0,1500.0,900.0
2024-07-29,14700.0,7600.0,-7600.0,7600.0,0.0
2024-07-29,14800.0,3100.0,-2900.0,3000.0,100.0
2024-07-29,14900.0,5600.0,-5600.0,5600.0,0.0
2024-07-29,15000.0,3300.0,-3300.0,3300.0,0.0
2024-07-29,15100.0,1000.0,-1000.0,1000.0,0.0
2024-07-29,15200.0,4000.0,-1600.0,2800.0,1200.0
2024-07-29,15300.0,2400.0,-2400.0,2400.0,0.0
2024-07-29,15400.0,100.0,100.0,0.0,100.0
2024-07-29,15500.0,800.0,800.0,0.0,800.0
2024-07-29,15900.0,200.0,200.0,0.0,200.0
2024-07-29,16400.0,3000.0,3000.0,0.0,3000.0
2024-07-30,14800.0,2800.0,-2800.0,2800.0,0.0
2024-07-30,14900.0,5800.0,-5200.0,5500.0,300.0
2024-07-30,15000.0,2900.0,900.0,1000.0,1900.0
2024-07-30,15100.0,2000.0,2000.0,0.0,2000.0
2024-07-30,15400.0,200.0,200.0,0.0,200.0
2024-07-31,14600.0,12200.0,-12200.0,12200.0,0.0
2024-07-31,14700.0,5100.0,-5100.0,5100.0,0.0
2024-07-31,14800.0,3100.0,-900.0,2000.0,1100.0
