t,p,q,d,b,a
2024-07-02,15000.0,800.0,-800.0,800.0,0.0
2024-07-02,15050.0,300.0,-300.0,300.0,0.0
2024-07-02,15350.0,400.0,400.0,0.0,400.0
2024-07-02,15400.0,8400.0,8400.0,0.0,8400.0
2024-07-02,15450.0,27300.0,27300.0,0.0,27300.0
2024-07-02,15500.0,10200.0,10200.0,0.0,10200.0
2024-05-31,16300.0,2900.0,-2900.0,2900.0,0.0
2024-05-31,16350.0,1100.0,-1100.0,1100.0,0.0
2024-05-31,16400.0,38200.0,-38000.0,38100.0,100.0
2024-05-31,16450.0,43700.0,-8100.0,25900.0,17800.0
2024-05-31,16500.0,106900.0,-45500.0,76200.0,30700.0
2024-05-31,16550.0,37100.0,-36900.0,37000.0,100.0
2024-05-31,16600.0,93800.0,-81600.0,87700.0,6100.0
2024-05-31,16650.0,25000.0,-23800.0,24400.0,600.0
2024-05-31,16700.0,37900.0,7700.0,15100.0,22800.0
2024-05-31,16750.0,6800.0,4800.0,1000.0,5800.0
2024-05-31,16800.0,10800.0,-4200.0,7500.0,3300.0
2024-05-31,16850.0,1000.0,-1000.0,1000.0,0.0
2024-05-31,16900.0,400.0,-400.0,400.0,0.0
2024-05-31,16950.0,800.0,-600.0,700.0,100.0
2024-05-31,17000.0,16600.0,-15400.0,16000.0,600.0
2024-05-31,17100.0,2700.0,2700.0,0.0,2700.0
2024-05-31,17200.0,2000.0,2000.0,0.0,2000.0
2024-02-27,12700.0,3600.0,3600.0,0.0,3600.0
2024-02-27,12750.0,100.0,100.0,0.0,100.0
2024-02-27,12800.0,3000.0,400.0,1300.0,1700.0
2024-02-27,12850.0,4300.0,2900.0,700.0,3600.0
2024-02-27,12900.0,8100.0,7700.0,200.0,7900.0
2024-02-27,12950.0,1600.0,1600.0,0.0,1600.0
2024-02-27,13000.0,36900.0,-10700.0,23800.0,13100.0
2024-02-27,13050.0,20900.0,-7100.0,14000.0,6900.0
2024-02-27,13100.0,15200.0,11200.0,2000.0,13200.0
2024-02-27,13150.0,4300.0,4300.0,0.0,4300.0
2024-02-27,13200.0,6600.0,1600.0,2500.0,4100.0
2024-03-27,14500.0,400.0,-400.0,400.0,0.0
2024-03-27,14600.0,5700.0,1700.0,2000.0,3700.0
2024-03-27,14750.0,700.0,-300.0,500.0,200.0
2024-03-27,14800.0,600.0,-600.0,600.0,0.0
2024-02-15,12600.0,300.0,-300.0,300.0,0.0
2024-02-15,12650.0,700.0,-700.0,700.0,0.0
2024-02-15,12850.0,2500.0,-500.0,1500.0,1000.0
2024-02-15,12900.0,1000.0,1000.0,0.0,1000.0
2024-02-15,12950.0,4000.0,-800.0,2400.0,1600.0
2024-03-15,13650.0,1000.0,-1000.0,1000.0,0.0
2024-03-15,13700.0,2800.0,-2800.0,2800.0,0.0
