t,p,q,d,b,a
2024-02-15,66200.0,100.0,-100.0,100.0,0.0
2024-02-15,66300.0,19100.0,-9900.0,14500.0,4600.0
2024-02-15,66400.0,6500.0,-1900.0,4200.0,2300.0
2024-02-15,66500.0,70600.0,-21400.0,46000.0,24600.0
2024-02-15,66600.0,79900.0,5300.0,37300.0,42600.0
2024-02-15,66700.0,157400.0,-24400.0,90900.0,66500.0
2024-02-15,66800.0,328700.0,-37100.0,182900.0,145800.0
2024-02-15,66900.0,240900.0,28900.0,106000.0,134900.0
2024-02-15,67000.0,204900.0,91100.0,56900.0,148000.0
2024-02-15,67100.0,120400.0,-7000.0,63700.0,56700.0
2024-02-15,67200.0,54600.0,54600.0,0.0,54600.0
2024-02-16,66300.0,13600.0,-13600.0,13600.0,0.0
2024-02-16,66400.0,104800.0,-53600.0,79200.0,25600.0
2024-02-16,66500.0,177500.0,-114100.0,145800.0,31700.0
2024-02-16,66600.0,220900.0,-118900.0,169900.0,51000.0
2024-02-16,66700.0,128300.0,-1900.0,65100.0,63200.0
2024-02-16,66800.0,189600.0,-90800.0,140200.0,49400.0
2024-02-16,66900.0,135500.0,-15900.0,75700.0,59800.0
2024-02-16,67000.0,83000.0,-40600.0,61800.0,21200.0
2024-02-16,67100.0,22700.0,-15700.0,19200.0,3500.0
2024-02-16,67200.0,21900.0,2700.0,9600.0,12300.0
2024-02-16,67300.0,5500.0,5500.0,0.0,5500.0
2024-02-16,67400.0,1200.0,1200.0,0.0,1200.0
2024-02-16,67500.0,13500.0,13500.0,0.0,13500.0
2024-02-19,66000.0,66200.0,-66200.0,66200.0,0.0
2024-02-19,66100.0,210400.0,-128800.0,169600.0,40800.0
2024-02-19,66200.0,418200.0,-169600.0,293900.0,124300.0
2024-02-19,66300.0,310500.0,19100.0,145700.0,164800.0
2024-02-19,66400.0,151900.0,-35500.0,93700.0,58200.0
2024-02-19,66500.0,101800.0,27200.0,37300.0,64500.0
2024-02-19,66600.0,79400.0,-33000.0,56200.0,23200.0
2024-02-19,66700.0,53000.0,20600.0,16200.0,36800.0
2024-02-19,66800.0,6200.0,6200.0,0.0,6200.0
2024-02-20,66100.0,3900.0,-3900.0,3900.0,0.0
2024-02-20,66200.0,133800.0,-106400.0,120100.0,13700.0
2024-02-20,66300.0,331200.0,37600.0,146800.0,184400.0
2024-02-20,66400.0,144200.0,80200.0,32000.0,112200.0
2024-02-20,66500.0,69200.0,36400.0,16400.0,52800.0
2024-02-20,66600.0,52600.0,29200.0,11700.0,40900.0
2024-02-20,66700.0,73100.0,37700.0,17700.0,55400.0
2024-02-20,66800.0,62600.0,61600.0,500.0,62100.0
2024-02-20,66900.0,20300.0,20300.0,0.0,20300.0
2024-02-20,67000.0,95100.0,95100.0,0.0,95100.0
2024-02-20,67100.0,6800.0,6800.0,0.0,6800.0
2024-02-20,67200.0,20500.0,20500.0,0.0,20500.0
2024-02-20,67300.0,27600.0,12400.0,7600.0,20000.0
2024-02-20,67400.0,43900.0,-16100.0,30000.0,13900.0
2024-02-20,67500.0,309500.0,-28500.0,169000.0,140500.0
2024-02-20,67600.0,149500.0,121500.0,14000.0,135500.0
2024-02-20,67700.0,47000.0,17800.0,14600.0,32400.0
2024-02-20,67800.0,163400.0,22200.0,70600.0,92800.0
2024-02-20,67900.0,275700.0,77700.0,99000.0,176700.0
2024-02-20,68000.0,397800.0,300600.0,48600.0,349200.0
2024-02-20,68100.0,153700.0,26700.0,63500.0,90200.0
2024-02-20,68200.0,169600.0,104400.0,32600.0,137000.0
2024-02-20,68300.0,107000.0,75200.0,15900.0,91100.0
2024-02-20,68400.0,68500.0,7500.0,30500.0,38000.0
2024-02-20,68500.0,287500.0,86900.0,100300.0,187200.0
2024-02-20,68600.0,152700.0,-3100.0,77900.0,74800.0
2024-02-20,68700.0,141600.0,20800.0,60400.0,81200.0
2024-02-20,68800.0,125100.0,20700.0,52200.0,72900.0
2024-02-20,68900.0,76400.0,26400.0,25000.0,51400.0
2024-02-20,69000.0,152600.0,93200.0,29700.0,122900.0
2024-02-20,69100.0,10500.0,10100.0,200.0,10300.0
2024-02-20,69200.0,43600.0,20200.0,11700.0,31900.0
2024-02-20,69300.0,15100.0,15100.0,0.0,15100.0
2024-02-20,69400.0,8800.0,8800.0,0.0,8800.0
2024-02-20,69500.0,3800.0,3800.0,0.0,3800.0
2024-02-21,68100.0,28300.0,-28300.0,28300.0,0.0
2024-02-21,68200.0,104800.0,-51400.0,78100.0,26700.0
2024-02-21,68300.0,237100.0,-19900.0,128500.0,108600.0
2024-02-21,68400.0,113700.0,21500.0,46100.0,67600.0
2024-02-21,68500.0,141700.0,-47900.0,94800.0,46900.0
2024-02-21,68600.0,202400.0,-15000.0,108700.0,93700.0
2024-02-21,68700.0,148100.0,15900.0,66100.0,82000.0
2024-02-21,68800.0,135800.0,28600.0,53600.0,82200.0
2024-02-21,68900.0,57400.0,-21800.0,39600.0,17800.0
2024-02-21,69000.0,109300.0,16700.0,46300.0,63000.0
