t,p,q,d,b,a
2024-02-15,35000.0,198000.0,-198000.0,198000.0,0.0
2024-02-15,35050.0,86800.0,-19000.0,52900.0,33900.0
2024-02-15,35100.0,91700.0,-43300.0,67500.0,24200.0
2024-02-15,35150.0,109000.0,-106000.0,107500.0,1500.0
2024-02-15,35200.0,243100.0,-7100.0,125100.0,118000.0
2024-02-15,35250.0,301700.0,-207700.0,254700.0,47000.0
2024-02-15,35300.0,399500.0,-104900.0,252200.0,147300.0
2024-02-15,35350.0,398500.0,-194900.0,296700.0,101800.0
2024-02-15,35400.0,1109400.0,-889000.0,999200.0,110200.0
2024-02-15,35450.0,1094100.0,-227300.0,660700.0,433400.0
2024-02-15,35500.0,1276000.0,-356200.0,816100.0,459900.0
2024-02-15,35550.0,1124800.0,314200.0,405300.0,719500.0
2024-02-15,35600.0,1098200.0,178600.0,459800.0,638400.0
2024-02-15,35650.0,462600.0,140200.0,161200.0,301400.0
2024-02-15,35700.0,171100.0,73700.0,48700.0,122400.0
2024-02-15,35750.0,46800.0,-16400.0,31600.0,15200.0
2024-02-15,35800.0,29500.0,7300.0,11100.0,18400.0
2024-02-16,34650.0,37200.0,-37200.0,37200.0,0.0
2024-02-16,34700.0,413700.0,-359300.0,386500.0,27200.0
2024-02-16,34750.0,1202600.0,-676600.0,939600.0,263000.0
2024-02-16,34800.0,1556800.0,-41800.0,799300.0,757500.0
2024-02-16,34850.0,477100.0,-9500.0,243300.0,233800.0
2024-02-16,34900.0,230100.0,-900.0,115500.0,114600.0
2024-02-16,34950.0,171100.0,-63700.0,117400.0,53700.0
2024-02-16,35000.0,1403100.0,-450100.0,926600.0,476500.0
2024-02-16,35050.0,505300.0,-81500.0,293400.0,211900.0
2024-02-16,35100.0,350200.0,99600.0,125300.0,224900.0
2024-02-16,35150.0,288100.0,50700.0,118700.0,169400.0
2024-02-16,35200.0,267300.0,97300.0,85000.0,182300.0
2024-02-16,35250.0,6800.0,6800.0,0.0,6800.0
2024-02-16,35300.0,47200.0,47200.0,0.0,47200.0
2024-02-19,34500.0,553000.0,-553000.0,553000.0,0.0
2024-02-19,34550.0,1355800.0,-1027600.0,1191700.0,164100.0
2024-02-19,34600.0,1348200.0,-49000.0,698600.0,649600.0
2024-02-19,34650.0,1105300.0,13100.0,546100.0,559200.0
2024-02-19,34700.0,522400.0,-114600.0,318500.0,203900.0
2024-02-19,34750.0,456500.0,-34100.0,245300.0,211200.0
2024-02-19,34800.0,489200.0,48800.0,220200.0,269000.0
2024-02-19,34850.0,464100.0,32500.0,215800.0,248300.0
2024-02-19,34900.0,619500.0,177300.0,221100.0,398400.0
2024-02-19,34950.0,281700.0,29700.0,126000.0,155700.0
2024-02-19,35000.0,293800.0,-69200.0,181500.0,112300.0
2024-02-19,35050.0,277000.0,-164200.0,220600.0,56400.0
2024-02-19,35100.0,364900.0,-223900.0,294400.0,70500.0
2024-02-19,35150.0,574900.0,-250900.0,412900.0,162000.0
2024-02-19,35200.0,450400.0,-19800.0,235100.0,215300.0
2024-02-19,35250.0,480100.0,256900.0,111600.0,368500.0
2024-02-19,35300.0,160300.0,58700.0,50800.0,109500.0
2024-02-19,35350.0,93300.0,11900.0,40700.0,52600.0
2024-02-19,35400.0,72100.0,900.0,35600.0,36500.0
2024-02-19,35450.0,24400.0,11800.0,6300.0,18100.0
2024-02-19,35500.0,4900.0,4900.0,0.0,4900.0
2024-02-20,34700.0,1000.0,-1000.0,1000.0,0.0
2024-02-20,34750.0,105200.0,-75000.0,90100.0,15100.0
2024-02-20,34800.0,387900.0,-196900.0,292400.0,95500.0
2024-02-20,34850.0,449400.0,-42800.0,246100.0,203300.0
2024-02-20,34900.0,340800.0,-55800.0,198300.0,142500.0
2024-02-20,34950.0,305500.0,81100.0,112200.0,193300.0
2024-02-20,35000.0,625000.0,13400.0,305800.0,319200.0
2024-02-20,35050.0,351000.0,-70600.0,210800.0,140200.0
2024-02-20,35100.0,430500.0,-31900.0,231200.0,199300.0
2024-02-20,35150.0,417700.0,-105500.0,261600.0,156100.0
2024-02-20,35200.0,518500.0,-48700.0,283600.0,234900.0
2024-02-20,35250.0,220800.0,-86000.0,153400.0,67400.0
2024-02-20,35300.0,399100.0,-23100.0,211100.0,188000.0
2024-02-20,35350.0,396100.0,-74500.0,235300.0,160800.0
2024-02-20,35400.0,934200.0,71800.0,431200.0,503000.0
2024-02-20,35450.0,312400.0,171800.0,70300.0,242100.0
2024-02-20,35500.0,207500.0,82900.0,62300.0,145200.0
2024-02-20,35550.0,85100.0,39300.0,22900.0,62200.0
2024-02-20,35600.0,2300.0,2300.0,0.0,2300.0
2024-02-21,35050.0,1100.0,-1100.0,1100.0,0.0
2024-02-21,35100.0,400.0,-400.0,400.0,0.0
2024-02-21,35150.0,70200.0,-70200.0,70200.0,0.0
2024-02-21,35200.0,34500.0,5300.0,14600.0,19900.0
2024-02-21,35250.0,245700.0,-58500.0,152100.0,93600.0
2024-02-21,35300.0,129700.0,74300.0,27700.0,102000.0
2024-02-21,35350.0,185300.0,-75300.0,130300.0,55000.0
2024-02-21,35400.0,785900.0,-365500.0,575700.0,210200.0
2024-02-21,35450.0,1065400.0,-396600.0,731000.0,334400.0
2024-02-21,35500.0,920800.0,169000.0,375900.0,544900.0
2024-02-21,35550.0,940300.0,156500.0,391900.0,548400.0
2024-02-21,35600.0,1022700.0,372500.0,325100.0,697600.0
2024-02-21,35650.0,752300.0,-94900.0,423600.0,328700.0
2024-02-21,35700.0,1094200.0,229200.0,432500.0,661700.0
2024-02-21,35750.0,388100.0,279300.0,54400.0,333700.0
2024-02-21,35800.0,428400.0,149000.0,139700.0,288700.0
2024-02-21,35850.0,314400.0,77000.0,118700.0,195700.0
2024-02-21,35900.0,333800.0,222600.0,55600.0,278200.0
2024-02-21,35950.0,160600.0,28000.0,66300.0,94300.0
2024-02-21,36000.0,544300.0,339100.0,102600.0,441700.0
2024-02-21,36050.0,48100.0,-22300.0,35200.0,12900.0
2024-02-21,36100.0,257500.0,-46300.0,151900.0,105600.0
2024-02-21,36150.0,370200.0,105200.0,132500.0,237700.0
2024-02-21,36200.0,10000.0,10000.0,0.0,10000.0
2024-02-22,35250.0,26200.0,-26200.0,26200.0,0.0
