t,p,q,d,b,a
2024-02-15,16350.0,61400.0,-40200.0,50800.0,10600.0
2024-02-15,16400.0,179900.0,-96500.0,138200.0,41700.0
2024-02-15,16450.0,83000.0,45200.0,18900.0,64100.0
2024-02-15,16500.0,35400.0,-30600.0,33000.0,2400.0
2024-02-15,16600.0,28000.0,3200.0,12400.0,15600.0
2024-02-15,16650.0,2000.0,2000.0,0.0,2000.0
2024-02-16,16400.0,36900.0,-16900.0,26900.0,10000.0
2024-02-16,16450.0,41500.0,-27100.0,34300.0,7200.0
2024-02-16,16500.0,265700.0,-32900.0,149300.0,116400.0
2024-02-16,16550.0,196900.0,45100.0,75900.0,121000.0
2024-02-16,16600.0,65100.0,8900.0,28100.0,37000.0
2024-02-16,16650.0,9700.0,2700.0,3500.0,6200.0
2024-02-16,16700.0,15700.0,15700.0,0.0,15700.0
2024-02-19,16250.0,2000.0,-2000.0,2000.0,0.0
2024-02-19,16300.0,35300.0,-34300.0,34800.0,500.0
2024-02-19,16350.0,114300.0,-66700.0,90500.0,23800.0
2024-02-19,16400.0,246300.0,-59900.0,153100.0,93200.0
2024-02-19,16450.0,85700.0,-35900.0,60800.0,24900.0
2024-02-19,16500.0,95100.0,-5500.0,50300.0,44800.0
2024-02-19,16550.0,3600.0,-1600.0,2600.0,1000.0
2024-02-19,16600.0,3000.0,-3000.0,3000.0,0.0
2024-02-19,16650.0,5600.0,-600.0,3100.0,2500.0
2024-02-19,16700.0,8000.0,8000.0,0.0,8000.0
2024-02-20,16250.0,32200.0,-15400.0,23800.0,8400.0
2024-02-20,16300.0,46900.0,-39100.0,43000.0,3900.0
2024-02-20,16350.0,169000.0,-48600.0,108800.0,60200.0
2024-02-20,16400.0,122900.0,-900.0,61900.0,61000.0
2024-02-20,16450.0,130100.0,-23700.0,76900.0,53200.0
2024-02-20,16500.0,109000.0,80000.0,14500.0,94500.0
2024-02-20,16550.0,22700.0,2700.0,10000.0,12700.0
2024-02-20,16600.0,10300.0,7300.0,1500.0,8800.0
2024-02-20,16650.0,17600.0,17600.0,0.0,17600.0
2024-02-20,16700.0,5400.0,2400.0,1500.0,3900.0
2024-02-20,16750.0,67000.0,-10800.0,38900.0,28100.0
2024-02-20,16800.0,166900.0,96500.0,35200.0,131700.0
2024-02-20,16850.0,207700.0,37300.0,85200.0,122500.0
2024-02-20,16900.0,44100.0,38900.0,2600.0,41500.0
2024-02-21,16500.0,16500.0,-16500.0,16500.0,0.0
2024-02-21,16550.0,55100.0,-41500.0,48300.0,6800.0
2024-02-21,16600.0,112500.0,-21500.0,67000.0,45500.0
2024-02-21,16650.0,60500.0,-19900.0,40200.0,20300.0
2024-02-21,16700.0,39300.0,-17100.0,28200.0,11100.0
2024-02-21,16750.0,22500.0,-12900.0,17700.0,4800.0
2024-02-21,16800.0,46200.0,-13800.0,30000.0,16200.0
2024-02-21,16850.0,600.0,600.0,0.0,600.0
2024-02-22,16450.0,62800.0,-61200.0,62000.0,800.0
2024-02-22,16500.0,233300.0,-74900.0,154100.0,79200.0
2024-02-22,16550.0,84000.0,-13400.0,48700.0,35300.0
2024-02-22,16600.0,58100.0,-5300.0,31700.0,26400.0
2024-02-22,16650.0,27100.0,26500.0,300.0,26800.0
2024-02-23,15700.0,2800.0,-2800.0,2800.0,0.0
2024-02-23,15800.0,4900.0,-4900.0,4900.0,0.0
2024-02-23,15850.0,15000.0,-15000.0,15000.0,0.0
2024-02-23,15900.0,23600.0,-23600.0,23600.0,0.0
2024-02-23,15950.0,27300.0,-27300.0,27300.0,0.0
2024-02-23,16000.0,51800.0,-19200.0,35500.0,16300.0
2024-02-23,16050.0,43900.0,100.0,21900.0,22000.0
2024-02-23,16100.0,74200.0,-45200.0,59700.0,14500.0
2024-02-23,16150.0,43600.0,22000.0,10800.0,32800.0
2024-02-23,16200.0,31900.0,-10900.0,21400.0,10500.0
2024-02-23,16250.0,58000.0,-36000.0,47000.0,11000.0
2024-02-23,16300.0,84000.0,5400.0,39300.0,44700.0
2024-02-23,16350.0,31600.0,-30400.0,31000.0,600.0
2024-02-23,16400.0,91500.0,-75100.0,83300.0,8200.0
2024-02-23,16450.0,139100.0,-75500.0,107300.0,31800.0
2024-02-23,16500.0,249800.0,-85600.0,167700.0,82100.0
2024-02-23,16550.0,38300.0,3100.0,17600.0,20700.0
2024-02-23,16600.0,16800.0,16000.0,400.0,16400.0
2024-02-26,15650.0,13100.0,-13100.0,13100.0,0.0
2024-02-26,15700.0,2300.0,2300.0,0.0,2300.0
2024-02-26,15750.0,14800.0,-14800.0,14800.0,0.0
2024-02-26,15800.0,66600.0,-20800.0,43700.0,22900.0
2024-02-26,15850.0,202500.0,-112300.0,157400.0,45100.0
2024-02-26,15900.0,102200.0,-35800.0,69000.0,33200.0
2024-02-26,15950.0,13700.0,12500.0,600.0,13100.0
2024-02-27,15900.0,3800.0,-3800.0,3800.0,0.0
2024-02-27,15950.0,25200.0,-25200.0,25200.0,0.0
2024-02-27,16000.0,140600.0,-44000.0,92300.0,48300.0
2024-02-27,16050.0,74100.0,-10500.0,42300.0,31800.0
2024-02-27,16100.0,48900.0,24300.0,12300.0,36600.0
2024-02-27,16150.0,11300.0,1500.0,4900.0,6400.0
