t,p,q,d,b,a
2024-02-15,95200.0,4400.0,-4400.0,4400.0,0.0
2024-02-15,95300.0,14200.0,-11600.0,12900.0,1300.0
2024-02-15,95400.0,10800.0,-4000.0,7400.0,3400.0
2024-02-15,95500.0,8400.0,-4000.0,6200.0,2200.0
2024-02-15,95600.0,5500.0,-500.0,3000.0,2500.0
2024-02-15,95700.0,1300.0,-900.0,1100.0,200.0
2024-02-15,95800.0,400.0,-400.0,400.0,0.0
2024-02-15,95900.0,300.0,-300.0,300.0,0.0
2024-02-15,96000.0,11600.0,-11600.0,11600.0,0.0
2024-02-15,96100.0,6400.0,2600.0,1900.0,4500.0
2024-02-15,96200.0,7700.0,-6300.0,7000.0,700.0
2024-02-15,96300.0,17500.0,-12700.0,15100.0,2400.0
2024-02-15,96400.0,9900.0,-3500.0,6700.0,3200.0
2024-02-15,96500.0,28100.0,-3900.0,16000.0,12100.0
2024-02-15,96600.0,800.0,400.0,200.0,600.0
2024-02-15,96700.0,5300.0,5300.0,0.0,5300.0
2024-02-15,96800.0,200.0,200.0,0.0,200.0
2024-02-15,96900.0,100.0,100.0,0.0,100.0
2024-02-15,97000.0,300.0,300.0,0.0,300.0
2024-02-16,94900.0,500.0,-500.0,500.0,0.0
2024-02-16,95000.0,4000.0,600.0,1700.0,2300.0
2024-02-16,95100.0,500.0,500.0,0.0,500.0
2024-02-16,95200.0,100.0,-100.0,100.0,0.0
2024-02-16,95300.0,700.0,700.0,0.0,700.0
2024-02-16,95400.0,15300.0,15300.0,0.0,15300.0
2024-02-16,95500.0,11000.0,-10400.0,10700.0,300.0
2024-02-16,95600.0,2000.0,-200.0,1100.0,900.0
2024-02-16,95700.0,6600.0,2400.0,2100.0,4500.0
2024-02-16,95800.0,2000.0,-600.0,1300.0,700.0
2024-02-16,95900.0,800.0,800.0,0.0,800.0
2024-02-16,96000.0,44200.0,24800.0,9700.0,34500.0
2024-02-16,96100.0,3800.0,-3800.0,3800.0,0.0
2024-02-16,96200.0,600.0,600.0,0.0,600.0
2024-02-16,96400.0,8200.0,8200.0,0.0,8200.0
2024-02-16,96500.0,19300.0,18100.0,600.0,18700.0
2024-02-16,96600.0,1500.0,1300.0,100.0,1400.0
2024-02-16,96700.0,7400.0,4400.0,1500.0,5900.0
2024-02-16,96800.0,11700.0,9100.0,1300.0,10400.0
2024-02-16,96900.0,44000.0,34200.0,4900.0,39100.0
2024-02-16,97000.0,45900.0,11900.0,17000.0,28900.0
2024-02-16,97100.0,10600.0,8800.0,900.0,9700.0
2024-02-16,97200.0,2000.0,2000.0,0.0,2000.0
2024-02-19,96400.0,600.0,-600.0,600.0,0.0
2024-02-19,96500.0,2900.0,500.0,1200.0,1700.0
2024-02-19,96600.0,7400.0,1000.0,3200.0,4200.0
2024-02-19,96700.0,8100.0,2300.0,2900.0,5200.0
2024-02-19,96800.0,12300.0,-900.0,6600.0,5700.0
2024-02-19,96900.0,11100.0,500.0,5300.0,5800.0
2024-02-19,97000.0,14400.0,-8800.0,11600.0,2800.0
2024-02-19,97100.0,45500.0,-15500.0,30500.0,15000.0
2024-02-19,97200.0,37800.0,28400.0,4700.0,33100.0
2024-02-19,97300.0,11800.0,7400.0,2200.0,9600.0
2024-02-19,97400.0,500.0,500.0,0.0,500.0
2024-02-19,97500.0,1500.0,1500.0,0.0,1500.0
2024-02-20,96000.0,400.0,-400.0,400.0,0.0
2024-02-20,96100.0,900.0,-900.0,900.0,0.0
2024-02-20,96200.0,22400.0,-8200.0,15300.0,7100.0
2024-02-20,96300.0,21900.0,5900.0,8000.0,13900.0
2024-02-20,96400.0,26700.0,-900.0,13800.0,12900.0
2024-02-20,96500.0,21500.0,-17500.0,19500.0,2000.0
2024-02-20,96600.0,9800.0,-2800.0,6300.0,3500.0
2024-02-20,96700.0,15400.0,-13800.0,14600.0,800.0
2024-02-20,96800.0,7000.0,3600.0,1700.0,5300.0
2024-02-20,96900.0,12200.0,-2800.0,7500.0,4700.0
2024-02-20,97000.0,8500.0,-5100.0,6800.0,1700.0
2024-02-20,97100.0,1800.0,1800.0,0.0,1800.0
2024-02-20,97200.0,1900.0,1300.0,300.0,1600.0
2024-02-20,97300.0,900.0,500.0,200.0,700.0
2024-02-20,97400.0,1100.0,100.0,500.0,600.0
2024-02-20,97500.0,2000.0,-1200.0,1600.0,400.0
2024-02-20,97600.0,800.0,400.0,200.0,600.0
2024-02-20,97700.0,4400.0,800.0,1800.0,2600.0
2024-02-20,97800.0,200.0,200.0,0.0,200.0
2024-02-21,95300.0,1800.0,-1800.0,1800.0,0.0
2024-02-21,95400.0,3500.0,-3300.0,3400.0,100.0
2024-02-21,95500.0,27800.0,-21600.0,24700.0,3100.0
2024-02-21,95600.0,7700.0,-6700.0,7200.0,500.0
2024-02-21,95700.0,28400.0,-15400.0,21900.0,6500.0
2024-02-21,95800.0,30600.0,-16200.0,23400.0,7200.0
2024-02-21,95900.0,21300.0,-7300.0,14300.0,7000.0
2024-02-21,96000.0,47200.0,-23800.0,35500.0,11700.0
2024-02-21,96100.0,16300.0,-11700.0,14000.0,2300.0
2024-02-21,96200.0,19600.0,-12200.0,15900.0,3700.0
2024-02-21,96300.0,12300.0,-3100.0,7700.0,4600.0
2024-02-21,96400.0,5300.0,-2700.0,4000.0,1300.0
2024-02-21,96500.0,3700.0,-100.0,1900.0,1800.0
2024-02-21,96700.0,1500.0,1500.0,0.0,1500.0
2024-02-21,96800.0,900.0,500.0,200.0,700.0
2024-02-21,96900.0,3900.0,3900.0,0.0,3900.0
2024-02-21,97000.0,5700.0,5700.0,0.0,5700.0
2024-02-22,96000.0,100.0,-100.0,100.0,0.0
2024-02-22,96100.0,200.0,-200.0,200.0,0.0
2024-02-22,96200.0,25400.0,-12200.0,18800.0,6600.0
2024-02-22,96300.0,3000.0,-3000.0,3000.0,0.0
2024-02-22,96500.0,8000.0,-2400.0,5200.0,2800.0
2024-02-22,96600.0,1000.0,-1000.0,1000.0,0.0
2024-02-22,96700.0,1900.0,-1300.0,1600.0,300.0
2024-02-22,96800.0,7300.0,6500.0,400.0,6900.0
2024-02-22,96900.0,2900.0,-1700.0,2300.0,600.0
2024-02-22,97000.0,24000.0,-2800.0,13400.0,10600.0
2024-02-22,97100.0,8200.0,-4000.0,6100.0,2100.0
2024-02-22,97200.0,17900.0,-9700.0,13800.0,4100.0
2024-02-22,97300.0,43900.0,31300.0,6300.0,37600.0
2024-02-22,97400.0,21600.0,-1800.0,11700.0,9900.0
2024-02-22,97500.0,21200.0,10600.0,5300.0,15900.0
2024-02-22,97600.0,10300.0,10300.0,0.0,10300.0
2024-02-22,97700.0,800.0,0.0,400.0,400.0
2024-02-22,97800.0,5800.0,5800.0,0.0,5800.0
2024-02-22,97900.0,7500.0,7500.0,0.0,7500.0
2024-02-22,98000.0,21100.0,21100.0,0.0,21100.0
2024-02-22,98100.0,100.0,100.0,0.0,100.0
2024-02-22,98200.0,5400.0,5400.0,0.0,5400.0
2024-02-22,98300.0,2000.0,1800.0,100.0,1900.0
2024-02-22,98400.0,6800.0,3400.0,1700.0,5100.0
2024-02-22,98500.0,25400.0,25400.0,0.0,25400.0
2024-02-22,98600.0,5800.0,-5200.0,5500.0,300.0
2024-02-22,98700.0,9700.0,9500.0,100.0,9600.0
2024-02-22,98800.0,7600.0,800.0,3400.0,4200.0
2024-02-22,98900.0,8800.0,4000.0,2400.0,6400.0
2024-02-22,99000.0,39800.0,29400.0,5200.0,34600.0
2024-02-22,99100.0,3500.0,500.0,1500.0,2000.0
2024-02-22,99200.0,13200.0,12800.0,200.0,13000.0
2024-02-22,99300.0,3000.0,-600.0,1800.0,1200.0
2024-02-22,99400.0,1000.0,1000.0,0.0,1000.0
2024-02-23,97500.0,5000.0,1600.0,1700.0,3300.0
2024-02-23,97600.0,5700.0,1300.0,2200.0,3500.0
2024-02-23,97700.0,4500.0,-4500.0,4500.0,0.0
2024-02-23,97800.0,24500.0,14500.0,5000.0,19500.0
2024-02-23,97900.0,5200.0,4000.0,600.0,4600.0
2024-02-23,98000.0,28600.0,-27800.0,28200.0,400.0
2024-02-23,98100.0,2700.0,-2500.0,2600.0,100.0
2024-02-23,98200.0,10500.0,-8700.0,9600.0,900.0
2024-02-23,98300.0,11500.0,2900.0,4300.0,7200.0
2024-02-23,98400.0,100.0,-100.0,100.0,0.0
2024-02-23,98500.0,5800.0,-5800.0,5800.0,0.0
2024-02-23,98600.0,700.0,300.0,200.0,500.0
