t,p,q,d,b,a
2024-02-15,30800.0,122600.0,-100800.0,111700.0,10900.0
2024-02-15,30850.0,263300.0,-105300.0,184300.0,79000.0
2024-02-15,30900.0,394600.0,-275400.0,335000.0,59600.0
2024-02-15,30950.0,429200.0,23800.0,202700.0,226500.0
2024-02-15,31000.0,325700.0,92300.0,116700.0,209000.0
2024-02-15,31050.0,31600.0,-31600.0,31600.0,0.0
2024-02-15,31100.0,20100.0,-19100.0,19600.0,500.0
2024-02-15,31150.0,7300.0,-5500.0,6400.0,900.0
2024-02-15,31200.0,4000.0,-2400.0,3200.0,800.0
2024-02-15,31250.0,7500.0,4300.0,1600.0,5900.0
2024-02-15,31300.0,46400.0,46400.0,0.0,46400.0
2024-02-16,30800.0,57300.0,-57300.0,57300.0,0.0
2024-02-16,30850.0,30500.0,-25700.0,28100.0,2400.0
2024-02-16,30900.0,164100.0,-70500.0,117300.0,46800.0
2024-02-16,30950.0,108000.0,-57400.0,82700.0,25300.0
2024-02-16,31000.0,331600.0,107000.0,112300.0,219300.0
2024-02-16,31050.0,23100.0,12900.0,5100.0,18000.0
2024-02-16,31100.0,65700.0,-12300.0,39000.0,26700.0
2024-02-16,31150.0,100700.0,22500.0,39100.0,61600.0
2024-02-16,31200.0,47100.0,-8700.0,27900.0,19200.0
2024-02-16,31250.0,33100.0,-1100.0,17100.0,16000.0
2024-02-16,31300.0,20000.0,13800.0,3100.0,16900.0
2024-02-16,31350.0,29000.0,-18200.0,23600.0,5400.0
2024-02-16,31400.0,55800.0,-8800.0,32300.0,23500.0
2024-02-16,31450.0,29000.0,29000.0,0.0,29000.0
2024-02-19,30400.0,52700.0,-52700.0,52700.0,0.0
2024-02-19,30450.0,248900.0,-74500.0,161700.0,87200.0
2024-02-19,30500.0,296100.0,-25300.0,160700.0,135400.0
2024-02-19,30550.0,126200.0,66400.0,29900.0,96300.0
2024-02-19,30600.0,315700.0,-30300.0,173000.0,142700.0
2024-02-19,30650.0,164400.0,-23400.0,93900.0,70500.0
2024-02-19,30700.0,222500.0,-34700.0,128600.0,93900.0
2024-02-19,30750.0,78500.0,-32300.0,55400.0,23100.0
2024-02-19,30800.0,134800.0,-45800.0,90300.0,44500.0
2024-02-19,30850.0,82900.0,-22300.0,52600.0,30300.0
2024-02-19,30900.0,76400.0,-37000.0,56700.0,19700.0
2024-02-19,30950.0,45700.0,-6900.0,26300.0,19400.0
2024-02-19,31000.0,43400.0,4800.0,19300.0,24100.0
2024-02-20,31000.0,18200.0,-18200.0,18200.0,0.0
2024-02-20,31050.0,3500.0,2900.0,300.0,3200.0
2024-02-20,31100.0,42200.0,26600.0,7800.0,34400.0
2024-02-20,31150.0,137700.0,27300.0,55200.0,82500.0
2024-02-20,31200.0,425200.0,-182000.0,303600.0,121600.0
2024-02-20,31250.0,247800.0,80000.0,83900.0,163900.0
2024-02-20,31300.0,380800.0,174000.0,103400.0,277400.0
2024-02-20,31350.0,163000.0,-400.0,81700.0,81300.0
2024-02-20,31400.0,90700.0,11900.0,39400.0,51300.0
2024-02-20,31450.0,63100.0,11900.0,25600.0,37500.0
2024-02-20,31500.0,176200.0,-15400.0,95800.0,80400.0
2024-02-20,31550.0,53200.0,3800.0,24700.0,28500.0
2024-02-20,31600.0,77000.0,-10400.0,43700.0,33300.0
2024-02-20,31650.0,86900.0,-22500.0,54700.0,32200.0
2024-02-20,31700.0,75000.0,1000.0,37000.0,38000.0
2024-02-20,31750.0,5400.0,4600.0,400.0,5000.0
2024-02-20,31800.0,45200.0,-2600.0,23900.0,21300.0
2024-02-20,31850.0,20000.0,6800.0,6600.0,13400.0
2024-02-20,31900.0,30600.0,30600.0,0.0,30600.0
