t,p,q,d,b,a
2024-02-15,34250.0,19700.0,19700.0,0.0,19700.0
2024-02-15,34300.0,1100.0,-1100.0,1100.0,0.0
2024-02-15,34500.0,500.0,-500.0,500.0,0.0
2024-02-15,34550.0,4600.0,-4600.0,4600.0,0.0
2024-02-15,34600.0,5000.0,-5000.0,5000.0,0.0
2024-02-15,34650.0,100.0,-100.0,100.0,0.0
2024-02-15,34700.0,1100.0,-900.0,1000.0,100.0
2024-02-15,34800.0,4800.0,-4600.0,4700.0,100.0
2024-02-15,34850.0,2000.0,1000.0,500.0,1500.0
2024-02-15,34900.0,12100.0,2100.0,5000.0,7100.0
2024-02-15,34950.0,4900.0,4900.0,0.0,4900.0
2024-02-15,35000.0,53000.0,26000.0,13500.0,39500.0
2024-02-15,35100.0,100.0,100.0,0.0,100.0
2024-02-16,34350.0,5300.0,-2100.0,3700.0,1600.0
2024-02-16,34400.0,7200.0,-7200.0,7200.0,0.0
2024-02-16,34450.0,100.0,-100.0,100.0,0.0
2024-02-16,34500.0,2000.0,0.0,1000.0,1000.0
2024-02-16,34900.0,2800.0,2800.0,0.0,2800.0
2024-02-16,34950.0,2200.0,-1200.0,1700.0,500.0
2024-02-16,35000.0,159000.0,-79800.0,119400.0,39600.0
2024-02-16,35050.0,7900.0,1900.0,3000.0,4900.0
2024-02-16,35100.0,800.0,800.0,0.0,800.0
2024-02-16,35150.0,2000.0,0.0,1000.0,1000.0
2024-02-19,35000.0,73200.0,-60200.0,66700.0,6500.0
2024-02-19,35050.0,19900.0,-9700.0,14800.0,5100.0
2024-02-19,35100.0,100.0,100.0,0.0,100.0
2024-02-20,34400.0,500.0,500.0,0.0,500.0
2024-02-20,34500.0,5600.0,-5600.0,5600.0,0.0
2024-02-20,34550.0,1300.0,-1300.0,1300.0,0.0
2024-02-20,34700.0,200.0,200.0,0.0,200.0
2024-02-20,34750.0,400.0,400.0,0.0,400.0
2024-02-20,34850.0,1600.0,1600.0,0.0,1600.0
2024-02-20,34900.0,400.0,400.0,0.0,400.0
2024-02-20,34950.0,1100.0,1100.0,0.0,1100.0
2024-02-20,35000.0,95100.0,6100.0,44500.0,50600.0
2024-02-20,35050.0,600.0,600.0,0.0,600.0
2024-02-21,34500.0,2700.0,-2700.0,2700.0,0.0
2024-02-21,34600.0,1200.0,-1200.0,1200.0,0.0
2024-02-21,34650.0,2000.0,-1800.0,1900.0,100.0
2024-02-21,34700.0,1600.0,-1600.0,1600.0,0.0
2024-02-21,34750.0,600.0,600.0,0.0,600.0
2024-02-21,34900.0,3400.0,1000.0,1200.0,2200.0
2024-02-21,34950.0,800.0,200.0,300.0,500.0
2024-02-21,35000.0,48600.0,48400.0,100.0,48500.0
2024-02-22,34550.0,300.0,-300.0,300.0,0.0
2024-02-22,34650.0,300.0,-300.0,300.0,0.0
2024-02-22,34700.0,400.0,-400.0,400.0,0.0
2024-02-22,34750.0,800.0,-400.0,600.0,200.0
2024-02-22,34800.0,2200.0,-400.0,1300.0,900.0
2024-02-22,34900.0,800.0,800.0,0.0,800.0
2024-02-22,34950.0,100.0,100.0,0.0,100.0
2024-02-22,35000.0,28400.0,8400.0,10000.0,18400.0
2024-02-22,35050.0,1900.0,500.0,700.0,1200.0
2024-02-22,35100.0,2100.0,2100.0,0.0,2100.0
2024-02-23,34800.0,4500.0,-4500.0,4500.0,0.0
2024-02-23,35000.0,12700.0,-6500.0,9600.0,3100.0
2024-02-23,35100.0,500.0,-500.0,500.0,0.0
2024-02-23,35150.0,8800.0,7600.0,600.0,8200.0
2024-02-23,35200.0,2400.0,600.0,900.0,1500.0
2024-02-23,35250.0,200.0,200.0,0.0,200.0
2024-02-23,35400.0,8900.0,1700.0,3600.0,5300.0
2024-02-23,35450.0,300.0,-300.0,300.0,0.0
2024-02-23,35500.0,8000.0,-1800.0,4900.0,3100.0
2024-02-23,35550.0,1500.0,500.0,500.0,1000.0
2024-02-23,35600.0,4200.0,3400.0,400.0,3800.0
2024-02-23,35800.0,7100.0,7100.0,0.0,7100.0
2024-02-26,34800.0,5500.0,-1900.0,3700.0,1800.0
2024-02-26,34900.0,5600.0,-4000.0,4800.0,800.0
2024-02-26,35000.0,123100.0,89900.0,16600.0,106500.0
2024-02-26,35100.0,100.0,-100.0,100.0,0.0
2024-02-27,34700.0,100.0,100.0,0.0,100.0
2024-02-27,34900.0,100.0,100.0,0.0,100.0
2024-02-27,35000.0,24100.0,-8300.0,16200.0,7900.0
2024-02-27,35050.0,1900.0,-1900.0,1900.0,0.0
2024-02-27,35100.0,4800.0,2200.0,1300.0,3500.0
2024-02-27,35200.0,6800.0,-200.0,3500.0,3300.0
2024-02-27,35250.0,600.0,600.0,0.0,600.0
2024-02-27,35300.0,4900.0,900.0,2000.0,2900.0
2024-02-27,35350.0,1100.0,1100.0,0.0,1100.0
2024-02-27,35400.0,4400.0,4400.0,0.0,4400.0
2024-02-27,35450.0,1500.0,1500.0,0.0,1500.0
2024-02-27,35500.0,3200.0,3200.0,0.0,3200.0
2024-02-28,34900.0,5900.0,-5900.0,5900.0,0.0
2024-02-28,35000.0,9000.0,-8000.0,8500.0,500.0
2024-02-28,35200.0,4000.0,0.0,2000.0,2000.0
2024-02-28,35300.0,15100.0,-8700.0,11900.0,3200.0
2024-02-28,35350.0,6300.0,700.0,2800.0,3500.0
2024-02-28,35400.0,10800.0,1400.0,4700.0,6100.0
2024-02-28,35450.0,2900.0,-1900.0,2400.0,500.0
2024-02-28,35500.0,4900.0,4900.0,0.0,4900.0
2024-02-29,35000.0,3600.0,-3600.0,3600.0,0.0
2024-02-29,35100.0,1000.0,-1000.0,1000.0,0.0
2024-02-29,35150.0,100.0,-100.0,100.0,0.0
2024-02-29,35300.0,2500.0,-2500.0,2500.0,0.0
2024-02-29,35350.0,2400.0,1600.0,400.0,2000.0
2024-02-29,35400.0,29500.0,26100.0,1700.0,27800.0
2024-02-29,35450.0,300.0,300.0,0.0,300.0
2024-03-01,35200.0,300.0,-300.0,300.0,0.0
2024-03-01,35300.0,500.0,-500.0,500.0,0.0
2024-03-01,35350.0,1300.0,-700.0,1000.0,300.0
2024-03-01,35400.0,36800.0,-7000.0,21900.0,14900.0
2024-03-01,35450.0,8100.0,-6300.0,7200.0,900.0
2024-03-01,35500.0,4300.0,4100.0,100.0,4200.0
2024-03-01,35550.0,56700.0,-300.0,28500.0,28200.0
2024-03-01,35600.0,1000.0,1000.0,0.0,1000.0
2024-03-04,35200.0,4900.0,-3700.0,4300.0,600.0
2024-03-04,35300.0,9900.0,-8100.0,9000.0,900.0
2024-03-04,35350.0,2200.0,2200.0,0.0,2200.0
2024-03-04,35400.0,18700.0,-300.0,9500.0,9200.0
2024-03-04,35500.0,5500.0,300.0,2600.0,2900.0
2024-03-04,35550.0,2300.0,900.0,700.0,1600.0
2024-03-04,35700.0,2300.0,2300.0,0.0,2300.0
2024-03-05,35300.0,12200.0,-12200.0,12200.0,0.0
2024-03-05,35350.0,100.0,-100.0,100.0,0.0
2024-03-05,35400.0,1300.0,-700.0,1000.0,300.0
2024-03-05,35500.0,3200.0,-400.0,1800.0,1400.0
2024-03-05,35550.0,21400.0,-15400.0,18400.0,3000.0
2024-03-05,35600.0,1400.0,1400.0,0.0,1400.0
2024-03-05,35700.0,3700.0,3700.0,0.0,3700.0
2024-03-06,35000.0,7500.0,-6300.0,6900.0,600.0
2024-03-06,35100.0,20600.0,-17600.0,19100.0,1500.0
2024-03-06,35150.0,1100.0,700.0,200.0,900.0
2024-03-06,35200.0,1900.0,-1700.0,1800.0,100.0
2024-03-06,35300.0,13400.0,-13400.0,13400.0,0.0
2024-03-06,35500.0,2300.0,-1100.0,1700.0,600.0
2024-03-07,35150.0,8400.0,-8400.0,8400.0,0.0
2024-03-07,35250.0,400.0,400.0,0.0,400.0
2024-03-07,35300.0,500.0,500.0,0.0,500.0
2024-03-07,35400.0,8600.0,8600.0,0.0,8600.0
2024-03-07,35500.0,14100.0,-700.0,7400.0,6700.0
2024-03-07,35550.0,1000.0,200.0,400.0,600.0
2024-03-07,35600.0,9700.0,8700.0,500.0,9200.0
2024-03-07,35650.0,900.0,-100.0,500.0,400.0
2024-03-07,35700.0,5100.0,3700.0,700.0,4400.0
2024-03-08,35200.0,2200.0,-2200.0,2200.0,0.0
2024-03-08,35300.0,3800.0,2200.0,800.0,3000.0
2024-03-08,35350.0,500.0,-500.0,500.0,0.0
2024-03-08,35500.0,4600.0,-4600.0,4600.0,0.0
2024-03-08,35650.0,1100.0,1100.0,0.0,1100.0
2024-03-08,35700.0,6200.0,5200.0,500.0,5700.0
2024-03-08,35750.0,2700.0,2700.0,0.0,2700.0
2024-03-08,35800.0,15400.0,14200.0,600.0,14800.0
2024-03-08,35900.0,6400.0,6200.0,100.0,6300.0
2024-03-08,35950.0,800.0,800.0,0.0,800.0
2024-03-08,36000.0,28300.0,3100.0,12600.0,15700.0
2024-03-08,36050.0,2100.0,2100.0,0.0,2100.0
2024-03-08,36100.0,9500.0,9500.0,0.0,9500.0
2024-03-11,35700.0,3000.0,-2000.0,2500.0,500.0
2024-03-11,35750.0,500.0,500.0,0.0,500.0
2024-03-11,35800.0,500.0,500.0,0.0,500.0
2024-03-11,35850.0,1500.0,1500.0,0.0,1500.0
2024-03-11,35900.0,1000.0,1000.0,0.0,1000.0
2024-03-11,35950.0,3000.0,3000.0,0.0,3000.0
2024-03-11,36000.0,21600.0,-8800.0,15200.0,6400.0
2024-03-11,36050.0,2100.0,2100.0,0.0,2100.0
2024-03-11,36100.0,17000.0,-400.0,8700.0,8300.0
2024-03-11,36200.0,13900.0,9300.0,2300.0,11600.0
2024-03-11,36250.0,800.0,800.0,0.0,800.0
