t,p,q,d,b,a
2024-02-15,28250.0,111000.0,-111000.0,111000.0,0.0
2024-02-15,28300.0,568500.0,-375300.0,471900.0,96600.0
2024-02-15,28350.0,949900.0,-217700.0,583800.0,366100.0
2024-02-15,28400.0,1367300.0,-355900.0,861600.0,505700.0
2024-02-15,28450.0,804300.0,211900.0,296200.0,508100.0
2024-02-15,28500.0,625100.0,-138700.0,381900.0,243200.0
2024-02-15,28550.0,897100.0,-140900.0,519000.0,378100.0
2024-02-15,28600.0,1262400.0,-174000.0,718200.0,544200.0
2024-02-15,28650.0,671800.0,201200.0,235300.0,436500.0
2024-02-15,28700.0,909500.0,229700.0,339900.0,569600.0
2024-02-15,28750.0,230300.0,89700.0,70300.0,160000.0
2024-02-15,28800.0,410300.0,158100.0,126100.0,284200.0
2024-02-15,28850.0,277800.0,45000.0,116400.0,161400.0
2024-02-15,28900.0,651500.0,39500.0,306000.0,345500.0
2024-02-15,28950.0,194900.0,194900.0,0.0,194900.0
2024-02-16,28100.0,133500.0,-133500.0,133500.0,0.0
2024-02-16,28150.0,829600.0,-385600.0,607600.0,222000.0
2024-02-16,28200.0,2043100.0,-626300.0,1334700.0,708400.0
2024-02-16,28250.0,1929000.0,-37600.0,983300.0,945700.0
2024-02-16,28300.0,1263100.0,330700.0,466200.0,796900.0
2024-02-16,28350.0,895300.0,44300.0,425500.0,469800.0
2024-02-16,28400.0,562800.0,483400.0,39700.0,523100.0
2024-02-16,28450.0,298400.0,210400.0,44000.0,254400.0
2024-02-16,28500.0,680900.0,251100.0,214900.0,466000.0
2024-02-16,28550.0,368100.0,81700.0,143200.0,224900.0
2024-02-16,28600.0,759500.0,104500.0,327500.0,432000.0
2024-02-16,28650.0,593900.0,175900.0,209000.0,384900.0
2024-02-16,28700.0,790600.0,-31600.0,411100.0,379500.0
2024-02-16,28750.0,175700.0,175700.0,0.0,175700.0
2024-02-19,28100.0,44900.0,-44900.0,44900.0,0.0
2024-02-19,28150.0,176900.0,-141500.0,159200.0,17700.0
2024-02-19,28200.0,295700.0,-86700.0,191200.0,104500.0
2024-02-19,28250.0,508400.0,-302000.0,405200.0,103200.0
2024-02-19,28300.0,633500.0,70500.0,281500.0,352000.0
2024-02-19,28350.0,689100.0,-291100.0,490100.0,199000.0
2024-02-19,28400.0,801200.0,-179600.0,490400.0,310800.0
2024-02-19,28450.0,890300.0,124500.0,382900.0,507400.0
2024-02-19,28500.0,498600.0,-26200.0,262400.0,236200.0
2024-02-19,28550.0,965000.0,66000.0,449500.0,515500.0
2024-02-19,28600.0,533000.0,-11200.0,272100.0,260900.0
2024-02-19,28650.0,407800.0,-139400.0,273600.0,134200.0
2024-02-19,28700.0,1054600.0,-567400.0,811000.0,243600.0
2024-02-19,28750.0,853700.0,-24100.0,438900.0,414800.0
2024-02-19,28800.0,861300.0,457900.0,201700.0,659600.0
2024-02-19,28850.0,733400.0,50200.0,341600.0,391800.0
2024-02-19,28900.0,523400.0,237600.0,142900.0,380500.0
2024-02-19,28950.0,270600.0,219800.0,25400.0,245200.0
2024-02-19,29000.0,416600.0,413200.0,1700.0,414900.0
