t,p,q,d,b,a
2024-02-15,33700.0,23800.0,-23800.0,23800.0,0.0
2024-02-15,33750.0,145000.0,-87400.0,116200.0,28800.0
2024-02-15,33800.0,315700.0,-107100.0,211400.0,104300.0
2024-02-15,33850.0,346600.0,10600.0,168000.0,178600.0
2024-02-15,33900.0,613300.0,-22700.0,318000.0,295300.0
2024-02-15,33950.0,514600.0,-137400.0,326000.0,188600.0
2024-02-15,34000.0,458900.0,17100.0,220900.0,238000.0
2024-02-15,34050.0,208300.0,-13300.0,110800.0,97500.0
2024-02-15,34100.0,237500.0,-148500.0,193000.0,44500.0
2024-02-15,34150.0,160900.0,-34500.0,97700.0,63200.0
2024-02-15,34200.0,38400.0,4000.0,17200.0,21200.0
2024-02-15,34250.0,5700.0,-5100.0,5400.0,300.0
2024-02-15,34300.0,11100.0,-4900.0,8000.0,3100.0
2024-02-15,34350.0,1300.0,-700.0,1000.0,300.0
2024-02-15,34400.0,32500.0,32500.0,0.0,32500.0
2024-02-16,33550.0,1100.0,-1100.0,1100.0,0.0
2024-02-16,33600.0,267500.0,-267500.0,267500.0,0.0
2024-02-16,33650.0,347100.0,-213900.0,280500.0,66600.0
2024-02-16,33700.0,448200.0,-33400.0,240800.0,207400.0
2024-02-16,33750.0,268500.0,-41900.0,155200.0,113300.0
2024-02-16,33800.0,159500.0,-3300.0,81400.0,78100.0
2024-02-16,33850.0,148000.0,-6200.0,77100.0,70900.0
2024-02-16,33900.0,409900.0,-64900.0,237400.0,172500.0
2024-02-16,33950.0,600200.0,-98000.0,349100.0,251100.0
2024-02-16,34000.0,947500.0,260500.0,343500.0,604000.0
2024-02-16,34050.0,359500.0,146500.0,106500.0,253000.0
2024-02-16,34100.0,168800.0,47000.0,60900.0,107900.0
2024-02-16,34150.0,75000.0,-10800.0,42900.0,32100.0
2024-02-16,34200.0,223100.0,39700.0,91700.0,131400.0
2024-02-16,34250.0,208700.0,104900.0,51900.0,156800.0
2024-02-16,34300.0,226700.0,38100.0,94300.0,132400.0
2024-02-16,34350.0,204600.0,103400.0,50600.0,154000.0
2024-02-16,34400.0,50600.0,50600.0,0.0,50600.0
2024-02-19,33700.0,2500.0,-2500.0,2500.0,0.0
2024-02-19,33750.0,163400.0,-98000.0,130700.0,32700.0
2024-02-19,33800.0,430300.0,-63100.0,246700.0,183600.0
2024-02-19,33850.0,256200.0,2600.0,126800.0,129400.0
2024-02-19,33900.0,283200.0,-4800.0,144000.0,139200.0
2024-02-19,33950.0,321400.0,23800.0,148800.0,172600.0
2024-02-19,34000.0,217000.0,171000.0,23000.0,194000.0
2024-02-19,34050.0,22900.0,22900.0,0.0,22900.0
2024-02-19,34100.0,63800.0,63800.0,0.0,63800.0
2024-02-19,34150.0,6200.0,6200.0,0.0,6200.0
2024-02-19,34200.0,64500.0,64500.0,0.0,64500.0
2024-02-19,34250.0,4500.0,4500.0,0.0,4500.0
2024-02-19,34300.0,157500.0,-52700.0,105100.0,52400.0
2024-02-19,34350.0,520100.0,-44900.0,282500.0,237600.0
2024-02-19,34400.0,341500.0,103900.0,118800.0,222700.0
2024-02-19,34450.0,325200.0,-218200.0,271700.0,53500.0
2024-02-19,34500.0,549900.0,170500.0,189700.0,360200.0
2024-02-19,34550.0,565500.0,-135900.0,350700.0,214800.0
2024-02-19,34600.0,760600.0,1800.0,379400.0,381200.0
2024-02-19,34650.0,672900.0,205700.0,233600.0,439300.0
2024-02-19,34700.0,517600.0,324000.0,96800.0,420800.0
2024-02-19,34750.0,175800.0,-61800.0,118800.0,57000.0
2024-02-19,34800.0,160000.0,-55600.0,107800.0,52200.0
2024-02-19,34850.0,92400.0,72000.0,10200.0,82200.0
2024-02-20,33850.0,200.0,-200.0,200.0,0.0
2024-02-20,33900.0,456800.0,-411600.0,434200.0,22600.0
2024-02-20,33950.0,378400.0,-176200.0,277300.0,101100.0
2024-02-20,34000.0,839900.0,-407900.0,623900.0,216000.0
2024-02-20,34050.0,797100.0,-464500.0,630800.0,166300.0
2024-02-20,34100.0,629600.0,-101600.0,365600.0,264000.0
2024-02-20,34150.0,228700.0,12300.0,108200.0,120500.0
2024-02-20,34200.0,363900.0,-66900.0,215400.0,148500.0
2024-02-20,34250.0,25400.0,-1600.0,13500.0,11900.0
2024-02-20,34300.0,24000.0,-13600.0,18800.0,5200.0
2024-02-20,34350.0,16500.0,4900.0,5800.0,10700.0
2024-02-20,34400.0,2400.0,1800.0,300.0,2100.0
2024-02-20,34450.0,6600.0,1400.0,2600.0,4000.0
2024-02-20,34500.0,100.0,100.0,0.0,100.0
2024-02-20,34600.0,10100.0,10100.0,0.0,10100.0
2024-02-21,34000.0,45300.0,-45300.0,45300.0,0.0
2024-02-21,34100.0,61400.0,-61400.0,61400.0,0.0
2024-02-21,34150.0,355600.0,-142200.0,248900.0,106700.0
2024-02-21,34200.0,461300.0,-47100.0,254200.0,207100.0
2024-02-21,34250.0,517500.0,-91300.0,304400.0,213100.0
2024-02-21,34300.0,378700.0,34300.0,172200.0,206500.0
2024-02-21,34350.0,211200.0,-16800.0,114000.0,97200.0
2024-02-21,34400.0,271300.0,104900.0,83200.0,188100.0
2024-02-21,34450.0,389000.0,-63800.0,226400.0,162600.0
2024-02-21,34500.0,827500.0,76100.0,375700.0,451800.0
2024-02-21,34550.0,659100.0,191500.0,233800.0,425300.0
2024-02-21,34600.0,845600.0,449800.0,197900.0,647700.0
2024-02-21,34650.0,320100.0,243700.0,38200.0,281900.0
2024-02-21,34700.0,336300.0,-10500.0,173400.0,162900.0
2024-02-21,34750.0,116000.0,116000.0,0.0,116000.0
2024-02-22,34450.0,244600.0,-230800.0,237700.0,6900.0
2024-02-22,34500.0,413500.0,-205100.0,309300.0,104200.0
2024-02-22,34550.0,420400.0,-258600.0,339500.0,80900.0
2024-02-22,34600.0,514100.0,-311500.0,412800.0,101300.0
2024-02-22,34650.0,975200.0,-266600.0,620900.0,354300.0
2024-02-22,34700.0,395800.0,109000.0,143400.0,252400.0
2024-02-22,34750.0,167800.0,48800.0,59500.0,108300.0
2024-02-22,34800.0,110700.0,81500.0,14600.0,96100.0
2024-02-22,34850.0,16600.0,16600.0,0.0,16600.0
2024-02-23,32500.0,235300.0,-228300.0,231800.0,3500.0
2024-02-23,32550.0,231700.0,55100.0,88300.0,143400.0
2024-02-23,32600.0,130800.0,38000.0,46400.0,84400.0
