t,p,q,d,b,a
2024-02-15,10700.0,45300.0,-45300.0,45300.0,0.0
2024-02-15,10800.0,227700.0,33100.0,97300.0,130400.0
2024-02-15,10900.0,61700.0,-33700.0,47700.0,14000.0
2024-02-15,11000.0,71500.0,-23300.0,47400.0,24100.0
2024-02-15,11100.0,19100.0,19100.0,0.0,19100.0
2024-02-16,10600.0,198350.0,-169750.0,184050.0,14300.0
2024-02-16,10700.0,760695.0,-157295.0,458995.0,301700.0
2024-02-16,10800.0,1900.0,1900.0,0.0,1900.0
2024-02-19,10700.0,200.0,-200.0,200.0,0.0
2024-02-19,10800.0,362920.0,-351520.0,357220.0,5700.0
2024-02-19,10900.0,916316.0,347336.0,284490.0,631826.0
2024-02-19,11000.0,50516.0,50516.0,0.0,50516.0
2024-02-20,10000.0,100.0,-100.0,100.0,0.0
2024-02-20,10700.0,7000.0,-7000.0,7000.0,0.0
2024-02-20,10800.0,255702.0,-118900.0,187301.0,68401.0
2024-02-20,10900.0,264936.0,215736.0,24600.0,240336.0
2024-02-20,11000.0,800.0,-200.0,500.0,300.0
2024-02-21,10800.0,317600.0,-205400.0,261500.0,56100.0
2024-02-21,10900.0,555282.0,223638.0,165822.0,389460.0
2024-02-21,11000.0,167000.0,167000.0,0.0,167000.0
2024-02-22,10900.0,30100.0,-30100.0,30100.0,0.0
2024-02-22,11000.0,124500.0,101300.0,11600.0,112900.0
2024-02-22,11100.0,47000.0,44400.0,1300.0,45700.0
2024-02-22,11200.0,48200.0,32000.0,8100.0,40100.0
2024-02-22,11300.0,485419.0,-416397.0,450908.0,34511.0
2024-02-22,11400.0,1488294.0,753254.0,367520.0,1120774.0
2024-02-22,11500.0,153100.0,153100.0,0.0,153100.0
2024-02-23,10800.0,10100.0,-10100.0,10100.0,0.0
2024-02-23,10900.0,247000.0,-125564.0,186282.0,60718.0
2024-02-23,11000.0,407351.0,298951.0,54200.0,353151.0
2024-02-23,11100.0,230000.0,-133400.0,181700.0,48300.0
2024-02-23,11200.0,351100.0,-115100.0,233100.0,118000.0
2024-02-23,11300.0,316550.0,-84250.0,200400.0,116150.0
2024-02-23,11400.0,144200.0,106200.0,19000.0,125200.0
2024-02-23,11500.0,114300.0,-10900.0,62600.0,51700.0
2024-02-23,11600.0,8300.0,8300.0,0.0,8300.0
2024-02-26,10900.0,26415.0,-26415.0,26415.0,0.0
2024-02-26,11000.0,194804.0,-144204.0,169504.0,25300.0
2024-02-26,11100.0,362205.0,-23205.0,192705.0,169500.0
2024-02-26,11200.0,317421.0,126421.0,95500.0,221921.0
2024-02-26,11300.0,168600.0,45400.0,61600.0,107000.0
2024-02-26,11400.0,8400.0,8400.0,0.0,8400.0
2024-02-27,11100.0,225079.0,-225079.0,225079.0,0.0
2024-02-27,11200.0,216694.0,-74654.0,145674.0,71020.0
2024-02-27,11300.0,487900.0,-131500.0,309700.0,178200.0
2024-02-27,11400.0,68478.0,-2322.0,35400.0,33078.0
2024-02-27,11500.0,287803.0,245203.0,21300.0,266503.0
2024-02-27,11600.0,2500.0,2500.0,0.0,2500.0
2024-02-28,11300.0,7300.0,-7300.0,7300.0,0.0
2024-02-28,11400.0,53300.0,-4700.0,29000.0,24300.0
2024-02-28,11500.0,506121.0,-236721.0,371421.0,134700.0
2024-02-28,11600.0,666206.0,107982.0,279112.0,387094.0
2024-02-28,11700.0,410336.0,114136.0,148100.0,262236.0
2024-02-28,11800.0,189700.0,188700.0,500.0,189200.0
2024-02-28,11900.0,88500.0,88500.0,0.0,88500.0
2024-02-29,11400.0,26002.0,-26002.0,26002.0,0.0
2024-02-29,11500.0,824685.0,-298765.0,561725.0,262960.0
2024-02-29,11600.0,205213.0,83613.0,60800.0,144413.0
2024-02-29,11700.0,65500.0,7500.0,29000.0,36500.0
2024-03-01,11400.0,142450.0,-142450.0,142450.0,0.0
2024-03-01,11500.0,423589.0,-67039.0,245314.0,178275.0
2024-03-01,11600.0,84438.0,-9362.0,46900.0,37538.0
2024-03-01,11700.0,39900.0,39900.0,0.0,39900.0
2024-03-04,11500.0,78202.0,-77602.0,77902.0,300.0
2024-03-04,11600.0,237603.0,157403.0,40100.0,197503.0
2024-03-04,11700.0,293400.0,103200.0,95100.0,198300.0
2024-03-04,11800.0,325600.0,199200.0,63200.0,262400.0
2024-03-04,11900.0,332504.0,83296.0,124604.0,207900.0
2024-03-04,12000.0,860649.0,163843.0,348403.0,512246.0
2024-03-04,12100.0,420611.0,259005.0,80803.0,339808.0
2024-03-04,12200.0,133000.0,13400.0,59800.0,73200.0
2024-03-05,11900.0,134900.0,-54900.0,94900.0,40000.0
2024-03-05,12000.0,231044.0,-51360.0,141202.0,89842.0
2024-03-05,12100.0,469746.0,15092.0,227327.0,242419.0
2024-03-05,12200.0,620377.0,476965.0,71706.0,548671.0
2024-03-05,12300.0,31000.0,31000.0,0.0,31000.0
2024-03-06,12000.0,500.0,-500.0,500.0,0.0
2024-03-06,12100.0,25000.0,-20200.0,22600.0,2400.0
2024-03-06,12200.0,578707.0,-318707.0,448707.0,130000.0
2024-03-06,12300.0,581707.0,-164307.0,373007.0,208700.0
2024-03-06,12400.0,693623.0,180995.0,256314.0,437309.0
2024-03-06,12500.0,627243.0,389969.0,118637.0,508606.0
2024-03-06,12600.0,22420.0,22420.0,0.0,22420.0
2024-03-07,12200.0,10200.0,-10200.0,10200.0,0.0
2024-03-07,12300.0,252300.0,-192900.0,222600.0,29700.0
2024-03-07,12400.0,399726.0,2324.0,198701.0,201025.0
2024-03-07,12500.0,687886.0,439862.0,124012.0,563874.0
2024-03-07,12600.0,236381.0,196181.0,20100.0,216281.0
2024-03-07,12700.0,32900.0,32900.0,0.0,32900.0
2024-03-08,12500.0,245407.0,-111607.0,178507.0,66900.0
2024-03-08,12600.0,611472.0,-171828.0,391650.0,219822.0
2024-03-08,12700.0,1025509.0,132113.0,446698.0,578811.0
2024-03-08,12800.0,636584.0,7910.0,314337.0,322247.0
2024-03-08,12900.0,292367.0,64167.0,114100.0,178267.0
2024-03-08,13000.0,433813.0,280013.0,76900.0,356913.0
2024-03-08,13100.0,100.0,100.0,0.0,100.0
2024-03-11,12500.0,31700.0,-31700.0,31700.0,0.0
2024-03-11,12600.0,526634.0,-429834.0,478234.0,48400.0
2024-03-11,12700.0,1019955.0,-290903.0,655429.0,364526.0
2024-03-11,12800.0,323279.0,105445.0,108917.0,214362.0
2024-03-12,12800.0,49300.0,10100.0,19600.0,29700.0
2024-03-12,12900.0,212751.0,-117751.0,165251.0,47500.0
2024-03-12,13000.0,563453.0,-89453.0,326453.0,237000.0
2024-03-12,13100.0,772444.0,-220286.0,496365.0,276079.0
2024-03-12,13200.0,326191.0,-152809.0,239500.0,86691.0
2024-03-12,13300.0,264753.0,132093.0,66330.0,198423.0
2024-03-12,13400.0,241100.0,23900.0,108600.0,132500.0
2024-03-12,13500.0,1038705.0,-445095.0,741900.0,296805.0
2024-03-12,13600.0,212500.0,136100.0,38200.0,174300.0
2024-03-12,13700.0,18200.0,18200.0,0.0,18200.0
2024-03-13,13500.0,6500.0,-6500.0,6500.0,0.0
2024-03-13,13600.0,6100.0,-5900.0,6000.0,100.0
2024-03-13,13700.0,206034.0,65018.0,70508.0,135526.0
2024-03-13,13800.0,171400.0,-61200.0,116300.0,55100.0
2024-03-13,13900.0,263904.0,6704.0,128600.0,135304.0
2024-03-13,14000.0,530910.0,31090.0,249910.0,281000.0
2024-03-13,14100.0,423620.0,-201620.0,312620.0,111000.0
2024-03-13,14200.0,399128.0,-86926.0,243027.0,156101.0
2024-03-13,14300.0,493218.0,356618.0,68300.0,424918.0
2024-03-13,14400.0,72200.0,72200.0,0.0,72200.0
2024-03-14,13500.0,196515.0,-196515.0,196515.0,0.0
2024-03-14,13600.0,210666.0,13734.0,98466.0,112200.0
2024-03-14,13700.0,814618.0,-325136.0,569877.0,244741.0
2024-03-14,13800.0,465631.0,19113.0,223259.0,242372.0
2024-03-14,13900.0,183280.0,-44402.0,113841.0,69439.0
