t,p,q,d,b,a
2024-02-15,95200.0,7000.0,-7000.0,7000.0,0.0
2024-02-15,95300.0,31600.0,-29000.0,30300.0,1300.0
2024-02-15,95400.0,70800.0,-49800.0,60300.0,10500.0
2024-02-15,95500.0,52800.0,-41400.0,47100.0,5700.0
2024-02-15,95600.0,144200.0,-108200.0,126200.0,18000.0
2024-02-15,95700.0,63900.0,-27500.0,45700.0,18200.0
2024-02-15,95800.0,92600.0,-51600.0,72100.0,20500.0
2024-02-15,95900.0,60500.0,-27500.0,44000.0,16500.0
2024-02-15,96000.0,196100.0,-140900.0,168500.0,27600.0
2024-02-15,96100.0,130200.0,-60800.0,95500.0,34700.0
2024-02-15,96200.0,241200.0,-107000.0,174100.0,67100.0
2024-02-15,96300.0,133800.0,-16800.0,75300.0,58500.0
2024-02-15,96400.0,98100.0,1300.0,48400.0,49700.0
2024-02-15,96500.0,161100.0,14500.0,73300.0,87800.0
2024-02-15,96600.0,60400.0,14400.0,23000.0,37400.0
2024-02-15,96700.0,21700.0,17900.0,1900.0,19800.0
2024-02-15,96800.0,5300.0,3100.0,1100.0,4200.0
2024-02-15,96900.0,6400.0,6200.0,100.0,6300.0
2024-02-15,97000.0,21300.0,6700.0,7300.0,14000.0
2024-02-15,97100.0,2800.0,2800.0,0.0,2800.0
2024-02-16,94500.0,71000.0,-69800.0,70400.0,600.0
2024-02-16,94600.0,71800.0,-21600.0,46700.0,25100.0
2024-02-16,94700.0,146800.0,-66200.0,106500.0,40300.0
2024-02-16,94800.0,136800.0,-22200.0,79500.0,57300.0
2024-02-16,94900.0,278700.0,-71100.0,174900.0,103800.0
2024-02-16,95000.0,88200.0,70800.0,8700.0,79500.0
2024-02-16,95100.0,14300.0,700.0,6800.0,7500.0
2024-02-16,95200.0,72600.0,35800.0,18400.0,54200.0
2024-02-16,95300.0,21600.0,4200.0,8700.0,12900.0
2024-02-16,95400.0,84900.0,-50900.0,67900.0,17000.0
2024-02-16,95500.0,188400.0,-84800.0,136600.0,51800.0
2024-02-16,95600.0,204600.0,21800.0,91400.0,113200.0
2024-02-16,95700.0,147000.0,7200.0,69900.0,77100.0
2024-02-16,95800.0,222800.0,34800.0,94000.0,128800.0
2024-02-16,95900.0,156600.0,-1000.0,78800.0,77800.0
2024-02-16,96000.0,307900.0,120100.0,93900.0,214000.0
2024-02-16,96100.0,70500.0,-30900.0,50700.0,19800.0
2024-02-16,96200.0,72700.0,24500.0,24100.0,48600.0
2024-02-16,96300.0,19500.0,12500.0,3500.0,16000.0
2024-02-16,96400.0,14700.0,-2700.0,8700.0,6000.0
2024-02-16,96500.0,30100.0,30100.0,0.0,30100.0
2024-02-19,95200.0,71900.0,-71900.0,71900.0,0.0
2024-02-19,95300.0,72500.0,15300.0,28600.0,43900.0
2024-02-19,95400.0,73900.0,-37700.0,55800.0,18100.0
2024-02-19,95500.0,108400.0,-18400.0,63400.0,45000.0
2024-02-19,95600.0,76000.0,-31000.0,53500.0,22500.0
2024-02-19,95700.0,118400.0,-25400.0,71900.0,46500.0
2024-02-19,95800.0,77800.0,20000.0,28900.0,48900.0
2024-02-19,95900.0,63700.0,3300.0,30200.0,33500.0
2024-02-19,96000.0,181100.0,-50900.0,116000.0,65100.0
2024-02-19,96100.0,142900.0,-4900.0,73900.0,69000.0
2024-02-19,96200.0,74300.0,41900.0,16200.0,58100.0
2024-02-19,96300.0,69500.0,36700.0,16400.0,53100.0
2024-02-19,96400.0,66600.0,53200.0,6700.0,59900.0
2024-02-19,96500.0,106600.0,106600.0,0.0,106600.0
2024-02-19,96600.0,29500.0,29500.0,0.0,29500.0
2024-02-19,96700.0,45900.0,7100.0,19400.0,26500.0
2024-02-19,96800.0,263400.0,-63400.0,163400.0,100000.0
2024-02-19,96900.0,283600.0,86600.0,98500.0,185100.0
2024-02-19,97000.0,617800.0,331800.0,143000.0,474800.0
2024-02-19,97100.0,116200.0,-46200.0,81200.0,35000.0
2024-02-19,97200.0,138000.0,-8200.0,73100.0,64900.0
2024-02-19,97300.0,80000.0,-11600.0,45800.0,34200.0
2024-02-19,97400.0,55500.0,10900.0,22300.0,33200.0
2024-02-19,97500.0,231200.0,-41800.0,136500.0,94700.0
2024-02-19,97600.0,165100.0,25100.0,70000.0,95100.0
2024-02-19,97700.0,48800.0,38000.0,5400.0,43400.0
2024-02-19,97800.0,17700.0,-9100.0,13400.0,4300.0
2024-02-19,97900.0,29900.0,300.0,14800.0,15100.0
2024-02-19,98000.0,160300.0,110700.0,24800.0,135500.0
2024-02-19,98100.0,89400.0,-38000.0,63700.0,25700.0
2024-02-19,98200.0,74900.0,51900.0,11500.0,63400.0
2024-02-19,98300.0,70500.0,14100.0,28200.0,42300.0
2024-02-19,98400.0,54500.0,20700.0,16900.0,37600.0
2024-02-19,98500.0,94100.0,94100.0,0.0,94100.0
2024-02-19,98600.0,9700.0,9700.0,0.0,9700.0
2024-02-20,95700.0,1500.0,-1500.0,1500.0,0.0
2024-02-20,95800.0,29100.0,3300.0,12900.0,16200.0
2024-02-20,95900.0,40500.0,-30300.0,35400.0,5100.0
2024-02-20,96000.0,361400.0,-189000.0,275200.0,86200.0
2024-02-20,96100.0,112800.0,29600.0,41600.0,71200.0
2024-02-20,96200.0,101300.0,-55100.0,78200.0,23100.0
2024-02-20,96300.0,112200.0,-10600.0,61400.0,50800.0
2024-02-20,96400.0,80700.0,-16100.0,48400.0,32300.0
2024-02-20,96500.0,176600.0,-85000.0,130800.0,45800.0
2024-02-20,96600.0,180800.0,-7800.0,94300.0,86500.0
2024-02-20,96700.0,87200.0,4600.0,41300.0,45900.0
2024-02-20,96800.0,124000.0,-5600.0,64800.0,59200.0
2024-02-20,96900.0,127500.0,48700.0,39400.0,88100.0
2024-02-20,97000.0,310200.0,91400.0,109400.0,200800.0
2024-02-20,97100.0,148300.0,73300.0,37500.0,110800.0
2024-02-20,97200.0,154200.0,50200.0,52000.0,102200.0
2024-02-20,97300.0,172400.0,103200.0,34600.0,137800.0
2024-02-20,97400.0,193200.0,87600.0,52800.0,140400.0
2024-02-20,97500.0,157400.0,157000.0,200.0,157200.0
2024-02-20,97600.0,39800.0,35600.0,2100.0,37700.0
2024-02-20,97700.0,17200.0,17200.0,0.0,17200.0
2024-02-20,97800.0,46500.0,26500.0,10000.0,36500.0
2024-02-20,97900.0,21800.0,21800.0,0.0,21800.0
2024-02-20,98000.0,170100.0,158700.0,5700.0,164400.0
2024-02-20,98100.0,9800.0,9200.0,300.0,9500.0
2024-02-20,98200.0,36600.0,6200.0,15200.0,21400.0
2024-02-20,98300.0,136700.0,15500.0,60600.0,76100.0
2024-02-20,98400.0,322300.0,211700.0,55300.0,267000.0
2024-02-20,98500.0,445200.0,216200.0,114500.0,330700.0
2024-02-20,98600.0,235700.0,88500.0,73600.0,162100.0
2024-02-20,98700.0,142100.0,-11500.0,76800.0,65300.0
2024-02-20,98800.0,40000.0,40000.0,0.0,40000.0
2024-02-21,99700.0,20300.0,-20300.0,20300.0,0.0
2024-02-21,99800.0,41200.0,-800.0,21000.0,20200.0
2024-02-21,99900.0,65500.0,-31900.0,48700.0,16800.0
2024-02-21,100000.0,242400.0,120600.0,60900.0,181500.0
2024-02-21,100100.0,151500.0,32700.0,59400.0,92100.0
2024-02-21,100200.0,51600.0,39200.0,6200.0,45400.0
2024-02-21,100300.0,32700.0,-9700.0,21200.0,11500.0
2024-02-21,100400.0,26000.0,-6000.0,16000.0,10000.0
2024-02-21,100500.0,60700.0,26100.0,17300.0,43400.0
2024-02-21,100600.0,28500.0,-20900.0,24700.0,3800.0
2024-02-21,100700.0,34200.0,-26200.0,30200.0,4000.0
2024-02-21,100800.0,86100.0,-20500.0,53300.0,32800.0
2024-02-21,100900.0,234000.0,23400.0,105300.0,128700.0
2024-02-21,101000.0,786400.0,554200.0,116100.0,670300.0
2024-02-21,101100.0,87100.0,-2100.0,44600.0,42500.0
2024-02-21,101200.0,116400.0,-9200.0,62800.0,53600.0
2024-02-21,101300.0,203600.0,-71200.0,137400.0,66200.0
2024-02-21,101400.0,392400.0,37800.0,177300.0,215100.0
2024-02-21,101500.0,221500.0,89900.0,65800.0,155700.0
2024-02-21,101600.0,407300.0,-129300.0,268300.0,139000.0
2024-02-21,101700.0,820600.0,48000.0,386300.0,434300.0
2024-02-21,101800.0,542000.0,312400.0,114800.0,427200.0
2024-02-21,101900.0,139800.0,57200.0,41300.0,98500.0
2024-02-21,102000.0,159200.0,68400.0,45400.0,113800.0
2024-02-21,102100.0,25700.0,7500.0,9100.0,16600.0
2024-02-21,102200.0,10200.0,8600.0,800.0,9400.0
2024-02-21,102300.0,27100.0,26300.0,400.0,26700.0
2024-02-21,102400.0,9700.0,9700.0,0.0,9700.0
2024-02-21,102500.0,53900.0,16100.0,18900.0,35000.0
2024-02-21,102600.0,2800.0,2800.0,0.0,2800.0
2024-02-21,102700.0,4200.0,-4000.0,4100.0,100.0
2024-02-21,102800.0,23600.0,-2800.0,13200.0,10400.0
2024-02-21,102900.0,140300.0,68300.0,36000.0,104300.0
2024-02-21,103000.0,80900.0,80900.0,0.0,80900.0
2024-02-22,100700.0,800.0,-800.0,800.0,0.0
2024-02-22,100800.0,16400.0,-4400.0,10400.0,6000.0
2024-02-22,100900.0,28100.0,-22900.0,25500.0,2600.0
2024-02-22,101000.0,146400.0,-29800.0,88100.0,58300.0
2024-02-22,101100.0,78000.0,-54800.0,66400.0,11600.0
2024-02-22,101200.0,182800.0,-81000.0,131900.0,50900.0
2024-02-22,101300.0,216700.0,-6100.0,111400.0,105300.0
2024-02-22,101400.0,130800.0,-69000.0,99900.0,30900.0
2024-02-22,101500.0,197200.0,32000.0,82600.0,114600.0
2024-02-22,101600.0,170500.0,-33900.0,102200.0,68300.0
2024-02-22,101700.0,334200.0,35600.0,149300.0,184900.0
2024-02-22,101800.0,252000.0,80000.0,86000.0,166000.0
2024-02-22,101900.0,81500.0,46300.0,17600.0,63900.0
2024-02-22,102000.0,419600.0,250800.0,84400.0,335200.0
2024-02-22,102100.0,144600.0,60200.0,42200.0,102400.0
2024-02-22,102200.0,68800.0,62800.0,3000.0,65800.0
2024-02-22,102300.0,41300.0,20300.0,10500.0,30800.0
2024-02-22,102400.0,43800.0,8000.0,17900.0,25900.0
2024-02-22,102500.0,77800.0,40000.0,18900.0,58900.0
2024-02-22,102600.0,11000.0,-5000.0,8000.0,3000.0
2024-02-22,102700.0,77400.0,73000.0,2200.0,75200.0
2024-02-22,102800.0,17000.0,17000.0,0.0,17000.0
2024-02-23,99600.0,4300.0,-4300.0,4300.0,0.0
2024-02-23,99700.0,57000.0,-3200.0,30100.0,26900.0
2024-02-23,99800.0,17400.0,-2200.0,9800.0,7600.0
2024-02-23,99900.0,52000.0,1800.0,25100.0,26900.0
2024-02-23,100000.0,231200.0,-100200.0,165700.0,65500.0
2024-02-23,100100.0,170200.0,-82600.0,126400.0,43800.0
2024-02-23,100200.0,145000.0,24200.0,60400.0,84600.0
2024-02-23,100300.0,29200.0,2400.0,13400.0,15800.0
2024-02-23,100400.0,52500.0,-18100.0,35300.0,17200.0
2024-02-23,100500.0,55900.0,-28700.0,42300.0,13600.0
2024-02-23,100600.0,36800.0,23400.0,6700.0,30100.0
2024-02-23,100700.0,48100.0,21700.0,13200.0,34900.0
2024-02-23,100800.0,70100.0,-42100.0,56100.0,14000.0
2024-02-23,100900.0,107900.0,-42900.0,75400.0,32500.0
2024-02-23,101000.0,192100.0,-118500.0,155300.0,36800.0
2024-02-23,101100.0,121700.0,-52700.0,87200.0,34500.0
2024-02-23,101200.0,130000.0,-42800.0,86400.0,43600.0
2024-02-23,101300.0,108100.0,-65700.0,86900.0,21200.0
2024-02-23,101400.0,75300.0,-4100.0,39700.0,35600.0
2024-02-23,101500.0,157700.0,-48900.0,103300.0,54400.0
2024-02-23,101600.0,179600.0,-25800.0,102700.0,76900.0
2024-02-23,101700.0,122400.0,44200.0,39100.0,83300.0
2024-02-23,101800.0,100900.0,15300.0,42800.0,58100.0
2024-02-23,101900.0,84500.0,21300.0,31600.0,52900.0
2024-02-23,102000.0,226200.0,38800.0,93700.0,132500.0
2024-02-23,102100.0,78700.0,-55900.0,67300.0,11400.0
2024-02-23,102200.0,111600.0,-34400.0,73000.0,38600.0
2024-02-23,102300.0,122300.0,-45900.0,84100.0,38200.0
2024-02-23,102400.0,134300.0,1100.0,66600.0,67700.0
2024-02-23,102500.0,237900.0,-54300.0,146100.0,91800.0
2024-02-23,102600.0,155200.0,-83200.0,119200.0,36000.0
2024-02-23,102700.0,163900.0,76700.0,43600.0,120300.0
2024-02-23,102800.0,162400.0,9000.0,76700.0,85700.0
2024-02-23,102900.0,125300.0,22100.0,51600.0,73700.0
2024-02-23,103000.0,246900.0,172300.0,37300.0,209600.0
2024-02-23,103100.0,8500.0,-1100.0,4800.0,3700.0
2024-02-23,103200.0,10000.0,2400.0,3800.0,6200.0
2024-02-23,103300.0,15900.0,-7500.0,11700.0,4200.0
2024-02-23,103400.0,1900.0,1900.0,0.0,1900.0
2024-02-26,100000.0,6000.0,-6000.0,6000.0,0.0
2024-02-26,100100.0,16200.0,-11600.0,13900.0,2300.0
2024-02-26,100200.0,25300.0,-5100.0,15200.0,10100.0
2024-02-26,100300.0,73300.0,-23500.0,48400.0,24900.0
2024-02-26,100400.0,25400.0,-15400.0,20400.0,5000.0
2024-02-26,100500.0,48700.0,-32900.0,40800.0,7900.0
2024-02-26,100600.0,69200.0,-27400.0,48300.0,20900.0
2024-02-26,100700.0,77300.0,57500.0,9900.0,67400.0
2024-02-26,100800.0,60900.0,55500.0,2700.0,58200.0
2024-02-26,100900.0,16400.0,16400.0,0.0,16400.0
2024-02-26,101000.0,182000.0,80600.0,50700.0,131300.0
2024-02-26,101100.0,5400.0,-5200.0,5300.0,100.0
2024-02-26,101200.0,8400.0,8400.0,0.0,8400.0
2024-02-26,101300.0,2100.0,2100.0,0.0,2100.0
2024-02-26,101400.0,24300.0,24300.0,0.0,24300.0
2024-02-26,101500.0,29500.0,29500.0,0.0,29500.0
2024-02-26,101600.0,7900.0,7900.0,0.0,7900.0
2024-02-26,101700.0,24000.0,16200.0,3900.0,20100.0
2024-02-26,101800.0,500.0,500.0,0.0,500.0
2024-02-26,101900.0,13300.0,13300.0,0.0,13300.0
2024-02-26,102000.0,139600.0,50400.0,44600.0,95000.0
2024-02-26,102100.0,42700.0,36100.0,3300.0,39400.0
2024-02-26,102200.0,35300.0,13900.0,10700.0,24600.0
2024-02-26,102300.0,17400.0,11400.0,3000.0,14400.0
2024-02-26,102400.0,17900.0,1100.0,8400.0,9500.0
2024-02-26,102500.0,70500.0,70500.0,0.0,70500.0
2024-02-26,102600.0,12600.0,12600.0,0.0,12600.0
2024-02-26,102700.0,18200.0,18200.0,0.0,18200.0
2024-02-26,102800.0,14100.0,13500.0,300.0,13800.0
2024-02-26,102900.0,31700.0,31700.0,0.0,31700.0
2024-02-26,103000.0,74000.0,74000.0,0.0,74000.0
2024-02-26,103100.0,7400.0,7000.0,200.0,7200.0
2024-02-26,103200.0,6900.0,6900.0,0.0,6900.0
2024-02-26,103300.0,20600.0,20600.0,0.0,20600.0
2024-02-26,103400.0,4800.0,4800.0,0.0,4800.0
2024-02-26,103500.0,10700.0,10700.0,0.0,10700.0
2024-02-26,103600.0,6600.0,-3600.0,5100.0,1500.0
2024-02-26,103700.0,25400.0,10600.0,7400.0,18000.0
2024-02-26,103800.0,49600.0,-15400.0,32500.0,17100.0
2024-02-26,103900.0,86500.0,29100.0,28700.0,57800.0
2024-02-26,104000.0,110800.0,32000.0,39400.0,71400.0
2024-02-26,104100.0,45500.0,-5700.0,25600.0,19900.0
2024-02-26,104200.0,104300.0,-19100.0,61700.0,42600.0
2024-02-26,104300.0,93700.0,40700.0,26500.0,67200.0
2024-02-26,104400.0,175400.0,95800.0,39800.0,135600.0
2024-02-26,104500.0,312300.0,191100.0,60600.0,251700.0
2024-02-26,104600.0,140500.0,45100.0,47700.0,92800.0
2024-02-26,104700.0,108200.0,9600.0,49300.0,58900.0
2024-02-26,104800.0,93500.0,20500.0,36500.0,57000.0
2024-02-26,104900.0,142500.0,37300.0,52600.0,89900.0
2024-02-26,105000.0,579900.0,308900.0,135500.0,444400.0
2024-02-26,105100.0,361000.0,136600.0,112200.0,248800.0
2024-02-26,105200.0,442700.0,163900.0,139400.0,303300.0
2024-02-26,105300.0,407600.0,-12600.0,210100.0,197500.0
2024-02-26,105400.0,181300.0,179300.0,1000.0,180300.0
2024-02-26,105500.0,145100.0,133500.0,5800.0,139300.0
2024-02-26,105600.0,23600.0,17000.0,3300.0,20300.0
2024-02-26,105700.0,58000.0,-18800.0,38400.0,19600.0
2024-02-26,105800.0,54400.0,46400.0,4000.0,50400.0
2024-02-26,105900.0,62600.0,29000.0,16800.0,45800.0
2024-02-26,106000.0,168300.0,168300.0,0.0,168300.0
2024-02-26,106100.0,5600.0,5600.0,0.0,5600.0
2024-02-26,106200.0,11200.0,11000.0,100.0,11100.0
2024-02-26,106300.0,15600.0,15600.0,0.0,15600.0
2024-02-26,106400.0,4200.0,4200.0,0.0,4200.0
2024-02-26,106500.0,60300.0,60300.0,0.0,60300.0
2024-02-26,106600.0,6100.0,6100.0,0.0,6100.0
2024-02-26,106700.0,9800.0,9800.0,0.0,9800.0
2024-02-26,106800.0,13900.0,7700.0,3100.0,10800.0
2024-02-26,106900.0,181400.0,-87000.0,134200.0,47200.0
2024-02-26,107000.0,1966600.0,-140400.0,1053500.0,913100.0
2024-02-27,108500.0,28600.0,-28600.0,28600.0,0.0
2024-02-27,108600.0,54000.0,-40800.0,47400.0,6600.0
2024-02-27,108700.0,153400.0,400.0,76500.0,76900.0
2024-02-27,108800.0,107000.0,8000.0,49500.0,57500.0
2024-02-27,108900.0,121500.0,82300.0,19600.0,101900.0
2024-02-27,109000.0,196700.0,-25500.0,111100.0,85600.0
2024-02-27,109100.0,86200.0,-30600.0,58400.0,27800.0
2024-02-27,109200.0,147400.0,23600.0,61900.0,85500.0
2024-02-27,109300.0,120400.0,57800.0,31300.0,89100.0
