t,p,q,d,b,a
2024-02-15,55700.0,39000.0,-39000.0,39000.0,0.0
2024-02-15,55800.0,187200.0,-84600.0,135900.0,51300.0
2024-02-15,55900.0,251300.0,29500.0,110900.0,140400.0
2024-02-15,56000.0,260100.0,125900.0,67100.0,193000.0
2024-02-15,56100.0,83300.0,17500.0,32900.0,50400.0
2024-02-15,56200.0,117500.0,-32700.0,75100.0,42400.0
2024-02-15,56300.0,197100.0,127700.0,34700.0,162400.0
2024-02-15,56400.0,124700.0,102900.0,10900.0,113800.0
2024-02-15,56500.0,178300.0,155700.0,11300.0,167000.0
2024-02-15,56600.0,83800.0,83800.0,0.0,83800.0
2024-02-15,56700.0,35200.0,26800.0,4200.0,31000.0
2024-02-15,56800.0,62700.0,45900.0,8400.0,54300.0
2024-02-15,56900.0,20900.0,20900.0,0.0,20900.0
2024-02-15,57000.0,301000.0,75600.0,112700.0,188300.0
2024-02-15,57100.0,159600.0,-53000.0,106300.0,53300.0
2024-02-15,57200.0,282000.0,31200.0,125400.0,156600.0
2024-02-15,57300.0,209700.0,84700.0,62500.0,147200.0
2024-02-15,57400.0,152800.0,16000.0,68400.0,84400.0
2024-02-15,57500.0,307400.0,118800.0,94300.0,213100.0
2024-02-15,57600.0,96800.0,23600.0,36600.0,60200.0
2024-02-15,57700.0,58900.0,-1900.0,30400.0,28500.0
2024-02-15,57800.0,8900.0,8900.0,0.0,8900.0
2024-02-15,57900.0,11500.0,11500.0,0.0,11500.0
2024-02-16,56900.0,53800.0,-9800.0,31800.0,22000.0
2024-02-16,57000.0,101300.0,-47900.0,74600.0,26700.0
2024-02-16,57100.0,64900.0,-24300.0,44600.0,20300.0
2024-02-16,57200.0,123700.0,-56300.0,90000.0,33700.0
2024-02-16,57300.0,216400.0,-109800.0,163100.0,53300.0
2024-02-16,57400.0,83100.0,8300.0,37400.0,45700.0
2024-02-16,57500.0,144100.0,-102900.0,123500.0,20600.0
2024-02-16,57600.0,168300.0,-34700.0,101500.0,66800.0
2024-02-16,57700.0,127500.0,3900.0,61800.0,65700.0
2024-02-16,57800.0,70300.0,32500.0,18900.0,51400.0
2024-02-16,57900.0,28900.0,12300.0,8300.0,20600.0
