t,p,q,d,b,a
2024-02-15,27250.0,99500.0,-99500.0,99500.0,0.0
2024-02-15,27300.0,2331900.0,-1407300.0,1869600.0,462300.0
2024-02-15,27350.0,1814500.0,-53500.0,934000.0,880500.0
2024-02-15,27400.0,1394000.0,-95200.0,744600.0,649400.0
2024-02-15,27450.0,1155100.0,88900.0,533100.0,622000.0
2024-02-15,27500.0,2080600.0,871400.0,604600.0,1476000.0
2024-02-15,27550.0,1288300.0,-339300.0,813800.0,474500.0
2024-02-15,27600.0,3143800.0,984800.0,1079500.0,2064300.0
2024-02-15,27650.0,1904500.0,321300.0,791600.0,1112900.0
2024-02-15,27700.0,127000.0,127000.0,0.0,127000.0
2024-02-16,27800.0,135700.0,-135700.0,135700.0,0.0
2024-02-16,27850.0,572100.0,-301700.0,436900.0,135200.0
2024-02-16,27900.0,908900.0,-330700.0,619800.0,289100.0
2024-02-16,27950.0,820500.0,-54900.0,437700.0,382800.0
2024-02-16,28000.0,1155600.0,-113800.0,634700.0,520900.0
2024-02-16,28050.0,985200.0,-788200.0,886700.0,98500.0
2024-02-16,28100.0,4780300.0,-326300.0,2553300.0,2227000.0
2024-02-16,28150.0,1977600.0,601200.0,688200.0,1289400.0
2024-02-16,28200.0,3005600.0,142000.0,1431800.0,1573800.0
2024-02-16,28250.0,3749000.0,1391800.0,1178600.0,2570400.0
2024-02-16,28300.0,3521200.0,855600.0,1332800.0,2188400.0
2024-02-16,28350.0,3143500.0,712500.0,1215500.0,1928000.0
2024-02-16,28400.0,91500.0,91500.0,0.0,91500.0
2024-02-19,27400.0,178800.0,-178800.0,178800.0,0.0
2024-02-19,27450.0,944900.0,-475300.0,710100.0,234800.0
2024-02-19,27500.0,3576500.0,-1586900.0,2581700.0,994800.0
2024-02-19,27550.0,4371800.0,-1029600.0,2700700.0,1671100.0
2024-02-19,27600.0,3707800.0,-556400.0,2132100.0,1575700.0
2024-02-19,27650.0,2004600.0,264200.0,870200.0,1134400.0
2024-02-19,27700.0,2362600.0,-431400.0,1397000.0,965600.0
2024-02-19,27750.0,848900.0,-366500.0,607700.0,241200.0
2024-02-19,27800.0,248900.0,-155300.0,202100.0,46800.0
2024-02-19,27850.0,273500.0,-70100.0,171800.0,101700.0
2024-02-19,27900.0,117000.0,117000.0,0.0,117000.0
2024-02-20,27400.0,68500.0,-68500.0,68500.0,0.0
2024-02-20,27450.0,1233300.0,-502500.0,867900.0,365400.0
2024-02-20,27500.0,2307300.0,-1313500.0,1810400.0,496900.0
2024-02-20,27550.0,2515000.0,-707600.0,1611300.0,903700.0
2024-02-20,27600.0,2022300.0,209900.0,906200.0,1116100.0
2024-02-20,27650.0,1265200.0,-485800.0,875500.0,389700.0
2024-02-20,27700.0,1969200.0,-277400.0,1123300.0,845900.0
2024-02-20,27750.0,1104200.0,-86800.0,595500.0,508700.0
2024-02-20,27800.0,1155200.0,464800.0,345200.0,810000.0
2024-02-20,27850.0,443300.0,332100.0,55600.0,387700.0
2024-02-20,27900.0,647800.0,286600.0,180600.0,467200.0
2024-02-20,27950.0,376500.0,376500.0,0.0,376500.0
2024-02-21,27050.0,2000.0,-2000.0,2000.0,0.0
2024-02-21,27100.0,319800.0,-319800.0,319800.0,0.0
2024-02-21,27150.0,488600.0,-412800.0,450700.0,37900.0
2024-02-21,27200.0,1020300.0,-603300.0,811800.0,208500.0
2024-02-21,27250.0,2101200.0,-978600.0,1539900.0,561300.0
2024-02-21,27300.0,4024600.0,-1023600.0,2524100.0,1500500.0
2024-02-21,27350.0,3194000.0,-588600.0,1891300.0,1302700.0
2024-02-21,27400.0,3955900.0,-1109500.0,2532700.0,1423200.0
2024-02-21,27450.0,1759800.0,-770400.0,1265100.0,494700.0
2024-02-21,27500.0,1405000.0,-70800.0,737900.0,667100.0
2024-02-21,27550.0,250100.0,100100.0,75000.0,175100.0
2024-02-21,27600.0,371000.0,116600.0,127200.0,243800.0
2024-02-21,27650.0,169200.0,169200.0,0.0,169200.0
2024-02-22,27000.0,59200.0,-59200.0,59200.0,0.0
2024-02-22,27050.0,1834600.0,-1059200.0,1446900.0,387700.0
2024-02-22,27100.0,2588000.0,-965200.0,1776600.0,811400.0
2024-02-22,27150.0,2743300.0,-1786500.0,2264900.0,478400.0
2024-02-22,27200.0,2516800.0,52000.0,1232400.0,1284400.0
2024-02-22,27250.0,1382000.0,355200.0,513400.0,868600.0
2024-02-22,27300.0,199500.0,199500.0,0.0,199500.0
2024-02-23,26000.0,625500.0,-625500.0,625500.0,0.0
2024-02-23,26050.0,225500.0,-26300.0,125900.0,99600.0
2024-02-23,26100.0,201900.0,-177500.0,189700.0,12200.0
2024-02-23,26150.0,245000.0,-245000.0,245000.0,0.0
2024-02-23,26200.0,792400.0,-733400.0,762900.0,29500.0
2024-02-23,26250.0,999000.0,-804400.0,901700.0,97300.0
2024-02-23,26300.0,2308000.0,-532400.0,1420200.0,887800.0
2024-02-23,26350.0,625900.0,245500.0,190200.0,435700.0
2024-02-23,26400.0,489800.0,46000.0,221900.0,267900.0
2024-02-23,26450.0,248200.0,-68800.0,158500.0,89700.0
2024-02-23,26500.0,1878400.0,-736800.0,1307600.0,570800.0
2024-02-23,26550.0,929500.0,-628100.0,778800.0,150700.0
2024-02-23,26600.0,1892800.0,-1034800.0,1463800.0,429000.0
2024-02-23,26650.0,715500.0,-260700.0,488100.0,227400.0
2024-02-23,26700.0,1058500.0,-850500.0,954500.0,104000.0
2024-02-23,26750.0,2134500.0,-539100.0,1336800.0,797700.0
2024-02-23,26800.0,2157600.0,-618400.0,1388000.0,769600.0
2024-02-23,26850.0,2835400.0,-673200.0,1754300.0,1081100.0
2024-02-23,26900.0,2403600.0,-255000.0,1329300.0,1074300.0
2024-02-23,26950.0,1121800.0,157200.0,482300.0,639500.0
2024-02-23,27000.0,578800.0,-500800.0,539800.0,39000.0
2024-02-23,27050.0,1199500.0,-473900.0,836700.0,362800.0
2024-02-23,27100.0,329400.0,289200.0,20100.0,309300.0
2024-02-26,26000.0,129300.0,-129300.0,129300.0,0.0
2024-02-26,26050.0,974900.0,-117100.0,546000.0,428900.0
2024-02-26,26100.0,970800.0,-311000.0,640900.0,329900.0
2024-02-26,26150.0,2542400.0,-373400.0,1457900.0,1084500.0
2024-02-26,26200.0,1826900.0,347500.0,739700.0,1087200.0
2024-02-26,26250.0,1190600.0,421400.0,384600.0,806000.0
2024-02-26,26300.0,1012500.0,-46300.0,529400.0,483100.0
2024-02-26,26350.0,1077500.0,318700.0,379400.0,698100.0
2024-02-26,26400.0,1053100.0,-154300.0,603700.0,449400.0
2024-02-26,26450.0,890600.0,211200.0,339700.0,550900.0
2024-02-26,26500.0,1239800.0,719200.0,260300.0,979500.0
2024-02-26,26550.0,56800.0,56800.0,0.0,56800.0
2024-02-27,26450.0,33300.0,-33300.0,33300.0,0.0
2024-02-27,26500.0,964700.0,-511700.0,738200.0,226500.0
2024-02-27,26550.0,891700.0,-55900.0,473800.0,417900.0
2024-02-27,26600.0,1617500.0,358900.0,629300.0,988200.0
2024-02-27,26650.0,2205100.0,928900.0,638100.0,1567000.0
2024-02-27,26700.0,1201700.0,394100.0,403800.0,797900.0
2024-02-27,26750.0,713100.0,337900.0,187600.0,525500.0
2024-02-27,26800.0,366400.0,314200.0,26100.0,340300.0
2024-02-27,26850.0,1571500.0,-586700.0,1079100.0,492400.0
2024-02-27,26900.0,1717700.0,1010700.0,353500.0,1364200.0
2024-02-27,26950.0,828400.0,175000.0,326700.0,501700.0
2024-02-27,27000.0,869800.0,868600.0,600.0,869200.0
2024-02-27,27050.0,99600.0,88000.0,5800.0,93800.0
2024-02-27,27100.0,408900.0,235700.0,86600.0,322300.0
2024-02-27,27150.0,1708600.0,940200.0,384200.0,1324400.0
2024-02-27,27200.0,916100.0,610500.0,152800.0,763300.0
2024-02-27,27250.0,945200.0,596000.0,174600.0,770600.0
2024-02-27,27300.0,593100.0,476100.0,58500.0,534600.0
2024-02-27,27350.0,20500.0,20500.0,0.0,20500.0
2024-02-28,26850.0,5000.0,-5000.0,5000.0,0.0
2024-02-28,26900.0,1228100.0,-843100.0,1035600.0,192500.0
2024-02-28,26950.0,1323100.0,-321300.0,822200.0,500900.0
2024-02-28,27000.0,2803900.0,-66900.0,1435400.0,1368500.0
2024-02-28,27050.0,1220000.0,-16400.0,618200.0,601800.0
2024-02-28,27100.0,373000.0,-277000.0,325000.0,48000.0
2024-02-28,27150.0,1280600.0,-1051800.0,1166200.0,114400.0
2024-02-28,27200.0,1083200.0,-140000.0,611600.0,471600.0
2024-02-28,27250.0,862800.0,-462200.0,662500.0,200300.0
2024-02-28,27300.0,1081600.0,-588200.0,834900.0,246700.0
2024-02-28,27350.0,1001900.0,399300.0,301300.0,700600.0
2024-02-28,27400.0,261200.0,-242600.0,251900.0,9300.0
2024-02-28,27450.0,200800.0,-135000.0,167900.0,32900.0
2024-02-28,27500.0,447400.0,345200.0,51100.0,396300.0
2024-02-29,27000.0,23600.0,-23600.0,23600.0,0.0
2024-02-29,27050.0,352200.0,-184600.0,268400.0,83800.0
2024-02-29,27100.0,1043400.0,-724200.0,883800.0,159600.0
2024-02-29,27150.0,3220800.0,-1365200.0,2293000.0,927800.0
2024-02-29,27200.0,3036600.0,392400.0,1322100.0,1714500.0
2024-02-29,27250.0,2277200.0,502600.0,887300.0,1389900.0
2024-02-29,27300.0,2512200.0,770200.0,871000.0,1641200.0
2024-02-29,27350.0,2111200.0,784800.0,663200.0,1448000.0
2024-02-29,27400.0,2492900.0,1370100.0,561400.0,1931500.0
2024-02-29,27450.0,1922600.0,161800.0,880400.0,1042200.0
2024-02-29,27500.0,1504700.0,362900.0,570900.0,933800.0
2024-02-29,27550.0,1846700.0,-197900.0,1022300.0,824400.0
2024-02-29,27600.0,1580200.0,945600.0,317300.0,1262900.0
2024-02-29,27650.0,894900.0,331900.0,281500.0,613400.0
2024-02-29,27700.0,1029700.0,288500.0,370600.0,659100.0
2024-02-29,27750.0,1171200.0,690800.0,240200.0,931000.0
2024-02-29,27800.0,102600.0,102600.0,0.0,102600.0
2024-03-01,27300.0,448400.0,-448400.0,448400.0,0.0
2024-03-01,27350.0,1462600.0,-418600.0,940600.0,522000.0
2024-03-01,27400.0,1418200.0,55800.0,681200.0,737000.0
2024-03-01,27450.0,1303500.0,-63900.0,683700.0,619800.0
2024-03-01,27500.0,2685300.0,-350900.0,1518100.0,1167200.0
2024-03-01,27550.0,2804400.0,490200.0,1157100.0,1647300.0
2024-03-01,27600.0,1846500.0,831700.0,507400.0,1339100.0
2024-03-01,27650.0,301200.0,149400.0,75900.0,225300.0
2024-03-01,27700.0,104100.0,104100.0,0.0,104100.0
2024-03-04,27950.0,754200.0,552400.0,100900.0,653300.0
2024-03-04,28000.0,2076100.0,498900.0,788600.0,1287500.0
2024-03-04,28050.0,1183900.0,561900.0,311000.0,872900.0
2024-03-04,28100.0,3301700.0,-345300.0,1823500.0,1478200.0
2024-03-04,28150.0,2987200.0,1366000.0,810600.0,2176600.0
2024-03-04,28200.0,2096100.0,795900.0,650100.0,1446000.0
2024-03-04,28250.0,1502100.0,429900.0,536100.0,966000.0
2024-03-04,28300.0,1972800.0,-92200.0,1032500.0,940300.0
2024-03-04,28350.0,1427800.0,-36800.0,732300.0,695500.0
2024-03-04,28400.0,1296000.0,232200.0,531900.0,764100.0
2024-03-04,28450.0,2730900.0,-423900.0,1577400.0,1153500.0
2024-03-04,28500.0,6408400.0,630800.0,2888800.0,3519600.0
2024-03-04,28550.0,4338500.0,280900.0,2028800.0,2309700.0
2024-03-04,28600.0,6018700.0,-255700.0,3137200.0,2881500.0
2024-03-04,28650.0,4229700.0,1500500.0,1364600.0,2865100.0
2024-03-04,28700.0,3410700.0,1130700.0,1140000.0,2270700.0
2024-03-04,28750.0,1056400.0,425600.0,315400.0,741000.0
2024-03-04,28800.0,932800.0,932800.0,0.0,932800.0
2024-03-05,27700.0,44000.0,-44000.0,44000.0,0.0
2024-03-05,27750.0,2944300.0,-2194300.0,2569300.0,375000.0
2024-03-05,27800.0,4063200.0,-1108200.0,2585700.0,1477500.0
2024-03-05,27850.0,3851100.0,-613100.0,2232100.0,1619000.0
2024-03-05,27900.0,1407200.0,63800.0,671700.0,735500.0
2024-03-05,27950.0,1041000.0,-421600.0,731300.0,309700.0
2024-03-05,28000.0,1107100.0,-297300.0,702200.0,404900.0
2024-03-05,28050.0,1482400.0,-1088400.0,1285400.0,197000.0
2024-03-05,28100.0,1545400.0,92600.0,726400.0,819000.0
2024-03-05,28150.0,439700.0,-91300.0,265500.0,174200.0
2024-03-05,28200.0,272000.0,48800.0,111600.0,160400.0
