t,p,q,d,b,a
2024-02-15,33900.0,207900.0,-162700.0,185300.0,22600.0
2024-02-15,33950.0,201100.0,-106700.0,153900.0,47200.0
2024-02-15,34000.0,496600.0,-233600.0,365100.0,131500.0
2024-02-15,34050.0,527400.0,-168400.0,347900.0,179500.0
2024-02-15,34100.0,318800.0,187600.0,65600.0,253200.0
2024-02-15,34150.0,58000.0,13000.0,22500.0,35500.0
2024-02-15,34200.0,45800.0,7400.0,19200.0,26600.0
2024-02-15,34250.0,67400.0,13800.0,26800.0,40600.0
2024-02-15,34300.0,11700.0,11700.0,0.0,11700.0
2024-02-16,33850.0,47200.0,-47200.0,47200.0,0.0
2024-02-16,33900.0,67200.0,-10600.0,38900.0,28300.0
2024-02-16,33950.0,111100.0,-29900.0,70500.0,40600.0
2024-02-16,34000.0,270400.0,52800.0,108800.0,161600.0
2024-02-16,34050.0,42700.0,33500.0,4600.0,38100.0
2024-02-16,34100.0,193300.0,4900.0,94200.0,99100.0
2024-02-16,34150.0,255400.0,-115800.0,185600.0,69800.0
2024-02-16,34200.0,429800.0,12000.0,208900.0,220900.0
2024-02-16,34250.0,414000.0,32600.0,190700.0,223300.0
2024-02-16,34300.0,564700.0,169700.0,197500.0,367200.0
2024-02-16,34350.0,60800.0,60800.0,0.0,60800.0
2024-02-19,34000.0,36500.0,-36500.0,36500.0,0.0
2024-02-19,34050.0,175700.0,-88100.0,131900.0,43800.0
2024-02-19,34100.0,199500.0,-30300.0,114900.0,84600.0
2024-02-19,34150.0,204100.0,9300.0,97400.0,106700.0
2024-02-19,34200.0,129000.0,66400.0,31300.0,97700.0
2024-02-19,34250.0,102300.0,-17700.0,60000.0,42300.0
2024-02-19,34300.0,152800.0,63800.0,44500.0,108300.0
2024-02-19,34350.0,137100.0,2300.0,67400.0,69700.0
2024-02-19,34400.0,225600.0,61200.0,82200.0,143400.0
2024-02-19,34450.0,275700.0,141300.0,67200.0,208500.0
2024-02-19,34500.0,162000.0,162000.0,0.0,162000.0
2024-02-19,34550.0,45500.0,45500.0,0.0,45500.0
