t,p,q,d,b,a
2024-02-15,33500.0,1500.0,-1500.0,1500.0,0.0
2024-02-15,33700.0,5200.0,-5200.0,5200.0,0.0
2024-02-15,33800.0,24000.0,-24000.0,24000.0,0.0
2024-02-15,33850.0,55900.0,-38300.0,47100.0,8800.0
2024-02-15,33900.0,22700.0,-18300.0,20500.0,2200.0
2024-02-15,33950.0,2900.0,700.0,1100.0,1800.0
2024-02-15,34000.0,68700.0,-52500.0,60600.0,8100.0
2024-02-15,34050.0,18200.0,-8200.0,13200.0,5000.0
2024-02-15,34100.0,24900.0,-24900.0,24900.0,0.0
2024-02-15,34150.0,11100.0,-11100.0,11100.0,0.0
2024-02-15,34200.0,15700.0,-11300.0,13500.0,2200.0
2024-02-15,34250.0,16200.0,-200.0,8200.0,8000.0
2024-02-15,34300.0,13200.0,-13200.0,13200.0,0.0
2024-02-15,34350.0,63600.0,-62400.0,63000.0,600.0
2024-02-15,34400.0,107500.0,-28500.0,68000.0,39500.0
2024-02-15,34450.0,29700.0,4300.0,12700.0,17000.0
2024-02-15,34500.0,88500.0,6700.0,40900.0,47600.0
2024-02-15,34550.0,68600.0,14400.0,27100.0,41500.0
2024-02-15,34600.0,46100.0,6900.0,19600.0,26500.0
2024-02-15,34650.0,35500.0,24700.0,5400.0,30100.0
2024-02-15,34700.0,29700.0,7300.0,11200.0,18500.0
2024-02-15,34750.0,7000.0,3000.0,2000.0,5000.0
2024-02-15,34800.0,8900.0,100.0,4400.0,4500.0
2024-02-15,34850.0,22400.0,-12200.0,17300.0,5100.0
2024-02-15,34900.0,17800.0,-9600.0,13700.0,4100.0
2024-02-15,34950.0,11300.0,10700.0,300.0,11000.0
2024-02-15,35000.0,55200.0,55200.0,0.0,55200.0
2024-02-16,34100.0,13000.0,-13000.0,13000.0,0.0
2024-02-16,34150.0,17700.0,-3100.0,10400.0,7300.0
2024-02-16,34200.0,17900.0,3300.0,7300.0,10600.0
2024-02-16,34250.0,19700.0,19300.0,200.0,19500.0
2024-02-16,34300.0,2500.0,1100.0,700.0,1800.0
2024-02-16,34350.0,5000.0,5000.0,0.0,5000.0
2024-02-16,34400.0,4000.0,4000.0,0.0,4000.0
2024-02-16,34500.0,5700.0,5700.0,0.0,5700.0
2024-02-16,34600.0,12400.0,9000.0,1700.0,10700.0
2024-02-16,34650.0,42800.0,-18600.0,30700.0,12100.0
2024-02-16,34700.0,28700.0,8900.0,9900.0,18800.0
2024-02-16,34750.0,22100.0,-1500.0,11800.0,10300.0
2024-02-16,34800.0,102300.0,7900.0,47200.0,55100.0
2024-02-16,34850.0,85000.0,1200.0,41900.0,43100.0
2024-02-16,34900.0,128500.0,7500.0,60500.0,68000.0
2024-02-16,34950.0,106400.0,-37000.0,71700.0,34700.0
2024-02-16,35000.0,134700.0,96100.0,19300.0,115400.0
2024-02-16,35100.0,16100.0,-13700.0,14900.0,1200.0
2024-02-16,35200.0,62500.0,-1100.0,31800.0,30700.0
2024-02-16,35250.0,20300.0,-9900.0,15100.0,5200.0
2024-02-16,35300.0,17200.0,17200.0,0.0,17200.0
2024-02-19,34800.0,12700.0,-12700.0,12700.0,0.0
2024-02-19,34850.0,20400.0,-18600.0,19500.0,900.0
2024-02-19,34900.0,38700.0,-38700.0,38700.0,0.0
2024-02-19,34950.0,44500.0,-37900.0,41200.0,3300.0
2024-02-19,35000.0,220600.0,-163600.0,192100.0,28500.0
2024-02-19,35050.0,48500.0,-23100.0,35800.0,12700.0
2024-02-19,35100.0,94400.0,15600.0,39400.0,55000.0
2024-02-19,35150.0,30300.0,6500.0,11900.0,18400.0
2024-02-19,35200.0,54100.0,-16900.0,35500.0,18600.0
2024-02-19,35250.0,34500.0,-34500.0,34500.0,0.0
2024-02-19,35300.0,50900.0,-19500.0,35200.0,15700.0
2024-02-19,35350.0,34100.0,-4700.0,19400.0,14700.0
2024-02-19,35400.0,44000.0,-18800.0,31400.0,12600.0
2024-02-19,35450.0,33900.0,-8500.0,21200.0,12700.0
2024-02-19,35500.0,237300.0,-3300.0,120300.0,117000.0
2024-02-19,35550.0,38200.0,16400.0,10900.0,27300.0
2024-02-19,35600.0,53800.0,-10800.0,32300.0,21500.0
2024-02-19,35650.0,28300.0,9900.0,9200.0,19100.0
2024-02-19,35700.0,30100.0,20300.0,4900.0,25200.0
2024-02-19,35750.0,8500.0,8500.0,0.0,8500.0
2024-02-19,35800.0,1700.0,1700.0,0.0,1700.0
2024-02-20,34250.0,200.0,-200.0,200.0,0.0
2024-02-20,34300.0,61300.0,-56900.0,59100.0,2200.0
2024-02-20,34350.0,68500.0,-32300.0,50400.0,18100.0
2024-02-20,34400.0,73300.0,4100.0,34600.0,38700.0
2024-02-20,34450.0,38700.0,-12100.0,25400.0,13300.0
2024-02-20,34500.0,49600.0,-38400.0,44000.0,5600.0
2024-02-20,34550.0,102300.0,22100.0,40100.0,62200.0
2024-02-20,34600.0,98700.0,-27300.0,63000.0,35700.0
2024-02-20,34650.0,39300.0,6100.0,16600.0,22700.0
2024-02-20,34700.0,12600.0,4200.0,4200.0,8400.0
2024-02-20,34750.0,24600.0,-18600.0,21600.0,3000.0
2024-02-20,34800.0,20800.0,-19200.0,20000.0,800.0
2024-02-20,34850.0,9200.0,3200.0,3000.0,6200.0
2024-02-20,34900.0,37700.0,-27100.0,32400.0,5300.0
2024-02-20,34950.0,9100.0,-4900.0,7000.0,2100.0
2024-02-20,35000.0,500.0,500.0,0.0,500.0
2024-02-21,34300.0,9900.0,-9900.0,9900.0,0.0
2024-02-21,34350.0,6700.0,-5700.0,6200.0,500.0
2024-02-21,34400.0,6100.0,-3900.0,5000.0,1100.0
2024-02-21,34500.0,16400.0,3000.0,6700.0,9700.0
2024-02-21,34550.0,300.0,300.0,0.0,300.0
2024-02-21,34600.0,17900.0,100.0,8900.0,9000.0
2024-02-21,34650.0,49500.0,-8100.0,28800.0,20700.0
2024-02-21,34700.0,60100.0,-6700.0,33400.0,26700.0
2024-02-21,34750.0,38300.0,7700.0,15300.0,23000.0
2024-02-21,34800.0,49700.0,30700.0,9500.0,40200.0
2024-02-21,34850.0,33600.0,24000.0,4800.0,28800.0
2024-02-21,34900.0,23600.0,18000.0,2800.0,20800.0
2024-02-21,34950.0,1000.0,1000.0,0.0,1000.0
2024-02-22,34750.0,11100.0,-9300.0,10200.0,900.0
2024-02-22,34800.0,18600.0,-13200.0,15900.0,2700.0
2024-02-22,34850.0,74200.0,-47000.0,60600.0,13600.0
2024-02-22,34900.0,63300.0,-30300.0,46800.0,16500.0
2024-02-22,34950.0,50600.0,-8600.0,29600.0,21000.0
2024-02-22,35000.0,62100.0,-15300.0,38700.0,23400.0
2024-02-22,35050.0,35700.0,-22100.0,28900.0,6800.0
2024-02-22,35100.0,61500.0,-15100.0,38300.0,23200.0
2024-02-22,35150.0,19000.0,200.0,9400.0,9600.0
2024-02-22,35200.0,17800.0,600.0,8600.0,9200.0
2024-02-22,35250.0,1800.0,-200.0,1000.0,800.0
2024-02-22,35300.0,24100.0,11900.0,6100.0,18000.0
2024-02-22,35350.0,21500.0,-20300.0,20900.0,600.0
2024-02-22,35400.0,16000.0,5200.0,5400.0,10600.0
2024-02-22,35450.0,7100.0,7100.0,0.0,7100.0
2024-02-22,35500.0,116900.0,56500.0,30200.0,86700.0
2024-02-22,35550.0,11300.0,5300.0,3000.0,8300.0
2024-02-22,35600.0,8800.0,8600.0,100.0,8700.0
2024-02-22,35650.0,4400.0,3000.0,700.0,3700.0
2024-02-22,35700.0,10900.0,-2500.0,6700.0,4200.0
2024-02-22,35750.0,11400.0,-5000.0,8200.0,3200.0
2024-02-23,34200.0,11800.0,-6400.0,9100.0,2700.0
2024-02-23,34250.0,18500.0,6700.0,5900.0,12600.0
2024-02-23,34300.0,48700.0,9100.0,19800.0,28900.0
2024-02-23,34350.0,13100.0,-10300.0,11700.0,1400.0
2024-02-23,34400.0,46400.0,-23200.0,34800.0,11600.0
2024-02-23,34450.0,19300.0,-1100.0,10200.0,9100.0
2024-02-23,34500.0,56800.0,-20200.0,38500.0,18300.0
2024-02-23,34550.0,50500.0,-37300.0,43900.0,6600.0
2024-02-23,34600.0,136200.0,-45000.0,90600.0,45600.0
2024-02-23,34650.0,37400.0,-3400.0,20400.0,17000.0
2024-02-23,34700.0,36300.0,-17900.0,27100.0,9200.0
2024-02-23,34750.0,65400.0,-31000.0,48200.0,17200.0
2024-02-23,34800.0,38100.0,-22700.0,30400.0,7700.0
2024-02-23,34850.0,14700.0,5300.0,4700.0,10000.0
2024-02-23,34900.0,13100.0,-5500.0,9300.0,3800.0
2024-02-23,34950.0,11100.0,4700.0,3200.0,7900.0
2024-02-23,35000.0,21200.0,16200.0,2500.0,18700.0
2024-02-26,33900.0,4500.0,-4500.0,4500.0,0.0
2024-02-26,33950.0,27400.0,17200.0,5100.0,22300.0
2024-02-26,34000.0,57000.0,-23200.0,40100.0,16900.0
2024-02-26,34050.0,13700.0,-2900.0,8300.0,5400.0
2024-02-26,34100.0,37300.0,12500.0,12400.0,24900.0
2024-02-26,34150.0,56800.0,7000.0,24900.0,31900.0
2024-02-26,34200.0,45000.0,27600.0,8700.0,36300.0
2024-02-26,34250.0,66200.0,-49000.0,57600.0,8600.0
2024-02-26,34300.0,55400.0,22600.0,16400.0,39000.0
2024-02-26,34350.0,53800.0,-1200.0,27500.0,26300.0
2024-02-26,34400.0,36000.0,16600.0,9700.0,26300.0
2024-02-26,34450.0,10700.0,6300.0,2200.0,8500.0
2024-02-27,34100.0,36100.0,15300.0,10400.0,25700.0
2024-02-27,34150.0,1000.0,-1000.0,1000.0,0.0
2024-02-27,34200.0,20400.0,-19200.0,19800.0,600.0
2024-02-27,34250.0,31200.0,-17600.0,24400.0,6800.0
2024-02-27,34300.0,61200.0,-18800.0,40000.0,21200.0
2024-02-27,34350.0,68900.0,-32500.0,50700.0,18200.0
2024-02-27,34400.0,39200.0,32600.0,3300.0,35900.0
2024-02-27,34450.0,2500.0,100.0,1200.0,1300.0
