t,p,q,d,b,a
2024-02-15,31500.0,35200.0,-17200.0,26200.0,9000.0
2024-02-15,31550.0,117300.0,-13900.0,65600.0,51700.0
2024-02-15,31600.0,95200.0,-78600.0,86900.0,8300.0
2024-02-15,31650.0,110600.0,-81200.0,95900.0,14700.0
2024-02-15,31700.0,155600.0,85800.0,34900.0,120700.0
2024-02-15,31750.0,59900.0,59900.0,0.0,59900.0
2024-02-15,31800.0,89300.0,-15900.0,52600.0,36700.0
2024-02-15,31850.0,39000.0,22200.0,8400.0,30600.0
2024-02-15,31900.0,64700.0,-10500.0,37600.0,27100.0
2024-02-15,31950.0,11400.0,11400.0,0.0,11400.0
2024-02-15,32000.0,135700.0,43500.0,46100.0,89600.0
2024-02-15,32050.0,71200.0,-57800.0,64500.0,6700.0
2024-02-15,32100.0,351300.0,13100.0,169100.0,182200.0
2024-02-15,32150.0,73600.0,14000.0,29800.0,43800.0
2024-02-15,32200.0,39700.0,24700.0,7500.0,32200.0
2024-02-15,32250.0,9800.0,9600.0,100.0,9700.0
2024-02-15,32300.0,30900.0,17100.0,6900.0,24000.0
2024-02-15,32350.0,6200.0,-5200.0,5700.0,500.0
2024-02-15,32400.0,16700.0,1700.0,7500.0,9200.0
2024-02-15,32450.0,35000.0,-25200.0,30100.0,4900.0
2024-02-15,32500.0,34000.0,34000.0,0.0,34000.0
2024-02-15,32550.0,200.0,200.0,0.0,200.0
2024-02-15,32600.0,6600.0,6600.0,0.0,6600.0
2024-02-15,32650.0,3700.0,3700.0,0.0,3700.0
2024-02-15,32700.0,3100.0,3100.0,0.0,3100.0
2024-02-16,31650.0,28700.0,-23900.0,26300.0,2400.0
2024-02-16,31700.0,62600.0,-49800.0,56200.0,6400.0
2024-02-16,31750.0,65700.0,-47100.0,56400.0,9300.0
2024-02-16,31800.0,83600.0,-24000.0,53800.0,29800.0
2024-02-16,31850.0,14200.0,2200.0,6000.0,8200.0
2024-02-16,31900.0,72300.0,-7900.0,40100.0,32200.0
2024-02-16,31950.0,15800.0,-2600.0,9200.0,6600.0
2024-02-16,32000.0,99900.0,-37900.0,68900.0,31000.0
2024-02-16,32050.0,11400.0,-11400.0,11400.0,0.0
2024-02-16,32100.0,12600.0,-9200.0,10900.0,1700.0
2024-02-16,32150.0,4700.0,-4700.0,4700.0,0.0
2024-02-16,32200.0,79100.0,21300.0,28900.0,50200.0
2024-02-16,32250.0,14500.0,-1100.0,7800.0,6700.0
