t,p,q,d,b,a
2024-06-10,3570.0,45800.0,-36000.0,40900.0,4900.0
2024-06-10,3580.0,58000.0,-55000.0,56500.0,1500.0
2024-06-10,3590.0,20400.0,-9200.0,14800.0,5600.0
2024-06-10,3600.0,75700.0,-45900.0,60800.0,14900.0
2024-06-10,3610.0,109400.0,-17800.0,63600.0,45800.0
2024-06-10,3620.0,348400.0,73400.0,137500.0,210900.0
2024-06-10,3630.0,26700.0,26700.0,0.0,26700.0
2024-05-23,3980.0,79400.0,-79400.0,79400.0,0.0
2024-05-23,3990.0,262600.0,-33400.0,148000.0,114600.0
2024-05-23,4000.0,473500.0,-226100.0,349800.0,123700.0
2024-05-23,4010.0,191900.0,75100.0,58400.0,133500.0
2024-05-23,4020.0,191600.0,-39600.0,115600.0,76000.0
2024-05-23,4030.0,99200.0,-8400.0,53800.0,45400.0
2024-05-23,4040.0,94700.0,42300.0,26200.0,68500.0
2024-05-23,4050.0,78000.0,45000.0,16500.0,61500.0
2024-05-23,4060.0,39100.0,29100.0,5000.0,34100.0
2024-05-23,4070.0,5300.0,2700.0,1300.0,4000.0
2024-05-23,4080.0,17900.0,1100.0,8400.0,9500.0
2024-05-23,4090.0,42800.0,-29000.0,35900.0,6900.0
2024-04-23,3630.0,19400.0,-12400.0,15900.0,3500.0
2024-04-23,3640.0,20400.0,-6600.0,13500.0,6900.0
2024-04-23,3650.0,137200.0,72800.0,32200.0,105000.0
2024-04-23,3660.0,39600.0,-35400.0,37500.0,2100.0
2024-04-23,3670.0,9200.0,3800.0,2700.0,6500.0
2024-04-23,3680.0,18800.0,-2800.0,10800.0,8000.0
2024-04-23,3690.0,13100.0,-700.0,6900.0,6200.0
2024-04-23,3700.0,51300.0,-35700.0,43500.0,7800.0
2024-04-23,3710.0,39200.0,-6600.0,22900.0,16300.0
2024-04-23,3720.0,33500.0,-13900.0,23700.0,9800.0
2024-04-23,3730.0,9200.0,-9200.0,9200.0,0.0
2024-04-23,3740.0,26100.0,-5700.0,15900.0,10200.0
2024-04-23,3750.0,11200.0,-4200.0,7700.0,3500.0
2024-03-07,4790.0,18200.0,-18200.0,18200.0,0.0
2024-03-07,4800.0,299600.0,-171400.0,235500.0,64100.0
2024-03-07,4810.0,286300.0,-52300.0,169300.0,117000.0
2024-03-07,4820.0,82500.0,66700.0,7900.0,74600.0
2024-03-07,4830.0,42600.0,15400.0,13600.0,29000.0
2024-03-07,4840.0,35000.0,35000.0,0.0,35000.0
2024-04-11,4600.0,21400.0,-21400.0,21400.0,0.0
2024-04-11,4610.0,57600.0,-57600.0,57600.0,0.0
2024-04-11,4620.0,98300.0,-85100.0,91700.0,6600.0
2024-04-11,4630.0,117100.0,-44500.0,80800.0,36300.0
2024-04-11,4640.0,133100.0,-27100.0,80100.0,53000.0
2024-04-11,4650.0,258200.0,74600.0,91800.0,166400.0
2024-04-11,4660.0,29000.0,12600.0,8200.0,20800.0
2024-04-11,4670.0,22000.0,18200.0,1900.0,20100.0
2024-04-11,4680.0,6500.0,-4300.0,5400.0,1100.0
2024-04-11,4690.0,2900.0,-2900.0,2900.0,0.0
2024-03-29,4830.0,4900.0,-4900.0,4900.0,0.0
2024-03-29,4840.0,36800.0,-18200.0,27500.0,9300.0
2024-03-29,4850.0,261500.0,3500.0,129000.0,132500.0
2024-03-29,4860.0,141300.0,-23100.0,82200.0,59100.0
2024-03-29,4870.0,164000.0,-83200.0,123600.0,40400.0
2024-03-29,4880.0,229100.0,45500.0,91800.0,137300.0
2024-03-29,4890.0,84300.0,-47700.0,66000.0,18300.0
2024-03-29,4900.0,206000.0,-98200.0,152100.0,53900.0
2024-03-29,4910.0,76300.0,-42300.0,59300.0,17000.0
2024-03-29,4920.0,99800.0,12200.0,43800.0,56000.0
2024-03-29,4930.0,45100.0,38900.0,3100.0,42000.0
2024-03-29,4940.0,37500.0,-37500.0,37500.0,0.0
2024-03-29,4950.0,38500.0,-24900.0,31700.0,6800.0
2024-03-29,4960.0,10400.0,-8200.0,9300.0,1100.0
2024-03-29,4970.0,14400.0,11800.0,1300.0,13100.0
2024-03-29,4980.0,18300.0,-8300.0,13300.0,5000.0
2024-03-29,4990.0,9700.0,9300.0,200.0,9500.0
2024-02-29,4700.0,105000.0,-105000.0,105000.0,0.0
2024-02-29,4710.0,348900.0,-107300.0,228100.0,120800.0
2024-02-29,4720.0,226900.0,-101300.0,164100.0,62800.0
2024-02-29,4730.0,378200.0,-19200.0,198700.0,179500.0
2024-02-29,4740.0,147000.0,39400.0,53800.0,93200.0
2024-02-29,4750.0,103900.0,-34700.0,69300.0,34600.0
2024-02-29,4760.0,43000.0,38400.0,2300.0,40700.0
2024-06-19,3460.0,13900.0,-13900.0,13900.0,0.0
2024-06-19,3470.0,13600.0,-13600.0,13600.0,0.0
2024-06-19,3480.0,12100.0,-12100.0,12100.0,0.0
2024-06-19,3490.0,66800.0,-4200.0,35500.0,31300.0
2024-06-19,3500.0,266200.0,163200.0,51500.0,214700.0
2024-06-19,3510.0,50100.0,2500.0,23800.0,26300.0
2024-06-19,3520.0,10500.0,10500.0,0.0,10500.0
2024-06-19,3530.0,400.0,400.0,0.0,400.0
2024-03-12,4650.0,29700.0,-29700.0,29700.0,0.0
2024-03-12,4660.0,214400.0,-111200.0,162800.0,51600.0
2024-03-12,4670.0,185200.0,-94600.0,139900.0,45300.0
2024-03-12,4680.0,136200.0,-33600.0,84900.0,51300.0
2024-03-12,4690.0,95700.0,4500.0,45600.0,50100.0
2024-03-12,4700.0,13500.0,13500.0,0.0,13500.0
2024-03-12,4710.0,5100.0,5100.0,0.0,5100.0
2024-04-04,4750.0,74900.0,-74900.0,74900.0,0.0
2024-04-04,4760.0,217900.0,-105300.0,161600.0,56300.0
2024-04-04,4770.0,211000.0,-36000.0,123500.0,87500.0
2024-04-04,4780.0,171700.0,-92500.0,132100.0,39600.0
2024-04-04,4790.0,105800.0,-19400.0,62600.0,43200.0
2024-04-04,4800.0,212700.0,-33500.0,123100.0,89600.0
2024-04-04,4810.0,120000.0,-40600.0,80300.0,39700.0
2024-04-04,4820.0,60600.0,-28600.0,44600.0,16000.0
2024-04-04,4830.0,94400.0,-66600.0,80500.0,13900.0
2024-04-04,4840.0,33200.0,1200.0,16000.0,17200.0
2024-04-04,4850.0,192300.0,137500.0,27400.0,164900.0
2024-04-04,4860.0,67600.0,34800.0,16400.0,51200.0
2024-06-05,3570.0,61400.0,-61400.0,61400.0,0.0
2024-06-05,3580.0,98700.0,-30300.0,64500.0,34200.0
2024-06-05,3590.0,79100.0,-2500.0,40800.0,38300.0
2024-06-05,3600.0,254500.0,-3100.0,128800.0,125700.0
2024-06-05,3610.0,117000.0,-32800.0,74900.0,42100.0
2024-06-05,3620.0,28200.0,28200.0,0.0,28200.0
2024-06-05,3630.0,2200.0,2200.0,0.0,2200.0
2024-07-05,3300.0,6500.0,100.0,3200.0,3300.0
2024-07-05,3310.0,2000.0,-2000.0,2000.0,0.0
2024-07-05,3320.0,22600.0,-8000.0,15300.0,7300.0
2024-07-05,3330.0,22700.0,-14500.0,18600.0,4100.0
2024-07-05,3340.0,6000.0,-6000.0,6000.0,0.0
2024-07-05,3350.0,43100.0,-22700.0,32900.0,10200.0
2024-07-05,3360.0,13400.0,-13400.0,13400.0,0.0
2024-07-05,3370.0,3800.0,-3800.0,3800.0,0.0
2024-07-05,3380.0,17500.0,-9100.0,13300.0,4200.0
2024-07-05,3390.0,31200.0,30800.0,200.0,31000.0
2024-07-05,3400.0,291000.0,251400.0,19800.0,271200.0
2024-07-05,3410.0,76400.0,48800.0,13800.0,62600.0
2024-07-05,3420.0,57300.0,28100.0,14600.0,42700.0
2024-07-05,3430.0,4700.0,4700.0,0.0,4700.0
2024-02-20,4870.0,61300.0,-25900.0,43600.0,17700.0
2024-02-20,4880.0,100500.0,-77700.0,89100.0,11400.0
2024-02-20,4890.0,94200.0,-36600.0,65400.0,28800.0
2024-02-20,4900.0,161300.0,-51700.0,106500.0,54800.0
2024-02-20,4910.0,63300.0,-34100.0,48700.0,14600.0
2024-02-20,4920.0,59300.0,-21500.0,40400.0,18900.0
2024-02-20,4930.0,75000.0,-7800.0,41400.0,33600.0
2024-02-20,4940.0,18600.0,8000.0,5300.0,13300.0
2024-02-20,4950.0,30500.0,-2100.0,16300.0,14200.0
2024-02-20,4960.0,7800.0,0.0,3900.0,3900.0
2024-02-20,4970.0,8600.0,-800.0,4700.0,3900.0
2024-03-20,4700.0,26800.0,-26800.0,26800.0,0.0
2024-03-20,4710.0,27900.0,-27900.0,27900.0,0.0
2024-03-20,4720.0,30300.0,-30300.0,30300.0,0.0
2024-03-20,4730.0,87900.0,-84500.0,86200.0,1700.0
2024-03-20,4740.0,96200.0,20000.0,38100.0,58100.0
2024-03-20,4750.0,232500.0,62100.0,85200.0,147300.0
2024-03-20,4760.0,19400.0,5800.0,6800.0,12600.0
2024-03-20,4770.0,16500.0,-9700.0,13100.0,3400.0
2024-03-20,4780.0,18700.0,-2300.0,10500.0,8200.0
2024-03-20,4790.0,27900.0,20100.0,3900.0,24000.0
2024-03-20,4800.0,49600.0,49600.0,0.0,49600.0
2024-04-01,4860.0,29200.0,-28400.0,28800.0,400.0
2024-04-01,4870.0,42700.0,-34500.0,38600.0,4100.0
2024-04-01,4880.0,65000.0,-38800.0,51900.0,13100.0
2024-04-01,4890.0,81100.0,3700.0,38700.0,42400.0
2024-04-01,4900.0,78700.0,1100.0,38800.0,39900.0
2024-04-01,4910.0,51500.0,-15500.0,33500.0,18000.0
2024-04-01,4920.0,89400.0,-36400.0,62900.0,26500.0
2024-04-01,4930.0,70400.0,18200.0,26100.0,44300.0
2024-04-01,4940.0,83700.0,49700.0,17000.0,66700.0
2024-04-01,4950.0,49500.0,26900.0,11300.0,38200.0
2024-04-01,4960.0,76400.0,-46400.0,61400.0,15000.0
2024-04-01,4970.0,3800.0,2800.0,500.0,3300.0
2024-04-01,4980.0,15200.0,15200.0,0.0,15200.0
2024-04-01,4990.0,15700.0,13300.0,1200.0,14500.0
2024-04-01,5000.0,25500.0,23500.0,1000.0,24500.0
2024-03-25,4800.0,900.0,-900.0,900.0,0.0
2024-03-25,4810.0,4200.0,-4200.0,4200.0,0.0
2024-03-25,4820.0,4000.0,4000.0,0.0,4000.0
2024-03-25,4840.0,900.0,900.0,0.0,900.0
2024-03-25,4850.0,20700.0,19500.0,600.0,20100.0
2024-03-25,4860.0,24900.0,-1700.0,13300.0,11600.0
2024-03-25,4870.0,60400.0,50000.0,5200.0,55200.0
2024-03-25,4880.0,69100.0,50900.0,9100.0,60000.0
2024-03-25,4890.0,36700.0,32700.0,2000.0,34700.0
2024-03-25,4900.0,51600.0,51600.0,0.0,51600.0
2024-03-25,4910.0,18500.0,18500.0,0.0,18500.0
2024-03-25,4920.0,10500.0,10500.0,0.0,10500.0
2024-03-25,4930.0,6600.0,2400.0,2100.0,4500.0
2024-03-25,4940.0,43100.0,20100.0,11500.0,31600.0
2024-03-25,4950.0,70400.0,70400.0,0.0,70400.0
2024-03-25,4960.0,13400.0,10400.0,1500.0,11900.0
2024-03-25,4970.0,23800.0,-4200.0,14000.0,9800.0
2024-03-25,4980.0,134900.0,5500.0,64700.0,70200.0
2024-03-25,4990.0,106500.0,77300.0,14600.0,91900.0
2024-03-25,5000.0,298200.0,36400.0,130900.0,167300.0
2024-03-25,5010.0,153900.0,-14900.0,84400.0,69500.0
2024-03-25,5020.0,151900.0,-70300.0,111100.0,40800.0
2024-03-25,5030.0,183200.0,-9600.0,96400.0,86800.0
2024-03-25,5040.0,151600.0,-10800.0,81200.0,70400.0
2024-03-25,5050.0,351300.0,90700.0,130300.0,221000.0
2024-03-25,5060.0,275100.0,-500.0,137800.0,137300.0
2024-03-25,5070.0,203800.0,-115000.0,159400.0,44400.0
2024-03-25,5080.0,101800.0,86600.0,7600.0,94200.0
2024-03-25,5090.0,71500.0,15700.0,27900.0,43600.0
2024-03-25,5100.0,76800.0,71800.0,2500.0,74300.0
2024-03-25,5110.0,2300.0,-300.0,1300.0,1000.0
2024-03-25,5120.0,44900.0,33500.0,5700.0,39200.0
2024-03-25,5130.0,53400.0,-24800.0,39100.0,14300.0
2024-03-25,5140.0,25600.0,25600.0,0.0,25600.0
2024-05-08,3750.0,17000.0,-17000.0,17000.0,0.0
2024-05-08,3760.0,53700.0,-53700.0,53700.0,0.0
2024-05-08,3770.0,57800.0,-35200.0,46500.0,11300.0
2024-05-08,3780.0,127700.0,-14300.0,71000.0,56700.0
2024-05-08,3790.0,130300.0,-38100.0,84200.0,46100.0
2024-05-08,3800.0,179800.0,-80000.0,129900.0,49900.0
2024-05-08,3810.0,28000.0,-11400.0,19700.0,8300.0
2024-05-08,3820.0,36200.0,21200.0,7500.0,28700.0
2024-05-08,3830.0,9900.0,9900.0,0.0,9900.0
2024-05-08,3840.0,3600.0,3600.0,0.0,3600.0
2024-04-08,4750.0,14500.0,-14500.0,14500.0,0.0
2024-04-08,4760.0,23400.0,-20000.0,21700.0,1700.0
2024-04-08,4770.0,131800.0,-28200.0,80000.0,51800.0
2024-04-08,4780.0,64200.0,38400.0,12900.0,51300.0
2024-04-08,4790.0,65600.0,-4000.0,34800.0,30800.0
2024-04-08,4800.0,93000.0,-14200.0,53600.0,39400.0
2024-04-08,4810.0,3900.0,-2900.0,3400.0,500.0
2024-04-08,4820.0,11000.0,5400.0,2800.0,8200.0
2024-04-08,4830.0,200.0,200.0,0.0,200.0
2024-04-26,3680.0,11700.0,-11700.0,11700.0,0.0
2024-04-26,3690.0,8400.0,-8400.0,8400.0,0.0
2024-04-26,3700.0,73000.0,-5200.0,39100.0,33900.0
2024-04-26,3710.0,33000.0,-33000.0,33000.0,0.0
2024-04-26,3720.0,25200.0,-22800.0,24000.0,1200.0
2024-04-26,3730.0,149900.0,-49500.0,99700.0,50200.0
2024-04-26,3740.0,81900.0,57500.0,12200.0,69700.0
2024-04-26,3750.0,36600.0,-3800.0,20200.0,16400.0
2024-04-26,3760.0,33200.0,-3800.0,18500.0,14700.0
2024-04-26,3770.0,4000.0,4000.0,0.0,4000.0
2024-06-27,3430.0,87000.0,-87000.0,87000.0,0.0
2024-06-27,3440.0,80600.0,6400.0,37100.0,43500.0
2024-06-27,3450.0,72100.0,-53900.0,63000.0,9100.0
2024-06-27,3460.0,18700.0,-3500.0,11100.0,7600.0
2024-06-27,3470.0,22600.0,-4200.0,13400.0,9200.0
2024-06-27,3480.0,21100.0,1900.0,9600.0,11500.0
