t,p,q,d,b,a
2024-02-15,18450.0,10700.0,-10700.0,10700.0,0.0
2024-02-15,18500.0,364600.0,-73000.0,218800.0,145800.0
2024-02-15,18550.0,1034000.0,-88600.0,561300.0,472700.0
2024-02-15,18600.0,1654000.0,789800.0,432100.0,1221900.0
2024-02-15,18650.0,1363300.0,-88300.0,725800.0,637500.0
2024-02-15,18700.0,963400.0,95200.0,434100.0,529300.0
2024-02-15,18750.0,873400.0,427800.0,222800.0,650600.0
2024-02-15,18800.0,2100.0,2100.0,0.0,2100.0
2024-02-16,18800.0,98900.0,74700.0,12100.0,86800.0
2024-02-16,18850.0,78500.0,78500.0,0.0,78500.0
2024-02-16,18900.0,866700.0,-460100.0,663400.0,203300.0
2024-02-16,18950.0,3286700.0,-996300.0,2141500.0,1145200.0
2024-02-16,19000.0,4637800.0,1541200.0,1548300.0,3089500.0
2024-02-16,19050.0,2690700.0,-178900.0,1434800.0,1255900.0
2024-02-16,19100.0,1253100.0,444500.0,404300.0,848800.0
2024-02-16,19150.0,668000.0,668000.0,0.0,668000.0
2024-02-16,19200.0,100.0,100.0,0.0,100.0
2024-02-19,18700.0,19000.0,-19000.0,19000.0,0.0
2024-02-19,18750.0,1603500.0,-1323700.0,1463600.0,139900.0
2024-02-19,18800.0,2421500.0,76700.0,1172400.0,1249100.0
2024-02-19,18850.0,857500.0,111700.0,372900.0,484600.0
2024-02-19,18900.0,890400.0,-680000.0,785200.0,105200.0
2024-02-19,18950.0,1108500.0,510900.0,298800.0,809700.0
2024-02-19,19000.0,172700.0,8900.0,81900.0,90800.0
2024-02-19,19050.0,85600.0,85600.0,0.0,85600.0
2024-02-20,18700.0,232500.0,-232500.0,232500.0,0.0
2024-02-20,18750.0,299400.0,-18000.0,158700.0,140700.0
2024-02-20,18800.0,475000.0,-237600.0,356300.0,118700.0
2024-02-20,18850.0,672800.0,-189400.0,431100.0,241700.0
2024-02-20,18900.0,1563200.0,-446200.0,1004700.0,558500.0
2024-02-20,18950.0,2925700.0,-559900.0,1742800.0,1182900.0
2024-02-20,19000.0,3646400.0,1725400.0,960500.0,2685900.0
2024-02-20,19050.0,3648100.0,1159500.0,1244300.0,2403800.0
2024-02-20,19100.0,175200.0,175200.0,0.0,175200.0
2024-02-21,18700.0,419900.0,-419900.0,419900.0,0.0
2024-02-21,18750.0,961800.0,-322600.0,642200.0,319600.0
2024-02-21,18800.0,1810200.0,-136200.0,973200.0,837000.0
2024-02-21,18850.0,838300.0,-389500.0,613900.0,224400.0
2024-02-21,18900.0,1171300.0,-441100.0,806200.0,365100.0
2024-02-21,18950.0,834400.0,-407400.0,620900.0,213500.0
2024-02-21,19000.0,1098900.0,215700.0,441600.0,657300.0
2024-02-21,19050.0,253000.0,253000.0,0.0,253000.0
2024-02-22,18500.0,3100.0,-3100.0,3100.0,0.0
2024-02-22,18550.0,1154800.0,-1057600.0,1106200.0,48600.0
2024-02-22,18600.0,2936700.0,-1640100.0,2288400.0,648300.0
2024-02-22,18650.0,1579200.0,-305400.0,942300.0,636900.0
2024-02-22,18700.0,724700.0,-193500.0,459100.0,265600.0
2024-02-22,18750.0,694600.0,-61000.0,377800.0,316800.0
2024-02-22,18800.0,137200.0,96400.0,20400.0,116800.0
2024-02-22,18850.0,29900.0,29900.0,0.0,29900.0
2024-02-23,18000.0,109700.0,-109700.0,109700.0,0.0
2024-02-23,18050.0,453600.0,-262400.0,358000.0,95600.0
2024-02-23,18100.0,1459000.0,-784200.0,1121600.0,337400.0
2024-02-23,18150.0,710300.0,-88700.0,399500.0,310800.0
2024-02-23,18200.0,662800.0,-377600.0,520200.0,142600.0
2024-02-23,18250.0,424100.0,-165900.0,295000.0,129100.0
2024-02-23,18300.0,1121200.0,-640600.0,880900.0,240300.0
2024-02-23,18350.0,1675600.0,-1130600.0,1403100.0,272500.0
2024-02-23,18400.0,2205600.0,-1434000.0,1819800.0,385800.0
2024-02-23,18450.0,1596100.0,-379300.0,987700.0,608400.0
2024-02-23,18500.0,1577100.0,-171700.0,874400.0,702700.0
2024-02-23,18550.0,866700.0,-18100.0,442400.0,424300.0
2024-02-23,18600.0,153200.0,102200.0,25500.0,127700.0
2024-02-26,17650.0,64300.0,-64300.0,64300.0,0.0
2024-02-26,17700.0,1247800.0,-981200.0,1114500.0,133300.0
2024-02-26,17750.0,1638600.0,44400.0,797100.0,841500.0
2024-02-26,17800.0,1141900.0,124700.0,508600.0,633300.0
2024-02-26,17850.0,1734600.0,-678800.0,1206700.0,527900.0
2024-02-26,17900.0,1499100.0,-323500.0,911300.0,587800.0
2024-02-26,17950.0,1048200.0,317800.0,365200.0,683000.0
2024-02-26,18000.0,108800.0,-71800.0,90300.0,18500.0
2024-02-26,18050.0,100900.0,-99700.0,100300.0,600.0
2024-02-26,18100.0,192600.0,-135000.0,163800.0,28800.0
2024-02-26,18150.0,35500.0,35500.0,0.0,35500.0
2024-02-27,17800.0,43800.0,-43800.0,43800.0,0.0
2024-02-27,17850.0,1246700.0,-611100.0,928900.0,317800.0
2024-02-27,17900.0,1740100.0,-289500.0,1014800.0,725300.0
2024-02-27,17950.0,1177900.0,461500.0,358200.0,819700.0
2024-02-27,18000.0,1246500.0,70100.0,588200.0,658300.0
2024-02-27,18050.0,830800.0,157400.0,336700.0,494100.0
2024-02-27,18100.0,1358400.0,282200.0,538100.0,820300.0
2024-02-27,18150.0,667000.0,595200.0,35900.0,631100.0
2024-02-27,18200.0,508300.0,507300.0,500.0,507800.0
2024-02-27,18250.0,1075600.0,-126000.0,600800.0,474800.0
2024-02-27,18300.0,941000.0,941000.0,0.0,941000.0
2024-02-28,18000.0,503000.0,-503000.0,503000.0,0.0
2024-02-28,18050.0,1576400.0,-604200.0,1090300.0,486100.0
2024-02-28,18100.0,1552000.0,-58000.0,805000.0,747000.0
2024-02-28,18150.0,1519400.0,-611800.0,1065600.0,453800.0
2024-02-28,18200.0,924100.0,-236500.0,580300.0,343800.0
2024-02-28,18250.0,274300.0,23900.0,125200.0,149100.0
2024-02-28,18300.0,215300.0,-77100.0,146200.0,69100.0
2024-02-28,18350.0,3500.0,3500.0,0.0,3500.0
