t,p,q,d,b,a
2024-02-15,14400.0,2000.0,-2000.0,2000.0,0.0
2024-02-15,14500.0,92512.0,-65912.0,79212.0,13300.0
2024-02-15,14600.0,300862.0,-207622.0,254242.0,46620.0
2024-02-15,14700.0,148272.0,-96588.0,122430.0,25842.0
2024-02-15,14800.0,81710.0,-31890.0,56800.0,24910.0
2024-02-15,14900.0,50840.0,-2560.0,26700.0,24140.0
2024-02-15,15000.0,15105.0,-2695.0,8900.0,6205.0
2024-02-15,15100.0,1000.0,-1000.0,1000.0,0.0
2024-02-15,15200.0,5100.0,4900.0,100.0,5000.0
2024-02-16,14500.0,106704.0,-106096.0,106400.0,304.0
2024-02-16,14600.0,166200.0,-155400.0,160800.0,5400.0
2024-02-16,14700.0,235420.0,25380.0,105020.0,130400.0
2024-02-16,14800.0,347730.0,47674.0,150028.0,197702.0
2024-02-16,14900.0,108321.0,1079.0,53621.0,54700.0
2024-02-16,15000.0,52700.0,18500.0,17100.0,35600.0
2024-02-19,14500.0,3001.0,-3001.0,3001.0,0.0
2024-02-19,14600.0,79019.0,-73419.0,76219.0,2800.0
2024-02-19,14700.0,201164.0,-78466.0,139815.0,61349.0
2024-02-19,14800.0,128156.0,38928.0,44614.0,83542.0
2024-02-19,14900.0,14900.0,14900.0,0.0,14900.0
2024-02-20,14400.0,108400.0,-79000.0,93700.0,14700.0
2024-02-20,14500.0,287961.0,-108861.0,198411.0,89550.0
2024-02-20,14600.0,247220.0,-136202.0,191711.0,55509.0
2024-02-20,14700.0,104513.0,-22105.0,63309.0,41204.0
2024-02-20,14800.0,13300.0,-8900.0,11100.0,2200.0
2024-02-20,14900.0,42600.0,-12200.0,27400.0,15200.0
2024-02-21,14500.0,24500.0,-24500.0,24500.0,0.0
2024-02-21,14600.0,106200.0,-63400.0,84800.0,21400.0
2024-02-21,14700.0,242054.0,-75854.0,158954.0,83100.0
2024-02-21,14800.0,229654.0,75854.0,76900.0,152754.0
2024-02-21,14900.0,44800.0,25400.0,9700.0,35100.0
2024-02-22,14700.0,74529.0,-37929.0,56229.0,18300.0
2024-02-22,14800.0,77313.0,-2487.0,39900.0,37413.0
2024-02-22,14900.0,141988.0,33612.0,54188.0,87800.0
2024-02-22,15000.0,197670.0,63664.0,67003.0,130667.0
2024-02-22,15100.0,169780.0,49834.0,59973.0,109807.0
2024-02-22,15200.0,31400.0,30600.0,400.0,31000.0
2024-02-22,15300.0,25986.0,-2014.0,14000.0,11986.0
2024-02-23,14000.0,221400.0,76400.0,72500.0,148900.0
2024-02-23,14100.0,109419.0,15419.0,47000.0,62419.0
2024-02-23,14200.0,51650.0,-9050.0,30350.0,21300.0
2024-02-23,14300.0,46800.0,-32400.0,39600.0,7200.0
2024-02-23,14400.0,39800.0,-4200.0,22000.0,17800.0
2024-02-23,14500.0,77500.0,-43500.0,60500.0,17000.0
2024-02-23,14600.0,129500.0,-108900.0,119200.0,10300.0
2024-02-23,14700.0,79109.0,-8293.0,43701.0,35408.0
2024-02-23,14800.0,80588.0,-46412.0,63500.0,17088.0
2024-02-23,14900.0,90146.0,71146.0,9500.0,80646.0
2024-02-23,15000.0,50600.0,22600.0,14000.0,36600.0
2024-02-23,15100.0,2300.0,2300.0,0.0,2300.0
2024-02-26,13800.0,1200.0,-1200.0,1200.0,0.0
2024-02-26,13900.0,15700.0,-3500.0,9600.0,6100.0
2024-02-26,14000.0,133600.0,-10600.0,72100.0,61500.0
2024-02-26,14100.0,200501.0,-74835.0,137668.0,62833.0
2024-02-26,14200.0,167172.0,127480.0,19846.0,147326.0
