t,p,q,d,b,a
2024-02-15,18700.0,1758700.0,-1207300.0,1483000.0,275700.0
2024-02-15,18750.0,1287800.0,67200.0,610300.0,677500.0
2024-02-15,18800.0,1465700.0,-588500.0,1027100.0,438600.0
2024-02-15,18850.0,1208100.0,1053900.0,77100.0,1131000.0
2024-02-15,18900.0,264500.0,235500.0,14500.0,250000.0
2024-02-15,18950.0,485900.0,22700.0,231600.0,254300.0
2024-02-15,19000.0,4190900.0,1083500.0,1553700.0,2637200.0
2024-02-15,19050.0,3393600.0,300800.0,1546400.0,1847200.0
2024-02-15,19100.0,2936100.0,1191700.0,872200.0,2063900.0
2024-02-15,19150.0,578500.0,332100.0,123200.0,455300.0
2024-02-15,19200.0,829200.0,215400.0,306900.0,522300.0
2024-02-15,19250.0,395200.0,395200.0,0.0,395200.0
2024-02-16,18750.0,8300.0,-8300.0,8300.0,0.0
2024-02-16,18800.0,2613800.0,-89000.0,1351400.0,1262400.0
2024-02-16,18850.0,2725800.0,-232000.0,1478900.0,1246900.0
2024-02-16,18900.0,1847000.0,-1028600.0,1437800.0,409200.0
2024-02-16,18950.0,2288700.0,82100.0,1103300.0,1185400.0
2024-02-16,19000.0,520500.0,-79700.0,300100.0,220400.0
2024-02-16,19050.0,348200.0,-246000.0,297100.0,51100.0
2024-02-16,19100.0,261100.0,-36900.0,149000.0,112100.0
2024-02-16,19150.0,7600.0,7600.0,0.0,7600.0
2024-02-19,18600.0,349000.0,-349000.0,349000.0,0.0
2024-02-19,18650.0,1808200.0,-1700200.0,1754200.0,54000.0
2024-02-19,18700.0,3477700.0,-6100.0,1741900.0,1735800.0
2024-02-19,18750.0,1734600.0,-548000.0,1141300.0,593300.0
2024-02-19,18800.0,2985100.0,-1583300.0,2284200.0,700900.0
2024-02-19,18850.0,1070300.0,-22500.0,546400.0,523900.0
2024-02-19,18900.0,482600.0,456000.0,13300.0,469300.0
2024-02-19,18950.0,20300.0,20300.0,0.0,20300.0
2024-02-20,18600.0,1886600.0,-1647200.0,1766900.0,119700.0
2024-02-20,18650.0,2626800.0,161400.0,1232700.0,1394100.0
