t,p,q,d,b,a
2024-02-15,21550.0,11700.0,-11700.0,11700.0,0.0
2024-02-15,21600.0,29800.0,-21800.0,25800.0,4000.0
2024-02-15,21650.0,54500.0,-54500.0,54500.0,0.0
2024-02-15,21700.0,120700.0,-53300.0,87000.0,33700.0
2024-02-15,21750.0,37400.0,-6800.0,22100.0,15300.0
2024-02-15,21800.0,36100.0,-18700.0,27400.0,8700.0
2024-02-15,21850.0,46200.0,-4800.0,25500.0,20700.0
2024-02-15,21900.0,34200.0,7000.0,13600.0,20600.0
2024-02-15,21950.0,4100.0,4100.0,0.0,4100.0
2024-02-15,22000.0,7500.0,7500.0,0.0,7500.0
2024-02-16,21500.0,46200.0,-44000.0,45100.0,1100.0
2024-02-16,21550.0,31300.0,-28500.0,29900.0,1400.0
2024-02-16,21600.0,32200.0,-7800.0,20000.0,12200.0
2024-02-16,21650.0,18000.0,-7000.0,12500.0,5500.0
2024-02-16,21700.0,127100.0,-52100.0,89600.0,37500.0
2024-02-16,21750.0,86900.0,32300.0,27300.0,59600.0
2024-02-16,21800.0,75500.0,-25900.0,50700.0,24800.0
2024-02-16,21850.0,39400.0,1800.0,18800.0,20600.0
2024-02-16,21900.0,58900.0,12300.0,23300.0,35600.0
2024-02-16,21950.0,29500.0,7300.0,11100.0,18400.0
2024-02-16,22000.0,83800.0,23800.0,30000.0,53800.0
2024-02-16,22050.0,24000.0,24000.0,0.0,24000.0
2024-02-19,21450.0,4800.0,-4800.0,4800.0,0.0
2024-02-19,21500.0,124100.0,-105900.0,115000.0,9100.0
2024-02-19,21550.0,77300.0,-52300.0,64800.0,12500.0
2024-02-19,21600.0,125700.0,-92100.0,108900.0,16800.0
2024-02-19,21650.0,98800.0,-58200.0,78500.0,20300.0
2024-02-19,21700.0,38600.0,32800.0,2900.0,35700.0
2024-02-20,21050.0,34800.0,-34800.0,34800.0,0.0
2024-02-20,21100.0,84800.0,-53000.0,68900.0,15900.0
2024-02-20,21150.0,115300.0,-37900.0,76600.0,38700.0
2024-02-20,21200.0,45800.0,-11800.0,28800.0,17000.0
2024-02-20,21250.0,66200.0,-8800.0,37500.0,28700.0
2024-02-20,21300.0,108600.0,-45000.0,76800.0,31800.0
2024-02-20,21350.0,71700.0,-26300.0,49000.0,22700.0
2024-02-20,21400.0,158600.0,-124400.0,141500.0,17100.0
2024-02-20,21450.0,87300.0,-13500.0,50400.0,36900.0
2024-02-20,21500.0,72500.0,-37700.0,55100.0,17400.0
2024-02-20,21550.0,16900.0,-10900.0,13900.0,3000.0
2024-02-20,21600.0,16500.0,13500.0,1500.0,15000.0
2024-02-21,21200.0,19300.0,-19300.0,19300.0,0.0
2024-02-21,21250.0,24600.0,-24600.0,24600.0,0.0
2024-02-21,21300.0,59000.0,-40800.0,49900.0,9100.0
2024-02-21,21350.0,65400.0,-41800.0,53600.0,11800.0
2024-02-21,21400.0,57900.0,5700.0,26100.0,31800.0
2024-02-21,21450.0,84800.0,-17200.0,51000.0,33800.0
2024-02-21,21500.0,101100.0,-22300.0,61700.0,39400.0
2024-02-21,21550.0,14200.0,7000.0,3600.0,10600.0
2024-02-21,21600.0,16800.0,-11600.0,14200.0,2600.0
2024-02-21,21650.0,5000.0,3000.0,1000.0,4000.0
2024-02-21,21700.0,34900.0,13300.0,10800.0,24100.0
2024-02-21,21750.0,3000.0,-2200.0,2600.0,400.0
2024-02-21,21800.0,8000.0,5800.0,1100.0,6900.0
2024-02-21,21850.0,6300.0,3300.0,1500.0,4800.0
2024-02-21,21900.0,25100.0,21100.0,2000.0,23100.0
2024-02-21,21950.0,32700.0,-7500.0,20100.0,12600.0
2024-02-22,21400.0,25900.0,-7100.0,16500.0,9400.0
2024-02-22,21450.0,91400.0,-60000.0,75700.0,15700.0
2024-02-22,21500.0,166100.0,-19900.0,93000.0,73100.0
2024-02-22,21550.0,19500.0,-5500.0,12500.0,7000.0
2024-02-22,21600.0,41800.0,-10200.0,26000.0,15800.0
2024-02-22,21650.0,25000.0,8400.0,8300.0,16700.0
2024-02-22,21700.0,5000.0,5000.0,0.0,5000.0
2024-02-23,20200.0,2600.0,-2600.0,2600.0,0.0
2024-02-23,20300.0,12300.0,-2300.0,7300.0,5000.0
2024-02-23,20350.0,2800.0,2600.0,100.0,2700.0
2024-02-23,20450.0,6400.0,-600.0,3500.0,2900.0
2024-02-23,20500.0,22000.0,-15400.0,18700.0,3300.0
2024-02-23,20600.0,14400.0,-9800.0,12100.0,2300.0
2024-02-23,20650.0,2600.0,-2000.0,2300.0,300.0
2024-02-23,20700.0,16500.0,6900.0,4800.0,11700.0
2024-02-23,20750.0,2000.0,-2000.0,2000.0,0.0
2024-02-23,20800.0,47400.0,-33600.0,40500.0,6900.0
2024-02-23,20850.0,23200.0,-20000.0,21600.0,1600.0
2024-02-23,20900.0,33900.0,-8900.0,21400.0,12500.0
2024-02-23,20950.0,6700.0,-6300.0,6500.0,200.0
2024-02-23,21000.0,35400.0,-4200.0,19800.0,15600.0
2024-02-23,21050.0,8400.0,-5200.0,6800.0,1600.0
2024-02-23,21100.0,23400.0,-19400.0,21400.0,2000.0
2024-02-23,21150.0,53600.0,-48800.0,51200.0,2400.0
2024-02-23,21200.0,80000.0,-60600.0,70300.0,9700.0
2024-02-23,21250.0,72700.0,-72700.0,72700.0,0.0
2024-02-23,21300.0,101400.0,-71200.0,86300.0,15100.0
2024-02-23,21350.0,57800.0,-9600.0,33700.0,24100.0
2024-02-23,21400.0,26400.0,8600.0,8900.0,17500.0
2024-02-23,21450.0,18300.0,4700.0,6800.0,11500.0
2024-02-23,21500.0,7400.0,-6200.0,6800.0,600.0
2024-02-23,21550.0,500.0,-500.0,500.0,0.0
2024-02-23,21600.0,1700.0,1700.0,0.0,1700.0
2024-02-26,20500.0,11500.0,-11500.0,11500.0,0.0
2024-02-26,20550.0,20300.0,-7900.0,14100.0,6200.0
2024-02-26,20600.0,56300.0,-42100.0,49200.0,7100.0
2024-02-26,20650.0,24400.0,4400.0,10000.0,14400.0
2024-02-26,20700.0,25400.0,-6000.0,15700.0,9700.0
2024-02-26,20750.0,10100.0,-3300.0,6700.0,3400.0
2024-02-26,20800.0,82700.0,-19500.0,51100.0,31600.0
2024-02-26,20850.0,46300.0,-6500.0,26400.0,19900.0
2024-02-26,20900.0,66200.0,18000.0,24100.0,42100.0
2024-02-26,20950.0,5200.0,1200.0,2000.0,3200.0
