t,p,q,d,b,a
2024-07-10,14500.0,23400.0,-23400.0,23400.0,0.0
2024-07-10,14550.0,643000.0,-357600.0,500300.0,142700.0
2024-07-10,14600.0,1296800.0,-765800.0,1031300.0,265500.0
2024-07-10,14650.0,1255100.0,-156300.0,705700.0,549400.0
2024-07-10,14700.0,483400.0,11400.0,236000.0,247400.0
2024-07-10,14750.0,275300.0,-9500.0,142400.0,132900.0
2024-07-10,14800.0,460100.0,-61700.0,260900.0,199200.0
2024-07-10,14850.0,200100.0,17100.0,91500.0,108600.0
2024-07-10,14900.0,92700.0,90300.0,1200.0,91500.0
2024-07-11,14400.0,278500.0,-278500.0,278500.0,0.0
2024-07-11,14450.0,1243200.0,-107000.0,675100.0,568100.0
2024-07-11,14500.0,1147600.0,-453200.0,800400.0,347200.0
2024-07-11,14550.0,294100.0,120700.0,86700.0,207400.0
2024-07-11,14600.0,51700.0,-35300.0,43500.0,8200.0
2024-07-11,14650.0,30700.0,26300.0,2200.0,28500.0
2024-07-11,14700.0,2100.0,2100.0,0.0,2100.0
2024-07-12,14150.0,273800.0,-203600.0,238700.0,35100.0
2024-07-12,14200.0,580700.0,-432900.0,506800.0,73900.0
2024-07-12,14250.0,1422900.0,-680900.0,1051900.0,371000.0
2024-07-12,14300.0,736000.0,-23600.0,379800.0,356200.0
2024-07-12,14350.0,281300.0,-92500.0,186900.0,94400.0
2024-07-12,14400.0,47600.0,-7000.0,27300.0,20300.0
2024-07-12,14450.0,2200.0,0.0,1100.0,1100.0
2024-07-15,14050.0,19300.0,-19300.0,19300.0,0.0
2024-07-15,14100.0,544600.0,-298800.0,421700.0,122900.0
2024-07-15,14150.0,1091200.0,-159200.0,625200.0,466000.0
2024-07-15,14200.0,586000.0,-229200.0,407600.0,178400.0
2024-07-15,14250.0,215000.0,27600.0,93700.0,121300.0
2024-07-15,14300.0,91900.0,24700.0,33600.0,58300.0
2024-07-16,14150.0,183600.0,-183600.0,183600.0,0.0
2024-07-16,14200.0,945100.0,-195500.0,570300.0,374800.0
2024-07-16,14250.0,755700.0,168300.0,293700.0,462000.0
2024-07-16,14300.0,382500.0,-37700.0,210100.0,172400.0
2024-07-16,14350.0,636300.0,-146500.0,391400.0,244900.0
2024-07-16,14400.0,447700.0,123700.0,162000.0,285700.0
2024-07-16,14450.0,444500.0,214700.0,114900.0,329600.0
2024-07-16,14500.0,402400.0,238800.0,81800.0,320600.0
2024-07-16,14550.0,426100.0,-52100.0,239100.0,187000.0
2024-07-16,14600.0,141500.0,141500.0,0.0,141500.0
2024-07-17,13550.0,134600.0,-134600.0,134600.0,0.0
2024-07-17,13600.0,956300.0,-74100.0,515200.0,441100.0
2024-07-17,13650.0,360900.0,89500.0,135700.0,225200.0
2024-07-17,13700.0,81200.0,-64600.0,72900.0,8300.0
2024-07-17,13750.0,1100.0,-1100.0,1100.0,0.0
2024-07-17,13800.0,160000.0,-147800.0,153900.0,6100.0
2024-07-17,13850.0,23700.0,-23700.0,23700.0,0.0
2024-07-17,13900.0,111900.0,-111500.0,111700.0,200.0
2024-07-17,13950.0,166100.0,-165300.0,165700.0,400.0
2024-07-17,14000.0,843900.0,-622700.0,733300.0,110600.0
2024-07-17,14050.0,813000.0,-708800.0,760900.0,52100.0
2024-07-17,14100.0,1994700.0,-815500.0,1405100.0,589600.0
2024-07-17,14150.0,995600.0,13600.0,491000.0,504600.0
2024-07-17,14200.0,939600.0,199400.0,370100.0,569500.0
2024-07-17,14250.0,159500.0,154300.0,2600.0,156900.0
2024-07-17,14300.0,0.0,0.0,0.0,0.0
2024-07-18,13600.0,106600.0,-106600.0,106600.0,0.0
2024-07-18,13650.0,292500.0,-259100.0,275800.0,16700.0
2024-07-18,13700.0,1532700.0,-158300.0,845500.0,687200.0
2024-07-18,13750.0,777600.0,-284600.0,531100.0,246500.0
2024-07-18,13800.0,981100.0,-212700.0,596900.0,384200.0
2024-07-18,13850.0,669700.0,-204500.0,437100.0,232600.0
2024-07-18,13900.0,370200.0,83600.0,143300.0,226900.0
2024-07-18,13950.0,56500.0,56500.0,0.0,56500.0
2024-07-19,13500.0,0.0,0.0,0.0,0.0
2024-07-19,13600.0,435900.0,-435900.0,435900.0,0.0
2024-07-19,13650.0,725000.0,-604000.0,664500.0,60500.0
2024-07-19,13700.0,1753300.0,-802300.0,1277800.0,475500.0
2024-07-19,13750.0,426500.0,-179900.0,303200.0,123300.0
2024-07-19,13800.0,524300.0,-214500.0,369400.0,154900.0
2024-07-19,13850.0,229600.0,19600.0,105000.0,124600.0
2024-07-19,13900.0,194200.0,15200.0,89500.0,104700.0
2024-07-19,13950.0,64400.0,16200.0,24100.0,40300.0
2024-07-19,14000.0,6200.0,-1000.0,3600.0,2600.0
2024-07-19,14050.0,0.0,0.0,0.0,0.0
2024-07-22,12650.0,3300.0,-3300.0,3300.0,0.0
2024-07-22,12700.0,436500.0,-147900.0,292200.0,144300.0
2024-07-22,12750.0,218800.0,-24200.0,121500.0,97300.0
2024-07-22,12800.0,607200.0,-416800.0,512000.0,95200.0
2024-07-22,12850.0,537900.0,-102700.0,320300.0,217600.0
2024-07-22,12900.0,961200.0,-275000.0,618100.0,343100.0
2024-07-22,12950.0,1438900.0,398500.0,520200.0,918700.0
2024-07-22,13000.0,1423500.0,-799900.0,1111700.0,311800.0
2024-07-22,13050.0,1289500.0,-210700.0,750100.0,539400.0
2024-07-22,13100.0,834400.0,-74200.0,454300.0,380100.0
2024-07-22,13150.0,693300.0,-103300.0,398300.0,295000.0
2024-07-22,13200.0,660700.0,-471700.0,566200.0,94500.0
2024-07-22,13250.0,481100.0,-158300.0,319700.0,161400.0
2024-07-22,13300.0,375200.0,-294200.0,334700.0,40500.0
2024-07-22,13350.0,450700.0,-177700.0,314200.0,136500.0
2024-07-22,13400.0,136500.0,80700.0,27900.0,108600.0
2024-07-22,13450.0,33000.0,-28600.0,30800.0,2200.0
2024-07-22,13500.0,0.0,0.0,0.0,0.0
2024-07-23,12850.0,60900.0,-60900.0,60900.0,0.0
2024-07-23,12900.0,549200.0,-361800.0,455500.0,93700.0
2024-07-23,12950.0,1599100.0,-526700.0,1062900.0,536200.0
2024-07-23,13000.0,1895400.0,-384200.0,1139800.0,755600.0
2024-07-23,13050.0,1017300.0,662700.0,177300.0,840000.0
2024-07-23,13100.0,66700.0,66700.0,0.0,66700.0
2024-07-24,12650.0,107100.0,-107100.0,107100.0,0.0
2024-07-24,12700.0,238200.0,-237000.0,237600.0,600.0
2024-07-24,12750.0,1086400.0,-389200.0,737800.0,348600.0
2024-07-24,12800.0,657900.0,-294900.0,476400.0,181500.0
2024-07-24,12850.0,370700.0,191700.0,89500.0,281200.0
2024-07-24,12900.0,178500.0,52500.0,63000.0,115500.0
2024-07-24,12950.0,349800.0,-57800.0,203800.0,146000.0
2024-07-24,13000.0,450400.0,37800.0,206300.0,244100.0
2024-07-24,13050.0,335300.0,46900.0,144200.0,191100.0
2024-07-24,13100.0,420900.0,73100.0,173900.0,247000.0
2024-07-24,13150.0,203800.0,-24600.0,114200.0,89600.0
2024-07-24,13200.0,23600.0,23600.0,0.0,23600.0
2024-07-25,12900.0,58100.0,2300.0,27900.0,30200.0
2024-07-25,12950.0,406900.0,-253500.0,330200.0,76700.0
2024-07-25,13000.0,1343200.0,-312600.0,827900.0,515300.0
