t,p,q,d,b,a
2024-06-28,4000.0,21500.0,-12900.0,17200.0,4300.0
2024-06-28,4010.0,1000.0,-1000.0,1000.0,0.0
2024-06-28,4020.0,2200.0,-1800.0,2000.0,200.0
2024-06-28,4050.0,100.0,-100.0,100.0,0.0
2024-06-28,4060.0,1400.0,1000.0,200.0,1200.0
2024-06-28,4070.0,600.0,600.0,0.0,600.0
2024-06-06,4080.0,5200.0,-5200.0,5200.0,0.0
2024-06-06,4090.0,5200.0,-5200.0,5200.0,0.0
2024-06-06,4100.0,14600.0,-10800.0,12700.0,1900.0
2024-06-06,4110.0,1000.0,800.0,100.0,900.0
2024-06-06,4120.0,10400.0,10400.0,0.0,10400.0
2024-02-23,4400.0,5000.0,-5000.0,5000.0,0.0
2024-02-23,4410.0,2700.0,-2700.0,2700.0,0.0
2024-02-23,4420.0,200.0,-200.0,200.0,0.0
2024-02-23,4440.0,200.0,-200.0,200.0,0.0
2024-02-23,4450.0,5900.0,-5900.0,5900.0,0.0
2024-02-23,4460.0,6400.0,-6400.0,6400.0,0.0
2024-02-23,4470.0,4900.0,-4900.0,4900.0,0.0
2024-02-23,4480.0,34400.0,-28000.0,31200.0,3200.0
2024-02-23,4490.0,16500.0,-16500.0,16500.0,0.0
2024-02-23,4500.0,13200.0,-13200.0,13200.0,0.0
2024-02-23,4510.0,5800.0,-5400.0,5600.0,200.0
2024-02-23,4520.0,14300.0,-4900.0,9600.0,4700.0
2024-02-23,4530.0,2200.0,-1800.0,2000.0,200.0
2024-05-29,4040.0,19400.0,-19400.0,19400.0,0.0
2024-05-29,4050.0,5300.0,-5300.0,5300.0,0.0
2024-05-29,4060.0,8500.0,-1100.0,4800.0,3700.0
2024-05-29,4070.0,22000.0,8200.0,6900.0,15100.0
2024-05-29,4080.0,9700.0,8300.0,700.0,9000.0
2024-05-29,4090.0,700.0,700.0,0.0,700.0
2024-05-29,4100.0,8300.0,7300.0,500.0,7800.0
2024-03-11,4460.0,7300.0,-7300.0,7300.0,0.0
2024-03-11,4470.0,1200.0,-1200.0,1200.0,0.0
2024-03-11,4480.0,7100.0,-3300.0,5200.0,1900.0
2024-03-11,4490.0,7300.0,-7300.0,7300.0,0.0
2024-03-11,4500.0,25600.0,-3200.0,14400.0,11200.0
2024-03-11,4510.0,5500.0,-5500.0,5500.0,0.0
2024-03-11,4520.0,3600.0,-3600.0,3600.0,0.0
2024-03-11,4530.0,16800.0,-16000.0,16400.0,400.0
2024-03-11,4540.0,100.0,-100.0,100.0,0.0
2024-03-11,4560.0,1300.0,300.0,500.0,800.0
2024-03-11,4570.0,3000.0,-400.0,1700.0,1300.0
2024-03-11,4580.0,300.0,300.0,0.0,300.0
2024-05-07,3900.0,6900.0,-6900.0,6900.0,0.0
2024-05-07,3910.0,5600.0,-5600.0,5600.0,0.0
2024-05-07,3920.0,100.0,-100.0,100.0,0.0
2024-05-07,3960.0,500.0,-500.0,500.0,0.0
2024-05-07,4010.0,200.0,-200.0,200.0,0.0
2024-05-07,4030.0,100.0,-100.0,100.0,0.0
2024-05-07,4100.0,300.0,-300.0,300.0,0.0
2024-05-07,4110.0,400.0,-400.0,400.0,0.0
2024-05-07,4120.0,7000.0,-3600.0,5300.0,1700.0
2024-05-07,4130.0,700.0,700.0,0.0,700.0
2024-05-07,4140.0,1900.0,-500.0,1200.0,700.0
2024-03-04,4550.0,1500.0,-1500.0,1500.0,0.0
2024-03-04,4560.0,149200.0,72200.0,38500.0,110700.0
2024-03-04,4570.0,58100.0,-30900.0,44500.0,13600.0
2024-03-04,4580.0,31300.0,5500.0,12900.0,18400.0
2024-03-04,4590.0,4700.0,-700.0,2700.0,2000.0
2024-03-04,4600.0,26000.0,25800.0,100.0,25900.0
