t,p,q,d,b,a
2024-02-15,14150.0,1000.0,-1000.0,1000.0,0.0
2024-02-15,14200.0,66800.0,13800.0,26500.0,40300.0
2024-02-15,14250.0,89600.0,40600.0,24500.0,65100.0
2024-02-15,14300.0,195900.0,33100.0,81400.0,114500.0
2024-02-15,14350.0,458800.0,-89600.0,274200.0,184600.0
2024-02-15,14400.0,644500.0,396100.0,124200.0,520300.0
2024-02-15,14450.0,280700.0,-23500.0,152100.0,128600.0
2024-02-15,14500.0,390300.0,112900.0,138700.0,251600.0
2024-02-15,14550.0,358100.0,63100.0,147500.0,210600.0
2024-02-15,14600.0,272200.0,-25000.0,148600.0,123600.0
2024-02-15,14650.0,49800.0,49800.0,0.0,49800.0
2024-02-16,14450.0,156600.0,-156600.0,156600.0,0.0
2024-02-16,14500.0,465200.0,-283800.0,374500.0,90700.0
2024-02-16,14550.0,1184200.0,-21600.0,602900.0,581300.0
2024-02-16,14600.0,110700.0,5100.0,52800.0,57900.0
2024-02-16,14650.0,7300.0,7300.0,0.0,7300.0
2024-02-19,14550.0,107900.0,-107900.0,107900.0,0.0
2024-02-19,14600.0,744000.0,-103200.0,423600.0,320400.0
2024-02-19,14650.0,781700.0,25300.0,378200.0,403500.0
2024-02-19,14700.0,560700.0,456300.0,52200.0,508500.0
2024-02-19,14750.0,295000.0,179400.0,57800.0,237200.0
2024-02-19,14800.0,163800.0,159800.0,2000.0,161800.0
2024-02-19,14850.0,161100.0,56500.0,52300.0,108800.0
2024-02-19,14900.0,378200.0,342200.0,18000.0,360200.0
2024-02-20,14600.0,6700.0,-6700.0,6700.0,0.0
2024-02-20,14650.0,300800.0,-201000.0,250900.0,49900.0
2024-02-20,14700.0,468300.0,-141500.0,304900.0,163400.0
2024-02-20,14750.0,470200.0,-65200.0,267700.0,202500.0
2024-02-20,14800.0,526900.0,-209300.0,368100.0,158800.0
2024-02-20,14850.0,165400.0,-16400.0,90900.0,74500.0
2024-02-20,14900.0,27400.0,-16800.0,22100.0,5300.0
2024-02-20,14950.0,8500.0,-7700.0,8100.0,400.0
2024-02-20,15000.0,93600.0,93600.0,0.0,93600.0
2024-02-21,14400.0,38100.0,-38100.0,38100.0,0.0
2024-02-21,14450.0,194300.0,-125500.0,159900.0,34400.0
2024-02-21,14500.0,602000.0,-315800.0,458900.0,143100.0
2024-02-21,14550.0,387200.0,-188200.0,287700.0,99500.0
2024-02-21,14600.0,352700.0,-128700.0,240700.0,112000.0
2024-02-21,14650.0,202300.0,11900.0,95200.0,107100.0
2024-02-21,14700.0,24800.0,24800.0,0.0,24800.0
2024-02-22,14600.0,43100.0,-43100.0,43100.0,0.0
2024-02-22,14650.0,103100.0,22100.0,40500.0,62600.0
2024-02-22,14700.0,566900.0,-58300.0,312600.0,254300.0
2024-02-22,14750.0,304500.0,-150700.0,227600.0,76900.0
2024-02-22,14800.0,659900.0,117100.0,271400.0,388500.0
2024-02-22,14850.0,501600.0,-238400.0,370000.0,131600.0
2024-02-22,14900.0,558900.0,266900.0,146000.0,412900.0
2024-02-22,14950.0,172400.0,172400.0,0.0,172400.0
2024-02-23,14050.0,30100.0,-30100.0,30100.0,0.0
2024-02-23,14100.0,182100.0,-168100.0,175100.0,7000.0
2024-02-23,14150.0,344400.0,-67200.0,205800.0,138600.0
2024-02-23,14200.0,127800.0,-42200.0,85000.0,42800.0
2024-02-23,14250.0,69200.0,-37000.0,53100.0,16100.0
2024-02-23,14300.0,118700.0,-85700.0,102200.0,16500.0
2024-02-23,14350.0,149300.0,-146300.0,147800.0,1500.0
2024-02-23,14400.0,397100.0,-109900.0,253500.0,143600.0
2024-02-23,14450.0,565900.0,-307900.0,436900.0,129000.0
2024-02-23,14500.0,712000.0,-145600.0,428800.0,283200.0
2024-02-23,14550.0,283400.0,47400.0,118000.0,165400.0
2024-02-23,14600.0,107300.0,-75500.0,91400.0,15900.0
2024-02-23,14650.0,56000.0,-53400.0,54700.0,1300.0
2024-02-23,14700.0,69300.0,59300.0,5000.0,64300.0
2024-02-23,14750.0,13000.0,13000.0,0.0,13000.0
2024-02-26,13750.0,96700.0,-96700.0,96700.0,0.0
2024-02-26,13800.0,237900.0,-237900.0,237900.0,0.0
2024-02-26,13850.0,293400.0,-135000.0,214200.0,79200.0
2024-02-26,13900.0,345200.0,-167600.0,256400.0,88800.0
2024-02-26,13950.0,531500.0,-203500.0,367500.0,164000.0
2024-02-26,14000.0,298100.0,3900.0,147100.0,151000.0
2024-02-26,14050.0,247200.0,-73800.0,160500.0,86700.0
2024-02-26,14100.0,131600.0,63600.0,34000.0,97600.0
2024-02-27,14100.0,281500.0,-200500.0,241000.0,40500.0
2024-02-27,14150.0,439900.0,-146100.0,293000.0,146900.0
2024-02-27,14200.0,313200.0,90000.0,111600.0,201600.0
2024-02-27,14250.0,138500.0,23300.0,57600.0,80900.0
2024-02-27,14300.0,171000.0,-75400.0,123200.0,47800.0
2024-02-27,14350.0,21800.0,21800.0,0.0,21800.0
2024-02-28,14100.0,84400.0,-84400.0,84400.0,0.0
2024-02-28,14150.0,281000.0,-130800.0,205900.0,75100.0
2024-02-28,14200.0,211900.0,-104500.0,158200.0,53700.0
2024-02-28,14250.0,354300.0,-157700.0,256000.0,98300.0
2024-02-28,14300.0,240000.0,-3200.0,121600.0,118400.0
2024-02-28,14350.0,35300.0,33500.0,900.0,34400.0
2024-02-29,14000.0,91200.0,-91200.0,91200.0,0.0
2024-02-29,14050.0,625800.0,-279800.0,452800.0,173000.0
2024-02-29,14100.0,545700.0,29300.0,258200.0,287500.0
2024-02-29,14150.0,192800.0,24800.0,84000.0,108800.0
2024-02-29,14200.0,142000.0,-46400.0,94200.0,47800.0
2024-02-29,14250.0,24800.0,1400.0,11700.0,13100.0
2024-02-29,14300.0,34300.0,34300.0,0.0,34300.0
2024-03-01,14000.0,21800.0,-21800.0,21800.0,0.0
2024-03-01,14050.0,180300.0,-134100.0,157200.0,23100.0
2024-03-01,14100.0,111200.0,49400.0,30900.0,80300.0
2024-03-01,14150.0,194000.0,-55000.0,124500.0,69500.0
2024-03-01,14200.0,228300.0,113700.0,57300.0,171000.0
2024-03-01,14250.0,152200.0,152200.0,0.0,152200.0
2024-03-01,14300.0,205700.0,145700.0,30000.0,175700.0
2024-03-01,14350.0,171300.0,-66100.0,118700.0,52600.0
2024-03-01,14400.0,710200.0,-62800.0,386500.0,323700.0
2024-03-01,14450.0,430300.0,63700.0,183300.0,247000.0
2024-03-01,14500.0,913300.0,309700.0,301800.0,611500.0
2024-03-01,14550.0,554700.0,205300.0,174700.0,380000.0
