t,p,q,d,b,a
2024-07-09,98700.0,4100.0,-900.0,2500.0,1600.0
2024-07-09,98800.0,1100.0,-500.0,800.0,300.0
2024-07-09,98900.0,5400.0,2800.0,1300.0,4100.0
2024-07-09,99000.0,6300.0,-2700.0,4500.0,1800.0
2024-07-09,99100.0,3800.0,-3800.0,3800.0,0.0
2024-07-09,99200.0,3400.0,-1000.0,2200.0,1200.0
2024-07-09,99400.0,4200.0,0.0,2100.0,2100.0
2024-07-09,99500.0,3000.0,-1000.0,2000.0,1000.0
2024-07-09,99600.0,2700.0,-2700.0,2700.0,0.0
2024-07-09,99700.0,6100.0,-5500.0,5800.0,300.0
2024-07-09,99800.0,14900.0,-3100.0,9000.0,5900.0
2024-07-09,99900.0,9800.0,-7200.0,8500.0,1300.0
2024-07-09,100000.0,93200.0,-53400.0,73300.0,19900.0
2024-07-09,100100.0,20000.0,-10400.0,15200.0,4800.0
2024-07-09,100200.0,9500.0,-5300.0,7400.0,2100.0
2024-07-09,100300.0,2000.0,-400.0,1200.0,800.0
2024-07-09,100400.0,10500.0,700.0,4900.0,5600.0
2024-07-09,100500.0,4200.0,1200.0,1500.0,2700.0
2024-07-09,100600.0,3500.0,3500.0,0.0,3500.0
2024-07-09,100700.0,3300.0,3300.0,0.0,3300.0
2024-07-09,100800.0,2700.0,1700.0,500.0,2200.0
2024-07-09,100900.0,900.0,900.0,0.0,900.0
2024-07-09,101000.0,7600.0,800.0,3400.0,4200.0
2024-07-09,101100.0,2100.0,-500.0,1300.0,800.0
2024-07-09,101200.0,2900.0,300.0,1300.0,1600.0
2024-07-09,101300.0,2300.0,1700.0,300.0,2000.0
2024-07-09,101400.0,200.0,-200.0,200.0,0.0
2024-07-09,101500.0,2700.0,-1700.0,2200.0,500.0
2024-07-09,101600.0,700.0,700.0,0.0,700.0
2024-07-09,101700.0,300.0,300.0,0.0,300.0
2024-07-09,101800.0,100.0,-100.0,100.0,0.0
2024-07-09,101900.0,300.0,-300.0,300.0,0.0
2024-07-09,102000.0,5400.0,-3000.0,4200.0,1200.0
2024-07-09,102300.0,100.0,-100.0,100.0,0.0
2024-07-09,102500.0,100.0,-100.0,100.0,0.0
2024-07-09,102600.0,7600.0,2400.0,2600.0,5000.0
2024-07-09,103000.0,100.0,-100.0,100.0,0.0
2024-07-10,99400.0,1900.0,-1500.0,1700.0,200.0
2024-07-10,99700.0,0.0,0.0,0.0,0.0
2024-07-10,100000.0,3700.0,3700.0,0.0,3700.0
2024-07-10,100100.0,1500.0,-1500.0,1500.0,0.0
2024-07-10,100200.0,100.0,-100.0,100.0,0.0
2024-07-10,100500.0,8900.0,500.0,4200.0,4700.0
2024-07-10,100700.0,300.0,-300.0,300.0,0.0
2024-07-10,100800.0,100.0,-100.0,100.0,0.0
2024-07-10,100900.0,900.0,900.0,0.0,900.0
2024-07-10,101000.0,6500.0,4500.0,1000.0,5500.0
2024-07-10,101100.0,200.0,200.0,0.0,200.0
2024-07-10,101200.0,8300.0,7300.0,500.0,7800.0
2024-07-10,101400.0,100.0,100.0,0.0,100.0
2024-07-10,101500.0,4600.0,800.0,1900.0,2700.0
2024-07-10,101600.0,8800.0,-8800.0,8800.0,0.0
2024-07-10,101700.0,15500.0,-10100.0,12800.0,2700.0
2024-07-10,101800.0,21600.0,3800.0,8900.0,12700.0
2024-07-10,101900.0,15600.0,-8200.0,11900.0,3700.0
2024-07-10,102000.0,81100.0,26300.0,27400.0,53700.0
2024-07-10,102100.0,4800.0,1800.0,1500.0,3300.0
2024-07-10,102200.0,5100.0,-2300.0,3700.0,1400.0
2024-07-11,101800.0,700.0,-700.0,700.0,0.0
