t,p,q,d,b,a
2024-02-15,103800.0,42800.0,-42800.0,42800.0,0.0
2024-02-15,103900.0,133700.0,-92700.0,113200.0,20500.0
2024-02-15,104000.0,205500.0,-25500.0,115500.0,90000.0
2024-02-15,104100.0,375200.0,-202600.0,288900.0,86300.0
2024-02-15,104200.0,316900.0,101100.0,107900.0,209000.0
2024-02-15,104300.0,144600.0,-15800.0,80200.0,64400.0
2024-02-15,104400.0,135600.0,-41200.0,88400.0,47200.0
2024-02-15,104500.0,154000.0,37600.0,58200.0,95800.0
2024-02-15,104600.0,123000.0,1600.0,60700.0,62300.0
2024-02-15,104700.0,31800.0,6600.0,12600.0,19200.0
2024-02-15,104800.0,47900.0,300.0,23800.0,24100.0
2024-02-15,104900.0,62300.0,-54900.0,58600.0,3700.0
2024-02-15,105000.0,114200.0,-84200.0,99200.0,15000.0
2024-02-15,105100.0,61000.0,-3200.0,32100.0,28900.0
2024-02-15,105200.0,118900.0,53100.0,32900.0,86000.0
2024-02-15,105300.0,18900.0,-10300.0,14600.0,4300.0
2024-02-15,105400.0,29900.0,-13300.0,21600.0,8300.0
2024-02-15,105500.0,20500.0,20500.0,0.0,20500.0
2024-02-16,103800.0,18000.0,-18000.0,18000.0,0.0
2024-02-16,103900.0,183400.0,-120800.0,152100.0,31300.0
2024-02-16,104000.0,706900.0,-34300.0,370600.0,336300.0
2024-02-16,104100.0,175800.0,-13200.0,94500.0,81300.0
2024-02-16,104200.0,245000.0,33400.0,105800.0,139200.0
2024-02-16,104300.0,129300.0,-3300.0,66300.0,63000.0
2024-02-16,104400.0,83400.0,-1000.0,42200.0,41200.0
2024-02-16,104500.0,129500.0,57900.0,35800.0,93700.0
2024-02-16,104600.0,58400.0,28200.0,15100.0,43300.0
2024-02-16,104700.0,18200.0,18200.0,0.0,18200.0
2024-02-19,105100.0,44200.0,-33000.0,38600.0,5600.0
2024-02-19,105200.0,48800.0,-5600.0,27200.0,21600.0
2024-02-19,105300.0,32200.0,-27800.0,30000.0,2200.0
2024-02-19,105400.0,51300.0,-40700.0,46000.0,5300.0
2024-02-19,105500.0,200600.0,67200.0,66700.0,133900.0
2024-02-19,105600.0,157800.0,-67000.0,112400.0,45400.0
2024-02-19,105700.0,97900.0,-30900.0,64400.0,33500.0
2024-02-19,105800.0,260800.0,58000.0,101400.0,159400.0
2024-02-19,105900.0,105300.0,900.0,52200.0,53100.0
2024-02-19,106000.0,225900.0,44500.0,90700.0,135200.0
2024-02-19,106100.0,101200.0,-10200.0,55700.0,45500.0
2024-02-19,106200.0,96200.0,-24600.0,60400.0,35800.0
2024-02-19,106300.0,215600.0,11000.0,102300.0,113300.0
2024-02-19,106400.0,26800.0,24400.0,1200.0,25600.0
2024-02-19,106500.0,39200.0,36400.0,1400.0,37800.0
2024-02-19,106600.0,22200.0,-13400.0,17800.0,4400.0
2024-02-19,106700.0,68700.0,-20700.0,44700.0,24000.0
2024-02-19,106800.0,30300.0,26300.0,2000.0,28300.0
2024-02-19,106900.0,30200.0,30200.0,0.0,30200.0
2024-02-19,107000.0,24800.0,24800.0,0.0,24800.0
2024-02-20,104000.0,43800.0,-43800.0,43800.0,0.0
2024-02-20,104100.0,216100.0,-154100.0,185100.0,31000.0
2024-02-20,104200.0,133200.0,-15000.0,74100.0,59100.0
2024-02-20,104300.0,205100.0,-90500.0,147800.0,57300.0
2024-02-20,104400.0,203100.0,14100.0,94500.0,108600.0
2024-02-20,104500.0,219900.0,-50900.0,135400.0,84500.0
2024-02-20,104600.0,274400.0,-127600.0,201000.0,73400.0
2024-02-20,104700.0,266800.0,13600.0,126600.0,140200.0
2024-02-20,104800.0,54500.0,-22900.0,38700.0,15800.0
2024-02-20,104900.0,31600.0,-4800.0,18200.0,13400.0
2024-02-20,105000.0,57900.0,5500.0,26200.0,31700.0
2024-02-20,105100.0,18300.0,14500.0,1900.0,16400.0
2024-02-20,105200.0,40700.0,-37500.0,39100.0,1600.0
2024-02-21,103500.0,67900.0,-67900.0,67900.0,0.0
2024-02-21,103600.0,308700.0,-273700.0,291200.0,17500.0
2024-02-21,103700.0,294900.0,-52300.0,173600.0,121300.0
2024-02-21,103800.0,308700.0,-27100.0,167900.0,140800.0
