t,p,q,d,b,a
2024-07-09,179100.0,10500.0,-10500.0,10500.0,0.0
2024-07-09,179200.0,55400.0,-37800.0,46600.0,8800.0
2024-07-09,179300.0,72600.0,-23200.0,47900.0,24700.0
2024-07-09,179400.0,32500.0,5500.0,13500.0,19000.0
2024-07-09,179500.0,19600.0,3000.0,8300.0,11300.0
2024-07-09,179600.0,43900.0,30900.0,6500.0,37400.0
2024-07-09,179700.0,6800.0,-4600.0,5700.0,1100.0
2024-07-09,179800.0,2400.0,0.0,1200.0,1200.0
2024-07-09,179900.0,8600.0,-600.0,4600.0,4000.0
2024-07-09,180000.0,43500.0,-29300.0,36400.0,7100.0
2024-07-09,180100.0,15500.0,-12100.0,13800.0,1700.0
2024-07-09,180200.0,14100.0,-12100.0,13100.0,1000.0
2024-07-09,180300.0,21900.0,-11100.0,16500.0,5400.0
2024-07-09,180400.0,13000.0,-9800.0,11400.0,1600.0
2024-07-09,180500.0,17100.0,3300.0,6900.0,10200.0
2024-07-09,180600.0,14600.0,-2400.0,8500.0,6100.0
2024-07-09,180700.0,10300.0,3100.0,3600.0,6700.0
2024-07-09,180800.0,8200.0,-4000.0,6100.0,2100.0
2024-07-09,180900.0,3800.0,400.0,1700.0,2100.0
2024-07-09,181000.0,46500.0,-39500.0,43000.0,3500.0
2024-07-09,181100.0,37400.0,-30400.0,33900.0,3500.0
2024-07-09,181200.0,4900.0,700.0,2100.0,2800.0
2024-07-09,181300.0,3800.0,-2400.0,3100.0,700.0
2024-07-09,181400.0,1400.0,400.0,500.0,900.0
2024-07-09,181500.0,1800.0,600.0,600.0,1200.0
2024-07-09,181900.0,500.0,500.0,0.0,500.0
2024-07-09,182000.0,9400.0,-2000.0,5700.0,3700.0
2024-07-09,182100.0,9400.0,-4200.0,6800.0,2600.0
2024-07-09,182200.0,1700.0,100.0,800.0,900.0
2024-07-09,182300.0,100.0,-100.0,100.0,0.0
2024-07-09,182500.0,13300.0,-5900.0,9600.0,3700.0
2024-07-09,182600.0,3400.0,-200.0,1800.0,1600.0
2024-07-09,182700.0,600.0,600.0,0.0,600.0
2024-07-09,182800.0,700.0,700.0,0.0,700.0
2024-07-09,182900.0,100.0,-100.0,100.0,0.0
2024-07-09,183000.0,10000.0,-2200.0,6100.0,3900.0
2024-07-10,178500.0,9300.0,-9300.0,9300.0,0.0
2024-07-10,178600.0,46600.0,-28400.0,37500.0,9100.0
2024-07-10,178700.0,71200.0,-49800.0,60500.0,10700.0
2024-07-10,178800.0,89800.0,-34000.0,61900.0,27900.0
2024-07-10,178900.0,53000.0,-21200.0,37100.0,15900.0
2024-07-10,179000.0,70100.0,-26100.0,48100.0,22000.0
