t,p,q,d,b,a
2024-07-08,14550.0,300.0,-300.0,300.0,0.0
2024-07-08,14600.0,12400.0,7400.0,2500.0,9900.0
2024-07-08,14650.0,42500.0,24700.0,8900.0,33600.0
2024-07-08,14700.0,39500.0,30700.0,4400.0,35100.0
2024-07-08,14750.0,115000.0,800.0,57100.0,57900.0
2024-07-08,14800.0,210300.0,210300.0,0.0,210300.0
2024-07-08,14850.0,70700.0,70700.0,0.0,70700.0
2024-07-08,14900.0,82800.0,70200.0,6300.0,76500.0
2024-07-08,14950.0,79800.0,79200.0,300.0,79500.0
2024-07-08,15000.0,183000.0,173800.0,4600.0,178400.0
2024-07-08,15050.0,3100.0,1700.0,700.0,2400.0
2024-07-08,15100.0,20400.0,14000.0,3200.0,17200.0
2024-07-08,15150.0,3200.0,3200.0,0.0,3200.0
2024-07-08,15200.0,32200.0,26600.0,2800.0,29400.0
2024-07-08,15250.0,21200.0,18200.0,1500.0,19700.0
2024-07-08,15300.0,49900.0,43500.0,3200.0,46700.0
2024-07-08,15350.0,48700.0,-900.0,24800.0,23900.0
2024-07-08,15400.0,2041700.0,-915100.0,1478400.0,563300.0
2024-07-09,15550.0,37100.0,-20900.0,29000.0,8100.0
2024-07-09,15600.0,70300.0,-31500.0,50900.0,19400.0
2024-07-09,15650.0,53900.0,-33500.0,43700.0,10200.0
2024-07-09,15700.0,395100.0,-91900.0,243500.0,151600.0
2024-07-09,15750.0,344100.0,20300.0,161900.0,182200.0
2024-07-09,15800.0,474600.0,59400.0,207600.0,267000.0
2024-07-09,15850.0,274500.0,24100.0,125200.0,149300.0
2024-07-09,15900.0,157700.0,32300.0,62700.0,95000.0
2024-07-09,15950.0,176900.0,164900.0,6000.0,170900.0
2024-07-09,16000.0,2000.0,2000.0,0.0,2000.0
2024-07-10,15650.0,8900.0,-8900.0,8900.0,0.0
2024-07-10,15700.0,9400.0,-5400.0,7400.0,2000.0
2024-07-10,15750.0,7400.0,3000.0,2200.0,5200.0
2024-07-10,15800.0,48400.0,2400.0,23000.0,25400.0
2024-07-10,15850.0,27000.0,21200.0,2900.0,24100.0
2024-07-10,15900.0,61900.0,34300.0,13800.0,48100.0
2024-07-10,15950.0,135000.0,23800.0,55600.0,79400.0
2024-07-10,16000.0,453100.0,-900.0,227000.0,226100.0
2024-07-10,16050.0,284200.0,-73200.0,178700.0,105500.0
2024-07-10,16100.0,463800.0,115600.0,174100.0,289700.0
2024-07-10,16150.0,274500.0,7500.0,133500.0,141000.0
2024-07-10,16200.0,443100.0,212100.0,115500.0,327600.0
2024-07-10,16250.0,181300.0,-26100.0,103700.0,77600.0
2024-07-10,16300.0,357100.0,192300.0,82400.0,274700.0
2024-07-10,16350.0,105300.0,60100.0,22600.0,82700.0
2024-07-10,16400.0,281000.0,31400.0,124800.0,156200.0
2024-07-10,16450.0,25000.0,25000.0,0.0,25000.0
2024-07-11,15950.0,46700.0,-38500.0,42600.0,4100.0
2024-07-11,16000.0,204600.0,-123400.0,164000.0,40600.0
2024-07-11,16050.0,321800.0,-199800.0,260800.0,61000.0
2024-07-11,16100.0,347000.0,-26800.0,186900.0,160100.0
2024-07-11,16150.0,77000.0,5000.0,36000.0,41000.0
2024-07-11,16200.0,123100.0,50500.0,36300.0,86800.0
2024-07-11,16250.0,53100.0,30100.0,11500.0,41600.0
2024-07-11,16300.0,4500.0,-2700.0,3600.0,900.0
2024-07-12,15700.0,500.0,-500.0,500.0,0.0
2024-07-12,15750.0,58800.0,10600.0,24100.0,34700.0
2024-07-12,15800.0,270600.0,-134800.0,202700.0,67900.0
2024-07-12,15850.0,166100.0,-152100.0,159100.0,7000.0
2024-07-12,15900.0,220500.0,-66300.0,143400.0,77100.0
2024-07-12,15950.0,138200.0,-7800.0,73000.0,65200.0
2024-07-12,16000.0,112400.0,12800.0,49800.0,62600.0
2024-07-12,16050.0,126700.0,-24700.0,75700.0,51000.0
2024-07-12,16100.0,138800.0,109000.0,14900.0,123900.0
2024-07-12,16150.0,79200.0,42200.0,18500.0,60700.0
2024-07-12,16200.0,95600.0,95600.0,0.0,95600.0
2024-07-12,16250.0,22300.0,15300.0,3500.0,18800.0
2024-07-12,16300.0,84100.0,74500.0,4800.0,79300.0
2024-07-12,16350.0,72700.0,300.0,36200.0,36500.0
2024-07-12,16400.0,108100.0,6300.0,50900.0,57200.0
2024-07-12,16450.0,104300.0,-15500.0,59900.0,44400.0
2024-07-12,16500.0,227400.0,138000.0,44700.0,182700.0
2024-07-12,16550.0,135500.0,70900.0,32300.0,103200.0
2024-07-12,16600.0,57900.0,57900.0,0.0,57900.0
2024-07-12,16650.0,13100.0,13100.0,0.0,13100.0
2024-07-15,16750.0,59500.0,-58100.0,58800.0,700.0
2024-07-15,16800.0,169000.0,-127400.0,148200.0,20800.0
2024-07-15,16850.0,395000.0,-197000.0,296000.0,99000.0
2024-07-15,16900.0,349000.0,93800.0,127600.0,221400.0
2024-07-15,16950.0,413400.0,67400.0,173000.0,240400.0
2024-07-15,17000.0,361400.0,175600.0,92900.0,268500.0
2024-07-15,17050.0,102500.0,-82900.0,92700.0,9800.0
2024-07-15,17100.0,268200.0,33400.0,117400.0,150800.0
2024-07-15,17150.0,158900.0,136900.0,11000.0,147900.0
2024-07-15,17200.0,22700.0,22700.0,0.0,22700.0
2024-07-16,16700.0,48400.0,-25800.0,37100.0,11300.0
2024-07-16,16750.0,94100.0,-24500.0,59300.0,34800.0
2024-07-16,16800.0,319400.0,-182800.0,251100.0,68300.0
2024-07-16,16850.0,265400.0,-61000.0,163200.0,102200.0
2024-07-16,16900.0,308700.0,27300.0,140700.0,168000.0
2024-07-16,16950.0,287000.0,13000.0,137000.0,150000.0
2024-07-16,17000.0,74200.0,11400.0,31400.0,42800.0
2024-07-16,17050.0,43100.0,-17300.0,30200.0,12900.0
2024-07-16,17100.0,137600.0,-25200.0,81400.0,56200.0
2024-07-16,17150.0,24800.0,24800.0,0.0,24800.0
2024-07-17,15750.0,1004300.0,-526100.0,765200.0,239100.0
2024-07-17,15800.0,254000.0,-120800.0,187400.0,66600.0
2024-07-17,15850.0,23200.0,-4200.0,13700.0,9500.0
2024-07-17,15900.0,47900.0,-45100.0,46500.0,1400.0
2024-07-17,15950.0,11400.0,-9200.0,10300.0,1100.0
2024-07-17,16000.0,248200.0,-247800.0,248000.0,200.0
2024-07-17,16050.0,81700.0,-10100.0,45900.0,35800.0
2024-07-17,16100.0,319900.0,-198900.0,259400.0,60500.0
2024-07-17,16150.0,177300.0,8500.0,84400.0,92900.0
2024-07-17,16200.0,404800.0,-307000.0,355900.0,48900.0
2024-07-17,16250.0,662900.0,-648100.0,655500.0,7400.0
2024-07-17,16300.0,202200.0,-132400.0,167300.0,34900.0
2024-07-17,16350.0,135400.0,-76000.0,105700.0,29700.0
2024-07-17,16400.0,234400.0,-183600.0,209000.0,25400.0
2024-07-17,16450.0,248400.0,-166200.0,207300.0,41100.0
2024-07-17,16500.0,419400.0,-267200.0,343300.0,76100.0
2024-07-17,16550.0,283900.0,-202100.0,243000.0,40900.0
2024-07-17,16600.0,150700.0,-6300.0,78500.0,72200.0
2024-07-17,16650.0,155300.0,-113100.0,134200.0,21100.0
2024-07-17,16700.0,54100.0,-16900.0,35500.0,18600.0
2024-07-17,16750.0,20600.0,-13800.0,17200.0,3400.0
2024-07-17,16800.0,70500.0,-69700.0,70100.0,400.0
2024-07-17,16850.0,28500.0,-12900.0,20700.0,7800.0
2024-07-17,16900.0,61000.0,-7600.0,34300.0,26700.0
2024-07-17,16950.0,42100.0,23900.0,9100.0,33000.0
2024-07-17,17000.0,71600.0,7800.0,31900.0,39700.0
2024-07-17,17050.0,30800.0,30800.0,0.0,30800.0
2024-07-18,15550.0,7400.0,-7400.0,7400.0,0.0
2024-07-18,15600.0,122800.0,-100400.0,111600.0,11200.0
2024-07-18,15650.0,88500.0,-20500.0,54500.0,34000.0
2024-07-18,15700.0,180600.0,-80000.0,130300.0,50300.0
2024-07-18,15750.0,433400.0,-63400.0,248400.0,185000.0
2024-07-18,15800.0,276700.0,69100.0,103800.0,172900.0
2024-07-18,15850.0,285700.0,-202300.0,244000.0,41700.0
2024-07-18,15900.0,214600.0,18200.0,98200.0,116400.0
2024-07-18,15950.0,176900.0,3900.0,86500.0,90400.0
2024-07-18,16000.0,312300.0,78100.0,117100.0,195200.0
2024-07-18,16050.0,156700.0,6100.0,75300.0,81400.0
2024-07-18,16100.0,184700.0,66700.0,59000.0,125700.0
2024-07-18,16150.0,81100.0,50700.0,15200.0,65900.0
